WOMAN	Oh, yeah Uh-huh
??	I know how to appreciate manhandling, unlike some people.

??	Which people do you mean?

??	Well, Shay, of course.

??	I don’t understand why she cares whether the customer comes back.

??	It’s not like there isn’t somebody else waiting in line to take their place.

??	So that’s how the club makes its money--

??	by selling some kind of membership.

??	Well, Niko handles the business. It’s his place.

??	We just dance here.

??	Yeah. Why do you> dance?

??	Well, why not?

??	I used to be a stockbroker’s assistant,

??	which is where I met all the girls.

??	But I make far better money here

??	than kissing some high-powered bitch’s ass.

??	Plus, I like to have my days free to sleep.

??	What about Shay and Cat? Why do they do it?

??	Well, they’re both still junior traders.

??	They only got into it because it’s fun.

??	But I think Shay does what Niko tells her to do.

??	And Cat’s trying to put herself through college.

??	You think Shay wouldn’t dance if she wasn’t with Niko anymore?

??	Why do you care what Shay does?

??	All she cares about is bending over for Niko.

??	Fuck me?

GEORGIA	Come here. Come here.

??	Yes. Yes.
	
??	Okay.

??	Look at me.

??	I like the new guy. He knows what he’s doing.

??	What are you playing at, Georgia?

??	There are no games with me, Niko.

??	When I see something I want, I go for it. No games.

??	Then I just made a rule: no sleeping with the help.

??	Yeah. You know what? Let me know how that goes for you and Shay.

??	She fills this place-- Where the-- Where are you going?

??	Come on, Shay.  Let’s get out of here.

??	I’m going to my place, alone.

??	You heard her, Cat. She wants to be alone.

??	You get to sleep in the penthouse.

??	I’ll grab my bag.

??	Take me home, Mac.

??	Let me ake you home, Shay.

??	What about me?

??	Shay. You shouldn’t be driving right now.

??	I’m fine.

??	Well, Jesus Christ. What am I, invisible?

??	Shay. Forget about that rat bastard. He’s an asshole.

??	You can do better.

??	Jesus. Just get on with it.

??	Thanks, hon.

??	So, what about us, Mac?

??	There is no us.

??	Come on. I’ll walk you to your car.

??	You know what? Don’t bother.

??	Why don’t you go chase after your fragile one?

??	Jesus. That’s all you guys want anyway--

??	just someone who’s gonna bend over for you. 

??	It’s time for you to leave.

??	No. Georgia.

??	I got to lock up.

??	Shay, is everything all right?

??	You must think I’m such an idiot.

??	You’re definitely not the stupid one in this.

??	It didn’t use to suck.

??	It sucks now?

??	Well, I didn’t exactly sign up for a possessive-jerk,

??	"sleep with my roommate" type of boyfriend.

??	Good to know.

??	Why is that good to know?

??	Well, I respect you.

??	It’d bum me out to have my illusions shattered.

??	I’m gonna go. Oh. Let me walk you out.

??	It’s open.

??	Hey, Shay.

??	Oh, God. I thought you were Niko.

??	Jason, what are you doing here? It’s been like two years.

??	Well, more like  months,

??	six days, seven hours and about  minutes.

??	But you know, who’s counting?

??	Why are you here?

??	I saw you dancing last night, and--

??	I missed you.

??	You should go. I’m in a relationship now.

??	Yeah, that’s right. With that Niko dude, right?

??	The guy I saw leaving with that pretty little blonde?

??	Last night.

??	But look, none of that matters.

??	I missed you.

??	You look so pretty.

??	We shouldn’t.

??	Oh, yeah, we can.

??	Oh, nice.

??	Ooh, ooh, ooh, ooh, ooh, ooh, ooh

MAN	I light the fire

??	And wait here alone

??	Empty house, empty home

??	Strange sounds

??	Bounce down the halls

??	The paint is peeling from the walls

??	Ooh, ooh, ooh, ooh,   ooh, ooh, ooh

??	Angels in the breeze

??	Ooh, ooh, ooh, ooh, ooh, ooh, ooh

??	By candlelight

??	I hold your photo frame

??	A broken heart   is hard to change

??	I drink until

??	I feel your lips on mine

??	Waiting for love

??	Waiting on mine

??	Listen at the window

??	Feel the angels in the breeze

??	They whisper in the night

??	Through the trees

??	Get by and warmed by

??	The fire in the ring

??	Waiting for love that never came

??	Never came

??	Ooh, ooh, ooh, ooh, ooh, ooh, ooh

??	Angels in the breeze

??	Ooh, ooh, ooh, ooh,

??	ooh, ooh, ooh

??	Angels in the breeze

??	Ooh, ooh, ooh, ooh, ooh, ooh, ooh

??	You should never hurt again

??	Ooh, ooh, ooh, ooh, ooh, ooh, ooh

??	Angels in the breeze

??	Ooh, ooh, ooh, ooh, ooh, ooh, ooh

??	Angels in the breeze

??	Ooh, ooh, ooh, ooh, ooh, ooh, ooh  Angels

??	Angels

??	Angels in the breeze

??	Oh, fuck.

??	Oh, yes.

??	Ooh, ooh, ooh, ooh, ooh, ooh, ooh

??	Oh, yeah. Ooh, ooh, ooh, ooh, ooh, ooh, ooh

??	I light the fire

??	And wait here alone

??	Empty house, empty home

??	Strange sounds

??	Bounce down the hall

??	The paint is peeling from the walls 

??	Oh, my God.

??	Ooh, ooh, ooh, ooh, ooh, ooh, ooh

??	Angels in the breeze

??	Ooh, ooh, ooh, ooh, ooh, ooh, ooh

??	Oh, fuck.

??	By candlelight

??	I hold your photo frame

??	A broken heart is hard to change 

??	I dream until

??	I feel your lips on mine

??	Oh, my God. Oh, my God. Yeah. Yes.

??	Waiting for love

??	Listen at the window

??	 (grunting)

??	Whispers in the night

??	Through the trees

??	Get by and warmed by

??	The fire in the--

??	Oh, shit.

??	This shouldn’t have happened.

??	You have to go.

??	Come on, Shay.

??	We were good once.

??	Let’s give another go at it.

??	I’ve moved on.

??	Yeah. I really don’t think it’s that Niko guy.

??	I think it’s something or someone else.

??	’Cause where I’m standing, he’s definitely not the guy for you.

??	You’re right.

??	There is someone.

??	I wasn’t sure, but I am now.

??	Do you understand?

??	I do.

??	Shay, all I ever wanted is for you to be happy.

??	That’s all.

??	Hmm.

??	 (clears throat)

??	Want some?

??	Still mad?

??	Just tired.

??	Why am I here?

??	You tell me.

??	Well, I was kind of hoping things were done with you and Shay.

??	Why?

??	Because I like you.

??	You like me?

??	Yeah, I do.

??	Does Shay know how you feel?

??	It may be slightly masochistic to want my roommate’s boyfriend,

??	but I’m not cruel.

??	And plus, I--

??	And?

??	And I’ve seen you and Shay together.

??	I think that you’re only with her because she’s nice

??	and you don’t want to hurt her.

??	But you haven’t loved her for a long time.

??	You think you know me that well?

??	I do.

??	I mean, there’s a fire in you that Shay can’t match.

??	You need a partner,

??	someone who’s strong enough to handle your moods

??	and fierce enough to seduce them when you’re in them.

??	And that’s you?

??	Yeah. That’s me.

??	And stop doing, fucking-- whatever is going on-- with Georgia.

??	Hmm. That one’s crazy.

??	God.

??	It’s really close.

??	I’m coming.

??	We need to talk.

??	What’s going on?

??	I want you to give Cat my half of the business.

??	I don’t get it.

??	I need to stop doing this.

??	I can’t be here anymore,

??	and I can’t be with you.

??	We’re good together.

??	I’m not sure we ever were.

??	Be happy, Niko.

??	Shay, I’m not even sure I wanna be with Cat.

??	She’s been in love with you ever since I’ve known her.

??	She’s a good match.

??	Just do me a favor and don’t stay at our place for a couple of weeks.

??	I don’t think I’m strong enough for that.

??	Shay, if you’re serious about this, will you do me a favor?

??	Will you dance tonight? It’s my favorite thing about running this club.

??	One last time.

??	Whoo!

??	Wow. Hey, come-- What? What?

SHAY	Mac, no! What the hell?

??	What the hell? Mac, no. MAN: I was just talking to her.

??	I’m done here, Mac. We’re not together anymore.

??	What, done dancing?

??	Done with Niko. Done with dancing.

??	I don’t need a white knight anymore.

??	No. Now more than ever.

NIKO	Stay down.

??	Georgia!

??	What are you doing, Mac?

??	Get off me!

??	What the hell?


??	She tried to kill us.

??	It was you. You killed John.

??	You hit him in the back of the head, and then you stayed behind

??	to help Niko clean up the evidence.

??	You are so twisted.

??	No, you’re the one who’s twisted.

??	I’ve been fucking Niko for months,

??	hoping you’d figure it out and you could fucking leave his ass.

??	But no-- no, you’re just too fucking stupid.

??	And then when you finally do leave him--

??	when you finally do, you try to take Mac from me too?

??	I couldn’t live with that, now, could I?

MAC	Call the cops.

??	Oh, yeah. Go ahead, Niko. Call them.

??	I will tell them-- I will tell them

??	how we hid a body in the Dumpster

??	and how you told me I would end up in the same spot if I told anybody.

??	Georgia, you’re insane.

??	Are you sure about that? ’Cause Niko was with me that night.

??	No. No, no, no, no. He was with me.

??	Really? Can you prove it?

??	Did anybody see you?

??	’Cause Niko here drove me home,

??	and he was at my apartment all night.

??	I can vouch for that. 

??	What do you wanna do here?

??	Well, I’m leaving the club, so this is not my problem anymore.

??	I think it’s time for Cat and I to take our business someplace else.

??	Whoa, whoa, whoa. Our business?

NIKO	You can call the cops. You can press charges.

??	Or not. We’ll support you either way.

??	You know, if it was just us,

??	I might be inclined to write this down to jealousy.

??	She killed John.

??	Yeah. And you know what? He was a really nice guy, and he did not deserve that.

??	So call the cops, regardless of the potential heat?

??	Yeah. It’s the right thing to do.

??	No. No. No. No! No!

??	So, Shay, what did Niko mean when he said "our business"?

??	Niko and I were partners in this club,

??	and today I said I wanted to give you my shares.

??	Really?

??	You’re gonna make   a great business owner.

??	Wow.

??	I-- I guess I can’t be mad.

??	I mean, I never even knew you were my boss.

??	Pretty good plan, right? Yeah.

??	And, um, thanks for letting Niko go.

??	Thanks for hiring Mac.

??	Come here.

??	Georgia could probably make this pretty ugly for us still, huh?

??	Well, she could, but she’s clearly a nutcase.

??	And it’s her word against ours.

??	So you’d stand with us?

??	Well, I wasn’t there the night the other guy was killed.

??	I remember the conversation.

??	It was what happened after she tried to plant the crowbar on my head.

??	So I’ll be a little shaky on those details.

??	I have to say I am a little bit bummed

??	that she interrupted us.

??	Well, I could probably remember where we left off.

??	Oh, really? Show me.

??	Well, my mouth was—

??	Where?

??	Somewhere around...

??	Mmm. Here. 

??	And your arms were--

??	Right here? Yeah. Somewhere around there.

??	Like this? Are you sure?

??	Never been more sure of anything in my life.

??	Oh, yeah.

??	Mmm. Mm-hmm.

??	Goddamn.

??	Mmm.

??	Mmm.

??	Fuck, yeah.

??	Oh, yeah. Oh, my God.

??	Mmm. Mmm.

??	Come here.

??	Yeah.

??	You’re so strong. You’re so strong.

??	Yes.

??	Yeah.

??	Ooh!

??	Oh, yes.

??	Yes, yes, yes, yes.

??	It’s nice. Yeah.

??	Oh, yeah. Oh, yeah.

??	Oh, my God.

WOMAN	I’d swim the ocean blue

??	And walk from Everest   round to Kathmundu

??	For just one glimmer

??	Of your smile

??	The memory of your lips

??	And the hope   I’ll feel your fingertips

??	All from one glimmer

??	Of your smile

??	The memory of your lips

??	And the hope   I’ll feel your fingertips

??	All for one glimmer

??	Of your smile

??	Just for one glimmer of

??	Your smile
