NARRATION #1	Atlanta, the dirty south. A city where the underdog Is only one move away from making it big. The hustle is meanest here in the A Especially, For the ladies. In this town You got to fight to get what you want. Then fight even harder to keep it. For some the battle’s about trust in the face of betrayal. 
MIMI	If it was just money he was getting in the studio I wouldn’t be mad at that. But he’s getting way more than some money. So for him to have in a house way out is real convenient for him. 

STEVIE J	This is for you.

MIMI	Hmph. You keep saying all the wrong BLEEP. You should be saying this is for us, not me. You haven’t said it one time. 

STEVIE J	Do you want it or not. 

MIMI	I want a situation where you can come home at night. 

STEVIE J	I ain’t really trying, that ain’t where I am at with it. 

MIMI	So I’m not understanding what you’re saying, “that’s not where you’re at”? 

STEVIE J	This is, I need to handle things right now. And I just felt that this was the proper thing to do. I really, really, really, really need to know if  this is what you want. If not I got, I need to work something out with the man. 

MIMI	Well how long do you have. 

STEVIE J	I got a couple days. 

MIMI	Alright I’ll let you know in a couple days.

STEVIE J	Tsss. I’m, but I’m sick and tired, I’m sick… I’m sick of trying to be nice.

MIMI	Cause I need, I need to find out where you, I need to…

STEVIE J	You blatantly ungrateful. 

MIMI	I’m not ungrateful Stevie. You need to understand where I am coming from. 

STEVIE J	I love you.

MIMI	I love you to, but…

STEVIE J	Do you love me enough to just stay here and make this work?

MIMI	That means stay here, shut the BLEEP up and be a good dog and let you do what you do. Is that what that means? 

STEVIE J	If you don’t want this you got to let me know asap. 

ERICA	Very good.

ERICA	My name is Erica. I’m a single mother and…I have been dating the rapper Lil Scrappy on and off for about ten years. 

LIL SCRAPPY	Oh. 

IMANI	Reach out.

ERICA	And we have a gorgeous six-year old named Imani. 

LIL SCRAPPY	How you get that thing back in?

LIL SCRAPPY	My name is Lil Scrappy.

LIL SCRAPPY	I’m the prince of the south. Born and raised, probably going to die in the A. Yeah, you know what I’m saying? 

ERICA	When we first met Scrappy wasn’t a household name. 

Wassup. Hey, I get mine and then I do my thing for me. 

ERICA	But in 2006 he me Lil Jon, did his first album. 


ERICA	And things took off from there. 

ERICA	C’mon sweetie. 

ERICA	You know the story, you hold a man down.

ERICA	His career takes off and he’s on to the next chick. 

ERICA	The new girl happened to be an Atlanta rapper named Diamond.

ERICA	The affair was public and it hurt me.

ERICA	But the tables turned when Diamond had a public relationship with Soulja Boy. 

ERICA	And Scrappy came limping home to me. 

ERICA	We are trying to move forward with the relationship. I just don’t know if I am all in the relationship right now.

ERICA	What did I tell you? I said no cheese. 

LIL SCRAPPY	When everything went down my baby momma Erica was the first person I called and told the whole thing to. She said I know you hurting and all that, but you know you got a daughter. She needs you so get it together. 

ERICA	Do you think you’d be here if Diamond hadn’t had her relationship with Soulja Boy? 

LIL SCRAPPY	I always thought about that like dang, you know I didn’t give my little girl a good shot at seeing her momma and daddy together. And you know seeing that family how it’s supposed to be. You know what I’m saying?

ERICA	My question is you. Like how do you really feel? Do you want to move forward? Like you still in this moving forward or…

LIL SCRAPPY	I feel the love, but it ain’t clicking on that end. Like what I be telling you? You not to, you know?

ERICA	Affectionate. 

LIL SCRAPPY	Affectionate. It’s hard to tell sometimes, you feel me? 

ERICA	We’ve been through so much. The cheating and just, just from a woman’s perspective like it’s hard to just, just trust and believe you know, you’re every word, you’re every move. When I first found out about you and Diamond’s relationship do you know how I felt? 

LIL SCRAPPY	You know I kinda, sorta do. 

ERICA	I felt betrayed. 

ERICA	At this point I don’t put anything past Scrappy. He says he wants affection, but he was getting a lot of that before he moved on to Diamond. 

ERICA	And I do want to, you know try and move forward. But I want you to know at the end of the day this is round two. 

LIL SCRAPPY	Yup, this is round two.

ERICA	So it’s all or nothing. 

K. MICHELLE	So why does it feel like I could die. 

K. MICHELLE	Bury my heart. 

K. MICHELLE	My name is K. Michelle. 

K. MICHELLE	(Laughing)

K. MICHELLE	I’m a singer. I’m a single mother, I am a pianist and I rock out with my BLEEP out. 

K. MICHELLE	This song is very important. Like we all been heart broken and you know how ya’ll men do. So… (Laughs)

J. QUE	I’m not going to sit here and let you beat up on me. I feel what you’re saying though. 

K. MICHELLE	We need that break up record. 

K. MICHELLE	I recently got out of a nasty relationship that affected my music career. But now I am on my way back up and I am using my music to tell my story. 

J. CUE	That’s what this whole thing is, is your truth. You have to tell your truth through the song. 

K. MICHELLE	This record is special and I, I can relate to it. 

J. CUE	Let’s get that pain on it. 

K. MICHELLE	Gotcha.
J. CUE	Alright let’s give it another shot. 

K. MICHELLE	They say that all wounds heal over time. So why does it feel like I could die. Bury my heart, bury my heart so I won’t hurt again. 

JOSELINE	I just…

STEVIE J	I believe in you, you know that?

JOSELINE	I know you do. 

STEVIE J	I just see you being a really big international hit. 

MIMI	Oh word? For real?

STEVIE	I’m, I was looking for you.

MIMI	You wasn’t looking for me in the car with her. 

STEVIE J	C’mon. Chill. 

MIMI	Are you BLEEP serious right now?

STEVIE J	Hold on. Wait a minute. 

MIMI	Stevie decided to surprise me with a house today. 

ARIANE	Really?

MIMI	I went to visit my girlfriend Ariane. We’ve known each other seven or eight years. She knows the ups and downs of what I’ve been going through with Stevie and she’s always been there for me. 

ARIANE	Is this a house for all of you? 

MIMI	He kept saying it’s for me and the baby.
ARIANE	So he would keep a place in the city and pretend like he’s working every night and not coming home. What just keeps you hanging on to him? Is it the BLEEP?

MIMI	Girl I’ve never met a BLEEP in my life that made me do cartwheels, ever. 

ARIANE	But why?

MIMI	What is it about Stevie that keeps me with him? When things are good they’re really good. 

MIMI	I’m not.

ARIANE	I just don’t want you to constantly make excuses for him and I feel like sometimes…

MIMI	I’m not doing that.

ARIANE	That’s what you do. 

MIMI	I’m not making excuses, but I do understand that life. 

ARIANE	I feel like sometimes she’s afraid to leave. I want her to get over it because you can. 

ARIANE	But you are still accepting his behavior. You’re accepting all of the things that he does with all of these women. 

MIMI	For the past two years my day to day has been mommy mode. My focus is not been what the BLEEP are you doing? 

ARIANE	You’re a woman with so much potential. It hurts to know that he even can say I’m a still going to do the BLEEP that I’m doing. 

ARIANE	To me I feel like Stevie J doesn’t care about women. Come on this is the mother of your child.

ARIANE	He doesn’t even have a reason to fight for you because you’ve given him everything and that’s not fair. 

MIMI	I know.

MIMI	I believe what he tells me when he tells me he wants his family, he loves me and he loves his daughter. This is what he wants, I believe him.

ARIANE	At this point right now, where do you think he is? 

MIMI	Probably the studio.

STEVIE J	Hey.

JOSELINE	What’s up baby?

STEVIE J	What’s up? 

JOSELINE	What’s going on?

STEVIE J	How are you?

JOSELINE	My name is Joseline Hernandez. I am a rapper, actress, dancer, just an entertainer all the way across the board. 

JOSELINE	You got me working hard baby. 

STEVIE J	You looking amazing.

JOSELINE	You like my shorts? (SIGHS)

STEVIE J	That’s crazy. (CHUCKLES)

JOSELINE	(LAUGHS) What’s up baby?

STEVIE J	We’ve been working together for four months. I believe we have the songs that we need to start getting you out there and showcasing you know the real you. I just see you being like a real international hit. 

STEVIE J	With Joseline for sure I got a winner. With her beauty, her swag, my coaching she’s bound to go to the top. 

JOSELINE	You got me working out like an animal. 

STEVIE J	You never look like that.

JOSELINE	No.

STEVIE J	No. Who did that?

JOSELINE	You did that, but at the same time, you know…

STEVIE J	Who did that? (LAUGHS)

JOSELINE	Daddy you did. (LAUGHS)

JOSELINE	Stevie gave me much more than you’re thinking he just want to BLEEP on me. He just everything to me. But it’s not just about the sex.
JOSELINE	I just…

STEVIE	I believe in you. You know that?

JOSELINE	I know you do. 

STEVIE	If you keep doing what you do nothing can stop you. 

JOSELINE	I don’t want to go back to the club. I’m tired of BLEEP stripping so baby please, please, please, please…

STEVIE	(CHUCKLES)

JOSELINE	Please let’s make this work. Please, please, please. 

JOSELINE	Everybody think she’s a bad bitch. He get all the bitches. It’s not really about Stevie getting in my pants. You know what I am saying? I want Stevie forever. 

STEVIE J	Is you riding with me? Is you down? 

JOSELINE	You know I’m down. 

JOSELINE	It ain’t about BLEEP no sexing. It’s a for everything for Stevie and I. We BLEEP my brains. 

STEVIE J	I wanted to hear what we did last night. You know what I’m saying?

JOSELINE	Okay. 

JOSELINE	Yes.

JOSELINE	Estoy no se siente como ayer. Ya llegue donde tenia que llegar. Oh yea, yea yea. Uh. Tu sabes que estamos primero, tu sabes que yo mando el juego, tu sabes que no estoy pa juego. Asi que…

MOMMA DEE	Who is it?

LIL SCRAPPY	Me.

MOMMA DEE	Wow.

MOMMA DEE	I’m Momma Dee. I’m the mother of the famous rap star Lil Scrappy. I’m the type of mother that is very loving, caring, and sharing, but overprotective. That’s how it is and it’s always going to be that way. And in that order. (FINGER SNAP)
MOMMA DEE	Not really finished with it yet. And the amenities are not even in. 

LIL SCRAPPY	Wow.

MOMMA DEE	And I done gave them a BLEEP stack. I said what ya’ll got crack smokers working for ya’ll? 

LIL SCRAPPY	What they doing over there? 

MOMMA DEE	The sand this sound and then they supposed to schlack it over and BLEEP. 

LIL SCRAPPY	Wow. 

MOMMA DEE	And the BLEEP ain’t done. Like I just feel like a mother BLEEP bent me the BLEEP over and BLEEP me like no goddamn grease. How the BLEEP you going to pimp a pimp.  

LIL SCRAPPY	I’ll tell you about my momma. If it pop off she just pop off she don’t think about it. She just go, she just trained to go, ttg. 

LIL SCRAPPY	So when is the date for them to have everything ready? 

MOMMA DEE	He talking about tomorrow, but you see that’s not true. So it could be…

LIL SCRAPPY	Well then just wait until tomorrow and then if he don’t do it tomorrow we’re going to holler at him. 

MOMMA DEE	And in that order. 
LIL SCRAPPY	She got this thing where the whole world’s against her. Like she still in her pimpish ways because she used to pimp and sell dope back in the day. 

MOMMA DEE	I had to become very hardcore because I had two small kids that depended on momma to see them through and that’s what I did. 

LIL SCRAPPY	Remember that conversation that I said I was going to have with Erica? 

MOMMA DEE	Yeah.

LIL SCRAPPY	I had that the other day. 

MOMMA DEE	What?

LIL SCRAPPY	I had told her that I do love her, I do love Imani. You know and I am trying you know to make them work. But it’s like there’s like a lot of irritating stuff she do. 

MOMMA DEE	She wants a family unit and I can’t blame her on that part. She had a mother that didn’t raise her, that was on crack cocaine. So people in life try to go after things that they were denied or didn’t have when they were growing up. But she can’t make you give that to her. You know because…

LIL SCRAPPY	Nah, especially if she act like she don’t want it given to her. She ain’t…

MOMMA DEE	She does. 

LIL SCRAPPY	Nah, she don’t act like it. She don’t even know how to be affectionate. You feel me? So it’s like how you…

MOMMA DEE	Yeah because she never had that mother’s love that I give you. 

LIL SCRAPPY	Affection don’t have nothing to do with your momma. 

MOMMA DEE	Baby.

MOMMA DEE	When you have somebody that wasn’t raised by their mother they tend to not see things exact the way you know the way that my kids were raised. 

MOMMA DEE	At the end of the day when BLEEP broke out between you and Diamond, Erica stepped in. So she’s there for you. Ya’ll dated for a few years and then ya’ll separated. You got down with Diamond when that got down BLEEP. You know what I’m saying? When in actuality the bitch don’t need a record deal she need a XXXX deal. When it was stinking like it was. 

MOMMA DEE	Scrappy loved himself some Diamond. She made me feel like I should come out of early retirement. I should have took that bitch to the tracks. You feel me? So I could make some money off that ass since Scrappy paid for that ass. Don’t BLEEP with my damn babies. Now you have made me mad. Now I am reliving this BLEEP. And in that order. 

MOMMA DEE	Maybe a lot of parents say like you know you’re kids are grown and let them go you know, but…

LIL SCRAPPY	That’s what I said. You’re kids are grown. Let them go. And then you, you won’t have so much stress on you. 

MOMMA DEE	At the end of the day I want you to be happy. 

LIL SCRAPPY	I dig that. 

MOMMA DEE	It is what it is. Scrappy, merlot, Jones. 

MIMI	If you wanted to spend time with us you would have gotten us a place closer in the city. 

STEVIE J	I’m coming home a little bit more. 

MIMI	A little bit more? 

STEVIE J	I come home more often. 

ERICA	You step out of line as a momma. 

MOMMA DEE	She put drugs in front of you. I would never do that.

ERICA	My momma didn’t do that none of that. 

STEVIE	Mimi.

JOSELINE	You better act like you BLEEP know. 

K. MICHELLE	The last three years were really crazy for me. I got out of a record deal. I lost the love of my life and I lost a lot of friends in the process. So over the past few weeks I’ve meeting with some friends to reconnect. 

K. MICHELLE	Hey.

RASHEEDA	Hey, how are you?

K. MICHELLE	Today I am catching up with Rasheeda who is a fellow artist. 

RASHEEDA	Are you still on Jive?

K. MICHELLE	I have gone through I think the longest battle. I am trying to get off of the label. 

RASHEEEDA	Really?

K. MICHELLE	I was signed to Jive Records. To a guy who was from my hometown. He was gorgeous. I mean he had huge arms, tattoos. And he gave me my dream that I always wanted. And that was a record deal. 

K. MICHELLE	When it was about six months later we started to date and um it wasn’t a bad relationship. Until one day he flipped and he beat my ass. 

K. MICHELLE	All I can remember is screaming saying it’s me. Like it’s me, I love you. It’s me K. it’s me. He wasn’t there.

K. MICHELLE	People behind the scenes from the record label to everywhere they knew the truth. When business is involved no one care if you’re hurt. Everybody wants you to sing, shut up and make the money. 

K. MICHELLE	He bought chains, rings, everything out of my recording budget. Over two million dollars with nothing to show for it. No album, no music, no anything. 

K. MICHELLE	So you got your fans like “where’s the music. Oh, she’s a flop, what’s going on?” Don’t nobody know. 

RASHEEDA	Nobody understands. 

K. MICHELLE	So I am caught in the middle. You know working with knew people. I still have to fight down the stereotype that K. Michelle is outright crazy. 

K. MICHELLE	My last couple of years on that label I was crazy as BLEEP. I got beat up. Nobody’s going to help me? Nobody helped me. I eventually got out and I am here where I am now. And I am grateful to still be in the business.

K. MICHELLE	I’m back, you know new place. Just want a fresh start from the situation. You know? 

MOMMA DEE	Whoa me. Wow, wassup girl? 

MOMMA DEE	I fixed my place up, it’s looking good. And so I called Erica to have a chat with her about how Scrappy feels about her, how she feels about my son and where this is really going. 

MOMMA DEE	I called you over here because Scrappy is used to the love, overbearing mother.

ERICA	I know. 

MOMMA DEE	Nothing against you, but he’s saying he’s missing that in the relationship.  How come you as a woman, ah, black woman, uh, now if you want him I suggest you show him a little more love, a little more comfort because that’s what he’s expecting. 

ERICA	I do show him love. What do you call taking him back after Diamond kicked him to the curb. Momma Dee is so into sheltering Scrappy that she can’t see me showing him love. 

ERICA	You step out of line as a momma. 

MOMMA DEE	You don’t know nothing about that. 

ERICA	What you mean I don’t know nothing about that?

MOMMA DEE	Because in your past your momma didn’t raise you. You were raised by an aunt.

ERICA	So, so what that was still my momma. What that got to do with anything?

MOMMA DEE	Because you don’t know. You don’t know about BLEEP realization about a mother and a child. 

ERICA	You making no sense. Yes I do. I still had a mother figure. You don’t know her. 

MOMMA DEE	But she put drugs in front of you. I would never do that.

ERICA	My momma didn’t do none of that. You don’t know nothing about what I’ve been through. I’m promise you don’t.

MOMMA DEE	See that’s what I was saying about your momma. No lie. 

ERICA	You need to reflect on yourself.

ERICA	I guess she forgets where she comes from. She was a pimp. I’m in a relationship with Scrappy. That means me and scrappy so Momma Dee needs to mind her own business.

ERICA	You want him to be like you? You’re forty-eight and you’re alone. 

MOMMA DEE	Mm hmm. No I don’t want him alone. 

ERICA	So you want to see both your kids happy? Regardless of who they’re with? 

MOMMA DEE	Yes, but I got to tell you the exception to the rule. 

ERICA	(LAUGHS)

MOMMA DEE	Oh my god. I’m having a visual. When he broke up with Diamond. Do you know the mother BLEEP let the bitch back in after Soulja Boy? For a month. Talking about, “If I’m happy mama… you should be happy.” I couldn’t. 

ERICA	But you, but you just said. 

MOMMA DEE	I couldn’t, I went against it. The queen went against it. I’m on the throne and I’m not giving up my seat until I know that it can be done right. 

ERICA	Momma Dee can be crazy when it comes to her son. It makes things difficult for me, but it’s hard not to feel sorry for her sometimes. 
ERICA	You took your medicine today?

MOMMA DEE	No, I haven’t had it in five days. 

ERICA	Okay, alright. (CLAPS)

MOMMA DEE	But I do know this whatever is going on with you and Scrappy, try to fix it. 

MIMI	I called Stevie to discuss if he intended to share this home with Eva and I as a family. I’m not interested in living out in the sticks with me and my daughter while he’s in the city living it up. 

MIMI	I don’t care if we’re in a two bedroom, if we’re in a studio apartment as long as we’re together. That’s what matters to me. If you wanted to spend time with us and come home every night you would have gotten us a place closer in the city because that’s where you are. 

STEVIE J	I respect that. Let’s say I come home as soon as I am done working. 

MIMI	What does that mean?

STEVIE J	Sometimes days require more hours. I’m just getting back to loving music again.

MIMI	Okay.  

STEVIE J	So yes I’ll come home when I am finished working. 

MIMI	How about you set up a studio in the house? 

STEVIE J	I know you was going to go there. 

MIMI	How about that?

STEVIE J	But look it’s like this. 

MIMI	(LAUGHS)

STEVIE J	It’s different from being creative in the house then outside in the studio. Where I’m…

MIMI	What’s the difference? 

STEVIE J	It’s just a different, it’s just a different vibe. 

MIMI	So what are you saying? 

STEVIE J	I’m saying that I can come home a little bit more.

MIMI	A little bit..

STEVIE J	I come home more, I come home more often. It’ll be our home. 

MIMI	And home is what? 

STEVIE J	Where the heart is. (LAUGHS)

MIMI	(LAUGHS)

MIMI	It’s hard to stay mad at Stevie. He has this ability to always make me smile and laugh. Sometimes I wish I didn’t love him so damn much. It’d be a whole hell of a lot easier. 

STEVIE J	Making love all night until the sun come up. Let’s get to that. 

MIMI	Well you got to come home for that. 

STEVIE J	Breakfastes? 

MIMI	Yeah.

STEVIE J	Veggie sausage? 

MIMI	BLEEP. (LAUGHS)

STEVIE J	(LAUGHS)

KARLIE	So you guys are?

JOSELINE	Oh, he’s my manager. 

ANTONIO	You’re MANager? 

KARLIE/ANTONIO/JOSELINE	(LAUGH)

KARLIE	Joseline is a real chick. She ride or die for her man. Her man is Stevie J. 

ARIANE	I’m sorry no it’s not. 

MIMI	Excuse me. 

ARIANE	That’s her man. 

MIMI	If you walk the BLEEP out of here and get in that car with that bitch and go to the studio, you showing me what the BLEEP you’re doing. 

JOSELINE	Stevie had a meeting with an industry friend so he asked me to tag along. And I’m like of course because I just love spending time with Stevie. He’s just so sexy.

STEVIE	My brother. How you doing? 

ANTONIO	My brother. What’s the word bro. 

JOSELINE	Hi. 

KARLIE	Hi. How are you? 

JOSELINE	How you doing?

KARLIE	I give hugs. 

JOSELINE	Oh, you’re so beautiful. 

KARLIE	I’m Karlie Red and I sing and rap. I’m originally from Trinidad and my boyfriend is Antonio Reid. 

ANTONIO	That’s Karlie man. 

KARLIE	He’s the son of legendary record executive L.A. Reid. He was able to get me a meeting with Stevie J who I’ve been wanting to work with for a very long time. 

KARLIE	I need that hit. 

STEVIE J	So your sound is like you’re going for the Triny sound? Or you, what are you going for? 

KARLIE	No, I’m going for that swag, R&B swag because that’s like my whole style. 

STEVIE J	Okay. 

KARLIE	I can do a whole Jamaican rap for you. 

STEVIE J	Definitely have to mix that.

KARLIE	Yeah, oh yeah.
STEVIE J	International around…

KARLIE	Absolutely. Me I have a man asking who that? When the sun come upon the blue rocks. Some freaky, freaky won’t you tell me how many are true that. Karlie not going to make the same point, screw that. 

STEVIE J	Mmm.

JOSELINE	Oh, she’s hot.

KARLIE	(LAUGHS)

JOSELINE	You definitely got to get to work with her because she’s hot, baby.

ANTONIO	She is a ball of energy and the music is that. 

STEVIE J	Coming from you in general, you know what I’m saying I know it’s serious, so you know. 

ANTONIO	You know the bar is high. 

STEVIE J	Yeah, I’m stepping to the plate and I am going to give you exactly what you need. 

ANTONIO	My man. 

STEVIE J	You know what I am saying?

JOSELINE	He’s the best. 

STEVIE J	Thank you, baby. 

KARLIE	(GIGGLES)

KARLIE	Stevie J introduced Joseline as his artist. She was all over him. I mean whatever they got going on that’s between them two. All I know is I’m trying to get into the studio with Stevie J. 

JOSELINE	He loves to wok with beautiful women too, so he’ll definitely pull in extra hard work. 

KARLIE	As long as you let him put in that hard work for me I’m good. 

JOSELINE	Baby I’m not, ugh. Baby I’ll be right there with him. Don’t you worry about it. 

ANTONIO	(CHUCKLES)

JOSELINE	So be ready.

KARLIE	And I’ll be right there with you. 

ANTONIO	Wow I like how that sounds. (LAUGHS)

STEVIE J	I like how that sounds too.

KARLIE	Wait, wait, wait, wait, wait. (LAUGHS) Wait, wait. 

STEVIE J	As long as we’re right there. 

JOSELINE	We’ll make this a foursome. 

STEVIE J	Okay.

KARLIE	Okay, okay, wait, wait, wait so you guys are? 

JOSELINE	Oh, he’s my manager. 

ANTONIO	You’re MANager?

KARLIE	(GIGGLES) Yeah. (GIGGLES)

ANTONIO/KARLIE	(LAUGH)

STEVIE J	I handle things.

KARLIE	It’s pretty obvious how he handles Joseline. But, I’m wondering what does he have in mind for me? Is it work or pleasure?

KARLIE	Stevie I will sleep in the studio as much as you need me to.

JOSELINE	We got to get us a treadmill so we can go running. Because we got to keep this body together so…


KARLIE	(LAUGHS) Oh yeah, yeah definitely we got to get this like…

ANTONIO	Oh ya’ll showing off, ya’ll showing off.

KARLIE	(GIGGLES)

ANTONIO	For real, I’m not mad. (CLAPS)

JOSELINE	How you think this would look together? To do a song together? 

KARLIE	Oh my god.

ANTONIO	That was actually my next topic of conversation. Just figuring out how to put ya’ll in a record together. 

JOSELINE	I’m ready to do that. 

STEVIE J	Absolutely, absolutely. 

JOSELINE	Yeah. What do you think baby?

STEVIE J	I think that’s an excellent idea. 

KARLIE	(LAUGHS)

ANTONIO	To success and money. 

STEVIE J	Let’s do it. 

JOSELINE	Get that check. 

STEVIE J	Cha-ching. 

ANTONIO	Nobody’s mad about that. 

JOSELINE	Daddy I’m going to turn around and look at you. Because you know if I toast and look at you in your eyes, seven years of bad sex. 

KARLIE	And why you not looking at me in my eyes?

ANTONIO	I haven’t touched your glass yet?

STEVIE J	I wouldn’t want that.

JOSELINE	I wouldn’t want that either. 

STEVIE J	My beef game is crazy.

KARLIE	(LAUGHS)

JENNY BAPST	“Party Life” Feeling like a super hero. Hero. Stepping in with my cape and my heels on. My heels on. DJ turn me up.Turn me up. I’ll save the club. Save the club. There’s one life to live and I’m going to live it up.  

K. MICHELLE	Tonight is my birthday party and I invited all my girls so we can dance off beat and get us some men and we’re just going to have a good time. 

KARLIE	Okay, first of all I’m digging this outfit. 

KARLIE/K. MICHELLE	(LAUGH)

KARLIE	Show me the shoes.

K. MICHELLE	Girl you know…

KARLIE	Wait, wait show me the mother BLEEP shoes. Wait bitch get the BLEEP…

K. MICHELLE	Girl you said take my foot to work. 

ARIANE	Happy birthday. 

K. MICHELLE	Hi. 

ARIANE	How are you?

K. MICHELLE	You look beautiful. 

ARIANE	You look amazing.
KARLIE	Oh BLEEP. Oh BLEEP. 

MIMI	How are you?

KARLIE	Mimi? Get the BLEEP, BLEEP what you doing here? 

K. MICHELLE	Hey Mi.

KARLIE	For real? For real? Bitch. 

K. MICHELLE	I had no idea the Mimi knew K. Michelle. We was tight back in the day when we both lived in LA. We lost touch, but that’s my girl. 

BACKGROUND	(CHEERING)

KARLIE	Can you dance? Can I touch?

MALE	You could?

BACKGROUND	Oh, oh.

BACKGROUND	Ay, ay.

K. MICHELLE	Hey, hey, hey, hey, hey. These things not lit. 
JENNY BAPST	“Party Life” Feeling like a super hero. Hero. Stepping in with my cape and my heels on. My heels on. DJ turn me up.

KARLIE	Oh my god. Oh…

K. MICHELLE	Thank ya’ll. 

MALE	Happy birthday.

BACKGROUND	(CHEERING/CLAPPING)

K. MICHELLE	Thank you. 

KARLIE	Happy birthday. Toast to K. Michelle. Happy birthday, right?

K. MICHELLE	Thank ya’ll for coming. 

KARLIE	And you got to look each other in the eye because it’s seven years of bad sex. Oh yeah, you didn’t know that? 

ARIANE	Bad sex?

KARLIE	I’m just trying to pass along the good word that Joseline taught me yesterday. I mean I know she’s crazy, but I am not trying to take no chances. 

KARLIE	Joseline is a real chick. 

ARIANE	Did you say Joseline?

KARLIE	Yes I said Joseline. She ride or die for her man. Her man is Stevie J. 

ARIANE	I’m sorry no she’s not. 

MIMI	Excuse me. 

ARIANE	No it’s not.

MIMI	That would be my man. 

ARIANE	No it’s not, that’s her man. 

KARLIE	Mimi?

ARIANE	So who told you that?

KARLIE	Stevie J is her man. 

ARIANE	Her manager.

MIMI	Manager. 

KARLIE	Man.

ARIANE	Manager.

MIMI	-Ager. 

KARLIE	Them two together is like some unseperable BLEEP 

MIMI	She was there too?

KARLIE	Oh yeah. 

