CHARLIE SAYS	Many people I know in Los Angeles believe that  the Sixties ended abruptly on August 9, 1969. Joan Didion, THE WHITE 
VIRGINIA	Row indefinitely. 

VIRGINIA	Just the three of them, stuck in those cells 23 hours a day. 

VIRGINIA	I can't let them rot in there. 

VIRGINIA	Good morning, ladies. 

PAT/LESLIE/SUSAN	Hi…

PAT/LESLIE/SUSAN	Miss Carlson! Hello, Miss Carlson! 

VIRGINIA	I'd like you to meet KARLENE Faith.

SUSAN	Hi, Karlene. 

LESLIE	Nice to meet you, Karlene. 

KARLENE	Nice to meet you all. 

VIRGINIA	KARLENEis a…

VIRGINIA	graduate student at UC Santa Cruz, and she teaches some of the inmates here. 

VIRGINIA	Now that you're gonna be staying with us, I think it's a good time to talk about taking some classes with her. 

PAT	So…

PAT	that means we are staying in the SSU for good then?

VIRGINIA	Let’s not get ahead of ourselves. 

KARLENE	We're offering…

KARLENE	college courses to residents here. You’d be free to study just about anything you want literature, philosophy, journalism.

SUSAN	Are we gonna learn...

SUSAN	about shit like women’s lib?

VIRGINIA	Language...

VIRGINIA	please, Susan.

KARLENE	We don’t have to study women’s lib, no, although I do teach a Women’s Studies course here in CIW. 

LESLIE	Women's…

LESLIE	studies! Far out! 

VIRGINIA	I'll leave you ladies to it. 

SUSAN/PAT/LESLIE	Thank you, Miss Carlson. 

PAT	Bye, Miss Carlson. 

LESLIE	Bye, Miss Carlson. Oh, thank you, Jimmy.

PAT	Thanks, Jimmy. 

SUSAN	Thank you, Jimmy. 

PAT	Karlene, do you want some grape Tang? Pretty please, Jimmy, can we have some grape Tang for our guest?Jimmy. 

LESLIE	JIMMYalways…

LESLIE	takes care of us. And you should hear him...

LESLIE	sing! 

JIMMY	(singing) I'll never smile 

LESLIE	Our favorite guard…

LESLIE	should’ve been a famous crooner!

JIMMY	(singing) Until I smile at you

SUSAN	Ooh! 

KARLENE	Thank you. 

KARLENE	You’re Susan, right?

SUSAN	I’m Sadie. Susan is dead. 

CHARLIE	named me Sadie.

KARLENE	Where are you from?

SUSAN	From the now. I'm from everywhere.

LESLIE	Hello. 

LESLIE	I’m Lulu. 

LESLIE	On the list they gave you I’m sure it says... 

LESLIE	LESLIE	, but I’m Lulu. 

PAT	And I’m Katie. I guess I think I would be interested in studying the women of the Pioneer. 

LESLIE	That’s what we were doing with Charlie.

LESLIE	Learning how to live off the land and be self sufficient.

PAT	Earth mothers.

CHARLIE	(singing) Your home is where you can be what you are If you are with me 

CHARLIE	And I will 

CHARLIE	show you (INAUDIBLE)

SQUEAKY	Hey, Gypsy. Who’s this?

LESLIE	I’m LESLIE.

SANDRA	Welcome to the Ranch. Welcome to our…

SANDRA	Family. Come and meet Charlie!

SQUEAKY	What an absolutely perfect day for you…

SQUEAKY	 to come see us. CHARLIEsays it’s not a day for working. 

SQUEAKY	So we are just being today.

CHARLIE	(singing) Now they'll all 

CHARLIE	(singing) show you their castle(gibberish) and I want a little smoke smoke smoke smoke now Mm…well, Jesus, I guess I'm your best friend. Play something for me little

CHARLIE	Paulie. 

PAUL	I got a blank, Charlie!

CHARLIE	Well, well, well, well, well. 

CHARLIE	Looky, looky here. 

CHARLIE	Well, hey there, Brother Bobby? 

CHARLIE	What do we have here? 

BOBBY	Gypsy said…

BOBBY	LESLIE would be happy with you. 

CHARLIE	Gypsy, Gypsy, Gypsy my baby…

CHARLIE	Gypsy. You brought someone just like...

CHARLIE	I asked. Now that's a good soldier. 

CHARLIE	Be my mirror. 

CHARLIE	My name's Charlie. 

CHARLIE	(laughter) Where did you find her? 

BOBBY	She was hanging around my harem for a while. 

BOBBY	But it was turning into a bad scene with my old lady. 

CHARLIE	Beautiful Brother Bobby. He really knows how to make…

CHARLIE	love to the girls. That’s what they all tell me.Sadie's made love to Bobby, right? 

SUSAN	Yeah, we've all made love to him at this point, huh?  

CHARLIE	I can't…

CHARLIE	take another man’s woman. 

BOBBY	She’s not mine, Charlie. 

LESLIE	Gypsy told me all about you and the family. 

CHARLIE	I can't take her. 

PAT	Charlie. I think we should let her stay. 

PAT	She digs us, and she's hungry. 

PAT	She’s a seeker. 

CHARLIE	Where are your parents?

LESLIE	It doesn’t matter to me. I am on my own journey.

CHARLIE	Well…

CHARLIE	what do you have for us? Do you have a car?

LESLIE	No. 

CHARLIE	Well, then we'll get you one. 

CHARLIE	We'll get you a car. 

CHARLIE	We'll find you a car. 

CHARLIE	You know why because old ego is a too much thing. Old ego is a too much thing. He'll make you fool yourself. You'll think you're somebody else. You'll ride that whole subway train. 

CHARLIE	You like her...

CHARLIE	you teach her, Katie. 

CHARLIE	You keep an eye on her, and you see if she belongs with us. And you...

CHARLIE	Katie is my everything. Katie is me. You pay attention to what she does. If you are even half as good as her…

CHARLIE	then you can stay. 

PAT	When I first met Charlie, I just knew. I hopped on a bus, and I never looked back. 

PAT	Charlie's like a...beacon of light or something. I mean look at you, you're here. 

PAT	Hey, Tex. 

TEX	How you doing? 

PAT	Tex hasn’t reached awareness yet. He's still working on letting go of his ego. CHARLIE says...

PAT	to let go of your ego and be like a…finger on a hand. Come on. I want you to meet George. George Spahn. It's his ranch. 

PAT	Hello? 

PAT	Squeaky is so kind to him. She’s a generous soul.

LESLIE	I’ll say.

PAT	It’s beautiful here. We don’t get hung up about sex, you get it? We just be. We let things happen. We let go. I think you're gonna love it. 

CHARLIE	Hurry up now. You guys come on. 

PAT	Dennis! 

DENNIS	Hey, girl. 

DENNIS	And who is this pretty thing?

LESLIE	I’m LESLIE	.

DENNIS	Welcome. I’m not in this family, but…

DENNIS	I dig this family. Hi.

LESLIE	Beach Boys Dennis? That’s really DENNISWilson?

PAT	He's just DENNISto us!

PAUL	Time for communion.

PAT	You’ve turned on before, right?

LESLIE	Millions of times. Just uh, wasn’t expecting it

LESLIE	right now. 

CHARLIE	I spent…

CHARLIE	my life in jail for you. So that you could ride your bicycles. Have your birthday parties. I never had a life. 

CHARLIE	I don’t even know what life is. But you all had...a life. Your parents told you what to do and you did it. And for payment you got what? You got little cookie cutter minds. 

CHARLIE	Look what happened to Sandy. 

CHARLIE	Spoiled Sandy. 

CHARLIE	Spoiled Sandy had to come to her new Daddy to find something real.

CHARLIE	Take off your clothes...

CHARLIE	for us Sandy.

CHARLIE	Do it.

CHARLIE	Help her. Come on. Can't you see she needs help? 

CHARLIE	Tex. 

CHARLIE	Get up here. 

CHARLIE	Go on. 

CHARLIE	Now you look at how…

CHARLIE	parents abuse their children. If they loved her, why did they allow doctors to cut up her body like this? 

CHARLIE	And then they felt bad and then they spoiled her. 

CHARLIE	And now Sandy can’t let go of her ego. It’s not your fault, it’s your parents’ fault. 

CHARLIE	Say that to me. 

SANDY	It's my parents' fault. 

CHARLIE	It's not your fault. 

SANDY	It's not my fault. 

CHARLIE	Now turn around. It's not...

CHARLIE	your fault. 

SANDY	It's not my fault. 

CHARLIE	It's your parents' fault. 

SANDY	It's my…parents' fault. 

CHARLIE	Now come and tell her that she looks beautiful. 

GIRL	You look beautiful, Sandy. 

SQUEAKY	Perfect.

SUSAN	You look beautiful. 

GIRLS ALL TALKING AT ONCE	You look beautiful. So beautiful.

SINGER	Now more than you do Can you go and get everything that you 

SINGER	Ah ah 

CHARLIE	You are beautiful, Sandy. 

LESLIE	So he led Katie away, and I asked Squeaky if Katie was Charlie’s old lady. And Squeaky told me “Nobody belongs to anybody here."

LESLIE	Except Charlie.

LESLIE	We all belong to Charlie.” 

LESLIE	I thought that was pretty far out. 

LESLIE	Then she says “If you’re lucky he’ll pick you next." 

LESLIE	Every girl should have a Daddy like Charlie.”

KARLENE	Something for you to take a look at…

KARLENE	for next week

LESLIE	The Bible is the only book Charlie…

LESLIE	let us have around.

PAT	CHARLIEsays that authors are evil.

PAT	Trying to play mind tricks on the readers.

KARLENE	So do you feel like you would be doing something bad…

KARLENE	by studying with me? Because if...

KARLENE	you are going to do these classes with me, you’re going to have to read books. 

KARLENE	I’m also going to leave…

KARLENE	a copy of this. Have any of you read it?

KARLENE	This book changed my life. 

PAT	It looks like it could be interesting.

KARLENE	Can you believe Charles Manson wouldn't let them read? 

KARLENE	It's been 3 years since they had…

KARLENE	any contact with him. But all they do is talk about him  and spout his...

KARLENE	bullshit. 

KARLENE	I want you to come talk to them. You should do your poetry workshop. 

VICKI	No way. 

VICKI	There are...

VICKI	real victims in this prison. They're the ones I want to help. 

KARLENE	Maybe these women are victims too. 

GLORIA	Would you be saying that if it was your sister? 

GLORIA	Your pregnant sister who got stabbed 20 times. 

JIMMY	It's LESLIE's shower time, so it's your time in the yard, Pat. 

JIMMY	And Susan…

JIMMY	I guess it’s just gonna be you and me for a bit.

SUSAN	Perfect...

SUSAN	opportunity for a hand job.

SUSAN	Just teasing, Jimmy. I know...

SUSAN	you love your Alice!

JIMMY	Oh, there you go. Wow. 

JIMMY	The tomatoes are looking great.

PAT	We’ll give you some when they are ripe!

CHARLIE	(singing) Time keeps on flying You think you're lovin' baby But all you do is try

CHARLIE	(singing) Can you feel 

CHARLIE	(singing) And your feeling's real 
CHARLIE	(singing) Inaudible) 

PAT	Good morning. 

PAT	Charlie's sending us on a garbage run to LA today. You're coming with me. He says you can split at the end of the day and go on your way if you want to.

LESLIE	But I don’t want to go. CHARLIEis the most beautiful person I have ever met. Does he want me to leave?

PAT	No. 

PAT	I don’t know. Don’t go through a big change about it, okay just…

PAT	get up and let's go. Come on. 

PAT	Come on. Wake up sleepy heads.

MAN	Welcome…to Spahn Ranch, ladies and gentlemen. 500 acres of gorgeous land with horses and remains the famous…

MAN	movie set. Now who here likes country western? Well, guess what, Bonanza…

MAN	the Lone Ranger... 

SQUEAKY	How do you like our bus?

LESLIE	It's far out. 

PAT	It’s a joke on all the straights we pass on the road.  They think we’re a movie crew!

CHARLIE	Listen up, girls, I have a new rule. No women will ever carry money. Not even pennies, you dig? That’s why I’m sending 

PAUL	with you. You give your panhandling money to him. 

CHARLIE	You - you still here? Alright…

CHARLIE	good. You gonna give your money to Paul.Come on. 

CHARLIE	Atta girl. 

CHARLIE	Don't stay out to late now…

CHARLIE	kids. 

CHARLIE	Bye. 

GIRLS	(singing) Garbage dump oh

GIRLS	(singing) garbage dump Why are they called a garbage dump 

GIRLS	(singing) Oh garbage dump Oh garbage 

GIRLS	(singing) dump oh 

GIRLS	(singing) garbage dump 

GIRLS	(singing) That sums it up in 

GIRLS	(singing) one big lump 

LESLIE	Look! They're not even opened!

MARY	Oh no no - we…

MARY	don’t eat dead animals. 

MARY	CHARLIEsays it’s like eating fear.

CLERK	Hey, man. You guys can't…

CLERK	be in there!

SQUEAKY	Don’t be uptight, friend.

SQUEAKY	We're not hurting anyone. 

CLERK	Okay. 

CLERK	But my manager won’t

SANDY	(imitating him) But my…

SANDY	manager won't. 

PAT	Awww, be nice to the square. He doesn’t know any better.

SQUEAKY	Come…

SQUEAKY	join us! You’re kinda cute. 

SQUEAKY	Maybe you could just quit your 

SQUEAKY	job and run away with us 

CLERK	I'm serious. 

CLERK	You guys can't be in there.

EVERYONE	Oh garbage dump oh garbage dump

EVERYONE	Why are you called a garbage dump Oh garbage dump oh garbage dump

MARY	Oh, no. 

SUSAN	Men first. 

TEX	Thank you. 

TEX	Mother Mary. 

MARY	Now we can eat.

CHARLIE	Does anybody know what time it is?

LESLIE	No. 

CHARLIE	I'm just messing with you. 

CHARLIE	You know what time it is, it's...

CHARLIE	now. Look, there's a reason I asked you to give up your watches and your clocks and...

CHARLIE	your calendars. I know that was difficult, but where did it get us? 

CHARLIE	You, do you feel more free? 

PAT	Yes, Charlie. 

CHARLIE	Why is that, Katie? 

PAT	I'm living in the now. 

CHARLIE	Mm-hmm. 

PAT	I don't need a soulless gadget to tell me how to live. I don't want to be like the plastic people. 

CHARLIE	That's what our parents and our schools taught us. Live by these numbers. Play by these rules. That time is over. I'm here to make the new rules, and the new rules are no rules. 

WOMAN	Oh, yeah. 

CHARLIE	I think it's time for us to give you a name. 

CHARLIE	Now what is it those uh, those people named you, the ones you occupied a house with and call a family? 

LESLIE	LESLIE	.

CHARLIE	No…

CHARLIE	I don't want to know. (beat) You're gonna be Lulu. 

CHARLIE	Welcome, Lulu. Welcome. 

CHARLIE	Yeah, what do we think of that, guys? Lulu. 

GROUP	Yeah! There we go. 

GIRLS	Lulu!! Hi, Lulu! 

WOMAN	That's far out! 

TEX	Hi, little Lulu. 

SQUEAKY	Hi, Lulu! 

CHARLIE	See, what we're trying to do here is…

CHARLIE	we're trying to break down inhibitions. We're trying to live in our bodies. 

CHARLIE	Touch each other. Touch yourselves. 

CHARLIE	It is not a foreign country. 

CHARLIE	Your body's like a plant. If you don't give it love...
CHARLIE	it will die. 

CHARLIE	A little birdie...

CHARLIE	told me Tex here doesn't know how to give head. 

CHARLIE	To me, man, that's…that's a crime. 

TEX	Come on, Charlie. 

CHARLIE	Don't get uptight, man. I want my family to know each other in every way. We got no secrets. We got no shame. It's not your fault...

CHARLIE	that no one taught you. 

CHARLIE	You heard of Freud? 

TEX	Yeah. 

CHARLIE	Well, looky...

CHARLIE	here, man. 

CHARLIE	Dude was always talking about 

CHARLIE	oral fixations. I mean, we all got 'em.  

CHARLIE	Cat was right. You need to suck...

CHARLIE	on something. That's why you got a mouth. That's why women got titties. 

CHARLIE	You see kids? They're always sucking on their thumbs or their fingers. 

CHARLIE	Or they're chewing on suckers or jawbreakers. 

CHARLIE	And people are always sticking pickles or smokes and zuzus in their face, you dig? Point is, Tex...

CHARLIE	if you're gonna suck on something...

CHARLIE	you better be fucking good at it, man. 

CHARLIE	Gypsy, you get your fine ass up here now. Come on now. 

CHARLIE	Don't get uptight, man. Come on. We got no secrets.We got...

CHARLIE	no shame. 

CHARLIE	Now look. 

CHARLIE	Oh, alright. I see you. 

CHARLIE	See this guy? This is the guy who needs attention. 

CHARLIE	Here. Mm-hmm. 

CHARLIE	But you gotta be slow. 

CHARLIE	Come on now. 

CHARLIE	Give it to her. 

SQUEAKY	It's okay. 

CHARLIE	Don't get uptight about Sandy, man.  She's having an ego death. What...

CHARLIE	trying to do here, man, is submit. Let go. Get rid of materialistic culture of hangups. You dig? We're all about love here. Except sometimes, there has to be some death itself. 

CHARLIE	Changes, tears.  

CHARLIE	Weird trips. That's how it is. 

CHARLIE	That's how it's always been. 

CHARLIE	That's cool. You're not into it. That's okay. You don't have to do anything you don't want to do here. That's notthat's not what we're about. Let's just go back. 

LESLIE	No.

LESLIE	I-I want to…stay here with you...

LESLIE	right now. 

CHARLIE	What is it you don't like about your body? Come on…

CHARLIE	now, you hate something. All women do. What is it, tits too small? Huh? Ass too big? 

CHARLIE	What is it for Lulu? No, don't you hide for me. Tell me what it is that you hate. 

LESLIE	My thighs, I guess? Too fat.

CHARLIE	No. You are perfect. You say it to me. You say I am perfect. 

LESLIE	I am perfect.

CHARLIE	I am perfect. 

LESLIE	I am perfect. 

CHARLIE	I am perfect. 

LESLIE	I am perfect. 

CHARLIE	Little girl listen to me, If you want to break free...

CHARLIE	of the bad experiences and inhibitions that are crushing you, you have to imagine that you are making love to your daddy, OK? That’s what all girls want and can never have. 

KARLENE	Ladies…

KARLENE	we have our own special cell…

KARLENE	for school now. I'm not sure what you all did...

KARLENE	to make Miss Carlson like you so much, but she…

KARLENE	but she gave the okay.

KARLENE	Thanks, Jimmy.

LESLIE	It's been a long time.

JIMMY	Ah, sorry, ladies. I'm gonna have to break that up. It's not really allowed. 

PAT	Okay. 

KARLENE	Ta-da. 

LESLIE	Lovely. 

KARLENE	Yeah. Okay. 

KARLENE	Okay. 

KARLENE	Let's talk about...

KARLENE	this one. 

KARLENE	Did you all read it? 

LESLIE	It was…

LESLIE	horrible. 

PAT	It was very depressing. I feel really bad for the women in those situations. 

KARLENE	A lot of women right here in this prison...

KARLENE	are survivors of domestic violence. They defended themselves...

KARLENE	and this is where it landed them. 

LESLIE	That is so sad. That makes me really sad. Are you friends with them? 

LESLIE	Do you help them? 

KARLENE	Yes. And yes. I’m working with a woman now who's trying not to let her daughter be put into foster care. She killed her abusive husband. She went to prison, and now her kid has no parents. 

PAT	What's her name? 

SUSAN	How long is…

SUSAN	she in for? 

LESLIE	How old…

LESLIE	is her kid? 

KARLENE	I'm not really allowed to give details like that. 

LESLIE	Well…

LESLIE	what about you? Do you have kids? 

KARLENE	Yes. I have four kids.

LESLIE	And what does your husband do? 

KARLENE	As much as I'd love to...

KARLENE	talk about me, I am here to teach you, and I am not a subject that merits a college class. 

LESLIE	I feel so lucky. 

LESLIE	We'll have to decorate. Make things for it. 

SUSAN	It's like being home again. 

PAT	Yeah. 

PAT	The Family B.C.

KARLENE	B.C? 

PAT	Before the crimes. When everything was about love.

SUSAN	Yeah. Like when Mary.

SUSAN	gave birth to PoohBear.

LESLIE	And we all witnessed the miracle.

SQUEAKY	You got it, Mary. Come on.

PAT	Come on, Mary.

SQUEAKY	Yeah. You got it mom. 

GIRLS	1, 2, 3…push! 

CHARLIE	Charlie's here. It's alright, baby. It's alright. It's alright. Nice and easy.

CHARLIE	Paul, why don't you play some music?

CHARLIE	We want this motherfucker to come out dancing, right?

CHARLIE	You just push then take it easy.

CHARLIE	Go with the motion, Mary.

CHARLIE	Go with the motion, Mary.

CHARLIE	Somebody get me a razor.

CHARLIE	blade and sterilize it for me please? 

CHARLIE	Come on, darling. Come on, darling. 

CHARLIE	Nice and easy now. Nice and easy. Now alright. 

CHARLIE	You're gonna go with the motion. Alright. Okay, I'm gonna make a little cut now. 

MARY	Charlie!! 

LESLIE	Keep going! 

CHARLIE	1, 2…

SQUEAKY	1, 2…

SQUEAKY 	3! 

CHARLIE	Oh, no…

CHARLIE	There we go. That's it, come on, one more, one more time! 

CHARLIE	One more time! One more time! One more time now. 

CHARLIE	Here we go, here we go! Come on! Come on! Come on! 

CHARLIE	Come on now. You give me that squeeze! 

LESLIE	Push! 

CHARLIE	Come on! Come on! 

CHARLIE	Alright! 

CHARLIE	Here we go! 

CHARLIE	This is it, he's out! 

CHARLIE	This is it, he's out! 

CHARLIE	Woo yee haw!! 

CHARLIE	Alright, we got a baby! 

CHARLIE	We got a baby! 

CHARLIE	We got a baby! 

CHARLIE	Dig this, Mary! 

CHARLIE	Take this little one! 

CHARLIE	Alright now, alright! 

SUSAN	Yeah, you did so good momma. Yeah. 	

SQUEAKY	There you go. 

CHARLIE	Alright. 

LESLIE	And the fifth angel sat there. And I saw a star fall from heaven unto the earth. And to him was given the key of the bottomless pit. 

LESLIE	And he opened the bottomless pit

CHARLIE	Do you know about the bottomless pit? 

CHARLIE	We're gonna find itwell, I'm gonna find it, and we're gonna go live in it. 
CHARLIE	The question is your answer. 

CHARLIE	Keep reading. 

PAUL	That's Charlie. Charlie...

PAUL	hey listen, this is Kay. 

CHARLIE	Wow. 

CHARLIE	How do you do? 

CHARLIE	You make a man ashamed to show his pecker. That's why Eve did it. Look where that got us. Do I make you uncomfortable, little girl? 

KAY	(scoffs) No. You're just rude. 

CHARLIE	Is that what...

CHARLIE	daddy taught you, to be polite? 

KAY	No. No, my daddy taught me not to...

KAY	take shit from men like you. That's what he taught me. 

CHARLIE	Keep reading. 

PAUL	Charlie, I

CHARLIE	Go home to daddy...

CHARLIE	little girl, you don't belong here. Shoo. 

PAUL	Sorry, Charlie. 

LESLIE	And they came out of the...

LESLIE	slope locusts upon the earth. 

CHARLIE	Get her out of here so I don't have to...

CHARLIE	look at her piggie face. 

CHARLIE	You see that, Lulu. 

CHARLIE	Not every stupid hippie girl can waltz onto my land and get a free dinner. I need to see something in your eyes.

CHARLIE	Keep reading. 

LESLIE	And it came out of the smoke, locusts on the earth. 

CHARLIE	The Beatles. 

LESLIE	And unto them was given power.

CHARLIE	Me. 

LESLIE	The one that's given the earth has power. 
CHARLIE	Me. 

LESLIE	And it was commanded that they should not hurt the grass of the earth...

SQUEAKY	I have wings. And I can fly now. 

LESLIE	CHARLIEsays there's gonna be a revolution. And we're gonna wait it out in the bottomless pit. 

LESLIE	Like it says in Revelations. 

PAT	And that there will be...

PAT	babies that are homeless and they need saving from all the killings.

SUSAN	And that we’ll stay underground…

SUSAN	and make music, and make love until the violence is over.

PAT	And that when  it comes time for us to rise to the surface again, some of us will begin to feel budding wings on our backs.

KARLENE	Wings? 

PAT	Yes. 

PAT	Some of us want to become winged elves. 

PAT	Me and Sandy, Squeaky.

PAT	CHARLIEsays it would happen.

LESLIE	Karlene…

LESLIE	thinks we’re crazy.

KARLENE	No. 

KARLENE	I would never use that word. I’m just surprised to hear some of this stuff. 

KARLENE	You have to admit it’s pretty far out.

KARLENE	You must know that elves are mythical creatures, and therefore human beings can’t turn into elves, or sprout wings?

SUSAN	Well, hey, man, it’s no more far out than heaven and hell. 

PAT	Yeah. CHARLIEsays that

LESLIE	Yeah…

LESLIE	well, what do YOU think? 

LESLIE	Pat, do you…

LESLIE	still think it’s possible….

LESLIE	that you will become a winged elf?

PAT	Well I guess not now. 
PAT	Notnot when we're in here.

KARLENE	You won't become a winged elf…

KARLENE	whether you're in here or out in the world.

LESLIE	Karlene…

LESLIE	tell us about your kids. Pretty please? 

LESLIE	What are their names? How old are they? We spend too much time talking about us in here. 

KARLENE	They are 15, 14…

KARLENE	11 and 7. 

LESLIE	You have a 7 year old? 

LESLIE	He must miss you so much!

KARLENE	I see him...

KARLENE	every weekend. 

LESLIE	I…

LESLIE	didn’t mean it like that.

LESLIE	I took my family…

LESLIE	all around the world. To Germany, to France, to Ethiopia. 

LESLIE	We've been through a lot together and they are always surprising me. 

LESLIE	Mom, I have a new family now. 

LESLIE'S MOTHER	LESLIE	, what are you talking about? 

LESLIE'S MOTHER 	We're your parents. (crying)

LESLIE	Mom. 

LESLIE	Please stop crying. Listen to me. I need you to stop loving me. You're never going to see me again. 

CHARLIE	(singing) Your holy prayer

GYPSY	We were all way into our trips...

GYPSY	and hanging out inside the bus. When CHARLIE just decides, he has to go. He starts...

GYPSY	running down the road and we all start…

GYPSY	begging him to come back to us.“Charlie, Charlie! It was really scary. But…

GYPSY	we can all laugh about it now. 

LESLIE	Right at that moment, I was probably sitting in my...

LESLIE	secretarial school, freaking out but not even knowing it.

PAT	We don’t talk about our pasts. 

PAT	We don't have pasts. 

PAT	Our lives started when we met Charlie.

LESLIE	But...

LESLIE	CHARLIE talks about his time in prison

PAT	How dare you...

PAT	question Charlie? 

PAT	You need to talk less…

PAT	and listen more. 

GIRLS	Dennis!! 

GYPSY	Hi! 

LESLIE	Hi. 

GREG	Hey beautiful…

GREG	did you miss me? 

RUTH ANN	No, we’ve been busy lots going on here. CHARLIE wants

GREG	Oh, CHARLIE CHARLIE Charlie! Lets talk about…

GREG	what Greg wants.

CHARLIE	What does Greg want? 

CHARLIE	Stand up girls, lets give the…

CHARLIE	guys what they want.

DENNIS	You’re all beautiful…

DENNIS	but right now I just want to get high and play music.

CHARLIE	Come on then, the girls are always here. Let’s go play.

DENNIS	I came to tell you something…

DENNIS	Charlie. I talked the band into recording your song…

DENNIS	Cease to Exist- everyone likes it, man. 

CHARLIE	That's far out. 

DENNIS	I can't promise more than that though. We'll just see how it works out. 

CHARLIE	(singing) Pretty girl, Pretty pretty girl I'll cease to exist I'll be a rock star.  Alright, man. 

GYPSY	Hey, Charlie. This is...

GYPSY	Linda. 

CHARLIE	Hey, there. 

CHARLIE	Looky, looky here. 

CHARLIE	Where's that baby's daddy? 

LINDA	We split. He went sailing around the world or something. 

CHARLIE	Take that...

CHARLIE	to be with the other little kiddies here. 

CHARLIE	Tex tells me that you have a car?

CHARLIE	Alright. I think we can keep her. 

LESLIE	Let me…

LESLIE	show you around. 

LESLIE	Don't worry. Ruth Ann is great...

LESLIE	with the kids. And just think, if you're loyal to Charlie, she will always be taken care of. Here everything belongs to everyone. 

LESLIE	Gypsy tells me you had a far out session making it with Tex. 

LINDA	Yeah. 

LINDA	When we came my, my fists were clenched at my sides. My arms were paralyzed. 

LESLIE	That's your ego dying. 

LINDA	Is that bad? To have your ego dying? 

LESLIE	No. That's what Charlie's trying to help us do. Kill our egos. Be one consciousness. 

LESLIE'S MOTHER	Love you, sweetheart. 

GUARD	Come on. Let's go. 

PAT	What…happened? Is your mom okay? 

LESLIE	Oh, she's fine. (crying)

LESLIE	I just can't stand it. She might think I ended up in here...

LESLIE	because of something they did or the way that they raised me. 

PAT	No one has visited her. 

PAT	The whole three years. 

LESLIE	I told my mother to stop...

LESLIE	loving me. Because she would never see me again. She kept loving me anyway. 

