Voice Over	All units, all units, this is Sierra Whiskey 4.5 Stand by unless urgent. Any patrols able to assist with back up at Kenning Farm. Attempting to clear private property, experiencing resistance. Repeat, requesting back up at Kenning Farm. Over.
Kenning	Don’t I know you from somewhere?

PC Williams	Possibly, sir.

Caitlin	Er, Brad, if you could take PC Williams and Lawrence and do a reccy down here, make sure there’s no squatters or anything we need to deal with.

Brad	Just me and you. Great.

Ollie	Hey, whoa, whoa, whoa, whoa, whoa, whoa, you love me really, bro.

Brad	Bro, really, I don’t.

Caitlin	Ollie, if you, PC Gray and I take upstairs?

PC Gray	It looks clear so far.

Ollie	He must have had one massive porn collection.

Caitlin	(Sighs)

PC Gray	Sorry.

Caitlin	Sorry.

PC Gray	Yeah, I was just saying, looks like we’re good, right?

Caitlin	(Ragged breathing) I’m sure I saw something. (Footsteps)

Ollie	Everything OK?

Brad	Ol, how we doing up there?

Ollie	Yeah, yeah, we’re all clear. (Footsteps)

Rebecca	Hurry up, Ollie. (Footsteps)

Kenning	Come on, Dad, give me a sign. Investments, offshore savings, anything?

Brad	Do you miss your old man?

Kenning	(Sighs) I told ya, dad was a prick. He never let anyone come here. He said his work was too important.

Brad	Maybe helping the homeless really meant something to him.

Kenning	You didn’t know him. He didn’t care about anyone. He didn’t care when mum died, he kicked me out of the house when I was . I literally never saw him again. Prick.

Brad	Right. Erm, (clears throat). I’m done here. (Floorboards creaking)

Kenning	Come on dad, what was so fucking important?

Brad	Look, erm, Mr Kennings, my dad wasn’t a good one. He left when I was young and that forced me into the army as a teenager. It was the best thing that ever happened to me. (Deep breath) What I’m saying is, maybe we don’t need our dads, or maybe your dad loved you in his own special way.

Kenning	Loved me? He once beat me unconscious because I spoke before being spoken to.

Brad	Fine. So maybe your dad was a prick. Right, I’m done here. I’ll meet you downstairs.

Michael	Ooh, ah, us black guys hate the cold. (Sniffs) (Shivers) Next time that fucking Ollie is getting outdoor duties.

Jen	(Sighs) So we er we nearly done then?

Tony	Yeah. I can’t feel my fingers.

Michael	Er (sighs) Looks like we’ve got more entrance to mark.

Jen	(Sighs)

Michael	Tell you what, a tea break, yeah?

Jen	Ah, you read my mind. Nice one.

Jen	(Sighs) We’re still warm gu 

Jen	Guys? Look stop fucking about, this ain’t funny. It’s scary enough out here as it is. Oh, guys, look guys, I 

Jen	What the fuck? Shit.  

Caitlin	(Sighs) OK, guys, we’re set upstairs, how are we doing down here?

Brad	Yeah, I think we’re just about done.

PC Gray	Yep, we’re happy.

Ollie	Thank God, I’m sick of this place. It’s a shithole.

Rebecca	Great (sniffs). Where’s Kenning?

Caitlin	Mr Kenning? (Footsteps)

Caitlin	Are you ready?

Kenning	Just about. 

Jen	Michael. Tony.

Brad	What’s wrong?

Jen	I found Michael’s phone, but he’s just gone. He’s just gone. He’s just disappeared.

Brad	Vanished? Playing silly buggers more like.

Brad	(Banging on door) Michael? Michael?

PC Gray	Enough boys. You've really scared this girl.

Jen	Breathing heavily.

Caitlin	It’s not like Michael to do something like this.

Brad	Well then Ollie, you’re no longer my least favourite.

Ollie	Yeah, well even I admit this isn’t funny.

Brad	Ah enough of this. Ollie, help me get the boards off the window. 

Ollie	Ugh, ugh, (screams) (Oliver falls to floor)

Ollie	(Screaming)

Brad	Right, I need a light on here and a medi-pack now.

Ollie	(Grunting and groaning)

Caitlin	Just breathe, Ollie.

Ollie	(Moaning)

Caitlin	Deep breaths. Deep breaths.

Oliver	(Moaning) fuck.

Caitlin	Deep breaths, that’s it.

Ollie	(Moaning)

Caitlin	Deep breaths, Ollie.

Caitlin	It’s Michael.

Lawrence	Yeah, what the hell’s happened to Tony?

Ollie	The fucking man who killed Michael.

Brad	Shut up Ol, it’s obviously more than one person. Sit up, sit up.

PC Williams	This is Officer , do you copy?

PC Gray	 calling in. Nothing. Nothing.

Rebecca	We had signal before.

Caitlin	There’s something blocking us.

PC Williams	The body came from upstairs. Gray.

PC Gray	Yep.

PC Gray	Everyone else, just stay here.

Ollie	What the fuck are you doing? Stay ow, fuck it 

Brad	Come on you, up on your feet. Rebecca help me.

Rebecca	(Deep breathing)

Brad	Rebecca.

Caitlin	I’m going to see about getting some lights working here. Jen, Lawrence, grab a torch, I need you to help me, OK?

Caitlin	Come this way. 

PC Williams	This is the police. Put your weapons down and come out with your hands up.

Male	(Growling)

PC Williams	Stop.

Police. Male	(Growling)

PC Gray	Where did he go?

PC Williams	No idea.

Caitlin	Oh, found it. 

Jen	Oh I think I’ve got a signal

Caitlin	Guys?

Lawrence	(Coughing and groaning)

Caitlin	Are you OK?

Lawrence	The floor, it just went out from under us (heavy breathing). Jen doesn’t look too good.

Caitlin	I’m going to get down to you. (Footsteps)

Brad	What the fuck?

Caitlin	This house is falling apart. Jen and Lawrence are down there, I need to get down to them.

Brad	No way, there’s no guarantees we can get you back up.

Caitlin	Jen needs medical assistance.

PC Williams	We found someone upstairs.

Caitlin	I knew it.

PC Williams	But we lost them (heavy breathing).

PC Gray	There’s a hidden doorway.

Caitlin	Leading where?

PC Gray	We don’t know. All we could see was steps leading down to darkness. It’s probably our best chance of getting out of here.

Lawrence	It looks like we’re in a tunnel. I can see some light in the distance.

Caitlin	We need to split up.

Brad	Caitlin no, that’s crazy.

Caitlin	Potentially there’s two ways of getting out of here. This tunnel or their secret doorway. Let’s increase our chances of getting out of here and getting help by splitting.

PC Williams	She’s right.

Caitlin	We’ll divide by skillset. PC Gray come with me,

PC Williams	stay with Brad.

Brad	I hope you’re right about this.

Caitlin	Trust me. 

PC Gray	(Moans)

Caitlin	(Sigh) Go and find the others. We need to get out of here.

Brad	Good luck.

Caitlin	(Grunt and sigh). How is she?

PC Gray	Not good. She’s barely breathing. There’s some reaction to stimulus, but she’s mostly out of it.

Caitlin	Looks like broken bones, possibly internal bleeding.

PC Gray	What can we do?

Caitlin	We have to leave her.

PC Gray	Alone?

Lawrence	I’ll stay with her.

Caitlin	Are you sure? (Distant scream)

Lawrence	Yep, pretty sure I’m happy not finding out what that is.

Caitlin	Just don’t do anything to bring attention to you and Jen. Keep your torch off and stay quiet. Do you understand?

PC Gray	If she starts to show signs of consciousness, just talk to her. Try to keep her calm, but keep her awake.

Lawrence	OK.

Caitlin	Let’s keep her comfy.

PC Gray	Yeah.

Caitlin	Ready?

PC Gray	Yep.

Lawrence	I’ve got a signal. I’ve got a signal. I’ve got a signal.

Lawrence	My battery. What the but I had a signal.

Caitlin	It must be this spot.

PC Gray	No signal for me.

Lawrence	But I had a signal. I I I promise.

PC Gray	Where’s Jen’s phone?

PC Gray	Smashed. Probably in the fall.

Caitlin	Looks like mine’s the only one with any juice left. The reception’s not going to get any better down there. Here, just check it periodically for a signal. Don’t waste the battery by checking every five seconds and if you do get a signal just call , nothing else, do you understand?

Lawrence	Yeah.

Brad	What kind of a house has a secret staircase?

PC Williams	God.

Brad	(Sighs)

Ollie	A fucked up one.

Rebecca	Thanks for that, Ollie.

Ollie	What the fuck is that supposed to mean?

Brad	It means shut the fuck up Ollie.

Ollie	Fuck off.

PC Williams	It’s obviously illegal, whatever it is. Why else make it a secret?

Kenning	Sometimes pigs just need to keep their noses out of other people’s business.

Brad	It’s a tunnel.

Rebecca	I guess we have no choice but to keep going.

Brad	I guess.

Ollie	(Grunts)

Rebecca	What the fuck was that?

Brad	I don’t like the sound of that.

Rebecca	What do you think it was?

Ollie	What? Do you think that’s what killed Michael?

PC Williams	Maybe that young lad’s still alive down here.

Ollie	What Tony?

Brad	Ah, for his sake I hope not.

Kenning	What were you up to down here, dad? 

Caitlin	(Heavy breathing)

PC Gray	Are these bones?

Caitlin	Not just any bone. Human bone. 

PC Gray	Where are we?

Caitlin	Hell. 

Brad	Shit.

Ollie	Well come on steroids pick a tunnel. There’s literally two options.

Rebecca	Well which option would you take?

Ollie	Well (heaving breathing), that one. Or maybe that one? 

Rebecca	Oh.

Kenning	Let’s just split up.

Brad	Absolutely under no circumstances are we splitting up.

Kenning	What’s the matter? Are you scared?

Brad	No, Mr Kenning. It’s because we stand a better chance of survival if we stay as one unit.

Kenning	Well if you can’t decide which path we’re going to take, I think we need some proper fucking leadership.

Rebecca	(Laughs) You?

Kenning	What’s the matter? Don’t like a strong man?

PC Williams	Knock it off, Kenning.

Kenning	Well I say we take the right. Who’s with me?

Ollie	Left, definitely left. 

Rebecca	Suits me.

Brad	Yeah.

Kenning	Cowards. 

Ollie	Right, this thing is fucking useless. I’m taking it off

Kenning	Take that fucking jacket off. Giving us all away. You look like a fucking traffic cone.

Caitlin	Did you hear that?

PC Gray	Yeah.

PC Gray	What is it?

Caitlin	Go.

Caitlin	Where’d she come from?

Brad	Everybody be really careful. No loud noises, no sudden movements.

Brad	Let’s push on. 

Kenning	Take as long as you want, Pig. (Bang and whispering)

Rebecca	What was that?

Kenning	Williams.

Brad	Where is he?

Ollie	Where the fuck did he go?

Kenning	I don’t know. One minute he’s here, next he’s not.

Rebecca	OK there’s something very bad down there.

Ollie	Where the fuck are you seriously leaving us? 

Kenning	Some leader.

Rebecca	Oi, wouldn’t you want him to run after you if you were the one they took?

Kenning	I say we keep moving. We’re sitting ducks here.

Ollie	Oh shut up, Brad wouldn’t leave us.

Rebecca	(Clears throat) Erm, I think Richard’s right on this one.

Ollie	No, no, you were right before. Brad wouldn’t abandon us.

Kenning	Unless he’s dead. First the pig, then the idiotic hulk. Who’s next? We’re sitting round here, waiting to get took like them? I’m going.

Ollie	I’d rather follow and idiotic hulk than a spoilt prick.

Kenning	For fuck sake.

Ollie	Brad.

Rebecca	Did you find Williams?

Brad	No. But I did find something else. 

Caitlin	She must have been down here for weeks, months even.

PC Gray	Yeah well, she looks very healthy considering. Are you OK?

Caitlin	Someone must have been looking after her.

PC Gray	Where’s your mummy and daddy? 

Caitlin	I think she wants to show us. 

Caitlin	(Sighs) Why do I have a bad feeling about this? 

Brad	Some sort of a lab.

Rebecca	Was this your father’s?

Ollie	If it is, your dad was doing some weird shit.

Rebecca	Guys. What is this?

Kenning	Give me that. 

Kenning	If this belonged to me dad, it’s mine now.

Brad	Just be careful, Mr Kenning, OK, we don’t know what any of this stuff is.

Kenning	Anything good we find down here is mine. Do you hear me? This is my property. 

Brad	Shh.

Maya	Stay back.

Brad	Ooh, whoa.

Maya	Stay back.

Ollie	Right, grab the 

Kenning	Just punch her in the fucking face.

Brad	Shut up Kenning.

Rebecca	Seriously.

Maya	You’re Dr Kenning’s son?

Oliver	Well who the hell are you?

Maya	My name is Maya. I worked with Dr Kenning. And that vial is some of his last work.

Kenning	In other words, it’s mine, so keep your fucking hands off it. 

Rebecca	What is it?

Maya	It’s hard to explain.

Brad	Wait, wait, wait, wait, wait. You said you worked with Kenning’s old man? What’s going on? Some of our group have been killed. What is going on down here?

Maya	Things are getting worse down here. (Distant groaning)

Maya	We need to go now. If any of you guys came down here tracked, it’s not safe anymore, we need to go now.

Rebecca	You know a way out of here?

Maya	Yes.

Rebecca	Come on let’s go. 

Caitlin	Hello? We found your daughter. 

Caitlin	Hello? 

Caitlin	(Grunts)

PC Gray	(Grunting)

PC Gray	Little bitch stabbed me.

Caitlin	We need to stop the bleeding.

PC Gray	(Moans in pain) What are these things?

Caitlin	I’ve no idea

PC Gray	Caitlin. Are we going to survive this? 

Brad	How much further?

Maya	There’s a long way to go yet.

Kenning	Tell me about me dad.

Maya	He dedicated his life to develop a serum that creates better humans.

Brad	Better humans?

Kenning	She means this.

Rebecca	You’re seriously not thinking about drinking that, are you?

Kenning	What’s it to you? This is my dad’s gift to me.

Ollie	Oh, his gift to you?

Kenning	I know he would have wanted me to have it.

Ollie	Oh I can understand that. I’ve only known you a couple of hours, but I’d gladly let you take it.

Rebecca	Did the serum work?

Maya	Oh yeah. Your father was a genius. He was destined for great things, but one of his creations killed him.

Rebecca	His creations? (Distant growling and whispering)

Brad	That’s one of the creations?

Maya	His experiments were successful in unforeseen ways.

Brad	That sounds very diplomatic. What exactly does this serum do?

Maya	Heightened reactions, heightened strength, but low intelligence.

Ollie	Wait, wait, where did they come from?

Maya	To perfect the serum Mr Kenning needed test subjects. 

Maya	Hey, hey, hey, calm down.

Male	Why am I here? Why am I strapped in? Please don’t do this. No. No.

Rebecca	Test subjects? (Exhales) You mean the homeless?

Kenning	Of course, that’s why he had all this scum on his land.

Rebecca	He was experimenting on them.

Kenning	It’s genius. Take worthless lives and make them meaningful.

Rebecca	Worthless to whom?

Maya	Everyone stop and be quiet. 

Brad	Everyone down. Sshhh. (Footsteps, growling)

Brad	Where’s Rebecca?

Ollie	Dunno, she was here a minute ago.

Brad	Oh. Rebecca.

Ollie	Brad, stay down, bro. (Growling)

Rebecca	(Moaning in pain)

Brad	Rebecca.

Brad	Rebecca.

Rebecca	(Screams)

Brad	No. No, no, no, no. (Fighting sounds and growling)

Kenning	Hey, get back.

Ollie	What the fuck are you –

Brad	Ollie, he’s a big fucker, give me help.

Ollie	(Grunts)

Brad	(Grunting)

Brad	Rebecca. Rebecca. Breathe, breathe. Ollie, I need something to stop the bleeding.

Rebecca	Wait, where are they? (Gurgling) Don’t trust them. (Gasping, crying)

Brad	Just –

Rebecca	(Gasping and gurgling) They’re evil.

Brad	We’ve got to get her somewhere to safety. Come on. (Shouts and grunts)

Lawrence	Hello?

Jen	Lawrence?

Lawrence	(Heavy breathing) Jen, you scared the crap out of me.

Jen	What’s going on?

Lawrence	It’s OK. Don’t worry. Caitlin and everyone will be back soon.

Jen	Back? From where? Where am I?

Lawrence	We fell down.

Jen	(Heavy breathing) Where am I?

Lawrence	We were in the basement and we fell through the floor into this tunnel underground. Caitlin and Officer Grey have gone on to try and get some help.

Jen	(Moaning and crying)

Lawrence	How how are you feeling?

Jen	(Moaning) My legs. I can’t feel ‘em. (Moaning) (Distant growling)

Lawrence	They’ll be back with some help soon. (Louder growling)

Jen	You can hold my hand if you’re scared.

Lawrence	(Heavy breathing) I’m not scared. (Banging)

Jen	What was that? (Growling)

Lawrence	I have no idea.

Jen	(Heavy breathing) Lawrence?

Lawrence	Yeah?

Jen	Don’t let go of my hand.

Lawrence	Yeah, yeah, OK.

Jen	(Crying) Promise me.

Lawrence	Yeah, yeah, I promise.

Jen	(Crying and moaning) (Growling)

Kenning	Hey, hey, did you see how fast that thing was? They didn’t even see it coming.

Maya	Yeah, your father’s serum at work.

Kenning	(Heaving breathing) Amazing.

Maya	You’re very lucky to have that, it’s very rare.

Kenning	Will it make me faster?

Maya	Faster, stronger, smarter.

Kenning	How long’s it last?

Maya	The changes are permanent but the serum won’t stay potent forever. It’s probably already starting to weaken.

Kenning	What d’ya mean?

Maya	That batch is the last batch your father ever made. There will never be any more.

Kenning	I can make more.

Maya	Only your father knows the process. He never shared the formula with anyone or even wrote it down. It died with him. So that vial is the last vial that might ever exist.

Kenning	So how do I know if there’ll be any unforeseen side effects?

Maya	Give me the vial. I can tell you.

Maya	I thought as much, but now I know.

Kenning	What?

Maya	This is the last batch your father ever made, it’s the pinnacle of your father’s work.

Kenning	So it’s good?

Maya	He told me he perfected it. That the results would be better than anything he had ever hoped for. It’s a shame that he got killed before he got to try it first.

Kenning	Are you OK?

Maya	I just can’t believe he died before he got to see the results, and you, his son. You have the last vial. It’s almost as if everything is meant to be. You’re blessed.

Kenning	Maybe we can reverse engineer it somehow?

Maya	It’ll just get weaker and weaker over time. In hours, it may be worthless. I don’t know; it might be even worthless now.

Kenning	Do you think I should drink it?

Maya	If you don’t, can I?

Kenning	(Laughs) (Bottle lid unscrewing)

Kenning	(Heavy breathing) (Distant whispers)

Kenning	(Sighs)

Kenning	(Inhales deeply) (Whispers)

Kenning	This is for you dad. 

Ollie	Brad, a table.

Rebecca	(Moaning in pain)

Brad	Ah, ah. Rebecca. (Gasping) Rebecca. Breathe, breathe. (Breathing heavily)

Ollie	Brad, she’s gone mate, Brad.

Brad	No.

Ollie	Brad, she’s gone.

Brad	No.

Ollie	Brad. She’s gone. She’s gone.

Brad	No.

Ollie	OK? She’s gone.

Brad	(Crying)

Brad	(Breathing heavily) (Loud gasp and woman crying)

Ollie	What was that? (Woman crying)

Ollie	(Grunts) (Curtains being pulled back)

Ollie	What the fuck?

Brad	Oh God. Ollie, grab a knife. A knife from the table.

Pregnant Woman	(Crying)

Ollie	Look just stay calm, we’re going to cut you out, OK? OK. (Straps being cut)

Ollie	Whoa, whoa, whoa, whoa.

Brad	No, no.

Pregnant Woman	(Growling voice) Thank you. (Stabbing noises)

Woman	(Moaning and crying)

Ollie	No, no, no –

Brad	No, ah, no. No, no. No.

Ollie	no, stop, stop, stop. 

Ollie	What the fuck is going on?

Lawrence	Holy shit. 

Lawrence	Jen? Jen we’ve got a signal. (Growl)

Lawrence	Jen, let go of my hand. (Growling)

Lawrence	Jen, let go. Jen, Jen, Jen, Jen. (Screaming) (Growling and eating sounds)

Caitlin	I don’t like the look of this.

PC Gray	No shit.

Caitlin	The cupboard, go, go, go, go, go. 

Kenning	Ugh, I don’t feel so good.

Maya	It’s a normal part of the process.

Kenning	I feel like I wanna be sick, but at the same time I want to eat a big bloody steak.

Maya	Your body is growing and changing rapidly. (Loud voices shouting and growling)

Maya	You’ll need some protein. 

Kenning	Why the fuck did you bring me here? Fucking backstabber.

Maya	No. I’m alive because I’ve earned their trust. You have to do the same.

Kenning	He’s got a vial. I thought you said I had the last one.

Maya	He doesn’t have the perfected batch like yours.

Kenning	Are you lying to me? (Growling) (Footsteps)

Maya	Mr Kenning’s son, he’s with us. (Growling) (Footsteps)

Krun	(Sniffs)

Kenning	Was that it? Am I safe?

Maya	Now, prove your worth.

Kenning	What are you talking about?

Maya	You must fight one of the tribe. (Growling and shouting)

Kenning	There. Does that prove my worth?

Maya	You defeated the weakest member of the tribe. Now the tribe lives within you.

Kenning	Whoa. I beat ‘im. I won. I won. (Growling) (Knife falls to floor)

Kenning	Now what?

Maya	You have to kill the one you beat. He’s no longer a member of the tribe.

Brad	(Sighs) Come on Caitlin, where are you?

Ollie	Well, these tunnels can’t go on forever. We’ll run into her eventually.

Brad	(Sighs) Oh, they just don’t give up do they? Right, Ollie, back to back. You deal with everything in this direction, I will deal with everything in that direction.

Ollie	Any army tips for me?

Brad	Yeah, don’t get hit. 

Ollie	Oh wait, wait, switch sides, switch sides. 

Ollie	Did you see that shit (Stabbing sound)

Brad	Ollie.

Brad	(Screams) 

Brad	(Groaning) (Breathing heavily)

Caitlin	How’s your injury?

Brad	(Heavy breathing) (laughs) Injury? Did you not see me fighting with my usual high standards?

Caitlin	I didn’t notice.

Brad	Oh, that’s harsh. (Heavy breathing)

Caitlin	He didn’t make it.

