Voice Over	Previously on Agent.
Vuyo	You've never rocked a number on your back dude, you don't understand.

Christopher	You're right. I've never played, but where I'm from the stakes is high enough, trust me.

Vuyo	Ja? I mean picking those shiny suits must be very stressful, heh?

Christopher	Even if you're on ice, you've gotta be ready.

Christopher	I guarantee you, there's someone in the stands looking to take your spot on the bench.

Vuyo	Look, you've got a better chance staying in the room my man, you know. You've got an education and stuff.

Vuyo	All I've got is this game, and I feel like the club keeps pushing me to the door every day.

Christopher	That's why I'm here... to push back.

Natalie	Hi this is Natalie, leave a message, yeah I’ll call you.

Blaze	Is that your girlfriend?

Herve	Maybe.

Vuyo	Don't get me wrong, and I don't mean to sound like the bad person here, but he's fucking useless to me right now.

Vuyo	And I love the guy.

Christopher	Listen to me…

Vuyo	This is the same guy who stood by my side on my wedding day.

Vuyo	I don't want to say this, but this shit with Zoe man, is been going on for six fucking weeks.

Christopher	Oi!

Christopher	Just take a moment. 

Christopher	Breathe.  

Christopher	Let's sit down, politick for a sec, yeah?

Christopher	Blaze is a good man, and a good agent.

Christopher	And I wouldn't have vouched for him way back when if he wasn't, would I?

Vuyo	Maybe he was... once. 

Vuyo	The problem with you people is you think its players who, who go crazy...

Vuyo	... who get too big... who get too rich. Huh.

Vuyo	Do you think we're the only ones who lose it? It goes both ways here.

Vuyo	I get paid, he gets paid. 

Vuyo	I mean, you know Blaze he's, he's just way too relaxed.

Vuyo	He shouldn't... he shouldn't be.

Vuyo	I mean he's the one who gets fat, lazy and slow with me, right?

Christopher	I hear you, but that's not the case here.

Christopher	Zoe has taken the budget and axed it.

Vuyo	Why am I being dragged into both?

Vuyo	Shit in the front office has got nothing to do with me Chris.

Christopher	He’s always gone to war for you. Trust me. This stale mate is on me.

Vuyo	But you're going to fix it, right? 

Vuyo	Please don't tell me you came all the way in here to give me one long lawyer's hand job?

Christopher	I'm going to the office right now. And if you're not playing by eight... there will be blood.

Blaze	Do I need to read your articles just to hear from you?

Jade	Yes, do you have a problem with that?

Blaze	We're not going to talk about that?

Jade	No.

Blaze	Seriously, did I deserve that piece on me and Les? You recorded me at my lowest and you showed it to the whole world.

Jade	At least I saw who you really are.

Blaze	I was, I was smashed.

Jade	Oh good, all is forgiven then. Thanks for the explanation.

Blaze	That piece of shit in Mauritius, that was not me. 

Blaze	I'm sorry and I mean it. Whatever I said and whatever I did, you did not deserve it.

Jade	How many times, Blaze? Hmm?

Jade	How many times have I looked out for you?

Blaze	You're right.

Blaze	And I haven't thanked you enough.

Blaze	And I never forget what you have done for me. Never.

Blaze	We're still part of Klopp's red army, right?

Jade	Well, it depends.

Blaze	Depends on what?

Jade	I'm still deciding if I believe you or not.

Jade	I mean, you're an agent, right? 

Jade	Bullshit is your default setting.

Blaze	What’s wrong?

Jade	The SA anti-doping agency. They've got some officials doing the rounds tonight.

Jade	Just letting you know. In case one of your players are acting, you know, like themselves.

Blaze	Thank you.

Kwaku	Moleko.

Lesego	What’s up?

Kwaku	What's wrong? 

Kwaku	Did a shipment of white sink between Mexico and Lagos?

Lesego	What? What did you say to me?

Kwaku	It's fine. You can also try food for breakfast.

Kwaku	You... You're what's wrong with this game.

Lesego	Me. You haven't seen the back of the net in months.

Lesego	I'm carrying you.

Lesego	So you should just say thank you for playing on the same team as me and walk away.

Kwaku	I haven't scored any goals, but at least I don't put poison in my veins.

Kwaku	So fuck you and everyone who looks like you.

Edwards	Hey gents, gents.

Christopher	You better get out the tumblers, sweetheart.

Nick	I tried to stop him.

Christopher	Did you hear that, he tried to stop me, but even you know I can't be stopped.

Zoe	Nico, it's fine. I'll handle Mr. Kilembe.

Zoe	Christopher, so what's the occasion?

Christopher	Pour me an Irish and let's talk business.

Zoe	Okay. 

Zoe	So, you are through the door, let's just see if you can stay in the room.

Christopher	So what's it gonna take for the kid to play tonight?

Zoe	Uh uh uh, don't speak to me, speak to Santiago. 

Zoe	Like your drink?

Christopher	Don't give me that 'speak to Santiago horse shit'. We both know you pick the team sheet.

Christopher	So what's it gonna take Zo’?

Zoe	Can't help you Chris because I announce the line-up in thirty minutes.

Christopher	That's a lifetime in this game. So Vuyo's on the sheet, right?

Zoe	I haven't decided yet.

Christopher	Sure you did Zo'.

Zoe	Oh really Chris and when was that?

Christopher	The second I walked in the room.

Zoe	You're not that cute.

Christopher	Good. I'm not going for cute. That would imply safe.

Zoe	Aren’t you?

Christopher	Especially when I haven't closed.

Zoe	It's gonna take a little bit more than lip service.

Zoe	Everybody's fighting for the same coin in the sport right now. So Chris, times are tough.

Christopher	Not that tough, that's an old line surely. I mean, we are talking over a thirty year old malt, aren't we?	

Zoe	See this is appearances. A delicious little trick my dad taught me in the 80s.

Zoe	Just reel them in with smoke and mirrors.

Christopher	Hmm, I reckon you've got a lot more to offer than your old man did.

Christopher	Like those legs of yours.

Zoe	Listen these are a gift from the Greek Theos. And what we are dealing in, is shekels.

Christopher	What if I go into my own pocket to pay Vuyo's bonus?

Zoe	You’d do that?

Christopher	If it gets him on the pitch. 

Christopher	I mean, Jesus H Christ, he's the best right back in the country and he's busy gathering dust.

Zoe	Christopher I'm sorry, I... I can't help you, because it's... it's not your money that I'm interested in.

Blaze	Hey.

Blaze	It's a great night for a game, yeah?

Jaden	I'm not really into soccer. I wouldn't know.

Blaze	You're the perfect SAIDA official.

Blaze	I mean, truly objective. You don't really care who wins. 

Blaze	It’s good. It’s good.

Blaze	It's good to see that your bosses are being proactive, you know, to eradicate this cancer.

Jaden	The youth is losing faith in sports. Armstrong? That bastard broke my heart. 

Jaden	Gave up on sport after that.

Blaze	Hmm, what a shame.

Blaze	So you're just here to select players randomly and test them after the game, right?

Jaden	Doping is a serious offence.

Blaze	Yeah of-course, I mean, I couldn't agree with you more. Yeah?

Jaden	I have to take this.

Blaze	Yeah sure. You know what, good luck. Look look uh, I take that back cos if I wished you luck, then, the game is screwed, right?

Jaden	Yeah.

Blaze	Hello?

Blaze	Les? 

Blaze	Lesego, get out.

Lesego	Oh Blaze, you good? What’s up?

Blaze	Your nose.

Lesego	Huh?

Blaze	Your nose, you fucking idiot.

Lesego	That's why you're still my guy. 

Lesego	You fight like a bitch but you're still my agent. Ho, shit.

Blaze	Are you serious?  Are you serious right now?

Lesego	What?

Blaze	Take a hard look at yourself in the mirror Lesego. 
Blaze	Tell me, what do you see?

Lesego	I’m looking.

Blaze	Uh hmm?

Lesego	I’m beautiful.

Blaze	What else do you see?

Lesego	Number one.

Blaze	Let me tell you what I see.

Blaze	You're a fucking disaster that is waiting to happen.

Blaze	Minutes away from a big nationally televised match Lesego, and you're smoking hard drugs.

Blaze	And TV isn’t like before...

Blaze	Everything is in HD, which means…

Blaze	... they can see up your coked up nostrils.

Lesego	But it gives me the edge though.

Lesego	Boy, it’s like the defenders are moving in slow motion... <then starts singing a song the fans would sing in the stadium>
Lesego	Ai! Ai! Pah! Tcha!

Blaze	Wait, wait, wait, wait. That's how you've been scoring?

Blaze	Fuck me, how long has this been going on?

Blaze	How long Les?

Blaze	You know what... 

Blaze	...  it's fine.

Blaze	Don't answer me.

Blaze	You know why?

Blaze 	When Satan comes knocking at your door…

Blaze	I won’t be able to lie for you.

Blaze	I will not lie for you.

Lesego	You, you think I'm the only one? Things worked out for Paul Merson.

Blaze	Paul Merson? Just because you're not the only one, doesn't make it right. 

Blaze 	Everything you do...

Blaze	... affects me.

Blaze	Out of all the shit you pull, Lesego, out of all the shit...

Blaze	... this one comes with a lifetime ban. Next thing you'll be teaching soccer to five year-olds just to pay your rent.

Blaze	You think you're going to be the only man in history to go against the house?

Blaze	It always ends and when it does, it does not end well.

Lesego	Wait Blaze. Shh.

Lesego	Listen.  

Lesego	Do you hear that?

Lesego	That crowd shouts. 

Lesego	They shout. No matter what.

Lesego	If I score, no, when I score, they love me. Forty-thousand people, LOVE ME!

Lesego	No matter what!

Lesego	And that's all... that matters.

Lesego	<chanting his own nickname>  Boro, Boro....

Christopher	So uh, we have a deal?

Zoe	Well if you must know, I was always going to start with Vuyo tonight.

Christopher	So you um, played me from the start?

Zoe	Don't act like you didn't enjoy it.

Zoe	Nicko!

Jean-Pierre	How you doing?

Phumlani	I should've shot that fucken bastard while I had a chance back in that boardroom when Herve was there. I still have a plan.
Phumlani	What?

Jean-Pierre	With your daddy watching? You weren't gonna shoot shit.

Jean-Pierre	You were not going to shoot shit.

Godi	Vuyo was selected tonight.

Blaze	Thank God, that's something isn't it.

Godi	What do you mean that's something? It's fantastic.

Godi	Six weeks we've been going through this crap.

Godi	It's bonus in the bank now. What more do you want?

Blaze	Clean urine maybe.

Godi	What?

Jean-Pierre	... shit!

Phumlani	Listen to me. 

Phumlani	The only thing my dad is good for nowadays, is trading stories about good old days and good old times and laughs with good old dying men.

Phumlani	I'm the future of this thing. You mark my words, watch when the tables turn.

Jean-Pierre	Alright. I’m just making sure.

Phumlani	Well, Blaze and his clients, are dead men walking. 

Phumlani	They just don't know it yet.

Jean-Pierre	Everyone from his book has to go through me. We have an agreement on this?

Phumlani	Jean-Pierre, I'm nothing, if I'm not a man of my word.

Blaze	There’s a storm coming.

Godi	I don't know what you're talking about man.

Blaze	Look I, I can't get into it now, it's almost kick-off. Thanks for the heads up.


Reggie	Moleko's been showing off in his last couple of appearances.

Brian 	He’s making an example at the moment. He’s showing he’s the true skipper of the side here.

Brian 	Toure, Toure, he’s on the run, the defence is caught napping...

Reggie	Ball to Moleko, back to Toure, back to Moleko one two, one two...

Brian 	Penalty! Goalkeeper went through on him.

Reggie	It’s a penalty, Ace will take it.

Brian 	He hits it right footed toward the goal... oh what a goal!

Reggie	Ladummmmma! 

Blaze	Yes, yes, yes, yes! Nice guys. Nice boys. 

Blaze	Okay boys... we're catching up now, we’re catching up…

Blaze	Morale is up now, let’s push forward, we pushing forward.

Brian 	Oh my word, he sends the keeper the wrong way. 

Reggie	Here comes Toure, Toure is coming in on the inside, Toure gives it to Daniels, but the goalkeeper is there.  	

Brian	Oh that’s all the action we have for today. It ends a draw. It is one one here.

Blaze	At least... fine…NatalieWhat, are you're stalking me now?

Blaze	I didn't mean to come off that way.

Blaze	You've been dodging me for three weeks. I had to see you.

Natalie	Are you ready to tell me the truth about Lesego and whatever it is that you're protecting him from?	

Natalie	Do you know what it took out of me, telling you about killing an innocent? 

Natalie	Do you?

Natalie	I shared parts of myself with you I thought I buried.

Natalie	My brother getting shot. I gave you everything.

