

(BORN A CHAMPION)


DIRECTOR	And roll sound please.
MICKEY	Well look I know it's a long shot but any possibility you'd be willing... to trade...

LAYLA	Relax. I already told Mrs. Miller…I'd give her my seat.

STEWARDESS	Ladies and gentlemen...

MICKEY	So uh…you uh…you gals in some sort of beauty pageant or something?

LAYLA	No, no we’re doing this modeling shoot for this new fur company in Dubai.

MICKEY	You're a fashion model?

LAYLA	No…well…it's my first time. The law office I work in they represent this modeling agent and he was nice enough to give me the opportunity.

MICKEY	Oh okay. So are you a lawyer?

LAYLA	I'm a paralegal...actually, but it's kinda just like a backup plan.

MICKEY	A backup plan. So what's the main plan then?

LAYLA	To be a stay-at-home mom. Once I meet my husband of course. What? Why are you looking at me like that?

MICKEY	No, no you just don't hear that everyday. (Laughs) That sounds good.

LAYLA	So, what about you? What brings you to Dubai?

MICKEY	I'm…I'm just going to teach.

LAYLA	Teach what?

MICKEY	Uh combatives. It’s like martial arts. Specifically the martial arts called Ju Jitsu. It's a Brazilian variation.

LAYLA	Is it like karate?

MICKEY	No ma'am it's nothing like karate. It's…to the laymen it would look like uh…Olympic wrestling.

LAYLA	Uh huh.

MICKEY	The only difference being you get your opponent to concede either…physically or verbally by chokes, joint locks, bone manipulation and...stuff like that.

LAYLA	God, that sounds horrible.

MICKEY	No, no, no, no it’s not horrible it's easy. I mean if something goes wrong they tap and match is over. It's...it's relatively safe. It's not...

LAYLA	Really? It's safe? Well what happened to your eye then?

MICKEY	Okay, well, that was an accident. Normally things like that don't happen.

LAYLA	So you teach real fighting, huh?

MICKEY	Yes ma'am.

LAYLA	You know I gotta say, I do not like fighting. I don't like watching it. When I was a kid, my cousin got into it with this other boy and…both ended up all bloody and…it was awful. I'll never forget it.

MICKEY	Well if it makes you feel any better I don’t train to start fights, just end ‘em if I need to.

LAYLA	I guess that make me feel a little better yeah.

MICKEY	Well good. Good. I’m Mickey, by the way.

LAYLA	Layla.

MICKEY	Layla. It's very nice to meet you Layla.

LAYLA	It's nice to meet you too. Oh my God did I drool on you? I'm so sorry.

MICKEY	It's okay, it's okay. I didn’t have the heart to wake you up so...

LAYLA	Oh my God…did we land...land already?

MICKEY	We did. Yeah.

LAYLA	I need to get back with the group, a shuttle’s picking us up. I’m at the Scorpione hotel. Layla Boudreau. Look me up.

MICKEY	I will. Shit.

PASSENGER	Write it down. Don't screw this up son.

MICKEY	Welcome. First of all I'd like to thank you all for joining me here today and really big thanks to Amin's father for facilitating this lesson. He flew me out all the way from the United States of America. Taught about something that I'm very passionate about. Maybe...that passion will become contagious and...you all will adopt it into your lives as I have mine. I had the opportunity to learn Brazilian Jiu Jitsu straight from the source. So I will my best to pay homage to my sensei professor Enzo Gracie. So, let’s get started. So I will need a volunteer. Who wants to...Amin! Please join me up front. I really...appreciate the opportunities. Thank you, thank you very much.

SHEIKH BIN KHALID	Thank my son. He is the one introducing me to this Brazilian Jui Jitsu.

MICKEY	Well he is an excellent student. Very eager to learn…as well.

SHEIKH BIN KHALID	He’s eager to learn to defend himself against his big cousin.

MICKEY	Right.

SHEIKH BIN KHALID	Mr. Kelley, tell you are as good as he says you are...why do you not fight?

MICKEY	Well it's plenty of times in life when we're forced to fight as it is. You know I...do my best to not supplement that number you know.

SHEIKH BIN KHALID	Then why do you do it at all?

MICKEY	It's help me, changed me even. Been a sort of medicine for me in a lot of ways.

SHEIKH BIN KHALID	I see.

MICKEY	Plus I think everyone needs a little…meritocracy in their lives. And the Jiu Jitsu mat’s just that you know. Once you clap hands and to there’s no hiding. That mat is gonna expose every lie...confirm every truth with each roll. It truly holds a mirror up to you, right in your face every single day. And I love that about it. Um...I’m sorry…sir, I just recognized a friend of mine. would you…could I…just briefly go say hello?
 

SHEIKH BIN KHALID	Of course. Please.

MICKEY	Be right back sir. Layla? Hey.

LAYLA	Mickey. Hi. Hi it's uh...it’s good to see a friendly face.

MICKEY	Yeah I uh…looked for you at...the hotel but they didn't have your name.

LAYLA	Yeah they put all of us under our host’s name. He's some Greek...fur magnate. I don't even…I can’t even...pronounce his name.

MICKEY	Is everything okay? Because you seem upset…

LAYLA	Uh...

STELIOS	You must…return to the table and apologize right away.

LAYLA	He deserved it.

STELIOS	Miss Layla...in Dubai, a woman does not touch a man...let alone strike him...

LAYLA	But he's allowed...to touch me all he wants wherever he wants?

STELIOS	You misunderstand the customs here and you’ve caused him tremendous embarrassment.

LAYLA	I don’t care if he’s embarrassed. He...he deserves it!

STELIOS	If Mr. Kostopoulos wants to…discuss modeling work over drinks...then you must oblige. Please...return to the table right now...or you will be in breach of contract.

MICKEY	Listen, buddy…I’m sure we can work something out here.

DIMITRIS	(Speaking in Greek SUBTITLES) Who is this?

STELIOS	Who are you, sir?

MICKEY	Just a friend of hers why?

DIMITRIS	What do you do in Dubai?

MICKEY	I work for Sheikh Bin Khalid.

DIMITRIS	Ah. Oh, you are employee of his highness? What do you do? Kitchen supervisor? Dog walker? Secretary!

MICKEY	No sir...I teach Jiu-Jitsu.

DIMITRIS	Ah yes. Alvah here, he doesn’t like Jiu- Jitsu. Why do you not like it? I forget.

ALVAH	Is for... how you say? Faggots.

LAYLA	Look, Mickey...don’t worry about me. I’ll take care of it. I don’t want to cause you any trouble…

DIMITRIS	Yes, Mr. Mee-kee, please go. Allow me talk to have a conversation…with my employee.

MICKEY	Do you want to talk to this guy?

LAYLA	I'll be fine.

MICKEY	I'll be sitting right over there.

DIMITRIS	Layla...please come and sit. We must have a discussion.

SHEIKH BIN KHALID	So I see you met...Dimitris Kostopoulos. My cousin help him start a tiny fur market. Now he basically runs the entire trade. One of wealthiest non-Emiratis in the city. Do you know the girl?

MICKEY	Yes sir...I…I just met her...on the flight over. But...

SHEIKH BIN KHALID	She's a prostitute.

MICKEY	No. Sir…with all due respect...

SHEIKH BIN KHALID	It is the truth. Dimitris likes to hire beautiful Western women and pay them...fifty thousand dollars to come here and model for his private line of fur. And when they get here...they are encouraged to do more...and they always say yes. You see his bodyguard Alvah? Ex-Spetsnaz. Also a Israeli martial arts expert...in uh “Krav Magoo”...

MICKEY	It's Maga sir.

SHEIKH BIN KHALID	Excuse me.

MICKEY	It's a Krav Maga.

SHEIKH BIN KHALID	Dimitris claims he has killed eight people with his bare hands.

MICKEY	Would you pardon me one more time...sir. Excuse me.

STELIOS	So here...how it goes. If you do not apologize to Mr. Kostopoulos…and spend a little time with him, we will de-fund your return ticket...and you can find your own way back to the United States.

MICKEY	You know, sir...I can’t help but feel like you might have been tryin’ to insult me...with the stuff about the "dog walker and the "kitchen supervisor”...Or did I take that the wrong way? Because if you want to insult me, have the courage to just do it sir. don’t hide it behind words that can be taken more than one way.

STELIOS	Look...I don’t know who the hell you think you are...

DIMITRIS	Stop it! Do you know who I am?

MICKEY	No sir I don't. I just know I don’t like you...very much. Layla, would you like to leave?

DIMITRIS	You are making…me very upset…and when I get upset...Alvah gets very mad, and he will be…here any second.

MICKEY	No sir... I don’t think he’s coming back.

WAITER	Call a doctor...quickly!

SHEIKH BIN KHALID	Salaam aleikum, Mr. Kostopoulos. Is my friend troubling you?

DIMITRIS	No.

SHEIKH BIN KHALID	I think it’s time we go Mickey no? Please give me a moment and I’ll meet you out front.

MICKEY	Yes sir.


SHEIKH BIN KHALID	Now I could not…hear what you were saying...but I do recognize that look. So let me tell you this. Mr. Kelley is my friend. And I know that you are friend of my cousin. But he has many…I do not. You are a guest here. Don't forget it.

MICKEY	Your excellency please believe me when I tell you…I meant no disrespect to you here...in your home...

SHEIKH BIN KHALID	Stop it Mickey. I insist you stay here one more week...and teach me Brazilian Jiu Jitsu.

MICKEY	I'd…I'd be happy to get you started...sir. I'm flattered actually. Could you possibly do me one huge...favor? Could you get her the first flight home?

SHEIKH BIN KHALID	Done.

RAPPER	The sounds of the bong bring me to another morn. It's on, come on ain't nothing wrong. The pimpin and the slangin aqui it's just the norm. It's the borderline, just a rick skip away from El Paso to Juares (Speaking in Spanish) The bridge...

LAYLA	Hello.

ROSCO	Hey good afternoon.

LAYLA	Are you a friend of Mickey Kelly?

ROSCO	Maybe. Who's asking?

LAYLA	I’m Layla... I met him a few weeks ago in Dubai. I was hoping I could get ahold of him but I didn't get his number. But he…he mentioned this shop and he...told me about you.

ROSCO	Told you about who, specifically?

LAYLA	You...you know he said you were his best friend.

ROSCO	He give you a name?

LAYLA	Okay. Um...this is what he said it was. Taco? Oh my God! I’m…I'm...I'm so sorry! I shouldn't…I shouldn't have...come here…

ROSCO	Hey...I'm just kidding. I'm totally just kidding…I'm Taco.

LAYLA	Oh!

ROSCO	Yeah. He called me yesterday, he sounded jet-lagged. He was supposed to be here an hour ago, but he hasn't shown up yet.

LAYLA	Oh…did he happen to mention me?

ROSCO	Uh...no.

LAYLA	Yeah…okay. I…I gave him my number, but I guess...I guess I shouldn’t have assumed that he...don’t tell him I came here okay. I feeling a little bit...embarrassed by all of this.

ROSCO	There he is. Now he shows up.

LAYLA	Oh my God, now he's gonna...think I'm some stalker or something.

ROSCO	No what…what's going on?

LAYLA	If he wanted to talk to me he would have called. I think I just misread all of it. Please just don't tell him I'm here...

MICKEY	Taco!!

LAYLA	Please.

ROSCO	Hold on. Hey bud.

MICKEY	Hey.

ROSCO	Good of you to finally join me.

MICKEY	Sorry I'm late man, I overslept. I'm still pretty…pretty jet- lagged from the trip you know.

ROSCO	How was it?

MICKEY	I met a girl.

ROSCO	Arab chick?

MICKEY	Nom no, no she’s from North Carolina. She's...

ROSCO	White girl.

MICKEY	Yeah...She's fucking beautiful man. And uh I…I got her phone number, you know she wrote it down and it was on the night stand right in the...hotel and I looked at it every night before I went to bed and on the night before my flight to come home...it was gone you know. But I told her about you.

ROSCO	Is that right.

MICKEY	I told her about the shop.

ROSCO	Hum.

MICKEY	Well I mean…fuck she's probably...she's probably waiting for me to call her you know.

ROSCO	Yeah maybe.

MICKEY	You know what I'm talking about…never believed in that love at first sight...crap they talk about in the movies. I mean it's like you say about music...it's in the bottom end.

ROSCO	Yeah.

MICKEY	Brother she fell asleep...with her head on my chest for five hours. All right I couldn't move...But I felt her heart brother. And it's strong and it's got that base you talk about. Easy bro. You sound like an infatuated little bitch right now.


ROSCO	Any chick hears you talking like that...they're gonna totally fucking own your ass.

MICKEY	Taco I would marry this girl. I would marry her…I swear to God after knowing her 10 minutes. You know you hear people talk about…the one. Okay she's mine.
 

ROSCO	Let’s go eat man. I’m fucking starving.

MICKEY	You're not even listening to me.

ROSCO	Totally am bro just let me get my wallet. Oh sorry about that.

MICKEY	I'll be in the car.

ROSCO	I was not expecting him to be such a...sissy about it. Hey…you okay?

LAYLA	Yeah. Yeah. I um…I never um...I've never heard anyone say about me exactly what I feel about them you know. (Crying)

ROSCO	She left her number...and I gave it to him the next day.

MICKEY	Hey

LAYLA	I thought I may have missed you or something...

ROSCO	And that was it...Those two were fucking inseparable after that. Layla got a job as a paralegal.

MICKEY	Excuse me guys. Pardon me...

ROSCO	Mickey continued bouncing at this local bar and training when he could. There weren’t any standalone Jiu-Jitsu schools back then, so Mick and some other guys just rented mat space at a McDojo.

INTERVIEWER	“McDojo”?

ROSCO	You like you know, some other places you go to and order chicken nuggets and you get that real chicken. But then you go to Mickey Dee’s and what you're getting ain’t even real.

INTERVIEWER	I get it.

ROSCO	I married them...myself in bay number 2 of my shop. Now by the power invested in me, in the name of Jesus Christ, I pronounce you…husband and wife. You may kiss the bride. It was just us. Neither of them had any real family to speak of. I did the interior for you guys.
 

LAYLA	I have surprise for you.

MICKEY	Yeah? What?

LAYLA	Close your eyes.

MICKEY	Okay.

LAYLA	Hold out your hand.

MICKEY	(Laughs) Why...

LAYLA	Closed…keep your eyes closed.

MICKEY	Okay, okay, okay...okay, okay. Yeah?

LAYLA	Yeah.

MICKEY	You know I never really known what I wanted. But I do now. I want my son to have all the stuff I never had. And I want to start by making sure he’s got a Godfather.

ROSCO	Me?

MICKEY	Of course you man. Come on you’re the best friend I got on the planet.

ROSCO	Mickey’d been through the foster system so he wanted to be sure there was...no chance of that ever happening to his kid.

MICKEY	Hello?

ROSCO	A few months later, he gets a call from his friend in Dubai after he’d seen an early UFC event.

MICKEY	It's great to hear from you.

LAYLA	Who is it?... But this isn’t just grappling, right? This is like a...real dangerous fight like on TV?

MICKEY	Well yeah, it's no holds barred.

LAYLA	I just don't understand why didn't you ever fight in one of those before?

MICKEY	I never really had a reason you know. This is 25 grand just to show up. That’s a down payment on a house for us.
 

MICKEY	It’s another 75 grand if I win.

LAYLA	Babe I don’t know if I…

MICKEY	Babe...I can win.

ROSCO	Mickey’d been offered to compete in an eight man tournament, along with Marco Blaine. Marco was a top contender for the Vale Tudo Championship belt and one of the best strikers in the world. Where's a real challenger? Mickey was just a prodigy at ground fighting. I'd never seen him tap. and he rolled with some of the best in the business-like Pitt. That dude was in the fucking Olympics.

MICKEY	You all right?

PITT	But this fight wasn’t gonna be on TV. Now if you remember back in those days most states had banned MMA fights, because...John McCain and some other senators, they thought it was…was too violent. As a matter of fact…one of the first American promoters, Dick Mason, he went…and testified in Washington.

ASSEMBLY MEMBER	You’re wasting your time testifying. You can’t even call that crap a sport…world's already got real athletes.

MASON	Mankind has always been intrigued with finding its best athletes. We’re a competitive species...hell, we’ve even invented games to try and measure man. McGwire and Sosa can park more balls over a center field fence than the rest of the planet, Shaq can slam dunk over most anybody's head. Mike Tyson can touch anyone’s nose without them even seeing him flinch. Impressive. All of them. But uh, make no mistake...outside of the rule of law…they'd all be doing my athletes’ laundry.

SENATOR	In this sport there's no headgear...no gloves. It's bare knuckles on the side of your head.

MASON	The gloves are only there to protect the hands…and in fact only insure that the punches continue. And as far as headgear…although it prevents cuts, the downside of that is that it does allows for repeated concussion to the brain.

PITT	Sanctioning an MMA fight was kind of like, had us back up against a brick wall but yo once that Pandora's Box was open…people were hungry for it.

ROSCO	So these rich Arab guys started putting on their own tournaments in the desert, gladiator-style. Literally just saying...“I want to see this guy and this guy fight”, offering them money, flying them out. We all flew to Dubai for the event and I...I was to be in the corner...of my best friend.

ARAB DOCTOR	Breathe in for me. Breathe out.

ROSCO	He was...more than ready. And there wasn't any doubt in my mind that if he...got to fight Blaine and could get him to the ground...he’d annihilate him.
 



ARAB DOCTOR	All is good.

MICKEY	Okay. Thank you very much doctor.

ROSCO	Hey, doc. I saw you make a face just now. Why’d you make a face?

ARAB DOCTOR	There are eight men in this tournament. Seven of them have a resting heart rate of 85...and one of them as a rate of 42. Your friend is either very confident…or very naive.

ARAB REF	And the winner... Marco Blaine! Next we have Mickey Kelley from the United States. And Tadashi Yamamoto...from Japan. Gentlemen...you may begin.

MAN	(Speaking in Japanese)

ARAB REF	And our winner by submission at 54 seconds...Mickey Kelley! For the first... match of our semifinals we have Mickey Kelley from the United States. And Razak from Nigeria. Gentlemen, begin!

ROSCO	Nice. There you go! Bring him down, bring him down!! There you go!

ARAB REF	The winner by...submission...Mickey Kelley!

ROSCO	Everyone was hoping it would come down to Marco and Mickey. And they got their wish. After Mickey's first two fights, Mickey was heavily...favored to win. And not just by me.

ARAB REF	For our main event, we have...Mickey Kelley from the United States. And Marco Blaine, from Brazil. Gentlemen…begin!

ROSCO	Mickey went down immediately...with his hand still reaching…for that handshake that was never coming. We had an agreement...that I wouldn't throw in the towel unless he was unconscious. Mick I'm throwing in the towel!! I shoulda' listened to her. It was one of the most vicious beatings...I'd ever seen in my life. He was never even in the fight. Mickey suffered a broken eye socket and detached retina. He also had a partial detachment in his right eye...and was at risk for losing his sight all together. He would never be medically cleared to fight again. His son...was born a month later on his 40th birthday. And in a strange way, it couldn’t have happened at a better time. With all the pain and the depression he was going through it just…vanished when the Kyd was born. The next few years there was no talk about fighting. Just got a new job and focused on being a dad. They were getting by. Until around late 1998 when MMA was fighting to get sanctioned in the U.S.

MICKEY	Red Dragon Dojo...Yes ma'am. Yes ma'am I can get him. Just one second.
 

ROSCO	Our sport was incorporating rules and becoming legit…going mainstream pretty quick. But I knew that sooner...or later, seeing the guy that took so much from him on all the magazine covers…would probably start to get to Mick.

JIMMY	More commitment Veronica. Nice Chelsea.

MICKEY	Hey uh Jimmy.

JIMMY	Yes Michael! What?

MICKEY	It's your girlfriend.

JIMMY	What the hell does she want? All right guys keep it up guys, I’ll be right back.

ROSCO	After pushing a broom during the day, Mick would pick up extra cash by teaching private lessons in the evening.

MICKEY	Okay another (Inaudible) of what I've already taught you but now I'm going to throw them…at random. Speed it up a little bit okay? Ready? Fold the wrist first. Good job. Fold it first. Palm over knuckles, elbows together yeah beautiful, beautiful! Nice! Good job...good job, good job. Daddy's home!

LAYLA	Hey. Hi.

MICKEY	I think I remember having a son…when I left for work.

LAYLA	I wonder where he is.

MICKEY	Huh. Maybe he left for college. Where are you little shit!

KYD	Daddy can you...tell me the story of mommy's famous chicken?

MICKEY	You want daddy to tell you that…story again? That's a good story. I wanna say it was 1492.

LAYLA	Oh. It was a really long...time ago.

MICKEY	Mommy and daddy were sailing...the ocean blue with their friend Chris.

LAYLA	Columbus?

MICKEY	I think that's…it rings a bell. We were looking for a place called America because that's where they were having the chicken finger...world championships but we only had...one chicken left.

KYD	Mommy says it's not true.

MICKEY	It is true. Mommy's just being humble. Remember what daddy says, we never let the world see us beating our chest. That's mommy..

LAYLA	Well Mommy appreciates how much daddy likes her cooking but that story…no. (Laughs)

MICKEY	But they are the best chicken fingers in the world. Finish up your supper dude.

KYD	Okay.

MICKEY	I love you dude.

KYD	Love you.

MICKEY	Hey. What's going on?

LAYLA	You’re working tonight, aren’t you?

MICKEY	Yeah.

KYD	Will you tell me about him again?

MICKEY	Saint Sebastian?

KYD	Yeah, is he dead?

MICKEY	Why he's not dead. But he was shot full of arrows and left for dead, but because of his incredible fortitude and endurance…he survived. That’s why he’s the patron Saint of soldiers and athletes...because he never once gave up. Pretty cool huh?

KYD	Uh huh.

MICKEY	Let's say our prayers and go night night okay.

KYD	Okay.

MICKEY & KYD	Angel of God, my guardian dear, to whom God's love commits me here; Watch over me throughout the night...and keep me safe within your sight.

KYD	Amen.

MICKEY	Amen dude. Jerome!

WOMAN	Chill!! No, no!!

MICKEY	Gentlemen. How's everybody doing over here?

TOUGH GUY 1	We're doing all right. How can I help you?

MICKEY	Can I ask you gentlemen to move to the other end of the bar? Happy to buy you a couple rounds on me.

TOUGH GUY 2	I think I'm pretty comfortable right here.

MICKEY	I understand that...but if I can't get you to the other end of the bar I'm going to have to ask you to leave. And I don't want to do that. We want everybody to have a good time.

WOMAN	Thank you, these guys won’t stop hitting...hitting on my boyfriend...

TOUGH GUY 2	Shut up you stupid bitch!

MICKEY	Whoa, whoa, whoa. No, no…Fuck sake...Jerome!

JEROME	Sorry man.

MICKEY	Get him out! (Groans) Fuck!

LAYLA	I knew it was gonna happen, sooner or later. I never wanted you to go back to that job.

MICKEY	Baby there were two of them. And fucking Jerome wasn't even paying attention.

LAYLA	It doesn't matter. You know what every single doctor has said. You could lose that eye.

MICKEY	It's the only time it's happened in the last two years. I gotta keep bouncing until I can build my student base. There's no other way to pay for Kyd's school.

LAYLA	Well there are plenty of other preschools...

MICKEY	Yeah cheaper. Not better. I wanna give ya'll the better stuff.

LAYLA	Look babe...I can just go back to the law office then if that's what we need to do…

MICKEY	What so we can ear money to pay someone else to raise Kid no. No we're not doing that...

LAYLA	Bouncing is not a risk you should be taking.

MICKEY	I get in a car every day, don’t I? That's a risk...come on.

LAYLA	It's not the same thing.

MICKEY	Don't, don't...don't do this.

LAYLA	No this, this isn’t just about money...I can see it in your eyes. This is about you...needing to satisfy this…this “competitive urge”…it is or whatever it is you call it. You want a fight! You were looking for a fight. Don't leave come on!

ROSCO	Again? Yeah. I see him walking up now.

MICKEY	If I find some more students for privates, I wouldn’t have to bounce, but they all want an instructor who’ll roll hard with them occasionally you know and actually throw. She's not going to be okay with that.

ROSCO	Well Mick your doctor said that you really shouldn't…

MICKEY	Come on the doctors are exaggerating you know. They're just trying to protect themselves from lawsuits. I got hit the other day and nothing happened. Come on. A little hard rollin' is not gonna hurt anything.

ROSCO	Maybe you could try doing something where you don’t have to get hit the face on a daily basis?

MICKEY	Jiu-jitsu’s all I know…Taco. It's the only thing I'm good at man. I spent my whole life trying to build a value to society in hopes that someday I can trade little bits of it and maybe get some money to someday start a family. I can't loose that. Without that I'm mediocre man. And I'm scared shitless of being mediocre.


ROSCO	These two were hysterical. Mick wouldn't even make it past midnight because Layla would come and get him…every time. They couldn't be mad at each other for more than a couple of hours.

MICKEY	Lets go home.

LAYLA	Yeah.

JOSH	Mr. Kelly?

MICKEY	Yeah.

JOSH	We saw this fight on TV, and this one...guy did this move...I was wondering if you could show it to us.

MICKEY	Yeah...yeah sure. Your neck...is inside this triangle right here. When I apply pressure it's actually going to collapse the carotid artery, it restricts the blood flow...to the brain and your training partner is going to either ask you to stop or he's going to go unconscious. So just...get your hand ready. When you feel it you tap okay?

JOSH	Okay.

MICKEY	You ready?

JOSH	Uh…yeah.

MICKEY	Okay here we go. You okay?

JOSH	Yeah. Can’t you cause brain damage?

MICKEY	No. I mean only if you hold the choke well after your training partner goes to sleep. But we're gentlemen I mean we don't act like that.

JOSH	That's horrible.

MICKEY	Mellow down's even worse. So you hide his hands underneath. Now your training partner doesn't even have the opportunity to tap. It's not the nicest thing in the world to do but uh...

JIMMY	I’ll have to...remember that next time I find myself...with a dude between my legs. Josh, what are you doing?

JOSH	I...I’ve been thinking about learning how to grapple. I mean all the MMA guys use some form of it... at least the guys who win.

JIMMY	Their rules favor ground fighters. Many techniques not allowed in MMA, like bites...eye gouges...easily stop a grappling attack.

MICKEY	Listen Jimmy he just asked me to show him a position I meant...no disrespect...

JIMMY	I don’t know why you keep wasting your time with the gay wrestling shit.

JOSH	Guys lets get out of here.

JIMMY	What I’m teaching keeps them on their feet...and their opponents on the floor.

MICKEY	I know I understand.

JOSH	Yeah but what if someone surprises you from behind, takes you down?

JIMMY	Well, Josh...it depends on the type of attack. Tries from the back I have elbows to the face...or if he tries to tackle me from the front...I can drop elbows right on their spine, or I can box his ears. Whatever.

MICKEY	Yeah that would uh…that would probably hurt.

JIMMY	Oh, you don’t think it’d get you off me?

MICKEY	I didn't say that Jimmy...

JIMMY	Huh? Old man...Why don't we try it. Huh? Why don't we try it. Come on. You gonna stand there and you're gonna tell...my students that my techniques don't work. Glove up and prove it.

MICKEY	Not telling your students anything Jimmy. Okay.

JIMMY	Hey no one has to get hurt. Soon as you’re ready to stop, just you know...tap out. You’re used to that, right?



MICKEY	Gentlemen, it's time to go. I got a lot of cleaning to do...before class tomorrow. Let's go.

JIMMY	Come on Mick.

MICKEY	Now! Come on.

JIMMY	(Chuckles) Joke.

MICKEY	Let's go guys.

JIMMY	Come on Mick! What are you afraid of a little demonstration?

MICKEY	See you tomorrow.

JIMMY	What are you doing?

MICKEY	You wanna know what I teach? I’ll show you what I teach. You wanna know why I think what you teach is garbage? I’ll show you that too. Hell, I’ll even give you a roadmap…of what’s gonna happen. I’m gonna close the distance to clinch without so much as taking a scratch, I'm gonna take you to the ground, I'm gonna mount you, I'm gonna turn you over, take your back and then I’m gonna choke you unconscious. And then just so you don't think it was a fluke, we’re gonna do it all over again…and I’m gonna do the exact same thing…in the exact same order, and there’s not...a goddamn thing you can do about it.

JIMMY	Okay. You just know if you get too close, I'm throwing for real.

JOSH	What is going on?

JIMMY	I’m throwing with bad intentions. Okay, pal. Let’s rock. Son of a bitch! Oh!! Oh fuck you!

JOSH	Did you see that?

JIMMY	Fuck you! Let’s go again pal! Come on! Let's go!! Come on bring it!!

MICKEY	Daddy's home!

KYD	Hi, daddy!

MICKEY	Hey dude.

LAYLA	I am armed.

MICKEY	Mmmmmm. No, you're not…you're unarmed.

LAYLA	What has gotten into you?

MICKEY	He's watching TV.

ROSCO	All I had to do was log onto one of those forums. But nobody was online that much back then. I mean shit, we still had dial up if you can remember that. Anyway…turns out some interesting stuff went down in Dubai a few months earlier.

REPORTER	So who do you think will be a real challenge?

MARCO	I don't have any real challenge all year. I run this division. All my fights the same…I win, I win, I win. This guy don't try win me. You just try…

AMIN	Whoa!

FIGHTER	I'll take you on right now!! Come on right now!! (Groaning)

MASON	Get the fuck off my stage!

MARCO	Well maybe...Mr. Mason would be a good challenger. But it's never a good idea to fight your boss. Screw that guy!

TAREQ	What are you so mad about, Amin? He's the best, show respect.

AMIN	It's manipulated...They're trying to make him like Mike Tyson so they can make money. Seriously bro, where do you come up with this crap? Why doesn't he fight Miletich then? Bro, he'd kill Miletich. Miletich would mangle him.

