FEMALE REPORTER	[ speaking Turkish ]
JOSH	It is weakening. Dramatically.
DR. ZICREE	Excuse me.
DR. ZICREE	Sorry to interrupt. But--
JOSH	Dr. Zicree, sir. It is anhonor and I was looking forward to talking with you about
JOSH	the Large Hadron Collider andhelping us solve this problem.
DR. ZICREE	What exactly kind of problem doyou think we're having?
JOSH	Well, over the past millennia our magnetic field has been
JOSH	decreasing by over 5% per century,
JOSH	and in the last 100 years that has accelerated to over 10%.
MADAME PRESIDENT	I'd like to focus on preventing mega solar storms from
MADAME PRESIDENT	destroying our nationsinfrastructure.
JOSH	That is what I am talking about, Madame President.
JOSH	If our magnetic field were to dwindle or disappear entirely due to a polarity reversal.
JOSH	Then the same storm would cause  epic tectonic dislocation and atmospheric sputtering.
JOSH	And the end of all human life as we know it. Aside from just some down power lines. [ laughs ]
JOSH	Continents sinking.
RON	Chamberlain.  Please.
PAM	Josh, sit down.
JOSH	That's why I propose jump-starting the Earth's core.
DR. ZICREE	It's impossible.
JOSH	That's not impossible. You can use CERNS's LHC and the Relativistic Ion collider
DR. ZICREE	over at Brookhaven...
MADAME PRESIDENT	what the hell does this have to do with sunspots?
JOSH	If we were to creat dual singularities at both facilities,
JOSH	we can capitalize on the current retrofits.
SECRETARY	Black holes.
DR. ZICREE	You want to create black holes in two particle colliders?
DR. ZICREE	On purpose? Are you serious?
RON	Chamberlain, that is enough.
JOSH	Yes. I believe the gravitons emitted, I believe would jumpstart the dynamo effect.
JOSH	Getting the Earth's core spinning again.
JOSH	Thus recharging the magnetosphere.
MADAME PRESIDENT	Alright. Thank you, sir.
JOSH	If another solar flare hits our planet and our magnetic field is down--
ZICREE	If.
JOSH	The Earth would turn into Mars!
PAM	Josh. Time to go.
MADAME PRESIDENT 	Would you please escort this man out?
JOSH	No Oxygen.  No life.
RON	You are through. Get him out of here.
JOSH	That's it.
JOSH	This is all happening right now and nobody cares about it.
RON	Thank you. Madame President,I apologize.
JOSH	I can't believe those people.
PAM	what were you thing, Josh.
JOSH	Oh, I don't know,
JOSH	maybe if they give a damn.
PAM	I have to go back in thereand repair the damage.
PAM	The damage you just did to our career. Are you so blind that you can't see?
PAM / JOSH	[ screaming ]
PAM / JOSH	[ screaming ]
PAM	Are you okay?
JOSH	No.
PAM	Do you want me to keep the rest of it?
JOSH	You can come with me.
PAM	Because the end is near?
JOSH	Because I can't stay.
JOSH	What choice do I have?
PAM	You can stay and fight.
JOSH	[ sigh ]
JOSH	I hear Texas is nicethis time of year.
PAM	Yeah. What time is that, exactly?
JOSH	Well, I don't know.
JOSH	Background in geology and a Presidential restraining order.
JOSH	I hear that gets you a six figure salary in the Lone Star State.
JOSH	Not buying it, huh?
PAM	You're still not listening.
PAM	They're only empowered to do so much. It takes time.
JOSH	What if we don't -- What if we don't have time?
JOSH	You know this could happen.
PAM	Of course it could happen.
PAM	The Colorado River could flood. The big one could take Salt Lake,
PAM	New York, and LA all in the same day. But what about us?
PAM	What about our life?
PAM	If this happens, if you're right, I wanna be in a position where I could help people.
PAM	Don't you?
JOSH	They think - they think I'm delusional.
JOSH	[ hard sigh ]
JOSH	When you think they're ready to listen,
JOSH	give me a call.
PAM	And if this actually happens, what are you going to do about it?
JOSH	I'll build a boat.
JOSH	And when everything sinks, we'll float away.
PAM	Away from me?
JOSH	It's not what I want.
PAM	You want me to just drop everything because you didn't get what you want? 
JOSH	We can be together! Just you and me!
PAM	you talk about your Dad
PAM	not doing anything meaningful with his life?
PAM	What about you?
PAM	What are you doing?
PAM	Quitting. Going boating.
JOSH	My mother stood by my father through his drinking.
JOSH	His whoring.
JOSH	When he was embezzling paper clips from the requisitions office.
JOSH	He was left less than honorably discharged and they cut his pension in half.
JOSH	Throughout all that she stood by his side.
JOSH	Didn't say a word. 
JOSH	And I speak up to save the world,
JOSH	you laugh at me.
PAM	I didn't laugh at you.
PAM	I gave you a chance. I gave you a huge chance. I put my career on the line for you.
PAM	What did you do? You blew it.
PAM	Just like you're blowing it now.
JOSH	Yeah, well, you know what, Pam?
JOSH	Just burn the rest of my stuff because it isn't gonna matter anyway.
PAM	Josh?
TELEVISION REPORTER	Tectonic instability at the Poles has accelerated the ice caps melting, radically.
TELEVISION REPORTER	This latest tidal wave has just swallowed the populous portions of America's second largest city,
TELEVISION REPORTER	overwhelming Southern California's coastal defensesafter the 7.1 earthquake 
TELEVISION REPORTER	of the coast this morning.
TELEVISION REPORTER	While it's almost impossible tocomprehend,
TELEVISION REPORTER	the loss of life must be staggering,
TELEVISION REPORTER	and emergency workers are struggling with the enormity of the task
TELEVISION REPORTER	of recovering survivors as remote a possibility as that seems.
TELEVISION REPORTER	The death toll, the destruction-
PAM	Hello?
TELEVISION REPORTER	The utter loss of life is breath--
PAM	Yeah.
PAM	Bangladesh?
PAM	It's completely under water?
PAM	What about the North Pole?
PAM	The magnetosphere is registering at 11 microteslas.
PAM	That's 1/3 its usual-- and it's falling?
PAM	[ clear throat ]
PAM	Okay. Thank you.
PAM	Michael?
PAM	I need you to get me a ticket to Galveston.
PAM	No. It can't be tomorrow.
PAM	No. It has to be today.
PAM	Well, charter it if you have to, but I'm wheels up in 90 minutes.
PAM	Alright. Thanks. Bye.
PAM	Savory stroganoff. Josh.
JOSH	I thought you were gonna call?
PAM	I did.
PAM	You never called me back.
JOSH	Yeah. My hands have been full. But looks like yours have been too.
PAM	Looking forward to floating away?
PAM	[ clears throat ]
PAM	Look, I'm sorry. I--
PAM	I didn't come here to fight with you.
JOSH	Hey if you want to stroll down
JOSH	memory lane, I'm a little busy.
JOSH	But you're more than welcome to help.
PAM	I came here to tell you themagnetosphere has weakened dramatically,
PAM	and it's fading fast.
JOSH	I know. It was my job to track it, remember?
JOSH	I still hear things. Not everybody in Boulder thinks I'm a charlatan.
PAM	[ under breath ] I never thought you were a charlatan.
JOSH	Hey! Can you pick up the pace? 
PAM	Did you hear about the latest solar storm?
JOSH	Why do you think I'm loading the boat?
JOSH	The official reports don't account for salt water's expansion co-efficient in heat. 
JOSH	Another helium energy burst sends a flare to Earth, 
JOSH	and all this under water.
PAM	Why did you pick Galveston? 
JOSH	People here have survived three floods.	
JOSH	When you tell them something like the water's gonna rise,
JOSH	nobody looks at you crazy.
PAM	I've missed you.
PAM	Look, I didn't come here to help you escape.
PAM	I came because you can help people survive.
PAM 	We need you.
JOSH	[ scoffs ]
JOSH	Who's we?
PAM	You left, and it hasn't been easy without you, but
PAM	I'm in a position to help people.
PAM	And since it's about to hit thefan, maybe you can help me too?
PAM	How far can you make iton this thing?
PAM	I mean, how long can you make it alone, Josh?
JOSH	I've got enough fuel and stroganoff to make it as far as
I want.
JOSH	As far as how much time I've got...
JOSH	I don't know, Pam.
JOSH	How long do any of us have?
PAM	You're not gonna get a better offer, Josh.
PAM	This planet is all you've got.
JOSH	You're amazing.
JOSH	And you're the person I loved.
JOSH	And now you're here in front of me, and I can't stand to look at you.
JOSH	No. No. I'm sorry.
JOSH	I can't. I'm sorry.
JOSH	I can't.
PAM	Josh!
PAM	Josh!
PAM	Get in the car! Now!
JOSH	You want to get in that? Are you insane? We're at 13 feet, you've got 60 seconds.
JOSH	Get on the boat. Now!
PAM	What about the boxes?
JOSH	Don't worry about that.
JOSH	I'll undo the lines. You just close the open hatch! 
PAM	What about you?
JOSH	Don't worry about me. I'll get topside. Move!
PAM	[efforts throughout]
PAM	Josh!
PAM	Josh!
JOSH	[efforts swimming]
PAM	Josh.
PAM	Come on.
PAM	I thought you were gone.
PAM	[ crying ] I thought you were gone.	 
JOSH	Well... My knife's gone.
PAM / JOSH	[ laughing ]
PAM	You haven't changed much, have you?
JOSH	I wouldn't say that, Dr. Cushing.
PAM	Oh. So is that how's it's going to be?
PAM	It was fine back then. You weren't even working for me.
JOSH	Yeah, well, you were hitting on me from the next office over.
PAM	[ laughing ] Permission to come aboard Captain?
PAM	[ laughing ]
JOSH	[mocks Pam] I guess.
PAM	Jerk!
JOSH	Owh!
PAM	You saved me. You saved my life.
JOSH	Well, I didn't have a lot of time to think over my options.
PAM	You still can't stand me?
PAM	Right.
PAM	Okay. What do we do now?
JOSH	Well, I tried to tell them three years ago.
PAM	Okay. Well, what about now?
JOSH	Now?
PAM	Yeah.
JOSH	the caps Are gone.
JOSH	The world is tearing itself apart. Literally.
PAM	Well, the man I knew wanted to do something about that.
JOSH	Fine. Play Coast Guard. We'll pick up as many people as we
JOSH	can, and fill this boat up.
JOSH	And the sail for Boulder. I should still be above water.
PAM	Then you'll float away after all.
PAM	You should have built a bigger boat.
JOSH	Yeah, well it turns out making six figures in Texas was a little harder than I thought.
JOSH	I was unemployed.
PAM	[ laughs ] Well, whose fault is that?
JOSH	Pam, kill the engine.
JOSH	Survivors off the bow.
JOSH	[ grunt ] Grab the line!
JOSH	Take hold of the ring!
MARJORIE	Grab my shoulders. Grab my shoulders. [ grunts ]
JOSH	Alright. I got you. Come on.
MARJORIE	[ speaking Spanish ] Mijo, mis hombros.
JOSH	Good. Good. Come on.
JOSH	Is that everybody?
MARJORIE	Everybody's that's left-- Yes!
MARJORIE	[ crying ]
JOSH	Come inside. Come inside.
MARJORIE	If you hadn't have come on time, I don't know what would have happened to us.
JOSH	You're okay, buddy. You're safe, Alright?
MARJORIE	[ speaking Spanish ] Muevete! Muevete!-- Thank you! Thank you!
JOSH	Get inside. Go ahead.
PAM	We got another one coming. Other there.
JOSH	Hello!
GREG	Where you headed?
JOSH	We're not really sure yet. We're just - We're trying to help!
GREG	You got food?
JOSH	Some.
GREG	Alright.
GREG	I'll come.
GREG	[ efforts ]
JOSH	Come on.
JOSH	 Come on up. Come on up. You alright?
MOLLY	[ efforts ]
JOSH	You okay? Good.
JOSH	Good. There it is. Good. Come on.
JOSH	You alright?
EARL	Yeah.
JOSH	Got it?
EARL	Thank you.
JOSH	Alright.
JOSH	Sir!
JOSH	Step into the buoy!
JOSH	Put your feet in the--
MEL	What?!
JOSH	Your feet! The life saver!
MEL	What? I can't hear you!
JOSH	The life saver!
MEL	I'm hard of hearing!
JOSH	(mutter to self) Man.
ROB	Did anyone give you permission to turn that on?
GREG	No, my phone is fried, and I'm looking for the Wifi.
ROB	Get up.
ROB	This isn't your mom's house, kid.
ROB	You can't waste their power--
GREG	Sorry, dude. Sorry. Calm down.
ROB	Use some common sense.
NICK	Aww, Darn it!
NICK	That's my lucky hat.
PHIL	It wasn't working for you anyway.
GREG	There. You happy?
GREG	[ scoffs ] God.
PHIL	So hey, how did you know that this flood coming to have a boat ready like this?
JOSH	I used to be a scientist for the USGS. I tried to warm
JOSH	my superiors something like this could happen.
NICK	What happened?
JOSH	I built a boat instead.
NICK	Anybody else's ears just pop?
PHIL	That's funny.
PHIL	Why would the air pressure change?	
JOSH	Get inside!
PHIL	What?
JOSH	Get inside now! Get inside!
JOSH	Come on! Move! Move! Move! It's an ozone hole!
PHIL	Your head!
PHIL	My gosh! Your head!
NICK	Ah!
NICK	[ screaming ]
JOSH	Inside! Inside!
NICK	[ screaming ]
NICK	I can feel my skull! My skin is falling off.
JOSH	Easy. Easy.
MOLLY	What's happening?
GREG	Keep that open. It's hot in here, man!
JOSH	Pam.
MOLLY	Okay. These burns are bad.
MOLLY	Look, I took first aid while teaching pre-school.
MOLLY	I don't - I don't--
JOSH	Here. See what you can do.
MOLLY	Oh, wait, wait, wait. You don't look good, either.
JOSH	No, no. Later. I'm okay. 
JOSH	I'll be fine.
MOLLY	[ scoffs ]
GREG	Alright. Thank you.
PAM	Hey. How's it going down--
PAM	Josh, you have to wear sunscreen.
JOSH	Yeah. There's not enough sunblock on the planet to stop this.
JOSH	Have you seen this? Come on. I got to get you down below.
PAM	I can't see obstacles from down there.
JOSH	Look at the sky. It's grayer, isn't it? 
PAM	I thought it was just clouds.
JOSH	Those aren't clouds. That's our oxygen leaking out if the atmosphere.
JOSH	Less refraction, less blue.
PAM	No.
PAM	It's too soon.
JOSH	No. Maybe this is a localized hole. But our mid-latitude ozone
JOSH	is 50% thinner then it was 40 years ago.
JOSH	It doesn't thin evenly.
PAM	But if we're loosing ozone--
JOSH	That could only mean that our atmosphere is sputtering and leaking into outer space.
JOSH	It'll start slowly at first but, then it will accelerate.
JOSH	And there is nothing you can do about it.
PAM	What?
PAM	What happened to you? You knew this was going to happen. You had a plan.
JOSH	I had a lot of things, Pam.
JOSH	Now, I have a boat full of guests. 
PAM	Well, could it work?
PAM	The black holes on the opposite end of the planet.
JOSH	I don't - I don't know.
JOSH	I don't know. This is all happening a lot faster then I calculated.
JOSH	I honestly don't know.
PAM	Alright. Well, that's not good enough. Not by a damn sight.
PAM	You're not persuading me, you're not persuading anyone else like that. And you're
PAM	Earth's last hope, Josh.
JOSH	Oh. So now you believe in me.
JOSH	I never didn't believe in you. [ scoffs ]
PAM	I put you in front of the president because what you had to say was important.
PAM	I risked my career for you, and you pay me back by walking out.
JOSH	That's not fair.
PAM	Oh yeah?
PAM	I still live in our old house.
PAM	I still have my old job.
PAM	I still have the footprints on my back to prove it. You walked out on me.
PAM	And it shouldn't have been that easy.
JOSH	I thought about you everyday.
JOSH	About us. About the children we were supposed to have.
JOSH	How your parents probably saying he's the guy we always thought he was going to be.
PAM	Stop.
JOSH	It's true.
PAM 	Think about what you said about my paper.
JOSH	[ laughs ] I didn't know you'd written it. 
PAM	You were the only person who read it, and you hated it.
JOSH	It was a bit extraneous.
JOSH	[ laughs ]
PAM	Well, there's the smart-ass I fell in love with.
PAM	Come on.
PAM	Can you do this?
JOSH	I...There's a lot of moving pieces. I can't do it alone.
PAM	No.
PAM	You never could.
PAM	So I'll set her out to Brookhaven and the RHIC, huh? 
JOSH	Long Island?
PAM	Yep.
JOSH	Somebody there's going to have to reprogram the firing sequence.
PAM	You're not the only one with a PhD.
JOSH	Then I'd sail to CERN?
JOSH	Without you?
PAM	If this boat can get youthere, yeah.		
PAM	Then you get what you wanted.
PAM	I'll go tell the others.
JOSH	Be careful what you wish for.
PAM	We have to get to Brookhaven as quick as possible,
PAM	or the entire planet could suffer irreversibly.
PAM	We're trying to save the world, guys.
ROB	When you fished me out of water you said you'd get me to dry land as quickly as possible.
PAM	I know. But with the poles melting so fast and tectonic displacement wiping out
PAM	land masses across the globe, we don't know where dry land actually is.
PAM	And we can't afford the time to stop and look for it.
EARL	How do you know Brookhaven will still be there if everything is bad as you say it is?
PAM	Well the lab is built on one of the highest points on the island,
PAM	and they're equipped to protect the particle collider against natural disasters.
NICK	This disaster's starting to feel super-natural. 
NICK	Like some kind of divine intervention.
PAM	[ sigh ]
PAM	Really?
PAM	You're getting a tan during the apocalypse?
JOSH	I thought I'd leave behind and attractive corpse.
PAM	That's not funny.
PAM	What about the ozone holes?
JOSH	I just wanted five minutes outside. Besides, Earl's said he's got the ship
JOSH	and he'd warn us if the sky grays out. 
PAM	You know, this is kind of amazing.	
PAM	You planned and put all this together.
PAM	There are ten people alive right now who wouldn't be without you.
PAM	Including me.
JOSH	You know we always made a pretty good team.
JOSH	You always made me see the possibilities.
JOSH	If I could go back and do it over, I'd do four things different.
JOSH	I wouldn't shop-lift condoms in 7th grade.
PAM	[ laughing ]
JOSH	I think I still have one fossilized in some velcro wallet somewhere.
PAM	[ laughing ] No,	
JOSH	Yeah.
JOSH	I wouldn't cheat on my SATs.
PAM	How did you cheat on your SATs?
JOSH	Dictionary in the bathroom.
PAM	[ scoff ] Wow.
JOSH	Yeah. Yeah. 
JOSH	I uh--
JOSH	You know I'm not good with words...
JOSH	I wouldn't have ordered so uch savory stroganoff.
PAM	[ laughs ]
JOSH	And...[ laughs ]
JOSH	I would have never... never walked out you.
PAM	How much longer until Brookhaven?
JOSH	[ sigh ] We're doing about 38 knots.
JOSH	And if I can trust my MINS navigation and  still somewhat read my compass,
JOSH	I'd say about a day.
JOSH	Is that a...
JOSH	is that too late to say I'm sorry?
PAM	Why don't we just save the world first.
PAM 	It's a lot for a girl to take in.
JOSH	You know,
JOSH	I've been trapped in a black hole for  three years,
JOSH	in this nightmare, alone.
JOSH	And then you show up,
JOSH	and everything feels exactly how it should.
JOSH	So,
JOSH	you saved me , too. Okay?	
PAM	Don't get burned.
MEL	[ vomiting ]
MEL	[ coughing/spittting ]
PHIL	You feeling okay?
MEL	What?
PHIL	Can I help you with anything?
MEL	I threw up.
PHIL	Okay.
RONALDO	Mommy, can I play with your phone?
RONALDO	Can I play with your phone?
MARJORIE	[ spanish ] Ay hijo.
MARJORIE	dejame en paz.Dejame dormir, Ronny.
RONALDO	I want to play on your phone.
MARJORIE	You know what, here you go. It's wet. It doesn't work.
MARJORIE	Nothing does, okay? Okay?
MARJORIE	Okay?!
GREG	It's fine. Hey buddy, what's up man? How it going?
GREG	Listen, can I get your help with something really quick?
GREG	I need to tie some knots in this rope,
GREG	and you know, I could use a finger just about this size. 
GREG	What do you say?
GREG 	You get some rest.
MARJORIE	Thank you.
GREG	Let's go.
PHIL	How's he - how's he doing?
MOLLY	Probably not going to kill him.
MOLLY	[ chuckles ] Lots of luck.
PHIL	Hang in there, buddy.	
PHIL	[ exhale ]
PHIL	He--
PHIL	Hey you.
PHIL	So, you do a lot of camping?
GREG	No.
PHIL	Mostly white water?
GREG	What?
PHIL	With the raft, I just figured that you got out doors a lot.
GREG	What is this, an interrogation?
PHIL	No. Not at all.
GREG	Well you just think I want to get to know you or something--
EARL	Listen. Look.
EARL	He didn't mean anything.
GREG	And what's it to you?
EARL	Nothing. I'm just follow tranquilo, okay?
GREG	Okay.
GREG	Relax, man. I'm just messing with you, alright?
GREG	What's your name?
PHIL	Phil?
GREG	Are you asking or telling?
PHIL	It's Phil. I'm Phil.I'm -  It's Phil.
GREG	You sure?
PHIL	Yep.
GREG	[ laughing ]
GREG	Alright, Phil.
GREG	Relax, man. I'm messing you. I'm Greg.
PHIL	Okay.
PHIL	Oh should we...?
GREG	Yeah.
PHIL	I thought--
GREG	Okay.
GREG	Why are you holding my arm?
PHIL	I felt the moment-- It's totally wrong.
PHIL	Impulse was-- Yep.
PHIL	I don't know why I did that?
PAM	Call CQ. Call CQ.
PAM	This is Pam Cushing NOAA Space Weather Director, 20 MegaHertz.
PAM	Looking for a fixed station or digipeter to respond. Copy?
PAM	Call CQ. Call CQ. This is Pam Cushing NOAA Space Weather Director, 20.01 MegaHertz.
PAM	Looking for a fixed station or digipeter to respond. Copy? 
JOSH	Grab spars, hook, and poles! I need people on every side of this boat.
JOSH	We're over buildings and houses. We're miles in from the coast.
JOSH	If we founder on a roof or hit a building, or something, we're sunk.
JOSH	I'm just saying.
PAM	what can I do?
JOSH	I need people with poles on the bow and the aft.
JOSH	If they see anything, anything, push the boat way from it.
JOSH	This is vital.
PAM	Okay. Got it.
PHIL	You had oars in you raft, didn't you?
GREG	Yeah. For paddling.
PHIL	We could lash those together, maybe?
PAM	Great! Phil and Greg make sure the oars are long enough.
PAM	Alright? Go!
PHIL	Come on.
PAM	Earl. Rob. Each of you take a pole and get topside.
PHIL	I'll use the oars-- Duct tape.
PHIL / GREG	[ overlapping dialogue ]
GREG	Just hold them.
PHIL	Yeah, Yeah, Yeah.
PHIL	Okay. Okay.
PHIL	Nice.
PAM	Keep your eyes peeled and steer clear of any obstacles, got it?
EARL	Got it.
PAM	Great. Go!
PHIL	Duct tape. [overlapping dialogue ]
ROB	Got one!
ROB	We're going over a communications building. Look alive, guys!
JOSH	It's about a mile and a half of the starboard bow. I think they're in trouble.
EARL	Coming up! Tail end!
PHIL	Here. You got this?
GREG	Yeah. I Got it. Go ahead.
EARL	Okay.
PHIL	Wow.
PHIL	You okay, man?
GREG	Yeah, yeah. I'm good.
EARL	Hey man, look alive! This is serious!
GREG	Alright! Man, I got this, alright? Calm down!
GREG	Damn.
JOSH	Oh, man.
PAM	I got to get out there.
JOSH	I don't think that's a good idea.
PAM	Of course it's not a good idea.
JOSH	I don't want you anywhere near that building when those levees break.
PAM	That's why I have to keep them from breaking.
PAM	Who's in charge here? 
SOLDIER	We're not accepting anymore civilians.
PAM	No, no. I'm Pam Cushing,
PAM	Director of Space Weather for the National Oceanic and Atmospheric Administration.
PAM	I need to know who's in charge of this facility?
SOLDIER	I think Bill's down in the cafeteria, right? We've been cutoff, Ma'am,
SOLDIER	without communications or a civilian administrator.
SOLDIER	The power's been spotty, and Staff Sgt. Wilkerson has been kind of running things.
PAM	Okay. Thank you, Soldier.
PAM	Please tell your Staff Sgt. To make it to the main entrance with as many soldiers--
SOLDIER	Soldiers? It's just me, him, and a refugees.
PAM	Okay. Fine. As many able-bodied
PAM	recruits as he can lay his hands on in 4 minutes.
PAM	Now!
SOLDIER	Bill, this is Ricky. You'd better get down here.Right now and bring everybody.
SOLDIER	I mean it. Someone's here, and she's pissed.
JOSH	I need 3 or 4 of you guys on the double. You're going to save the world.
JOSH	Bring your stuff with you. We have to keep this place from flooding.
JOSH	You're going to need all hands on deck. If these computers get you water-logged
JOSH	they're not even going to be able to run BASIC.
PAM	What are you gonna do?
JOSH	I have enough diesel over there to get us over to France.
JOSH	But I'm going to have to hitch a ride over to CERN from there.
PAM	Gentlemen,	
PAM	this facility will not flood. It can't. The future of all life on Earth depends on it.
PAM	Do you understand me?
EARL	We need 3 or 4 mean to keep the collider from flooding.
TOM	I'll go, too.
GREG	Uh-uh. Ain't no way I'm going out there.
GREG	Look man, nothing personal. But that's suicide.
GREG	We're talking about building a wall to keep out the Atlantic Ocean.
GREG	And I don't want no part on that.
GREG	What did he say? He needed what, 3 or 4 of y'all, right?
GREG	So I see 1, 2, 3. So...
MARJORIE	4 and a half. [ Spanish ] Vamos mijo.
TOM	Are you sure that's a good idea?
MARJORIE	Getting off the boat is a good idea before I loose my mind.
MARJORIE	So, yes. [ Spanish ] Vamos.
GREG	[ sucks teeth ]
PAM	Alright.
PAM	I got it. Alright. At least I think I got it.
PAM	The underwater cable will provide a grounded line for us to talk once we get to CERN.
JOSH	Okay.
PAM	Are you gonna make it there in that?
JOSH	Yeah. I mean, the ark's got at least 37 days, right?
PAM	[ laughs ]
SOLDIER	Ms. Cushing, Staff Sergeant Wilkerson will be here in a minute.
