carlos	antes de marcharte quiero que sepas que borraré tu nombre de la memoria de nuestro hijo...
hipólito	en la parte previa al duelo en sí, la consistente en atemorizar al… al adversario, no se me dio mal... pero en llegando al evento la cosa se torció tangencialmente que por poco mi ojo no rueda por el follaje… pero lo importante es que la cuita está resuelta, angelinita...

angelina	nadie se había batido por mí en duelo... ¡eres tan viril, hipólito…!

hipólito	mujer, mujer… calma tu ardor de hembra que está mi madre delante… presente… que… además, tenemos que  hablar, angelinita, porque precisamente ésa es nuestra traba...

angelina	¡nuestro amor no tiene trabas, hipólito…!

hipólito	no... sí, sí que las tiene, y bien grandes como la casona… mira, es normal que sientas esa atracción animal hacía mí, mujer, pero… pero no nos precipitemos...

angelina	¡precipitémonos...! ¡estamos hechos el uno para el otro, amor mío, no seas  ciego...!

hipólito	que no, que no, que además que no  lo pienso yo sólo… mira, mira, fíjate... ¡madre, ¿nos puede hacer un favor?!

dolores	mientras no sea de cuartos o de esfuerzos...

hipólito	¿a qué angelina y yo absolutamente no casamos para nada como pareja?

dolores	¡rediez, vaya par de pánfilos, pero si sois como dos gotas de agua...! tú no tendrás familia en ávila, de donde proceden los mirañar, ¿verdad, niña?

pedro	¡apresuraos, a la trastienda, que se acerca el capitán cortés y trae el trote ligero!

angelina	ah… ah…

pedro	bienvenido a nuestro humilde colmado, capitán cortés...

cortés	buenas…

tristán	tranquila, no hables, esto te calmará...

pepa	¿martín… martín está a salvo…?

tristán	no sufras, mandé a don anselmo tras él, en su habitación está, bien cuidado por mariana...

don anselmo	pero, ¿qué ha sucedido, muchacha? ¿qué hacías en ese paraje aislado con carlos castro?

pepa	me hizo llegar mediante ardides, haciéndome creer que martín estaba en peligro. 

tristán	¡maldito cobarde...!

don anselmo	lo que está claro es que ya sabemos que su falta de memoria no es más que una miserable representación. ahora mismo me llego al cuartelillo para denunciarlo.

tristán	¡aguarde un momento, padre...!

pepa	¿aguardar a qué, es que aún tienes dudas sobre ese malnacido…? 

tristán	no tengo ninguna duda, pero necesito ocuparme personalmente este asunto. 

don anselmo	ya has visto que es capaz de cualquier aberración… es un hombre perturbado y muy peligroso... 

tristán	y también tiene secretos acerca de pepa y de mi hijo que no convendría que salieran a la luz. debo arreglar este asunto personalmente. así que, padre, de momento, le pido por favor, que se olvide de denuncias.

rosario	aquí te traigo una infusión de cáscara de limón y miel...

pepa	agradecida, rosario... y gracias por poner también a tristán en alerta.

rosario	cuando te vi salir de la cocina como la pólvora supe que algo malo estaba sucediendo.

tristán	pero gracias a dios todo ha pasado... padre, le pido, por favor que apacigüe a martín y a mariana, enseguida iré a darles instrucciones... rosario, a ti te pido discreción absoluta.

rosario	no saldrá de aquí, señor...

tristán	venga, bebe despacio...

pedro	¿y bien, qué desea…?

dolores	¡las alubias están de oferta y tienen una calidad pasmosa...! ¿no quiere llevarse un par de saquitos para su regreso a madrid?

cortés	¿saben ustedes a qué me dedicaba yo en filipinas?

pedro	ah… ¡pues no, pero estaremos encantados de escucharle…! díganos...

cortés	a interrogar prisioneros de guerra… y tenía absoluta licencia para actuar como yo creyera menester... no se imaginan cómo echo de menos aquello... 

cortés	…sólo lo voy a preguntar una vez, ¿dónde está mi hija?

dolores	una clienta me ha dicho que la ha visto por la puebla, por el norte. si cabalga raudo aún la alcanza...

cortés 	¡si es un embuste, volveré…!

pedro	¡pero, ¿por qué le has mentido, dolores?! ¡que ese hombre sabe torturar y cuando no encuentre a angelina regresará...!

dolores	¡seguro que lo de las torturas es un invento para amedrentarnos…! ¿verdad que sí, hija…?

angelina	ah… lo cierto es que le apodaban “el quebrantadedos cortés”

pedro	¿quebrantadedos…? ¡se acabó! ¡vamos a meter cordura de una vez en esto…! ¡cuando regrese le decimos que estás aquí y santas pascuas…!

angelina	¡nadie podrá con nuestro amor! ¡díselo tú, hipólito...!

hipólito	mujer, cuando… cuando las aguas bajan tan caudalosas, lo más prudente es esperar para atravesar el río...

dolores	¿de qué ríos estás hablando ahora, alcornoque?

hipólito	que puede que mis padres lleven razón y… y lo nuestro haya llegado a su fin...

angelina	ah… ¡ni hablar! nadie enturbiará nuestro amor. hipólito, tú me amas con todo tu ser...

hipólito	hombre, con todo mi ser tampoco sé yo, ¿eh? que…

angelina	sí, es así, pero son ellos que te impiden demostrármelo, y no lo voy a permitir… ¡así que si alguien más quiere separarnos, estoy dispuesta a quitarme la vida aquí mismo…! ¡y veremos a ver entonces cómo logran aplacar a mi padre...!

pedro	¡pues no, no, no, eso tampoco es la solución, claro que no, no…! ¡de delatarte nada, ¿eh…?! ¡nada….!

angelina	sabía que lo comprenderían. y ahora me voy hacer unos recados... ¡regreso rauda, amor mío…! ah…

hipólito	ciertamente no sé qué les doy...

francisca	¡comandante sanz, ¿aún por aquí?! se ve que al final le está cogiendo apego a puente viejo...

sanz	ya le dije que, con su permiso, esperaría el regreso de carlos castro para interrogarle sobre el asesinato del capitán prieto.

francisca	y por lo que veo, aún no ha aparecido. ese hombre es un impresentable hasta para ser interrogado. ármese de paciencia, y si necesita que se le sirva cualquier cosa no tiene más que pedirlo...

sanz	se lo agradezco, pero no creo que sea necesario. apostaré a dos soldados en la entrada de la finca y marcharé a descansar.

francisca	le recomiendo que se llegue hasta la puebla, la posada de puente viejo deja mucho que desear...

sanz	ah… así lo haré. confío en que si tiene alguna nueva sobre su paradero me lo hará saber.

francisca	marche tranquilo, comandante, que no hay nadie más interesada que yo en que se haga justicia...

francisca	¡don anselmo, no le hacía en la casona y aún menos en los aposentos…! ¿es que ha ocurrido algo?

don anselmo	eh… todo está en orden, doña francisca. eh… precisaba hacerle una consulta a tristán, pero ya está resuelta...

francisca	¿nada que yo deba saber?

don anselmo	asuntos equinos... estoy pensando en adquirir una montura y quería pedirle consejo a su hijo...

francisca	ah… ¿usted a caballo, padre? no le hacía tan aventurero...

don anselmo	los caminos del señor son inescrutables, doña francisca, y a veces demasiado largos para unas piernas tan cansadas como las mías... le creía ya lejos de puente viejo, comandante...

francisca	está interesado en hablar con carlos...

don anselmo	¿con qué motivo?

sanz	hay sospechas fundadas de que está implicado en el asesinato del capitán prieto... eh… ¿usted no tendrá noticias sobre  su paradero, padre?

don anselmo	no... lo lamento pero en nada puedo ayudar. y ahora, si me disculpan, he de regresar al pueblo.
sanz	le acompaño, padre...

francisca	marchen con dios, señores...

alfonso	no nos gusta seguir engañándola, don raimundo...

raimundo	y eso es algo que os honra, pero sólo serán unas horas. os lo pido como favor personal.

ramiro	sabe que usted  no precisa pedirnos nuestros favores, raimundo, pero, ¿cuándo piensa decirle la verdad?

raimundo	por carta cuando esté en madrid labrándose un porvenir en ese restaurante.

alfonso	me barrunto entonces que el siguiente favor a pedir será que nosotros le escribamos la carta...

raimundo	pues te barruntas bien, así que vete practicando la caligrafía, ¡que por lo que recuerdo...!

ramiro	cuidao, cuidao, cuidao, cuidao...

emilia	¿qué andarán tramando los castañeda y el ulloa cuando me acerco y se  quedan quietos como estatuas? ¿eh?

raimundo	nada más que comentando tu marcha a madrid. alfonso y ramiro que  se quejan de que van a dejar de catar el mejor cocido de  la comarca...

emilia	pues que no se quejen tanto que antes de mi partida les dejaré un  puchero para ellos solos.... 

raimundo	¡ah, mira…!

emilia	¿y usted, padre, nota alguna mejora?

raimundo	pues creo que sí. esta noche he recuperado un poco más de visión.

emilia	¿qué, de veras…?

raimundo	sí, sí, de veras. ¿quieres que te lo demuestre? 

emilia	venga…

raimundo	muéstrame los dedos que quieras de la mano, ya verás.

raimundo	tres… creo que son tres...

alfonso	nosotros nos vamos a atender al personal...

emilia	me alegro de que vaya mejorando...

raimundo	yo también... y ahora, si me disculpas, voy a descansar un rato a mi habitación.

emilia	espere un momento... espere...

emilia	…a ver…

emilia	…esto es para usted, para cuando recupere del todo la vista...

raimundo	¿el qué hija…?

emilia	es “cañas y barro”, el último libro de blasco ibáñez... espero que le guste...

raimundo	será lo primero que lea en cuanto estas sombras se conviertan en letras. muchas gracias...

emilia		muy bien, padre, muy bien…

tristán	pero, ¿por qué no has querido quedarte en la casona? allí estarías mejor cuidada...

pepa	en tu habitación y cuidada por ti, ¿no, soldado? tu madre estaría encantada...

tristán	¿se te ocurre mejor manera para reponerte de tus heridas?

pepa	la oferta era tentadora, pero ya sabes que no es lo adecuado. 

tristán	adecuado o no, no quiero volver a separarme de ti, pepa, nunca más.

pepa	de quien no te tienes que separar es de martín. ¿quién sabe si carlos no está pensando ya en la manera de entrar en la casona para llevárselo?

tristán	martín está a salvo... tú misma has visto  la finca custodiada de hombres armados, tanto del servicio de la duquesa como del comandante sanz. no corre ningún peligro.

pepa	¡pero tú sí al empeñarte en ir tras él…! ¿por qué no dejas que se ocupen ellos? 

tristán	pepa, carlos es un cobarde... lo ha  demostrado atacando a una mujer indefensa...

pepa	de verdad he sentido que mi vida se iba... 

tristán	y si yo no hubiera llegado a tiempo, a mí se me va la mía contigo...

pepa	tristán, tenemos que ser discretos. recuerda que soy una mujer casada y ante eso no podemos hacer nada.

tristán	no dejo de recordarlo y me atormenta sobremanera, pero hoy, al sentir que te perdía, jure ante dios que si te devolvía a la vida no habría ley humana ni divina que me apartara de tu lado. pepa, si tenemos que ser proscritos, lo seremos, pero juntos… 

pepa	pero hoy has de romper esa promesa y llegar a casa, ya es tarde...

tristán	no… no sin antes escuchar de tus labios que tú sientes lo mismo que yo...

pepa	sabes que sí...

soledad	ah… ahora no me dibujes que no está el horno para bollos...

juan	¿sigues molesta por lo de ayer?

soledad	meter aquí a huéspedes de mi madre es como meter al zorro en el gallinero, ¿no te das cuenta?

juan	pero, ¿qué querías que hiciera, mujer? estaba lastimada de una pierna y se había desorientado. era cuestión de humanidad... 

soledad	conozco muy bien a la gente de su clase y gastan de todo menos humanidad… ¿o es que ya no recuerdas al marqués de albi?

juan	al menos tienes que reconocer que la mujer destila buen gusto a raudales. alabó mi talento.

soledad	¿cómo no iba a alabarlo si tú eres un artista como la copa de un pino…? bueno…

soledad	¿…qué te parece estas etiquetas para los espárragos…?

juan	bien…

soledad	¡pues sí que  pones entusiasmo...! 

juan	¿qué entusiasmo quieres que ponga cuando mi mujer me restriega por la cara que aquí los cuartos sólo los trae ella? 

soledad	yo no te restriego nada, juan. no seas injusto conmigo. esto es para los dos… estamos juntos en esto y mis logros deberías considerarlos como tuyos. 

juan	tienes razón... lo siento… voy a por leña...

rosario	¿qué ocurre, soledad?

soledad	nada, rosario, que le hace hervir la sangre no encontrar un trabajo adecuado...

rosario	y más se la calienta que lo hayas encontrado tú, ¿me equivoco…? 

rosario	…hija, no se lo tengas en cuenta… a los hombres les cuesta mucho tragarse el orgullo.

soledad	lo sé, rosario... también sé que todo va de  maravilla. a sebastián le han gustado mis diseños y me ha dado faena por cinco semanas más.

rosario	¡no sabes cuánto me alegro…! sebastián es un buen muchacho, y gracias a dios, no se ha dejado malmeter por la señora... 

rosario	¿tú  sabes algo de virtudes, su prometida?

soledad	poco más que lo que acaba de decir, que es su prometida… ¿por qué…?

rosario	ayer la vi hablando con su hermano, el tal gerardo, y encontré algo muy extraño en su actitud… no sé hasta me pareció ver... 

soledad	¿el qué…?

rosario	ay, quizás sean chifladuras de una vieja fantasiosa, pero apostaría lo poco que tengo a que esos dos ocultan algo...

rosario	…anda, hija, no… no me hagas caso que ya estoy perdiendo la sesera… bueno, ¿y cómo va mi futuro nieto…? ¿has sufrido alguna molestias?

soledad	ninguna, rosario, siento que crece en mi interior un poquito cada día… y creo que ya se nota un poco, mire, tóqueme el vientre... ah… venga…

rosario	¡ay, soledad…!

francisca	te felicito, raimundo, ya estás listo para la función estelar del circo price de madrid...

raimundo	te agradezco tu apoyo, francisca… pero sí, si lo de la posada no me sale bien, siempre puedo probar en la farándula… ¿qué has venido a buscar?

francisca	¡no me sueltes los perros que vengo en son de paz…! aunque si es así como tratas a tus clientes no me extraña que pases siempre por tantas estrecheces económicas...

raimundo	eh… no nos engañemos, tú no eres mi cliente y mis estrecheces económicas siempre han tenido la misma culpable…

francisca	por lo que veo tu pérdida de visión no ha mermado tu victimismo, raimundo... lo que no sé es de dónde saca tu hijo sebastián esa inteligencia para los negocios…

raimundo	no ha sido su inteligencia, ha sido tu veneno... 

francisca	¡paparruchas…!

francisca	¡…bonito rótulo, aúna clase y distinción...! supongo que tu hija habrá aprovechado que no puedes ver para introducir elementos elegantes en este antro.

raimundo	si tanto te disgusta mi casa, no sé por qué  asomas el hocico a la primera de cambio. ¿me vas a decir qué has venido a buscar o… o vas a seguir toreándome…?

francisca	difícil elección, pero te lo diré... vengo, en primer lugar, a interesarme por tu salud.

raimundo	dudo que estés interesada en mi salud… más bien, que te gusta mirar a los ojos de tus enemigos cuando están mordiendo el polvo… ¿deseas algo más?

francisca	también devolverte el cumplido… tú viniste a darme tu apoyo cuando estaba a punto de perder a tristán y yo vengo a hacer lo mismo ahora que emilia va a volar del nido.

raimundo	ni las circunstancias son las mismas ni yo voy a tener una reacción como la tuya, aunque lo parezca… porque sí, voy a llorar pero de alegría porque mi hija se va labrar un porvenir.

francisca	¡si crees que aquellas lágrimas fueron un gesto de debilidad estás muy equivocado, raimundo…! ¡vuelvo a ser la misma francisca montenegro de siempre…!

raimundo	querrás decir la francisca montenegro de después de casada....

francisca	¡tú me has entendido…! ¡no te confundas dando las vueltas...! ¡adiós, ulloa…!

emilia	¿se puede?

alberto	adelante, emilia...

emilia	anoche estuve esperando a que volviera a la casa de comidas, pero no apareció...

alberto	llegué tarde de una visita y decidí quedarme a dormir aquí… pero dime, ¿qué haces aquí? ¿estás enferma?

emilia	no... lo cierto es que no he pegado ojo en toda la noche...

alberto	ah… es normal que se te agarren los nervios al estómago cuando está tan próximo tu viaje a madrid.

emilia	no es por el viaje, es por mi padre y su presunta recuperación.

alberto	¿por qué dices presunta…?

emilia	a mí no me engaña, doctor… ni usted, ni mi padre, ni los castañeda. sigue viendo oscuridad como al principio, ¿no es cierto?

alberto	en este tipo de pacientes las… las recuperaciones no… no siguen un patrón establecido. un día puede despertar mejor y al día siguiente sufrir...

emilia	¡no, déjese  de rodeos, doctor…! aunque usted no lo crea yo no me acabo de caer de un guindo y merezco saber la verdad y no me pienso mover de aquí hasta tenerla...

alberto	emilia, lo siento mucho, pero estás en lo cierto… tu padre no ha recuperado ni un grado de visión, y… y dudo mucho que lo vaya a hacer nunca...

emilia	¿y por qué me ha estado mintiendo? ¿por qué todos me han tenido engañada?

alberto	porque él nos los pidió así... no quería que la decisión que tomases acerca de la oferta de trabajo se viese afectada por su salud...

emilia	¡es mi padre, por el amor de dios, eso es una majadería…! 

alberto	no lo es, emilia, ¿o le habrías dicho que sí a la oferta sabiendo que él no mejora?

emilia	¡por supuesto  que no, y ahora mismo me voy a mandar un telegrama para informar de mi cambio de opinión y ya está…!

alberto	¡emilia… no te precipites…! si tu padre ha hecho lo que ha hecho es por amor a ti, y porque sabe que te arrepentirás toda la vida si le dices que no a ese trabajo.

emilia	no puedo dejarle solo.

alberto	esa es una decisión tuya, pero ten en cuenta que si tu padre ha logrado engañarte durante  todos estos días a lo mejor es que puede valerse por sí mismo...

tristán	buenos días, madre...

francisca	magníficos, hijo... 

francisca	…eh… hace tiempo que no departimos tú y yo un rato a solas. ¿tomamos un refrigerio?

tristán	no, llevo algo de prisa... he de pasarme por los campos de cultivo y más tarde por la conservera. sebastián y yo estamos estudiando la forma de dar entrada a nuestros productos en las grandes ciudades...

francisca	eso es estupendo... pero antes de marchar, ¿me vas a contar qué está sucediendo?
tristán	no sé a qué se refiere...

francisca	no soy estúpida, sé muy bien cuando ocurren cosas en mi casa. aparte del trasiego del servicio a tu habitación, ¿qué hacía ayer  don anselmo contigo…?

tristán	quise pedirle una misa en memoria de angustias y del pequeño tristán...

francisca	muy loable, hijo, pero él me comentó que le estabas ayudando a elegir una montura… si tú no me sacas de dudas habré de interrogar a rosario y a mariana...

tristán	deje tranquila a rosario y a mariana... ayer hubo un incidente entre carlos y pepa.

francisca	¿qué tipo de incidente…? sabes que lo averiguaré tarde o temprano… 

tristán	intentó quitarle la vida... suerte que llegue  a tiempo...

francisca	¡santo dios...! ya sé que ese perturbado no precisa de razones, ¿pero con qué motivo?

tristán	como usted bien dice, ¿qué… qué motivo necesita un perturbado…? 

francisca	es cierto, lo importante es que las autoridades le den caza cuanto antes. mandaré avisar al comandante sanz.

tristán	no va a avisar a nadie.

francisca	¿cómo que no…? ¿has perdido la cordura…? es un asesino. hay sospechas de que ya mató a prieto y el siguiente puede ser cualquiera de nosotros.

tristán	¡no va matar a nadie, y yo necesito encontrarle y hablar con él…! es mi hermano y ha de aclararme demasiadas cosas...

francisca	ya tendrá tiempo de aclarártelas engrilletado.

tristán	por una vez deje que yo me ocupe. es de vital importancia para mí hablar con él antes de perderle para siempre… madre, si en unos días no tengo noticias suyas, yo mismo iré a dar parte a las autoridades, pero, por favor, deme su palabra de que mantendrá el secreto.

francisca	tienes mi palabra, pero prométeme que tendrás cuidado.

tristán	le mantendré informada.

francisca	¡elena, aprisa, manda llamar al comandante sanz… y a mauricio...! y no te demores… ¡venga…!

pedro	¿para qué nos habrá citado aquí la descerebrada ésa…?

dolores	cualquiera sabe, pedro, pero no la contrariemos que ésa es capaz de buscarnos una ruina… ¡como se suicide en el colmado se acabó nuestra carrera política...!

pedro	¡si es que de tal palo, tal astilla...! ¿qué podíamos esperar de hipólito más que se arrejuntara con una chiflada de tal calibre…? ¡no, si ésta va hacer buena a emilia ulloa, y sino, al tiempo...!

dolores	jamás pensé que diría eso pero no puedo estar más de acuerdo contigo... ¡mira, ahí están…!

angelina	¡disculpen por la espera, señores mirañar, pero paseábamos por la ribera del río y estábamos tan en la gloria que se nos nublaron las entendederas...! 

pedro	se me antoja a mí que  tú ya venias de casa con las entendederas nubladas, criatura…

dolores	bueno, ¿y por qué nos has hecho venir? que hemos tenido que cerrar el negocio por las urgencias...

hipólito	pues… pues no lo sé, al parecer es una sorpresa. ni a mí mismo me la ha querido contar...

cortés	¡hija mía! 

angelina	¡ay!

cortés	¿estás bien…?

angelina	perfectamente… bien atendida por la familia del alcalde. he estado con ellos todo este tiempo.

pedro	¡eso… eso es incierto…! ¡le juro que yo me he llevado la misma sorpresa que usted al verla…! ¿a que sí, dolores?

dolores	¡y tanto, hipólito nos la acaba de presentar...!

angelina	bueno, bueno, bueno… dejemos las formalidades  y centrémonos en lo que nos ocupa, ¿les parece…? siéntense…

angelina	…hipólito y yo tenemos de comunicarles algo...

hipólito	¡ay, madre de dios…! ¡yo voy al colmado y lo voy abriendo, ahora veo...!

angelina	¡esto también te concierne, palomo mío…! como bien saben, el amor que hipólito y yo nos profesamos es… es puro y cristalino como las aguas del deshielo...

pedro	a mí no es que me disguste la retórica,  pero por qué no arrea usted un poco a su hija...

hipólito	¡sí, sí, que ya me empieza a correr el sudor frío por la espalda, mujer...!

angelina	ah… padre, señores mirañar, hipólito... ¡estoy embarazada…!

sanz	buenos días, doña francisca, me han dado aviso de que quería verme...

francisca	así es, comandante, pase y siéntese, por favor. tengo noticias de su huidizo fugitivo...

sanz	¿sabe dónde está carlos castro…?

francisca	desgraciadamente no poseo esa información pero sí otra que sin duda será de su interés.

sanz	usted dirá...

francisca	antes querría estar segura de que su fuente permanecerá en el anonimato, podría causarme problemas con mi hijo, al que le vence el sentimentalismo, y después de haber estado a punto de perderle es lo último que desearía...

sanz	cuenta con mi absoluta discreción.

francisca	bien... he sabido que ayer carlos intentó asesinar a pepa aguirre, la partera. 

sanz	¿por qué motivo?

francisca	eso poco nos importa a usted y a mí, pero confirma sus sospechas de que es un sanguinario asesino...

sanz	ah… sin duda ahora mi teoría ahora tiene más visos de ser cierta. le agradezco esta valiosa información, señora.

francisca	agradézcamelo dando caza a ese malhechor antes de que se lleve por delante a otra alma.

sanz	así lo haré... doña francisca, con su permiso...

francisca	tú siempre llegando tarde, mauricio...

mauricio	lo lamento, señora, pero es que me ha cogido faenando…

francisca	¡déjate de burdas excusas…! ¿te has enterado ya de lo sucedido con la partera?

mauricio	no.

francisca	¿cómo  ibas  tú a saber  nada si no te enteras ni de la misa la mitad…?

soledad	¡adelante!
soledad	doña eloísa, ¿de nuevo se ha extraviado y precisa descanso?

eloísa	no soy yo de las que cometen  dos veces el mismo error, querida. hoy me acompaña mi servicio. 

soledad	discúlpeme si la ofendo, pero si viene a traerme recado de mi madre, ha de saber que no me fío de nada, ni de nadie que tenga trato con ella... 

eloísa	y haces muy bien, muchacha, yo tampoco lo haría. pero has de saber que  no ejerzo de recadera de nadie...

soledad	ah… ¿y entonces a qué debemos su presencia? 

eloísa	ay… busco a tu marido…

soledad	¿con qué motivo?

eloísa	si no te importa, el motivo se lo daré a él…

juan	¿qué está haciendo aquí, señora?

eloísa	¡ay, juan…! desde ayer que me marché no he dejado de pensar en tu talento y dado que la mala fortuna va hacer que pase aquí unos días, quiero que pintes mi retrato.

soledad	es una oferta muy generosa, pero como ve, juan no está en condiciones de pintar con el brazo así.

juan	no, soledad, esta quemadura terminará por sanar… mientras, puedo hacer bocetos y tomar apuntes con el otro brazo. en la academia nos hacían pintar con las dos manos.

eloísa	como ve, su marido, es un hombre con muchos más recursos de los que usted imagina.

soledad	se lo agradecemos, ¡pero no…!

eloísa	¿dejas que tu mujer decida por ti? ¡qué insólito…!

juan	no... 

eloísa	pagaré generosamente tus servicios. ¿no es ésta la oportunidad que estabas esperando?

soledad	no aceptes, juan, esa mujer no me gusta nada. me barrunto que  puede causarnos dificultades y ahora  no nos urge...

juan	¡pero a mí sí me urge, soledad, a mí sí…! es mi obligación  traer dinero a esta casa y puedo hacerlo ejerciendo mi profesión… 

juan	¿dónde quiere que le pinte los retratos? 

eloísa	en la casona... 

eloísa	¿…hay algún inconveniente…?

juan	no, ninguno por mi parte.

eloísa	bueno, pues estupendo entonces... si me acompañas, mis criados dispondrán todo lo que necesites... 

eloísa	…hasta luego, querida…

soledad	uf…

mauricio	¡rediez, no sospechaba yo que el tal carlos fuera tan despiadado...!

