MAN (VO) 		(on phone) Yup. All right. 
DAVID 		(on phone) No, no, I'm good. I just jumped in a cab. I'm gonna head straight to the apartment. I’ll call you as soon as I get there.

DETECTIVE ROMERO 	(on phone) No, no, no, you can’t do that. Hello? David?

DAVID 		(inhales) 

CAB DRIVER #1	Where are we headed, sir?

DAVID 		Sir, yeah, Five-fifty, uh, Masaryk por favor, thank you. 

CAB DRIVER #1	You here on business? 

DAVID 		No. 

CAB DRIVER #1	Well, if you’re here on vacation, I know a couple of spots with some beautiful women. (speaks Spanish) 

DAVID 		I'm actually here to see my family. Thank you. 

CAB DRIVER #1	Well, if you need anything, you know, just, uh-- 

DAVID 		(overlapping) Excuse me, I got a call. (on phone) Hello? 

DETECTIVE ROMERO 	(on phone) David? You can’t go to the apartment. It’s a- it’s a crime scene.

DAVID 		(on phone) Detective, I'm going straight to the apartment, okay? I- I- I need answers and I need to see this for myself. Okay?

DETECTIVE ROMERO 	(on phone) Please. Come to the precinct. I know you want answers, and, uh, we can go over stuff here. 

DAVID 		(on phone) Yeah, I know, I have it. Central District, right? (to Cab Driver #1) Senor?

CAB DRIVER #1	Yeah? 

DAVID 		The police station in the Central District, do you know where that is? 

CAB DRIVER #1	Yeah. 

DAVID 		Can we go there, please?

CAB DRIVER #1	Yeah. 

DAVID 		(on phone) I’ll be there as soon as I can. 

DETECTIVE ROMERO 	(on phone) Great. I’ll see you here. (exhales) 

DETECTIVE ROMERO 	(sighs) 

DETECTIVE ROMERO 	(CONT’D) (speaks Spanish)	Mr. Miller. I'm Detective Romero. 

DAVID 		(exhales) It’s good to meet you, sir. 

DETECTIVE ROMERO 	I wish it was under different circumstances. 

DAVID 		Of course. 

DETECTIVE ROMERO 	Please. 

DAVID 		Thank you. 

PRISONER 		(speaks Spanish) 

DETECTIVE ROMERO 	(to Officer) (speaks Spanish) (to David) David, please. (sighs) 

DAVID 		Is here okay?

DETECTIVE ROMERO 	Yes, right there, please. 

DAVID 		(breathes heavily) 

DETECTIVE ROMERO 	How was your journey?

DAVID 		Long.

DETECTIVE ROMERO 	Can I get you something to drink? Uh, water or coffee?

DAVID 		Actually, I'm okay, thank you. I- I-- Truthfully, I’d rather just, uh, get on with things if that’s okay. I wondered if there was any more information, news, leads, anything?

DETECTIVE ROMERO 	Uh… not yet, but- but when the forensics on the crime scene come back short- coming in shortly. David… I want you to tell me again the first thing that you remember. 

DAVID 		His voice.

DAVID 		So, is it- is it- is it normal for- for a kidnapper to take a woman and a child, beat them half to death? I mean, what use are they to anybody if they’re dead? (sighs) Is it normal? 

DETECTIVE ROMERO 	At times, yes. To prevent resistance. You know how many ransom kidnappings we have here? We have a lot more experience at this than you do, David. Now, you’re very upset. Please. Try to sit down and relax. Please?

DAVID 		(sighs) 

DAVID		It’s just the way… he looked at me.	With such hatred. He- he- he- he knew me. He knew my name. 

DETECTIVE ROMERO 	Mm-hmm. 

DAVID 		It felt so personal. It was like-- It was as if he was en- enjoying some kind of sick game like a challenge.

DETECTIVE ROMERO 	Mm-hmm. You wife is the daughter of a very wealthy businessman. She’s a national treasure. High profile and money. This is a- a- a kidnapper’s dream, David. So, there are some, uh, some procedural things that are left to do, oh, about an hour or so, so while we prepare those please go get some air. It’s been a very long day for you, okay? I think we’ve done enough for now. 

DAVID 		(on phone) Ten minutes? Yeah, perfect. Yeah, same place. 

DETECTIVE ROMERO 	(overlapping) (to Officer) (speaks in foreign language) 

DAVID 		(overlapping) Okay, great, thanks.

DETECTIVE ROMERO 	David, I, uh, I want you to have this. It’s a local phone with all the- the numbers, my- my contacts. I wanna be able to reach you, uh, immediately for something.

DAVID 		Okay, wonderful. Thank you. 

DETECTIVE ROMERO 	Do you need a ride?

DAVID 		Uh, cab’s on the way.

DAVID (CONT’D) 	Thank you, Detective. Thank you very much. 

DETECTIVE ROMERO 	We find them. 

DAVID 		Good night. 

CAB DRIVER #1	Ten pesos. Hey, you sure you wanna stay here? It’s- it’s no good here, man. It’s dangerous.

DAVID 		It’s perfect. But thanks, huh? Keep it.

ISABEL 		(cries softly…) 

DAVID 		Hey, thanks for getting my stuff, huh?

BELLA 		Hey, no problem. We hadn’t heard from you in hours, and got worried. 
	
DAVID 		I'm sorry. I just lost track of time, that’s all. (sighs deeply) Did the detective call you?

BELLA 		No. I called him. 

DAVID 		Okay. 

BELLA 		He told me you left your stuff at the station and he gave me this number to reach you. 

DAVID 		Okay. Thanks. 

BELLA 		David? Are you sure you won’t stay with us? 

DAVID 		Yeah, I'm okay. You know how your father is.

BELLA 		Yeah. (sighs) 

BELLA			David, what exactly happened? 

DAVID 		He hurt her. He hurt her badly. I don’t even know if he has my baby. 

DAVID 		Is there anything in her life before I met her that you guys didn’t tell me about? Anything at all? 

BELLA 		David, before she met you her life was riding. I mean, after winning the Gold at the Olympics. 

DAVID 		Well, what about, I don’t know, ex- ex-boyfriends, stalkers, fans, anything? 

BELLA 		No. Not that I remember, I mean just typical fans and people who were inspired by her and-- 

DAVID 		I know. 

BELLA 		(inhales) Wait. We still have boxes of fan letters at home. 

DAVID 		Well, can we get them?

BELLA 		Mm-hmm. Sure. 

DAVID 		Hi, there. Do you have a room, please? 

HOTEL RECEPTIONIST	(speaks Spanish) (in Spanish accent) Two hundred pesos. In advance. 

DAVID 		Thank you. 

HOTEL RECEPTIONIST 	If you need any company. 

DAVID 		Have a good night. Which way? Thank you. 

DAVID 		(grunts) (exhales) 

GABRIEL 		(whispers) Mommy and Daddy don’t care about you anymore. 

SAVANNA 		(cries softly) 

GABRIEL 		You’re okay now. 

SAVANNA 		(gasps) (whimpers) 

GABRIEL 		Why are you afraid of me?

SAVANNA 		(cries softly…) 

GABRIEL 		For that, you don’t get… A good parent knows what to do! 

DAVID 		(sighs) 

DAVID 		 (exhales) (sighs deeply)

DAVID 		(softly) Oh my God. (breathes heavily…) 

DAVID 		 (under his breath) Fuck. Shit. (breathes heavily…) 

OSCAR 		(in Spanish accent) Can I come in? 

DAVID 		Of course, sir. 

OSCAR 		What are you doing, David?

OSCAR 		How is… all this helping? 

DAVID 		I don’t know if it is. 

OSCAR 		What do you mean?

DAVID 		(whispers) I gotta do something. (sighs) (softly) It wasn’t- it wasn’t			 a kidnapping. 

OSCAR 		How can you be so sure?

DAVID 		(voice breaks) The way he- he hurt her. (voice breaks) He hurt her so bad. (cries…) (softly) He hurt her so bad. 

OSCAR 		You know my family. We love you. You are like a son for u-- 

DAVID 		(overlapping) I know that. (whispers) I know that.

OSCAR 		Do-- 

OSCAR 		Do you think they are-- Do you think they are still alive? 

DAVID 		(whispers) I don’t know. (sniffles) (sniffles) (exhales) (sniffles) 

OSCAR 		I gave her one like this the first time she competed. 

OSCAR 		She’s my baby, David. If you find him… you tell me. 

DAVID 		(sniffles) You know I’ve always admired you as a father. The way you supported her. You find him… you kill him... I never see my baby again. 

OSCAR 		Good luck, son. 

DAVID 	 (on voicemail) Detective, this is David. I’ve been tryin’ to reach you all night. I’ve got some important information. Meet me at address One Five Zero Four Tarpatak. I’ll be there in a few hours. Please, be there. 

DETECTIVE ROMERO 	(speaks Spanish) 

DAVID 		(grunts) (speaks Spanish) Can we go to One Five Zero Three Agua Caliente, por favor.  

CAB DRIVER #2	(speaks Spanish) 

DETECTIVE ROMERO 	Uh, ma’am? Detective Romero. 

ALMA 			(in Spanish accent) Yes? Oh, is there something wrong?

DETECTIVE ROMERO 	No, nothing wrong. I just need to ask you, did you recently…  (to Alma) I’ll be right there. David, why are we here?

DAVID 		It’s him. 

DETECTIVE ROMERO 	You can’t be running your own investigation in my city. I want you to go across the street and wait for me. Understand? (to Officer) Make sure he stays there. 

DAVID 		(under his breath) Shit. 

ALMA 			Oh, please, please. Thank you very much. 

DETECTIVE ROMERO 	Of course. 

ALMA 			Come in. Oh, would you please sit down? M-make yourself at home. 

ALMA 			Uh- uh, would you like a cup of coffee? Water, or…?

DETECTIVE ROMERO 	(overlapping) No. No. 

ALMA 			No?

DETECTIVE ROMERO 	That’s very kind. 

ALMA 			So, so?

DETECTIVE ROMERO 	I just have some questions, routine questions to ask you. 

ALMA 			Oh. 

DETECTIVE ROMERO 	Your name is Mrs. Perez, yes?

ALMA 			Y-y-yes. But call me Alma. 

DETECTIVE ROMERO 	Alma. 

ALMA 			Alma, yes. (chuckles) 

DETECTIVE ROMERO 	Do you recognize this man?

ALMA 		Oh, le- let me get my glasses, please. I always put them here. (chuckles…) Oh my God. 

DETECTIVE ROMERO 	(laughs…)

ALMA 			(chuckles…) Okay. Would you show it to me again, please? 

DETECTIVE ROMERO 	Yes.

ALMA 			Thank you. Ah. It’s my Gabriel. 

DETECTIVE ROMERO 	Your Gabriel? 

ALMA 			I am his grandmother. 

DETECTIVE ROMERO 	Ah. 

ALMA 			But, is he okay?

DETECTIVE ROMERO 	Oh, yes, yes. Yes. 

ALMA 			Yes? 

DETECTIVE ROMERO 	Yes, don’t worry. He’s- he’s fine. 

ALMA 			(chuckles) 

DETECTIVE ROMERO 	Did he ever live with you? 

ALMA 			Yes. Yes. Yes. A long time. 

DETECTIVE ROMERO 	When was the- the- the last time that you saw him? 

ALMA 			(sighs) A long time ago, Detective. Too long. 

DETECTIVE ROMERO 	Can you, uh, recognize this- this girl?

ALMA 			Mm. Oh, yes. I remember her. She’s a real talent, isn’t she?

DETECTIVE ROMERO 	Mm-hmm. 

ALMA 		(chuckles lightly) My Gabriel used to have such a crush on her. I understand those things. 

DETECTIVE ROMERO 	Can you show me hi- his room?

ALMA 			Yes. 

ALMA 		(sighs) Well… here we are. I haven’t been able to move anything around his bedroom. You know, it’s-- (sighs) 

DETECTIVE ROMERO 	He has a lot of pictures of Isabel. 

ALMA 			She was a real godsend after the big tragedy, and, uh-- 

DETECTIVE ROMERO 	A tragedy?

ALMA 		Oh… it- it was so sad. (voice breaks) My daughter and his father were killed in a fire. And- and that li- little boy, so quiet, so sweet, he came to live here-- 

DETECTIVE ROMERO 	(overlapping) Can I… is there a way, uh, do you know how I can contact him?

ALMA 			I- I think he works in a big company consulting firm in the city. 

LILIANA		Good morning.

GABRIEL		Hello, there. 

LILIANA		How was your trip? 

GABRIEL 		It was productive. (chuckles) And it’s true what they say. That city really never sleeps. 

LILIANA 		(laughs) 

GABRIEL 		(yawns) 

LILIANA 		Uh, oh! Your grandmother called. 

GABRIEL 		Is, uh, is she okay?

LILIANA 		Yeah. She seemed fine. 

GABRIEL 		All right. I, um, I’ll call her later. Don’t- don’t let me forget. 

LILIANA 		I won’t. You have a meeting at eleven a.m. with Mr. Stevens. He wants to know what’s going on with the Anderson deal. And Mr. Thompson from KDR should be calling in soon. 

GABRIEL 		Well, thank you, Liliana. 

LILIANA 		You’re welcome. 

LILIANA		(on phone) KMI, Mr. Sanchez’ office. How can I help you?

DETECTIVE ROMERO	(on phone) Hello, this is Detective Romero.

LILIANA 		(on phone) Oh, hi, Detective. How can I help you?

GABRIEL 		(on phone) Um, look, I was, uh, looking at your investment plan, and I have to-- I'm so sorry, sir. Can you please give me one second? (over intercom) I'm assuming it must be urgent?

LILIANA 		(over intercom) There’s a Detective Romero on the other line, and he says it’s ve-- 

GABRIEL 		(on phone) Who?

GABRIEL 		(on phone) Okay. Put him through. 

GABRIEL 		(sighs) 

DETECTIVE ROMERO 	Please, sit down.  I wanna thank you for coming 

GABRIEL 		Not a problem. I was just curious as to what this was concerning? 

DETECTIVE ROMERO 	Do you know Isabel Miller? 

GABRIEL		Miller? Isabel Miller? Sorry, I- I don’t recognize the name. 

GABRIEL 		(exhales) I haven’t seen this picture in ages. 

DETECTIVE ROMERO 	You- you recognize her?

GABRIEL 		You mean Isabel Barabas. Of course I know Isabel Barabas. Doesn’t everybody? (chuckles lightly) You know, I- I- I remember the day she won the gold. When it was announced, the room exploded. (chuckles) You remember that day, don’t you? 

DETECTIVE ROMERO 	Other than that, what was your relationship with her? 

GABRIEL 		Oh, no. There was, uh, no real relationship. I was, uh, more of a fan growing up. (chuckles) 

DETECTIVE ROMERO 	I know. I’ve been to your grandmother’s house. 

GABRIEL 		You got me. I was a big fan. She’s the reason I started riding. 

DETECTIVE ROMERO 	Was there any other contact that you made with her? Recently?

GABRIEL 		No. What is this concerning? Did something happen to her?

DETECTIVE ROMERO 	Three days ago Isabel Miller and her daughter were attacked. They’ve been missing ever since. 

GABRIEL 		(whispers) My God. (softly) That’s awful. 

DETECTIVE ROMERO 	Where were you two nights ago?

GABRIEL 		I was on my way to New York on business. 

DETECTIVE ROMERO 	Can anyone corroborate this? 

GABRIEL 		Of course. Just check with my assistant. She took care of all the arrangements for me. 

DETECTIVE ROMERO 	Hmm. 

GABRIEL 		I stayed at the West Hotel. Give them a call.

DETECTIVE ROMERO	Ah. It’s Liliana, correct? 

GABRIEL 		Yes. Liliana. 

DETECTIVE ROMERO 	You know, I hope you understand that until we can verify… this information that I need you to remain in the country. Thank you for the cooperation. 

GABRIEL 		Not a problem. 

DETECTIVE ROMERO 	You’re free to go. 

DAVID 		(softly) What do you mean free to go? (loudly) Hey! (yells) Hey! 

DETECTIVE ROMERO 	(to David) Hold on. Hold on. (speaks Spanish) 

GABRIEL 		Who is this guy?

DAVID 		What- what do you mean, “Who is this--?” (yells) You know exactly who the fuck I am! 

DETECTIVE ROMERO 	(speaks Spanish) (to Officer) Get him out of here! (to David) What’s wrong with you? 

DAVID 		(softly) That was him. (normal voice) I swear to God that was him. 

DETECTIVE ROMERO 	You saw him on a video call. 

DAVID 		(overlapping) That’s him! 

DETECTIVE ROMERO 	You saw him on a video call. I'm trying to build a case. Okay, I need proof, facts. If his alibi checks out, we have nothing. 

DAVID 		Nothing- what do you mean nothing? We’re talkin’ about my- my family. (voice breaks) Do you understand me?

DETECTIVE ROMERO 	(sighs) I have two daughters. I understand what you must be going through. 

DAVID 		(whispers) No you don’t. 

DETECTIVE ROMERO 	I need more time. 

DAVID 		(whispers) Time. (softly) How much more time do they have?

DAVID 		Can I leave now? (breathes heavily) You know how to reach me. 

GABRIEL 		(breathes heavily) (grunts) 

LILIANA 		Mr. Sanchez, everything okay?

GABRIEL 		Yeah. Of course. Just, uh, stupid mistake. I was, uh, changing the, uh, spark plugs in the car, and I didn’t realize, pulled back and hit my hand. That was it. 

GABRIEL 		(to Bouncer) (unintelligible) Now you get him! 

BOUNCER		(speaks Spanish) 

GABRIEL 		(speaks Spanish) 

BAR MANAGER	This is me bar. 

GABRIEL 		Hey, stop it! Wait! 

BUS DRIVER 		(speaks Spanish) 


DAVID 		(softly) Where’s my family? (loudly) Where are they!

GABRIEL 		(unintelligible) 

ISABEL 		(cries / sniffles…) 

GABRIEL 		(overlapping) (softly) Shh. You’re safe now. 

ISABEL 		(overlapping) (sobs…)

GABRIEL 		(softly) I’ll never let him hurt you.

ISABEL 		(breathes rapidly) (cries…) 

GABRIEL 		(softly) It’s okay, my darling. 
	
ISABEL 		(sniffles) (breathes heavily) (grunts) (breathes rapidly) 

GABRIEL 		(grunts)

ISABEL 		(sobs…) (screams) Where’s my child? (sobs…) 

GABRIEL 		She’s dead. 

ISABEL 		(sobs…) 

DAVID 		What do you expect me to do? He has my family! 

DETECTIVE ROMERO 	(overlapping) I expect you to stay away from my case! I warned you, David. 

DAVID 		I saw him. And he ran. 

DETECTIVE ROMERO 	A man accused of kidnapping your family sees a crazy man come at him… who wouldn’t run? I’ve been doing this for thirty-five years, David. Do you know what it takes to make a good case in this system? So the murderer doesn’t walk out of the courtroom sticking his middle finger up at me? When I don’t have to look into the faces of the victim’s family because I failed to bring them justice? I broke promises to children because- because I acted with instinct and not enough evidence. And now you’re getting in the way of me gathering my evidence, finding your family-- 

DAVID 		(softly) What do you think I'm trying to do, huh? (voice breaks) I don’t wanna lose them. I don’t wanna lose them. (whispers) That’s all. That’s all. 

DETECTIVE ROMERO 	For the last time, David, you have to stay away from the case. I’ll give you two choices. You leave Mexico or you’re gonna to spend the rest of the time in one of my cells. You choose. 

DAVID 		(takes a shuddering breath) (voice breaks) It’s just that every minute feels like an hour (whispers) and I don’t know what to do. (sniffles) (whispers) I don’t know what to do. I don’t know what to do. (sniffles) 

DETECTIVE ROMERO 	I promise you, I’ll do everything in my power to find your family. 

DAVID 		(inhales / exhales) (whispers) Thank you. Thank you. 

SAVANNA 		I don’t want any. Leave me alone. 

GABRIEL 		Honey, if you talk without permission, I’ll kill you. 

GANGSTER		(on phone) So you’ll bring cash. 

DAVID 		(on phone) Si, si. 

GANGSTER 		(on phone) Tomorrow is fine.

DAVID 		(on phone) Tomorrow is fine. No problem. 

GANGSTER 		(on phone) Where will you be?

DAVID 		(on phone) It’s in a bar on the corner of Revolution and Deserra. 

GANGSTER 		(on phone) You must come alone. 

DAVID 		(on phone) Uh-huh. I’ll be there. Gracias. 

GABRIEL 		(sighs) Morning. 

MR. KORDER 		(in Spanish accent) Just the man I was lookin’ for. 

GABRIEL 		Well, you found me. 

MR. KORDER		Question for you. 

GABRIEL 		Yeah?

MR. KORDER 		Have you ever been to my, uh, beach club?

GABRIEL 		Sure. 

MR. KORDER		A charity event this weekend, liquor company sponsoring, I'm hosting. Are you in? 

GABRIEL 		Am I in? What kinda question is that? Of course I'm in. 

MR. KORDER		Booze, women, what else can a man want? 

GABRIEL 		You are a wise man. 

MR. KORDER		Have your secretary call me, okay? 

GABRIEL 		Already on it. 

CLERK			Yeah?

DAVID 		(speaks inaudibly) 

CLERK			(speaks Spanish) 

DAVID 		Okay, gracias. 

CASHIER 		(speaks Spanish) 

DAVID 		Yeah. 

CASHIER 		(speaks Spanish) 

DAVID 		Gracias, senor.

CASHIER 		Gracias.

ISABEL 		(cries softly) 

GABRIEL 		Your Savanna… I spared her. But I needed to punish you. I waited for you all these years. I knew one day the time would be right for our love to fully blossom. And then you had to go betray me with that man. (inhales) (exhales deeply) I can take that mistake. We all make mistakes. But- but… that child. I can’t live with that child in this world. A bastard. 

DAVID 		Thank you for coming. Oh. It’s all there. Two-thousand dollars. 

