
SINGER)	(music lyrics)
LAURA JANE	What's wrong with the way I look?

LAURA JANE	You're not gonna believe who called me today.

LAURA JANE	I got a call from the fashion house.

GEORGIA	And?

LAURA JANE	I didn't listen to it because I was a little scared…

GEORGIA	Okay.

GEORGIA	You need to stop being so chickenshit.

LAURA JANE	I just wanted to listen to it with you.

GEORGIA	You can handle more than you think.

LAURA JANE	Okay. Well…

GEORGIA	Give it to me.

FRENCH BUYER	Bonjour. I regret to inform you that we are declining to carry your designs.

FRENCH BUYER	I wish you the best of luck with your future endeavors.

FRENCH BUYER	Au revoir.

GEORGIA	It's okay. There's another message, there's another one.

LAURA'S MOM	Hi, honey. It's Mom.

LAURA'S MOM	I'm trying to send you that thousand dollars you need…

GEORGIA	Are you borrowing money from your parents again?

LAURA JANE	I'm such a mess.

GEORGIA	Oh, no, babe…

LAURA JANE	Everything's gone wrong.

GEORGIA	No, you're not a mess.

GEORGIA	You just You just need a little bit of TLC.

GEORGIA	That's all.

LAURA JANE 	(indistinct)

GEORGIA	Hey, look.

GEORGIA	You're gonna be great.

GEORGIA	Okay, I'll fix you up.

GEORGIA	I'll fix all of this.

GEORGIA	They're gonna love you. They're gonna love your designs, the buyers are going to give you an order that'll transcend your wildest dreams, yeah?

GEORGIA	Yeah?

LAURA JANE	I don't know. If you say so.

GEORGIA	Okay.

GEORGIA	All right, love.

GEORGIA	But maybe you should just have a little shower first.

IRENE	Hello. Thank you for calling Schmiegel, the… Ad Agency.

IRENE	How can I direct your call?

RICKY	Tom? One day, this will all be yours.

RICKY	I built this whole empire, and my number one achievement to this day,

RICKY	MOFO Moonshine.

RICKY	Look at this art.

RICKY	Look at it.

RICKY	"Lick, swallow, and suck. No limes needed."

RICKY	It's like a Picasso of jizz that came out of me onto this canvas.

RICKY	Yeah.

RICKY	I cannot do no wrong.
	
IRENE	He's early, so we are leaving.

IRENE	 Now.

RICKY	All right.

RICKY	Oh.

RICKY	Whoa, check this out.

RICKY	Holy smokes!

TOM	Hey, hey, wait

TOM	No, no, no, no, no, no, no, no, no.

RICKY	That’s not a… Let’s turn this thing on.

TOM	You're gonna break your neck. Those things are death traps. They kill people all the time.

TOM	You can’t even ride a bike. You're gonna shoot through the roof…

RICKY	Mr. Johnson, if you can one wait moment to

BODYGUARD JOE	Hey, hey, hey, hey, hey. No man stands in front of the boss.

BODYGUARD JOE	Unless Little Jerry says so.

JON	Little Jerry, what do you say?

JON	He said it's okay.

JON	All right. What do you got, Irene?

IRENE	Um, well, we have the projection all set up for you.

JON	Come on. Wow me.

IRENE	Right. Okay.

IRENE	Well, you know, we were thinking to focus on this amazing innovation you created, and 

JON	Well, uh, Elon Musk.

JON	He has innovation.

JON	Next.

RICKY	Let's take the future technology and make it available for the consumer today.

JON	Apple. Smart and affordable.

JON	Next.

RICKY	What do you got?

JON	Bye-bye.

TOM	Johnson Jetpacks.

TOM	Making the future fun again.

JON	What did you say?

TOM	Making the future fun again.

TOM	Well, Mr. Johnson, we're a quarter of the way into the st century, but the future isn't nearly as cool or wild as we dreamed.

TOM	Until today.

TOM	By making the future fun, we open the world's imagination…

IRENE	No, I…

TOM	…I mean, look at this thing.

TOM	It is a beauty.

TOM	This isn't just a jetpack that you created.

TOM	It's like a… it's like, uh…

RICKY	A vibrator for the mind.

TOM	Yes! It's like a vibrator for your mind.

TOM	And what does the world need more than vibration right now?

TOM	Nothing. The world needs vibration.

TOM	So why don't you get over here, just strap on, ride hard, and blast off in a Johnson Jetpack?

TOM	Tomorrow…is today.

IRENE	It is.

JON	You’re saying it's like sex?

JON	Riding them hard and wet?

JON	Tomorrow is today?

JON	Is that what you're telling me?

IRENE	I just wanna apologize, that was…

JON	It's genius!

JON	It's brilliant!

JON	Where were you hiding this guy?

JON	You got a Don Draper on your team.

JON	And you, vibrations.

JON	Genius, genius.

JON	Why do you act so stupid?

JON	And who are you?

TOM	Uh, my name's Tom.

RICKY	Tom.

JON	Tom, you're gonna be the new face of the Johnson Jetpack.

JON	Now put that helmet on.

JON	Let me see you in that jetpack.

JON	Good, good.

TOM	Uh…

JON	Model that baby.

TOM	Uh, okay.

JON	Oh, I like it.

TOM	I think it's… I think it's on now.

TOM	I think it's on. Get this off of me.

TOM	Oh.

RICKY	Ah, you pushed the wrong button.

JON	Excellent!

JON	Watch your head.

TOM	Stop!

JON	Man, that thing's way faster than I thought it would be.

JON	Oh! That's gotta hurt.

JON	Oh, my gosh!

IRENE	(indistinct)

RICKY	What is he doing?

JON	Oh. Good thing he's wearing a helmet.

TOM	Whoa!

TOM	Fuck you, Ricky!

JON	Look out!

JON	Hmm.

GEORGIA	Okay. The finishing touches.

GEORGIA	All right.

LAURA JANE	Don't do too much of that stuff.

GEORGIA	Okay.

LAURA JANE	Okay. Just a little.

GEORGIA	Why is this mascara so clumpy?

GEORGIA	Did it expire? Does mascara expire?

LAURA JANE	I don't know. Honestly, I don't really care what I look like. It's not like I'm trying to get picked up.

GEORGIA	Yeah, because that would be a nightmare.

LAURA JANE	Men are a pointless distraction.

GEORGIA	That's kind of the point, babe.

LAURA JANE	Speaking of distractions,

LAURA JANE	I sent Molly out for the night.

GEORGIA	Thank God. She's a roommate from hell.

LAURA JANE	I don't know. I think that I have enough on.

LAURA JANE	Is this… Am I good?

LAURA JANE	Do I look…

GEORGIA	You look beautiful.

LAURA JANE	Honestly,

LAURA JANE	I just really need this to work.

GEORGIA	It's going to be great.

GEORGIA	It's gonna be a hit.

GEORGIA	Those bitches have never looked better.

LAURA JANE	Do you really mean that?

GEORGIA	Yes, I do.

LAURA JANE	Okay.

LAURA JANE	Well, let's go kill it.

GEORGIA	Yeah. Let's go kill it.

GEORGIA	And we have Miss Kesha Rockefeller Jones.

GEORGIA	She will go "boom, boom" in your room in a custom jumpsuit made of authentic New Jersey polyester.

MOLLY	Is that my boxed wine?

MOLLY	Someone's gonna have to pay for that.

LAURA JANE	Molly?

LAURA JANE	What are you doing here?

LAURA JANE	Tonight is my doggy fashion show.

MOLLY	I thought you were joking.

GEORGIA	Uh, okay.

GEORGIA	So, Laura, why don't you get our next doggy model ready?

GEORGIA	And, Molly, why don't you go to your room?

GEORGIA	Now. We can…  Kind of little busy here.

MOLLY	I brought Laura a friend.

MOLLY	Because everyone knows that she could use a good fuck.

LAURA JANE	Okay. That's enough.

LAURA JANE	Just… go to your room.

MOLLY	This one's for you.

MOLLY	Meet Mateo.

MATIAS	I'm Matias.

MATIAS	He's Mateo.

MATEO	(speaking Spanish)

MOLLY	Mateo.

MOLLY	Ma-tat-o.

MOLLY	Who gives a fuck.

MOLLY	He's hot and horny and he has hasn't shot a load in over two weeks.

MOLLY	Get ready because his dick's gonna be like a McDonald's milkshake machine.

GEORGIA	Okay. Isn't she a riot?

GEORGIA	Okay. Can you please just leave?

LAURA JANE	Yeah.

MOLLY	Fine.

MOLLY	I was gonna share, but since you're being so rude, I won't.

MOLLY	Come on.

LAURA JANE	Where were we?

GEORGIA	Are you sure these people are real buyers?

LAURA JANE	Yes. I found them online.

LAURA JANE	They had great reviews.

GEORGIA	Huh. Who's the charmer?

LAURA JANE	He's a Pet Core representative.

LAURA JANE	Employee of the month.

GEORGIA	And the cat lady?

LAURA JANE	Uh, she's the owner of Feline's Behinds.

GEORGIA	And… 

LAURA JANE	He just showed up.

GEORGIA	Oh, okay.

GEORGIA	Laura, why don't you get…

PRIEST	This isn't happening,  this isn't happening.

GEORGIA	…our next doggie model?

SINGER	(music lyrics)

MOLLY	Yeah, that's my boy, woo-hoo!

MOLLY	Fuck, yeah! Oh, yeah!

MOLLY	Oh, daddy, hit the spot!

MOLLY	Oh, fuck!

MOLLY	Oh, yeah!

MOLLY	Oh, fuck!

MOLLY	Oh, fuck, daddy! Keep going.

MOLLY	Keep going. Oh, yeah!

MOLLY	Oh, fuck. Fuck that ass!

MOLLY	Slap it!

MOLLY	Fuck, yeah.

MOLLY	Oh, yeah.

MOLLY	Oh, yeah!

PRIEST	This house needs an exorcism.

MOLLY	Yeah.

MOLLY	Oh. Oh, yeah!	

GEORGIA	Uh, okay. Look, look, um, just wait.

GEORGIA	The… the… tuxedo.

GEORGIA	Tuxedo.

GEORGIA	You haven't seen anything yet.

GEORGIA	This is the grand finale.

GEORGIA	What kind of bridal party would it be

GEORGIA	if your little furry friends, furry friends couldn't walk down the aisle with them?

GEORGIA	You'll say "I do" to the exquisite designs of doggie style.

MOLLY	Fuck!

PETSHOP CASHIER	Look, I'm just a cashier for Pet Core.

PETSHOP CASHIER	I think I responded to the wrong ad. Sorry.

CAT COSPLAY GIRL	Um, do these come in human sizes?

CAT COSPLAY GIRL	Um, also I need to pee, where's your litter box?

CAT COSPLAY GIRL	Meow.

GEORGIA	Uh, where did you find these morons?

MOLLY	Who's next?

LAURA JANE	Awful idea.

GEORGIA	Hey, no, no, no, no.

GEORGIA	We will come up with a plan, okay?

MOLLY	Speaking of plans, either of you have a plan B pill?  Mr. Argentina forgot to pull out.

GEORGIA	Okay, look, you lazy, selfish, irresponsible nympho alcoholic.

MOLLY	I am not lazy.

MOLLY	And you look awfully tense.

MOLLY	Wanna fuck?

GEORGIA	Our roommate is going through a very difficult time right now.

GEORGIA	I think that some words of encouragement would be very much appreciated.

MOLLY	Sure.

MOLLY	Rent's due tomorrow.

GEORGIA	I’m gonna kill her in her sleep.

GEORGIA	Hey.

GEORGIA	Let's have a drink, babe.

GEORGIA	We'll get it next time.

LAURA JANE	Same.

TOM	Gold.

TOM	Something gold.

TOM	Gold, uh…  Gold, um…

TOM	Gold idea… Gold idea…

CASHIER	Here's your order.

LAURA JANE	Hey, are you guys hiring?

LAURA JANE	I've never worked in a food truck before.

TOM	Benny… Benny and the Jetpacks, yup.

TOM	That's a good one.

TOM	That's a good… That… We can put some good music to that.

CASHIER	You want an application?

LAURA JANE	I'd… Yeah. Sure. Okay.

LAURA JANE	Thank you.

CASHIER	Oh, lady, and take one of these. It will help you chill out.

LAURA JANE	Thanks.

LAURA JANE	I guess.

LAURA JANE	Hey, do you have a pen?

LAURA JANE	Excuse me, do you have a pen?

LAURA JANE	Oh, nobody has a pen. Great.

TOM	I have a pen if you…

TOM	don't mind red.

LAURA JANE	I love red.

LAURA JANE	Thanks.

TOM	Uh, here.

TOM	Is this lingerie?

LAURA JANE	No, I got it. Don't… Don't worry about it.

LAURA JANE	They're tutus.

TOM	Tutus for dogs. Wow.

LAURA JANE	I'm a designer.

TOM	Really?

LAURA JANE	Yeah.

TOM	That's pretty, uh…

LAURA JANE	Kind of stupid.

TOM	…brilliant.

LAURA JANE	You really think so?

TOM	Yeah. Yeah.

TOM	I mean, can I buy one from you?

LAURA JANE	Do you have a dog?

TOM	I don't… No, I don't have a dog. 

TOM	Yeah, I'd probably fit it around one of my legs.

LAURA JANE	That is the first time I've smiled in over a week.

TOM	Well, you have a nice smile.

LAURA JANE	No, I don't.

TOM	Yeah, you do.

LAURA JANE	No one wants to buy any of my designs.

TOM	Well, I mean I… I work in advertising.

TOM	I can help you come up with some new stuff maybe and…

TOM	Over dinner or, uh…

LAURA JANE	Okay. But it… As long as it's not a date.

TOM	What, you got something against…against dating dudes?

LAURA JANE	No.

LAURA JANE	I just told myself I'm not gonna date anybody until I make my first business transaction.

TOM	Oh, well, then we… We gotta get on this.

LAURA JANE	Yeah.

TOM	Time's wasting.

TOM	Poodle skirts.

TOM	Poodle skirts for poodles.

LAURA JANE	Okay. You got some good ideas.

TOM	Right? Rottweilers in leather.

TOM	Leather jackets around their butts.

TOM	It was electric from the day we met.

TOM	Thanks to everyone for coming

TOM	and spending some time with us before the big day.

TOM	We're really looking forward to the trip with both families.

TOM	I've never been happier.

TOM	Thank you so much for saying yes, Laura.

LAURA JANE	Of course. That was beautiful.

MAMA MCGURSKY	That was beautiful. Thank you so much.

SHERRY	Hey, did everybody get enough to eat?

PAPA MCGURSKY	Oh, yeah.

LANCE	It was good.

PAPA MCGURSKY	I could use…

LANCE	It was good. Thank you.

PAPA MCGURSKY	…another one of these. 

WOMAN	You guys are adorable.

LAURA JANE	I'm so happy to be joining your family, Mr. and Mrs. Rothstein.

PAPA MCGURSKY	Always a pleasure.

GEORGIA	Yeah. No.

LANCE	I'm sorry. It's jetlag.

SHERRY	Oh, what's the matter, Lance?

LANCE	Nothing. I'm really happy for you two.

LANCE	But can I ask?

LANCE	Why do we all have to fly down to this Caribbean hellhole for these nuptials?

LANCE	Why not have them at home? Why not Canada?

LAURA JANE	Lance, you're not even Canadian.

PAPA MCGURSKY	Oh, gosh. Laura, that's enough.

MAMA MCGURSKY	Okay.

LAURA JANE	It…

RICKY	Lance, what's wrong with you?

RICKY	Don't you know where you're from?

TOM	Ricky, please shut up.

LANCE	Oh, you hadn't heard?

LANCE	I'm an orphan.

LAURA JANE	Oh, here we go.

SHERRY	I didn't know you were adopted.

LANCE	Oh, that's true. I'm an orphan.

LANCE	All I ever really wanted was to be taken in by a kind family and then finally…

MAN	Manfred? Manfred…

LANCE	…these loving parents came along and adopted me because they couldn't have children on their own.

LANCE	It's… It's true.

LANCE	Until they did have a real kid, right?

LANCE	They were finally able to conceive and they had the miracle biological child, the golden girl, and she just kind of, I don't know, just took up all the love and old Lance just kind of got lost in the shuffle.

MANFRED	The hell am I missing here?

LANCE	My life.

MAMA MCGURSKY	Well, that's nice.

PAPA MCGURSKY	Okay. Well…

MAMA MCGURSKY	You sound successful.

RICKY	Wow. It's so soft.

PAPA MCGURSKY	Sherry, Manfred, Lexi,

PAPA MCGURSKY	I'd like to say thank you.

PAPA MCGURSKY	And to your son Tom,

PAPA MCGURSKY	I’d just like to say, son, if you break her heart,

PAPA MCGURSKY	I'll kill you.

LAURA JANE	That's a joke.

LAURA JANE	It's just a joke.

LANCE	Good speech.

LAURA JANE	He's joking. He's joking.

TOM	It's such

TOM	a funny joke.

LAURA JANE	It's a joke.

STEWARDESS	Hi, super cute couple, can I offer you a pre-wedding trip beverage?

TOM	Actually, I had a question.

TOM	When I was coming into the plane, somebody was telling me about a Club Mile High, and I was wondering if is that like a credit card thing where you need to sign up or do you, um… 

TOM	Do you get extra miles from that?

TOM	Is it…

TOM	Rude… Rude people in this plane…

TOM	Hey, baby, hey.

LAURA JANE	What happened?

TOM	Nothing, no.

TOM	I'm just checking. Are you… You okay?

TOM	You seem like you were just like zoned out.

LAURA JANE	Not… not really, no.

TOM	Yeah, what’s… What's going on?

LAURA JANE	I just feel anxious and I…

TOM	Oh, the flight?

LAURA JANE	No. It's just the wedding.

LAURA JANE	I… I just wanna make sure everybody has fun.

LAURA JANE	I just want this to be great.

TOM	Babe, it's going to be fantastic. We prepped…

LAURA JANE	Okay.

TOM	the shit out of this wedding.

LAURA JANE	Okay. Just keep telling me that.

LAURA JANE	I need to hear it.

TOM	We prepped the shit out of this wedding. Say it with me.

LAURA JANE	Okay.

LAURA JANE	We prepped the shit…

TOM	Prepped the shit out of this wedding, yeah.

LAURA JANE	Okay.

TOM	Yeah, we're good.

LAURA JANE	Okay. Thanks, babe. I feel better.

TOM	Great. Now just…

LAURA JANE	I feel... I'm just gonna try to sleep.

TOM	Great. Just relax and…

LAURA JANE	Okay.

GEORGIA	Do you wanna move over one?

RICKY	No, I really like the middle seat.

GEORGIA	Okay. I need you to take your hand off my leg.

RICKY	That's your leg?

GEORGIA	Yes.

RICKY	Do you moisturize it?

GEORGIA	I need you to remove your hand, or I'm going to show you why my favorite movie is Rocky!

RICKY	Jesus.

RICKY	Hey.

SINGER	(music lyrics)

STEWARDESS	It's just turbulence.

RICKY	Ricky doesn't care.

RICKY	Oh, shit, you broke my nose!

RICKY	Damn it.

WOMAN	Ladies and gentlemen, due to severe weather, we're being rerouted to the island of Jamaica.

WOMAN	Cabin crew, prepare for landing.

TOM	Babe.

LAURA JANE	Yeah.

TOM	Yeah. Uh… put your seatbelt on.

LAURA JANE	We're here?

TOM	We're close.

LAURA JANE	Okay.

LAURA JANE	Okay.

WOMAN	Until further notice, all flights to the Bahamas are cancelled due to severe weather.

LAURA JANE	We're supposed to be getting married in four days.

TOM	Babe, it's gonna be fine, okay?

TOM	We're gonna get
LAURA JANE	How are we gonna find a resort?

TOM	I'm... I'll... I'll take care of it. It's just gonna be a minor hurdle.

LAURA JANE	There's no way.

MAMA MCGURSKY	I think this is very exciting.

PAPA MCGURSKY	Yeah. And pretty scary, eh?

MANFRED	Representative, please.

WOMAN	Your call is very important to us. Please…

TOM/	Get our flights figured out.

LAURA JANE	No, no… it's gonna be okay.

TOM	It's gonna be great. Okay? And I'm gonna get a hotel for us, and I'm gonna... I'm gonna find…

PAPA MCGURSKY	I didn’t pack…

IRA	Yeah, mon.

PILOT	No seeds and stems, all right?

IRA	No guarantees, mon.

PILOT	Oh, dude, hook me up, hook me up.

IRA	And the government… in Trenchtown.

TOM	Oh, what happened to your nose?

IRA	Hey, mon!

IRA	Welcome to my island.

IRA	I am the Rasta Man, a native of Jamaica.

TOM 	I'm sorry, could you just give us... Give us one second, sorry.

IRA	You like the weed?

IRA	You like them girls?

TOM	No, we... We just had an emergency land here, we're trying to look for a hotel for my family.

TOM	So, can you just like

IRA	Yeah, mon.

IRA	This is fit, my friend.

IRA	Real talk, uh, my name is Ira Goldstein,

IRA	I'm actually from Long Island,

IRA	I work for a hotel and a grill, and I can get you guys a great deal, five-star resort.

IRA	We're talking beautiful pools…

RICKY	Yeah.

IRA	…hot tubs, luxurious rooms.

RICKY	Wow.

IRA	Yeah. Yeah?

RICKY	Hot tub, pool?

TOM	Okay. Yeah, yeah. You guys... You guys do weddings?

IRA	We do it all, mon, all inclusive.

SINGER	(music lyrics)

MANFRED	What?

IRA	Nothing, mon. You look good, is all.

IRA	Real good, mon.

IRA	Oh, I'm sorry, uh, I'm not... Oh, I'm not into you in that way, uh, I'm not gay or anything.

IRA	Not... Not that I have any problem with anybody who is gay.

IRA	It’s just I tried it out once before I got married, and it's really normal for me, you know what I mean?

IRA	Me and my wife Lakesha, mon, we're gonna open up the most beautiful dry cleaner right here in the grill.

IRA	See, so, it's sort of a familybusiness, mon.

IRA	We're gonna call it Jamaican Ass Do Your Laundry.

IRA	We do all your dirty laundry.

IRA	Yeah, mon.

IRA	Welcome to Hedonism II,

IRA	where all your dreams come true.

IRA	Winston, I need you to take over, I got to take a poop.

WINSTON	Welcome, friends.

WINSTON	I'm glad you made it safely through the storm.

WINSTON	My name is Winston and

MANFRED	We've... We've had a very long day.

TOM	Ira said our rooms would be ready.

PAPA MCGURSKY	Sorry, we're just really tired, eh.

MAMA MCGURSKY	And a little emotional.

SHERRY	Where's the bar?

MAMA MCGURSKY¨	Papa?

PAPA MCGURSKY	Hmm?

MAMA MCGURSKY	Our daughter is only getting married once… I hope.

MAMA MCGURSKY	And if you wanna sit back, relax, and massage those toes, you deserve it.

PAPA MCGURSKY	No, no, no. We deserve it, Mama.

MAMA MCGURSKY	Should I slip into something more comfortable?

PAPA MCGURSKY	Ooh, I like that idea.

MAMA MCGURSKY	This was my mama's muumuu.

PAPA MCGURSKY	I always like your mama, eh?

MAMA MCGURSKY	I'll be back.

GEORGIA	Not bad.

GEORGIA	Not bad at all.

GEORGIA	Hmm.

RICKY	Ooh, jackpot.

RICKY	Hey, blondie, where you going?

NATASHA	I'm going back to my room.

NATASHA	What are you doing?

RICKY	Can I join you?

NATASHA	Sure.

RICKY	Are you sure?

NATASHA	 Why not?

RICKY	Me?

RICKY	Really?

NATASHA	Yeah.

RICKY	Let's go.

NATASHA	Okay.

RICKY	Are you sure?

NATASHA	Why, are you gonna take good care of me?

RICKY	I mean, this isn't a prank, is it?

TOM	Baby, I am the luckiest guy in the world. 

LAURA JANE	Tell me about it.	

LAURA JANE	Maybe we should just stay here for the rest of the vacation.

TOM	So down.

TOM	Hey, look, I know that this, you know, isn't what we planned and I know the past few days have been an emotional roller coaster to say the least.

TOM	But I promise you, you're gonna have the wedding of your dreams, okay?

LAURA JANE	You do?

TOM	Yeah.

TOM	I have a really good feeling about this place.

LAURA JANE	Okay. I know it's not what we planned but...

LAURA JANE	I trust you.

TOM	I love you.

LAURA JANE	I love you,

LAURA JANE	Mr. McGursky-Fairfax Rothstein.

TOM	Oh, no, no, no.

TOM	It's Mr. Fairfax Rothstein-McGursky if we're gonna do that.

LAURA JANE	Oh, well, looks like you have some convincing to do.

TOM	I don't think so.

TOM	Okay.

WINSTON	This is where you'll be married… on your very special day.

WINSTON	What do you think?

TOM	We love it.

WINSTON	Wonderful.

MAMA MCGURSKY	Look at these trees!

MAMA MCGURSKY	This place is paradise!

PAPA MCGURSKY	They all look the same.

MAMA MCGURSKY	You all right there, Papa?

PAPA MCGURSKY	Right behind you, Mama.

MAMA MCGURSKY	Exactly where I like you.

MAMA MCGURSKY	I trained you well.

MAMA MCGURSKY	Oh, oh!

PAPA MCGURSKY	What is it? What is it?

MAMA MCGURSKY	Do you know what that is?

PAPA MCGURSKY	What is it?

MAMA MCGURSKY	If I'm right, the girls at Simonson's Portage Trail Nature Club are gonna be green with envy.

MAMA MCGURSKY	I think that's a Lesser Antilles bullfinch.

PAPA MCGURSKY	The less... The lesser?

MAMA MCGURSKY	The lesser.

MAMA MCGURSKY	The only species of bird  where the female eats her mate after she copulates.

MAMA MCGURSKY	Oh.

PAPA MCGURSKY	What's that?

MAMA MCGURSKY	Yes.

MAMA MCGURSKY	Ugh, ugh!

PAPA MCGURSKY	Oh-oh, you okay?

MAMA MCGURSKY	Yes!

MAMA MCGURSKY	Oh, bird spunk!

PAPA MCGURSKY	Nice.

MAMA MCGURSKY	A souvenir!

PAPA MCGURSKY	Oh, yeah.

MAMA MCGURSKY	Betty Jean Davidson can't top that.

TOM	All right. Close your eyes, keep them closed.

TOM	You’re… You’re... Don't ruin the surprise. All right. Here we go. All right.

TOM	Open your mouth, give me...

TOM	Give me a little tongue.

TOM	And, okay, what do you... What do you think of that one?

LAURA JANE	So good.

TOM	Right?

LAURA JANE	So good.

TOM	Yeah.

TOM	So, now

LAURA JANE	That's the one.

TOM	No, no, no, you gotta try more, you gotta try more.

LAURA JANE	Oh, my gosh.

TOM	All right.

TOM	All right. What do you think of that one? Oh.

LAURA JANE	Okay.

LAURA JANE	That one's really good, too.

LAURA JANE	Did you try that one?

TOM	What?

TOM	I think... I think it's a Caribbean thing.

TOM	Yeah. It's the...

TOM	Probably the only person like that we're gonna see.

TOM	She probably... She's a native, I think.

MANFRED	Okay.

MANFRED	Okay.

IRA	Mr. Manfred, sir. How you doing, mon?

MANFRED	Bloody Mary, please.

IRA	Look, I know you're a very busy man, you're here on vacation with your family, but I would love to schedule some time  to talk about my business proposal.

IRA	Open up the dry cleaning here on the island.

IRA	Get this, one hour of dry cleaning.

WOMAN	Well, hello, handsome.

IRA	Sorry, I'm, uh, I'm actually married, I don't swing.

WOMAN	I love me a silver fox.

IRA	We'll talk, Mr. Manfred.

WOMAN	What's your name?

MANFRED	What's a silver fox? I'm sorry, do we know each other? 

SFX	(music lyrics)

SHERRY	Hi, darling.

GEORGIA	Hi, ladies.

MAMA MCGURSKY	You know, it's been years since I've had a professional massage.

MAMA MCGURSKY	Not quite sure how I feel about another man's hands running all over my body.

MAMA MCGURSKY	I think Papa would prefer it if I had a lady.

SHERRY	Where's the fun in that?

SHERRY	Uh, when's the last time your husband gave you a proper massage?

MAMA MCGURSKY	You know, you're right.

MAMA MCGURSKY 	Papa usually just likes to get right to it.

MAMA MCGURSKY	Last time your father used his mouth for anything other than

LAURA JANE	Mom, come on.

MAMA MCGURSKY	Yes, dear, you're right.

LAURA JANE	Okay.

MAMA MCGURSKY	That's too much information.

LAURA JANE	No!

MAMA MCGURSKY	I'm sorry.

LAURA JANE	Too much. Uh-uh.

MAMA MCGURSKY	Yes, you're right. You're right.

LAURA JANE	No.

MAMA MCGURSKY	I apologize. I don't…

GEORGIA	I just hope that my masseur has, like, strong hands, you know.

SFX	(Music Playing)

MAN	Hello.

MAN	Are you ladies ready?

MAMA MCGURSKY	Oh… oh.

MAMA MCGURSKY	Take that off.

MAMA MCGURSKY	Take that ring off.

SFX	(Music Playing)

GEORGIA	Oh, my God, yes.

MAN	Uh-huh.

SFX	(Music Playing)

MAN	Uh-huh.

MAN	Mm-hmm.

LAURA JANE	That's great.

LAURA JANE	Yeah.

MAN	Mm.

LAURA JANE	You know, my family's here. I didn't realize how stressful it was gonna be.

MAN	Family is just so boring, you know.

MAN	Why bring family?

MAN	You should choose your friends.

MAN	And I tell you what, I can be your little friend.

