RADIO ANNOUNCER	Nathan Redding is in hot water.  The singer recently got in an accident, crashing into his ex-girl friend's car, and rumors are that his marriage is down in the rocks as well. More on that when we come back and we'll also be giving away tickets to Nathan's concert next month. 
JAMES	Mom said you blacked out, an ambulance came. 

HENRY 	Well, how would I know then?

HENRY 	How long are you back? 

JAMES	Just a week. I've got a lot going on at work, so I need to. . . 

HENRY 	No, it's great. I'm glad you could come.

JAMES	Everything okay here? 

HENRY 	Yeah, good enough. Where is that remote?

JAMES	Shouldn't you rest? 

HENRY 	A man can only sleep so much.

TOM	Drive here from California? No wonder it took you so long.

JAMES	It's a rental and I flew. I got here as soon as I could.

TOM	Staying long? 

JAMES	No. 

TOM	It figures. There's a leak in Room 5. Make yourself useful. 

JAMES	Good to see you too, Tom.

BARBARA	Dinner's almost ready Jimmy. 

JAMES	Uh, thanks, I ate on the plane. 

BARBARA	Then come get dessert in a little bit. We need to talk.

LINDSAY	Do they even feed you on the plane anymore? 

JAMES	Go eat.

LINDSAY	Paige called. She said she had something come up and had to leave early. 

TOM	Oh? Is she alright?

LINDSAY	I don't know. I'm just passing on the message. 

JAMES	Oh, does Paige still work here?

LINDSAY	Uhh huh.

JAMES	You said come talk. 

BARBARA	We have to figure out what to do. 

JAMES	About?

TOM	What do you think? 

BARBARA	The bed and breakfast. 

JAMES	Great. 

BARBARA	Recovering from a stroke could take months.

JAMES	Dad seems fine to me. 

TOM	Seriously, you see only what you want to. You'll get back to your life soon. Don't worry. 

BARBARA	Tom, hush. The truth is, he's lost control of his right leg and his arms aren't as strong either. Frankly, he needs to take it easy.

JAMES	So how's the bed and breakfast doing? 

TOM	Short handed. 

JAMES	Well let's hire someone. 

TOM	Can't afford to. 

BARBARA	We have one extra person besides the family and with your dad down for the count we can't handle the load ourselves. We could use your help.

JAMES	I have a job. 

TOM	Here we go. 

BARBARA	I know, and I wouldn't ask if we could make it ourselves.

JAMES	I can't. I'm in the middle of handling a crisis right now, and I'm up for a job promotion. I can't just. . . 

BARBARA	It's only until Dad's better.

TOM	We can make it work without him mom. 

LINDSAY	Not really. 

JAMES	Weren't you trying to guilt me into staying? 

BARBARA	No one's guilting anyone. Your Dad just has a lot of physical therapy and I'll be making trips to the hospital with him. 

JAMES	So we're down two people.

BARBARA	One and a half, and I'll still do what I can when I'm here. 

JAMES	Well, I'll help while I can, but I have to go back.

TOM	Surprise, surprise. 

JAMES	Aren't you glad?

JAMES	I'll think of something before I go.

JAMES	Kate, hey, can you hear me?  Kate, hey?

JAMES	Oh, I miss California.

LINDSAY	Jimmy?

TOM	Tell him to stop sleeping in.

JAMES	Is Dad still asleep? 

LINDSAY	Yeah. Mom wants us in the main kitchen.

JAMES	Okay, I'll be right there. 

LINDSAY	Okay.

JAMES	How many guest do you have today? 

BARBARA	Thirteen.

JAMES	What do you want me to do? 

TOM	I call the grounds. 

BARBARA	That leaves maintenance for you. Room 5 has a leak in the bathroom. They check out today so you can fix that later. Help cover the front desk and take care of guest's bags. 

JAMES	What about Dad?

BARBARA	He's got physical therapy today. Tom, will you look in on him while we're inside. 

TOM	Yeah, Mom. 

BARBARA	We don't have any guest activities booked for today but if something comes up I'll let you two know. Lindsay, run take this up to Dad. Be quiet in case he's still sleeping. 

LINDSAY	Okay. 

BARBARA	Jimmy keep stirring.  Good morning, front desk.

JAMES	You drink straight out of that I'll shove the whole thing down your throat.

TOM	I know the do's and don'ts. 

JAMES	Doesn't mean you follow them. 

BARBARA	Early check out. Jimmy, Room 2 needs help with bags. 

JAMES	Bell boy on his way.

HEFTY PACKER GUEST	I know, he completely ruined my flower beds. I had to call my landscaper to come back and fix it. But the same thing happened to Tina across the street. Well, I spoke to his boss, but he didn't do anything about it. Yeah. 

HEFTY PACKER GUEST	Thank you, my husband's pulling the car around. 

HEFTY PACKER GUEST	What? I know, and David was so upset.

JAMES	Tom, will you give me a hand? 

TOM	I can't get the luggage dirty. 

JAMES	You could take off the gloves.

BARBARA	Jimmy, Lindsay's leaving for school. Come help over here? 

LINDSAY	Have fun. 

JAMES	See you. What's that? 

BARBARA	Treats for throughout the day. I'll bake the first batch and Paige will take care of the rest later. You might want to leave that on a touch longer, Jimmy. 

JAMES	James. 

BARBARA	What?

JAMES	I go by James now. 

BARBARA	Since when? 

JAMES	Since I left.

JAMES	Hello?

JAMES	Oh, come on.

PAIGE	Hi there.  I'm so sorry, are you okay? 

JAMES	Yeah, yeah.

PAIGE	Oh, I scared you, huh? 

JAMES	A little bit. I'm James. 

PAIGE	Oh it's me, Paige.

JAMES	Oh, hey. Sorry, head trauma. 

PAIGE	That's okay. 

JAMES	Yeah, yeah. Wow, you've changed. You look good. Not that you didn't before. 

PAIGE	Thanks, it's good to see you too. 

PAIGE	So it's been a few years, huh? 

JAMES	Yeah, wow, I didn't think you'd still be here. 

PAIGE	Oh, why not? 

JAMES	I don't know - moved on to bigger and better things.

PAIGE	No, I wanted to stay. 

JAMES	So how you been?

PAIGE	Keeping busy, you know.  Oh, uh, your mom, she's leaving and wants you to cover the front 
desk.

JAMES	Okay. 

PAIGE	And I can clean up in here when you're done.

JAMES	Alright, thanks.

JAMES	Hello? Reed Mill Bed & Breakfast, how may I help you?

SANCHEZ	Hi, I need to cancel my reservation. 

JAMES	I'm sorry to hear that, and your name? 

SANCHEZ	Sanchez, for the 23rd.

JAMES	Okay, it looks like you have eight rooms, is this a change to one room or. . . 

SANCHEZ	No, all of them.

JAMES	Okay, thanks for letting us know.

JAMES	Hey. 

MR. GRANT	Hi, last name Grant, checking in.

MRS. GRANT	Great. I don't have service here. 

MR. GRANT	You wanted a get away, you got it. What's with the mill?

JAMES	It's an old flour mill, converted to a bed and breakfast about thirty years ago. 

MR. GRANT	Interesting.

JAMES	Yeah, there's still flour that falls from the attic. We can't seem to get rid of it. 

PAIGE	What's there to do around here? 

JAMES	Well, town's just down the road and here at Reed Mill we have fishing, canoeing on the pond, horse back riding, and we have a game room downstairs with a movie library to choose from.  Breakfast is at 9. 

MR. GRANT	How about fishing tomorrow?

MRS. GRANT	Fishing? 

JAMES	Sure.  Great, what time would you like? 

MR. GRANT	Ten. Uh, we've got baggage outside. 

JAMES	Great, I'll bring it right up.  You're in room 9. It's got a great view.

CHRISTINA RILEY	Good afternoon. 

JAMES	Hi, can I help you?

CHRISTINA RILEY	Yes, I heard about Mr. Reed. Is he alright? 

JAMES	Better, thank you. 

CHRISTINA RILEY	Oh, that's so good to hear. I'm friends with Barbara and Henry, I was so worried. 

JAMES	Alright, oh, thank you.

CHRISTINA RILEY	I wrote them a little note. 
JAMES	I'll make sure they get it. 

CHRISTINA RILEY	I thought I knew everyone here.

JAMES	I'm sorry, James, the older son.

CHRISTINA RILEY	Well, it's a pleasure to meet you. 

JAMES	Likewise. 

CHRISTINA RILEY	See you soon. 

JAMES	Alright.

TOM	Want a cookie? 

PAIGE	Those are for the guests.

TOM	Don't tell Mom, or Jimmy for that matter. 

PAIGE	Is he staying?

TOM	Long term, no. 

PAIGE	Huh, that's too bad.

TOM	You need any help out here.

PAIGE	Reed Mill Bed & Breakfast how can I help you? James, oh sure, one moment. 

TOM	Jimmy, phone. He's only been here two days and already people calling him. 

JAMES	Thanks.

JAMES	Hello? Hey, Kate, how are you?

KATE	Um, did you fall off the planet? 

JAMES	Practically, my cell phone barely works out here. 

KATE	How's home?

JAMES	Same. How's work. 

KATE	The same. Mary's lunch went missing today. 

JAMES	Wow.

KATE	Yeah, don't you miss it? 

JAMES	Yeah, not that part, but yeah. 

KATE	Nathan Redding called, he said so far so good on the tour changes. 

JAMES	Oh great, great. I'll follow up with him later. 

KATE	Miss me yet?

JAMES	You have no idea. 

KATE	Good. I bought some tickets to a Lakers game. 

JAMES	Really?

KATE	Yeah, thought I'd keep you motivated to come home. 

JAMES	Trust me, I'm motivated. 

KATE	Good, call me later, okay? 

JAMES	I will.

JAMES	Thanks.

TOM	What do you think, girlfriend? 
PAIGE	None of our business.

BARBARA	So, James, are you dating anyone?

JAMES	Yeah, her name's Kate. 

BARBARA	What does she do? 

JAMES	She's another publicist at work.

BARBARA	Are you two serious? 

JAMES	Sort of. 

TOM	That's a no.

JAMES	And how are you doing with the ladies, Tom?

BARBARA	Stop it you two. 

TOM	So did you find a way to fix all our problems yet Superman? 

BARBARA	So, I'm taking your father to the doctor tomorrow. 

JAMES	How'd he do today? 

BARBARA	Okay. He's in good spirits.

TOM	So what'd the doc say brought on the stroke?  Isn't he a little young to have one? 

BARBARA	He pushes it sometimes. There are other factors: genetics, stress. 

TOM	Stress? Working too hard, too much.

BARBARA	There's a lot to do, Tom.

TOM	Oh, I know. 

LINDSAY	Tom.

JAMES	If you've got something to say just come out and say it.

TOM	You dumped the work on Dad and you left. 

BARBARA	Stop it, Tom. 

JAMES	So it's my fault, is that it? 

TOM	Yep. 

JAMES	Nevermind the years I spent growing up here busting my tail off.  Or nevermind the fact that I should be able to create my own life, is that right? 

TOM	You always put yourself first.

JAMES	No, I don't, and you of all people should appreciate that. 

BARBARA	Would you two cut it out?

JAMES	Thanks for dinner, Mom.

TOM	Ow.

HENRY 	Found some dessert.

JAMES	Hey, should you be up?

HENRY 	I've got to get this body working again somehow, and it's not gonna happen napping all day.  There in the pouch. 

JAMES	Is this okay for you?

HENRY 	I had a stroke, Jimmy. I'm still suppose to eat.

HENRY 	So what's all the shouting about? 

JAMES	Nothing.

JAMES	I'm tired of being the prodigal son all the time. You know, I left. Big deal. There's nothing wrong or vengeful about it. 

HENRY 	Oh, I know.

JAMES	I've worked hard, I've got things to show for it. I got a great job, a nice apartment, girlfriend. I don't want to give it up.

HENRY 	Nobody's asking you to. 

JAMES	You sure, because I'm pretty happy out there.

HENRY 	But not here? 

JAMES	Can you blame me?

HENRY 	Nope. You drive your brother crazy, Jimmy.

JAMES	What? 

HENRY 	You know it's not your fault. You're successful. You can do anything and when you do it you do it all the way and I wouldn't change you, but maybe he sees it as twisting the knife a bit. He has wounds and he holds onto them. Just give him a chance to let it go. 

JAMES	It's easier to let him wallow in self pity. 

HENRY 	For you maybe. We got to live with the guy. 

HENRY 	You know, I used to look at people in wheelchairs and wonder how they could not go stir crazy not being able to walk under their own power.  One little stroke and I'm not too far from that.  It changes your perspective. Hopefully, you'll never have to walk in someone else's shoes quite so literally. 

BARBARA	Henry, there you are. What are you doing out of bed? 

HENRY 	What am I doing out of bed? 

JAMES	What are you doing out of bed?

BARBARA	Fine.  Oh these were addressed to us.

JAMES	Oh, yes, some woman dropped them by, Christina something. She said she knew you. 

HENRY 	Yeah, she does. She's a competitor. Don't worry about her.

BARBARA	Let's go. 

HENRY 	Yeah.

TOM	Really? 

JAMES	Sorry.  Check the fridge. 

TOM	Typical.

JAMES	You sure there's not any more. 

TOM	Does it look like there's any more?

JAMES	Mom's got more in the main kitchen.

LINDSAY	Sorry. 

JAMES	Don't worry about it. You finish eating already?

LINDSAY	Yeah. 

JAMES	You always were a speed eater. 

LINDSAY	I have two older brothers. Eat quickly

JAMES	. . . Or not at all.

LINDSAY	Still hungry I guess. So you're not going to leave because of Tom, are you?  I mean I understand why you left before, but don't go just because he's being a jerk. 

JAMES	It's not just 'cause of Tom. I have to leave anyway. 

LINDSAY	That's alright, I guess.  Just remember he doesn't speak for the rest of us. 

JAMES	Thanks.

BARBARA	Well, we hope to see you another time, then. Okay. Bye, bye. 

JAMES	What was that?

HENRY	Cancellation. 
	
JAMES	Yeah, I had one of those yesterday too. 

BARBARA	It happens. I see you booked guests for a fishing session.

JAMES	Yeah. 

BARBARA	Good. 

JAMES	So, what's the deal with Christina Riley?

BARBARA	She keeps offering to buy the place. 

JAMES	Are you considering it? 

BARBARA	Not really, and at her prices definitely not. But since the stroke she smells blood in the water. 

JAMES	Well, maybe it's not such a bad idea.

BARBARA	This is all we have, Jimmy.  We'd barely break even on the loans with what she's offering, and then what?

JAMES	Good morning Mrs. Grant.

MRS. GRANT	Let's get this thing over with. 

JAMES	Should we wait for Mr. Grant? 

MRS. GRANT	Mr. Grant has business in town. Some get away. 

JAMES	Oh boy.

JAMES	Okay, Mrs. Grant. Come stand by me. 

MRS. GRANT	I have no interest in fishing.

JAMES	Come on, it's fun.

MRS. GRANT	This was suppose to be a romantic get away.  That is until my husband decided to squeeze in a few meetings while we're here.  So this whole fishing stuff is just a lame attempt to try to keep me happy with quality time even though he's not here.

JAMES	Well, it doesn't mean you can't enjoy yourself. 

MRS. GRANT	Yeah, I'm not fishing. You do it, I'll take it back with me like it's mine. 

JAMES	Well, actually, this is a catch and release only area. 

MRS. GRANT	Fine then. You catch the fish, we'll take a picture of me with it and call it good. 

JAMES	Okay.

PAIGE	I know I'm late, I'm so sorry. 

BARBARA	Perfect timing. Henry has physical therapy. 

JAMES	Everything okay?

PAIGE	Yeah, my car wouldn't start. 

JAMES	Well, can I help? 

PAIGE	Can you cover the front desk, I have to clean the rooms. 

JAMES	Yeah.

BARBARA	Can you help me with your father first? 

JAMES	Yeah.

JAMES	Need a hand? 

HENRY 	New fingers maybe.

JAMES	Well, Mom's getting the car ready. 

HENRY 	I got it.

JAMES	Looking good Dad. 

HENRY 	Uhh, who cares? It's just therapy. How's your day going? 

JAMES	Good. I caught a fish for a guest who's most likely maxing out her husband's credit card right now to get back at him. 

JAMES	Hey. 

PAIGE	Hey. 

JAMES	Need a hand? 

PAIGE	No, I'm good, thanks, but could you, uh, give me a ride home?

JAMES	Yeah, sure. 

PAIGE	Thank you so much. 

JAMES	Yeah.

CHRISTINA RILEY	Hello? 

JAMES	What do you want now, Ms. Riley? 

CHRISTINA RILEY	Oh, it's Christina. Please, call me Christina. I'm just following up on my offer. Have your parents thought it over?

JAMES	They're a little pre-occupied with my father's health right now. 

BARBARA	Yes, I understand. That's why this offer's so important. 

JAMES	Well important to you maybe. 

CHRISTINA RILEY	I'm just trying to help them. Come here, look it, look, at my view. My vision of this property. Here's the Mill now. And this is my vision. See, all the land in the back of the property we make into more guest rooms. And in the middle we put this beautiful courtyard and pool.  It's still rustic, but it's what guests are looking for.  Just think how beautiful this could be.

JAMES	It's fine as it is.  And your offering much less than the property's worth is  not going to convince my parents otherwise.

CHRISTINA RILEY	It's a decent offer.  You know, I could just wait till all your customers go elsewhere and buy it at a bargain from the bank. 

JAMES	The Mill's customers are loyal. 

CHRISTINA RILEY	Yeah, sure they are.

JAMES	Tom! Tom, I figured it out. 

TOM	What? 

JAMES	The people that were cancelling on us.

TOM	What? 

JAMES	They're cancelling for a reason. 

TOM	I'm working here.

JAMES	Christina Riley is luring them away. 

TOM	Whatever. 

JAMES	I'm serious, man, she's playing hard ball.

TOM	I get it, okay, you want to be the hero again. Here comes Jimmy to save the day. 

JAMES	Tom! Fine, don't listen. 

TOM	How can I?

JAMES	Hey.

LINDSAY	Hey, want to help? 

JAMES	Sure.

JAMES	You know, you don't have to feed them, they can make it on their own.

LINDSAY	I know, I just like to do it.

LINDSAY	So, do you ever hear from Anna? 

JAMES	No, I don't.

LINDSAY	Do you miss her? 

JAMES	No. I guess. Not anymore. Does Tom?

LINDSAY	Sometimes, but he acts like it doesn't bother him. He just gets angry. 

JAMES	Yeah.

TOM	Hey, do you need a ride home? 

PAIGE	Oh, no thanks. James is gonna take me.

JAMES	So, why did you stick around here?

PAIGE	It's home. 

JAMES	Yeah, but didn't you want more?

PAIGE	Yes, and I still do. It gives me something to work towards. I hear you've got it made in California. 

JAMES	I've done alright for myself.

PAIGE	Making people seem better than they are? 

JAMES	Well, sometimes helping good people out of bad situations. 

PAIGE	Yeah, that's a better way to think of it. Oh, turn here.

JAMES	You still live here.

PAIGE	Yeah, like I said, it's home.

JAMES	Do you want me to take a look at your car? 

PAIGE	No, that's okay, thanks. My Mom said that she would take care of it, so hopefully it's, you know, working.

JAMES	What, did you get in a fender bender? 

PAIGE	Thanks for the ride, I'll see you tomorrow.

JAMES	Yeah, sure.  Hey, are you okay?

PAIGE	Mom, are you okay? What happened to the car? 

DORA	Tree in the wrong spot.

PAIGE	Were you hurt? 

DORA	I'm fine. 

PAIGE	Was anyone hurt? 

DORA	Just me and the tree. 

PAIGE	Mom, why didn't you call me? When did this happen?

DORA	On the way home from the repair shop. The engine works now.

JAMES	Christina Riley's pushing everyone to go to her resort. 

BARBARA	There's nothing wrong with that. 

JAMES	Well, she's going after our usual customers.

BARBARA	What are we suppose to do about that, Jimmy? 

JAMES	I don't know, but if she keeps it up, how much longer can we last? I mean forget the work load, we're not gonna have any guests. 

BARBARA	Lower your voice. Good morning. Have a seat. Hot waffles coming up in a minute.

MR. GRANT	Thank you. 

BARBARA	Help yourself to juice, tea, milk, whatever you'd like. The Bilson Company normally comes out every year for their retreat. 

JAMES	Normally? 

BARBARA	Yeah, I got a message from them. They've cancelled.

JAMES	It's her again. 

BARBARA	We'll be alright. 

JAMES	How? 

BARBARA	I don't know but we can't think about it right now. I need you to run to town to do the shopping. There's a list by the fridge.  Here we go. Checking out today? 

MRS. GRANT	Yes.

BARBARA	Well, I hope yo've enjoyed your stay. 

MRS. GRANT	Thank you.

KATE	Hello? 

JAMES	Hey.

KATE	James, checking up on me? 

JAMES	Well, I want to make sure you're still working hard.

KATE	Yeah, I'm working so hard I'm stealing all your clients. In fact, they're so impressed with me that they'll never go back to you. 

JAMES	Well, I guess you'll have to start spending all your money on me then. 

KATE	How's population 600?

JAMES	Well, more like 10,000 but that's including the horses. 

KATE	You must be going so stir crazy.

JAMES	Nah, there's too much to do. Just wanted to call and say hi. Hey, listen, I gotta go. Can I call you later?

KATE	Okay.

CHRISTINA RILEY	Doing the shopping now? 

JAMES	Just helping out. 

CHRISTINA RILEY	Do you need a hand? 

JAMES	No thanks. 

CHRISTINA RILEY	Just trying to be neighborly.

JAMES	Is that what you call it when you're targeting Reed Mill customers? 

CHRISTINA RILEY	That's just business, James. That's healthy competition. Think about this logically.  Do you really want to keep crawling down a dead end? This is not good for your family and they cannot afford it.

JAMES	We'll see. 

CHRISTINA RILEY	Alright.

PAIGE	Hey.

JAMES	Hey. 

PAIGE	Thanks for the ride yesterday. 

JAMES	Yeah, no problem. How's the car running? 

PAIGE	Running. 

JAMES	Good.

PAIGE	I'm making cinnamon rolls. Come try one later? 

JAMES	Yeah, that'd be great, thanks.

TOM	Just can't help yourself, can you? 

JAMES	What? 

TOM	With Paige. Chasing after her even though you've got a girlfriend. 

JAMES	I'm not chasing after Paige. 

TOM	Then leave her alone! 

JAMES	Why? Because you like her? Then do something about it.

TOM	That didn't work too well last time. You'd already gotten in the way. 

JAMES	What do you want, Tom? 

TOM	I want you gone. Out of here, before you ruin my life again. 

JAMES	Before I ruin your. . .

JAMES	Fine. Consider me gone.

JAMES	Do you have anything leaving tonight? And how long's the layover? The morning flight then. Yes, please. You have the credit card?

HENRY 	That wheel acting up again? 

JAMES	Yeah, it just needs to be balanced.

HENRY 	I heard you're leaving. 

HENRY 	Lindsay. I assume this has something to do with Tom?

JAMES	Just time to go. 

