

IMPOSTER 2

EPISODE 2




1 (10:00:00:01)

BOMB EXPERT	À neuf mille cent mètres d'altitude, boumm,
VALETA	(h) Tu veux te reposer peut-être? Avant de déjeuner?

KELEBOGILE	Il a dormi toute la nuit. (h) Tu veux de l'eau peut-être?

TEBZA	(hh) (h) Non, il faut juste que j'aille, (h) aux toilettes, c'est tout. (mts) (h)

VALETA	Les toilettes?

TEBZA	(h)

VALETA	(oh)

TEBZA	(mts) Je suis un peu mal, (h) (h) au ventre.

VALETA	D'accord mon tout petit, je comprends, je comprends.

TEBZA	(euh)

VALETA	Oui, au fond.

TEBZA	(ah) Ça risque d'être long, ne vous inquiétez pas d'accord?

OUT (10:05:17:02)


6 (10:05:24:15)

TEBZA	Turbo?

TURBO	Allô?

TEBZA	Oh mec ça fait du bien de pouvoir parler normalement. (h)

TURBO	C'est toi Tebza? Comment ça se passe? T'as un problème?

TEBZA	(ahah) Non, (ahah) mec je suis au paradis.

TURBO	Comment ça?

TEBZA	(ahah) Ils sont tombés dans le panneau d'une force, tu vas pas me croire. (h) Ils pensent tous que je suis Gary Mokoena. (ahah)

TURBO	Ça a marché, même si t'as pas leur accent à la noix?

TEBZA	C'est la meilleure, d'après leur docteur, quand un gosse de riches se chope une commotion cérébrale, il se met à parler comme un banlieusard. (ahah) (hm) (sniff)

TURBO	Bon bah...

TEBZA	(h)

TURBO	Au moins l'un de nous deux passe une bonne journée. Ici les laveuses nous prennent tous les clients.

TEBZA	Laisse tomber mec, c'est pas important ça, il y a moyen qu'on se fasse du vrai pognon avec cette affaire, une vraie fortune! (ahah)

TURBO	Sérieusement Tebza, fais bien attention à toi. D'accord?


7 (10:06:16:19)

TURBO	S'ils apprennent que tu leur a menti et que tu es un imposteur, tu vas avoir de très gros problèmes. Tu pourrais aller en prison.

TEBZA	Hé mec, exagère pas, ils se doutent de rien. Tu m'as pas écouté? Ils sont tous convaincus que je suis Gary.

TURBO	Je l'espère pour toi. Parce que Hansie vient récupérer son argent. Aujourd'hui, à cinq heures pétantes. Et si t'as pas de quoi le rembourser, (h) il va t'ouvrir le crâne avec sa batte de cricket.

TEBZA	Turbo! Calme-toi! Arrête de stresser comme ça! C'est quoi ton problème, Turbo? Je vais l'avoir tranquille l'argent d'Hansie. C'est peinard.

TURBO	Sérieux?

TEBZA	Je suis super sérieux.

VALETA	Mon petit chou?

TEBZA	(ah) Je peux pas rester il faut que je file. Je te rappellerai. Allez, à plus mon pote.

TURBO	Okay, bon courage.

TEBZA	(mts) (h) Oui?

VALETA	Tout va bien?

TEBZA	Oui, ça va. J'ai, euh, comment dire, j'ai une petite diarrhée, mais c'est rien. (h) Je, je sors tout de suite.

OUT (10:07:06:17)


8 (10:07:12:14)

TEBZA	C'est parti.

OUT (10:07:13:07)


9 (10:07:21:03)

DALI	[sifflote]

PABLO	C'est quoi encore ce plan, il est où ce type? Je suis en train de transpirer dans un costume Armani!

DOCTEUR	Cesse de te plaindre, Thomas! Ça suffit comme ça.

PABLO	Appelle-moi Pablo, pas Thomas. (h) Pablo, comme Pablo Escobar! Je te l'ai déjà dit!

DALI	Ouais, "Pablo!" Tu restes calme. Tu me fais pas un de tes plans. (ah) Little Daddy. C'est un plaisir.

LITTLE DADDY	Un plaisir, vraiment? Depuis quand c'est un plaisir de me voir? Surtout quand tu réponds pas à mes appels? Hein?

DALI	(ah) (euh) On était un peu en retard.

LITTLE DADDY	Juste un peu? T'as deux semaines de retard!

DALI	(h) Hé mmmec, écoute, y a eu des hauts et des bas. (eiuh) Ça n'a pas été facile.

LITTLE DADDY	Pas facile?


10 (10:08:11:19)

LITTLE DADDY	Je t'ai demandé tes problèmes? T'as l'impression que je suis ton psy? Pas exactement, hein? Alors, t'es sûr que t'es content de me voir?

PABLO	Hé, toi. Il est où ton respect?

LITTLE DADDY	Pardon?

PABLO	On est pas là pour te polir les pompes.

LITTLE DADDY	Du respect? T'es qu'un pleurnichard.

DALI	Non! Hé! Hé! Hé! Pas de guerre, pas de ça entre nous! La paix et l'amour! D'accord? Ecoutez. (mts) Toi, pose ton flingue, et faisons du business, d'accord?

PABLO	C'est comme ça. On a eu des délais. mais maintenant on a le produit. Y a un problème?

LITTLE DADDY	Tu veux m'abattre? Vas-y. Mais il restera qui pour dire à Big Daddy ce qu'il s'est passé, Hein?

DALI	Pablo, rengaine ton flingue!


11 (10:08:55:16)

LITTLE DADDY	C'est bien ce que je me disais. Petit cireur de pompes. (h) (h) Vérifiez la marchandise!

HOMME DE MAIN 1	Okay patron. (h) Tout est réglo, patron.

DALI	Transmets nos égards au Big Daddy,

LITTLE DADDY	Okay.

DALI	Little Daddy.

LITTLE DADDY	Je le ferai. Big Daddy apprendra tout ce qui s'est passé ici. En voiture.

OUT (10:09:22:17)


12 (10:09:31:04)

VALETA	Kelebogile, il faut qu'on discute toutes les deux. Je ne t'ai jamais caché que je ne t'ai jamais vraiment appréciée.

KELEBOGILE	(pff) (h)

VALETA	Mais au fil des années, j'ai appris à vivre avec. Tu sais pourquoi? Parce que mon fils t'a choisi. Et après tout ce que mon fils a toujours fait pour toi, c'est à ton tour de l'aider, jusqu'à ce qu'il récupère.

KELEBOGILE	(mts) Je fais du mieux que je peux, au vu de la situation.

VALETA	Non, et tu sais que ce n'est pas vrai. (h) Dès qu'on parle de Gary, tu es (h) froide et insensible. (h) Tu n'as pas l'air heureuse de son retour. Je le vois bien. Et bientôt il le verra aussi.

KELEBOGILE	Donc c'est de ma faute? Parce que je ne suis pas enthousiasmée? Vous pensiez que j'allais tout oublier?


13 (10:10:22:16)

KELEBOGILE	C'est pas moi l'amnésique ici. Je me souviens de tout. Et vous ne l'avez pas oublié non plus.

VALETA	J'ignore, de quoi tu parles.

KELEBOGILE	Votre fils. Votre petit chou, comme vous l'appellez. C'est une raclure qui se fait passer pour un homme. C'est une bête. C'est un monstre. (h) Quand j'y pense, vous avez élevé un déchet ambulant.

VALETA	Hé! Hé! Personne ne parle de mon fils en ces termes devant moi, tu m'entends? Personne!

KELEBOGILE	Vous croyez que j'ai peur de vous?

VALETA	T'as intérêt! Tu as intérêt, Kelebogile! Et tu devrais avoir honte, après tout ce que mon fils a fait pour toi!

KELEBOGILE	(hm) Votre fils ne m'a jamais fait que du mal.

VALETA	Du mal? C'est du mal, cette maison? Et les vêtements, tes bijoux? Tout ça, c'est du mal?

KELEBOGILE	J'en ai rien à faire de cette maison.

VALETA	(oh)

KELEBOGILE	(h) Ça n'a jamais valu le coup.


14 (10:11:18:06)

KELEBOGILE	Et j'ai demandé le divorce.

VALETA	Ça suffit! J'en ai assez de tes bêtises! Ça suffit tu entends? Tu vas arrêter tout de suite tes délires. Tu es mariée à mon fils! Accepte-le! Tu as prononcé tes voeux, tu te rappelles? Jusqu'à ce que la mort vous sépare! Et tu as l'air bien vivante! Espèce de moins que rien sans once de reconnaissance.

OUT (10:11:41:22)


15 (10:12:00:23)

TEBZA	Voilà!

OUT (10:12:02:08)


16 (10:12:10:12)

TEBZA	Waouh! (mts) Ouais. (h) (X) (h)

KELEBOGILE	Ah, te voilà.

TEBZA	(ah) (h) Kele... Dis, On boit tout ça?

KELEBOGILE	Hé bien, c'est ton bureau, tout est pour toi.

TEBZA	Je picole le soir?

KELEBOGILE	Oui. Enfin, des fois.

TEBZA	(hm) (mts) C'est quoi ce dossier?

KELEBOGILE	Oh, ça? Ça c'est... c'est notre album photo de mariage. Puisqu'il faut te remémorer les bons souvenirs, autant commencer par là.

TEBZA	Je vois. (mts) Faisons ça autour de la piscine. D'accord?

KELEBOGILE	Bien sûr.

OUT (10:12:50:17)


17 (10:13:04:24)

PABLO	Tu sais. (h) Ça s'est bien passé je trouve.

DALI	(h) (h) (h) (h) L'argent qu'on a mis dans ton éducation, c'était du gâchis! Tu sais ce qu'est un bulbe rachidien mais tu ne l'utilises pas.

PABLO	Mais non j'étais juste...

DALI	C'est pas une question gamin! Je t'informe! Qu'est-ce que t'essayais de faire? A quoi tu pensais? A rien! T'as juste voulu jouer à Rambo!

PABLO	(h) J'ai du mal à voir pourquoi tu t'énerves comme ça. On vend des armes, tonton! Autant les utiliser!

DALI	Thomas, Un pistolet c'est pas un jouet!

PABLO	Combien de fois je vais devoir le répéter, je suis pas Thomas, il n'y a pas de Thomas ici! Je suis Pablo! Tu devrais me remercier. Si je n'avais pas été là, Little Daddy, il t'aurait abattu. Tu devrais être reconnaissant pour ma présence. A partir d'aujourd'hui, les gens sauront que je suis Pablo Mokoena.

DALI	Et si Big Daddy apprend que tu as sorti ton flingue, il fera quoi? (hm?) Ton arme. Je suis pas en train de rigoler! Donne-moi ton arme. Cet idiot c'est pas possible, tu vas nous faire tuer. Tu as oublié le plus important? (h) On doit découvrir (h) ce que Gary sait. S'il nous soupçonne! Donne-moi ton arme à feu.

OUT (10:14:10:13)


18 (10:14:21:12)

KELEBOGILE	(oh) Et cette photo aussi. (hm) J'avais oublié à quel point je l'aime.

TEBZA	C'est très beau. Elles sont toutes très belles. (h) Et tu es très belle.

KELEBOGILE	C'est ce que t'arrêtes pas de répéter.

TEBZA	Parce que c'est vrai.

KELEBOGILE	Gary, tu sais, que j'essaye de t'aider, là?

TEBZA	(mts) (mts) Je le vois bien, oui.

KELEBOGILE	J'arrive même pas à comprendre, comment, (h) comment tu peux oublier le jour le plus important de nos vies. On était si jeunes et pleins d'espoir et (h) (mts) (mts) Je me souviens que toute ma famille était là. Toi tu avais ta famille et tes amis.


19 (10:15:08:04)

KELEBOGILE	Et devant tous ces gens, on s'est promis de s'aimer pour toujours. Mais, ensuite tout a changé.

TEBZA	(hein) Je ne comprends pas. Qu'est-ce qui a changé?

KELEBOGILE	Toi, tu as changé. Et maintenant tu ne t'en rappelles même plus.

TEBZA	(ah) (mts) (mts) (mts) C'est compliqué à dire, mais même si je n'ai plus ces souvenirs, je ressens quelque chose. Ici. Et c'est presque comme un souvenir. Ce qui est important, c'est que toi et moi, tous les deux, on fasse de nouveaux souvenirs. (mts) qui resteront avec moi pour toujours.


20 (10:16:00:21)

KELEBOGILE	J'imagine mal l'ancien Gary dire ça. (ahah) (h) (h) C'est des mots en l'air.

TEBZA	Mais non. Je te le promets. (oh) (euh) Ouais, (euhm) J'ai mal à la tête. Sans doute, parce que j'essaie si fort de me souvenir de ça. Je vais me reposer. (hm?) On reprendra cette discussion plus tard. (mts) Ouais. (mts)

OUT (10:16:45:11)


21 (10:16:52:08)

DALI	C'est moi qui parle. Toi quoi qu'il arrive tu te tais. C'est compris? Ah, frangine! tout s'est bien passé, on a délivré la marchandise et on a notre argent.

VALETA	Bien. Il y a eu des problèmes?

DALI	Tout s'est bien passé.

VALETA	(hm) Mais si tout s'est si bien passé, qu'est-ce que tu viens faire ici?

DALI	Frangine, on doit parler à Gary.

VALETA	(h) Je t'ai déjà tout expliqué. Gary est revenu mais il a perdu la mémoire, il ne se souvient de rien. Je dois m'assurer qu'il recouvre intégralement ses souvenirs. La priorité, c'est que vous continuiez à faire tourner les affaires. Je peux vous confier ce rôle?

DALI	Bien sûr. Mais on doit parler à Gary. On ne peut se permettre aucune erreur.

VALETA	La docteure a été très claire, il a besoin de repos avant tout, il doit éviter le stress à tout prix.

PABLO	Non. C'est impossible. On ne peut pas gérer nos affaires sans connaître la situation. On doit savoir ce qui s'est passé avec l'avion.

DALI	Il a raison. On doit déterminer s'il y a un responsable à l'accident.


22 (10:17:53:12)

VALETA	Je vous donne deux minutes, pas plus. Il vient de subir une épreuve très difficile et je refuse que vous me l'épuisiez. C'est compris? Deux minutes, pas plus!

PABLO	Parfait.

DALI	Ça suffira, après tout c'est toi qui fais les règles. Alors à quoi ça sert que je parle? Allez, on y va.

OUT (10:18:11:21)


23 (10:18:19:19)

TEBZA	(euh) Une minute! (euh) Entrez! (h) Bonjour, (h) (h) Vous pouvez me redire vos noms? (h)

DALI	Dali. Je suis ton oncle.

TEBZA	(ah)

DALI	Et lui c'est Pablo. Ton frère.

PABLO	Pablo.

TEBZA	(mts) Mon frère! Allez viens là mon gars, viens faire un câlin à ton frangin. (ah)

PABLO	Voilà.

TEBZA	Ouais. Bon, messieurs, (mts) je dois filer. (euhm) Je suis désolé, je sais que vous voudriez qu'on rattrape le temps perdu, mais (h) j'ai vraiment oublié beaucoup de choses, donc je vais pas pouvoir vous parler comme je le ferais d'habitude.

DALI	Arrête ton char. Honnêtement,


24 (10:19:17:20)

DALI	de quoi tu te rappelles?

PABLO	Réponds, de quoi tu te souviens? (h) Il s'est passé quoi dans l'avion? Il y a eu une panne et t'as sauté?

TEBZA	(euh) Pour être honnête, je me je me souviens de rien.

PABLO	Comment ça? Tu te souviens d'absolument rien?

TEBZA	(mts) Okay. Mes souvenirs commencent, quand j'ouvre les yeux, tout autour de moi, est plongé dans l'obscurité. Je suis dans la nature. Et autour de moi je ne vois rien, pas d'arbre, ni de montagne. A l'exception... d'un serpent.

DALI	Un serpent?

TEBZA	Et pas juste un serpent. Mais deux. Ils me regardent, et ils sifflent. (sss) (h) Je vois que je n'ai aucune chance contre eux. C'en était fini de moi. Vous savez ce qu'on dit sur les serpents? Ils attaquent quand on s'y attend le moins. Et tout à coup ils m'attaquent! (kakakakakaka) Je sautais d'un pied sur l'autre, en faisant ce que je pouvais faire pour les éviter.


25 (10:20:24:05)

TEBZA	(h) Les serpents ont fini par fatiguer. Et soudain du coin de mon oeil, je vois... un rocher pointu. Je prends le premier serpent, et je le cogne, je le cogne, et tac! (h) Je l'ai décapité. (mts) (h) (h) (h) Et c'est à peu près tout. Après quelqu'un est venu m'aider, et vous connaissez la suite. C'est tout ce dont je me souviens. Bref, c'est pas tout ça, mais je dois filer. (h) Donc voilà. A la prochaine. Salut.

OUT (10:21:00:17)


26 (10:21:11:08)

PABLO	Il n'y a plus aucun doute, il se souvient de tout. On est les serpents. Et il va nous décapiter.

DALI	Il peut essayer.

OUT (10:21:18:07)


27 (10:21:27:08)

KELEBOGILE	T'es fatigué?

MASEGO	Oui. Papa!

TEBZA	Hé! Viens là. Viens mon grand. T'étais où?

MASEGO	A l'école!

TEBZA	(ah) Tu t'es bien amusé?

MASEGO	Oui. Le club de foot recrute.

KELEBOGILE	Il a rejoint l'équipe C

TEBZA	L'équipe C? C'est toujours mieux que l'équipe D.

KELEBOGILE	Je m'entraîne pour être accepté dans l'équipe B.

TEBZA	Mais ne vise pas l'équipe B. (h) Tu as de quoi intégrer l'équipe A!

KELEBOGILE	Aide-le. Il voudrait jouer avec toi avec le ballon que tu lui as offert.

TEBZA	Là, maintenant?

KELEBOGILE	Oui. Avant qu'il fasse ses devoirs.

TEBZA	(mts) (mts) (mts) Il faut que j'y aille. (h)

KELEBOGILE	Comme toujours.

MASEGO	Steplaît papa!

TEBZA	(h) (mts) D'accord. Pourquoi pas. On va jouer.

MASEGO	Ouais!

KELEBOGILE	Ah, d'accord.

OUT (10:22:16:23)


28 (10:22:23:15)

PABLO	Ce que tu oublies, mon oncle, c'est qu'on sait qu'il sait.

DALI	Mais s'il sait qu'on sait qu'il sait... Alors là, on va avoir de gros problèmes. Tu connais Gary. Il va vouloir se venger.

PABLO	Evidemment, tout ça arrive, (h) après que mère accepte qu'on gère les affaires. (mts) Tu sais depuis combien de temps je le veux ce business?

DALI	Tes ambitions sont démesurées, Il arrête de jouer l'amnésique, et t'es foutu.

OUT (10:22:50:19)


29 (10:22:59:16)

MASEGO	Où t'as appris à faire ça?

TEBZA	(ah) (h) C'est facile avec ce ballon. (ah)

MASEGO	T'avais pas fait Rugby à l'école?

TEBZA	Du Rugby? (ah) Non non non non. Le Rugby c'est pour les blancs, (ah) nous c'est le foot!

KELEBOGILE	Tu sais, il serait en équipe A si tu passais plus de temps avec lui et moins à ton travail.

TEBZA	(ah) Kele... Oublie le travail, tu parles au nouveau Gary. D'accord? (ah) Si mon fils veut faire un foot après l'école tous les soirs, je serai là pour qu'il fasse son foot tous les soirs.

MASEGO	Merci papa!

TEBZA	(ah)

MASEGO	(h)

TEBZA	(h) (ah) Mais Papa Ronaldo est crevé. (ahahah) Tout ce boulot, c'est tout bonnement éreintant. (ah)

KELEBOGILE	Tu te souviens de Ronaldo, mais tu as oublié ta femme. Viens Masego. On va manger.

OUT (10:23:47:10)


30 (10:24:08:15)

TEBZA	C'est parti! (ahahah) Oh oui, ça va être bon! A moi la-

REGGIE	Monsieur. Qu'est-ce que vous faites?

TEBZA	Je vais faire un tour! (h)

REGGIE	Non, monsieur, vous ne pouvez pas conduire.

TEBZA	Oh je sais que je suis amnésique, mais la voiture c'est comme le vélo ça s'oublie pas!

REGGIE	Non, vous ne savez pas conduire, vous n'avez même pas le permis!

TEBZA	Quoi?! (ah) Donc j'ai toutes ces voitures, là, mais je ne sais pas les conduire?

REGGIE	Absolument, c'est pour ça que je suis là, pour vous conduire où vous voulez. Venez de ce côté monsieur. Venez monsieur.

OUT (10:24:45:07)


31 (10:25:09:16)

KELEBOGILE	Alors, Vingt-quatre fois douze.

MASEGO	T'as vu papa avec le ballon? C'était un champion.

KELEBOGILE	Masego, allez, écris. Vingt-quatre fois douze.

MASEGO	Si je joue avec papa tous les jours, plus tard je serai milieu de terrain.

KELEBOGILE	(h) D'accord. Peut-être. Peut-être que pour une fois, papa va tenir sa promesse et jouer avec toi.

MASEGO	C'est sûr! C'est le nouveau papa!

OUT (10:25:35:18)


32 (10:26:16:11)

TEBZA	Je l'ai.

TURBO	Tu as l'argent?

TEBZA	Oui, tout est là dedans. C'est bon. (mts) On est bons! (hm) (h)

TURBO	Dis, Tebza, (mts) La famille ne suspecte vraiment rien?

TEBZA	Ça fait trois fois que je te le dis, non seulement ils ne se doutent de rien, mais en plus ils m'adorent!

TURBO	C'est pas toi qu'ils adorent, c'est Gary.

TEBZA	Je le sais bien, mais... (mts) (mts) (mts) Ils aiment le nouveau Gary encore plus que l'ancien. (mts) T'aurais dû voir le regard que Kelebogile m'a lancé.

TURBO	Kelebogile c'est qui?

TEBZA	(h) Ma femme! Elle est mannequin de mode. Tout se passe vraiment super bien je te dis.

TURBO	T'as bien tout l'argent?

TEBZA	Oui, tout est là, il manque pas un centime.

TURBO	(ah)

TEBZA	(ah)

TURBO	(ahah)

TEBZA	C'est Gary le patron!

TURBO	Le patron?

TEBZA	Le patron!

TURBO	(ahah)

TEBZA	(ahah) Gary c'est le patron mec! Pas vrai? (ahah)

TURBO	C'est qui?

TEBZA	Gary!

TURBO	Gary qui?

TEBZA	(ahah)

TURBO	(ahah)

TEBZA	(h)

TURBO	C'est qui Gary? (ahah)

TEBZA	C'est le patron. Ouais.


33 (10:27:12:21)

DALI	On doit procéder autrement.

PABLO	Prends en une. Portons un toast, à mon frère, bientôt décédé.

DALI	Oui, mais cette fois, (h) il faut faire ça bien. Le poison.

PABLO	Le poison.

DALI	Oui.

PABLO	(h) Je connais un gars qui peut nous aider.

DALI	Contacte-le. Ce soir, on envoie ce chien au ciel, rencontrer ses ancêtres.


34 (10:27:48:17)

TEBZA	Cette famille est pas juste riche, elle suinte carrément de l'argent.

TURBO	Tu te souviens de notre plan? On a l'argent qu'on voulait. Alors Gary, tu l'oublies!

TEBZA	(h) Comment tu veux que j'oublie Gary? Je suis un fils, un mari et un père, je suis Gary deux point zéro, la version améliorée. Je veux vivre la belle vie. J'en ai marre d'aller de dette en dette en me demandant si je pourrai manger demain.

TURBO	Non non non non non non. Hansie va venir récupérer son argent. On lui donne, et on oublie tout. On n'aura plus de dettes, on sera libres, et on pourra repartir à zéro et gagner notre vie honnêtement.

TEBZA	Sauf que c'est pas moi qui a l'argent pour tout recommencer, mais Gary.

TURBO	Ah non non non non non. non. Ça ne faisait pas partie de notre plan ça. Arrête de jouer au héros. Arrête avec tes plans à la noix, ça va...

HANSIE	Oui, parfait parfait. regardez qui voilà, vous avez mon argent? Hein?

TEBZA	On serait pas là sinon. (h) (mts) Tiens. Tout est là dedans.


35 (10:28:46:02)

REGGIE	Monsieur, il se passe quoi là?

TEBZA	(ah) Reggie, euh, c'est rien. viens, on s'en va.

OUT (10:28:54:06)


36 (10:29:03:09)

HANSIE	Hé, toi.

TURBO	Euh, oui?

HANSIE	C'était qui ce type?

TURBO	J'en suis pas sûr, Hansie.

HANSIE	Quoi?

TURBO	Je le reconnais pas.

OUT (10:29:11:02)


37 (10:29:18:23)

TEBZA	Qu'est-ce qui se passe, Reggie? Il y a un bouchon?

REGGIE	Je sais pas ce qui se passe, monsieur.

TEBZA	Essaye de voir si tu peux contourner le problème. Peut-être.

MMABOSTE	Tebza! Hé ho, Tebza! Tebza! A qui elle est cette voiture? T'as cru que j'allais pas te reconnaître parce que tu t'es coupé les cheveux?

TEBZA	Reggie...

REGGIE	Je nous sors de là.

MMABOSTE	Tu peux pas avoir des pensions alimentaires en retard et te trimballer dans ce genre de voitures, tu m'entends!

TEBZA	Reggie, cette femme est folle!

REGGIE	C'est bon, on peut redémarrer.

MMABOSTE	Paye ce que tu me dois et à moi, à mon frère et à ta fille avant de te pavaner dans une voiture de luxe! Tebza! Bon sang!


38 (10:29:53:02)

EVODIA	Comment va Masego?

KELEBOGILE	(hah) Il est aux anges. Son père est de retour.

EVODIA	C'est bien. Même si peut-être qu'il vaudrait mieux qu'il soit mort.

KELEBOGILE	(h) Evodia, qu'est-ce qu'il te prend?

EVODIA	C'est toi qui ne voulais plus de ce mec dans ta vie, non?

KELEBOGILE	Ce que je voulais c'était divorcer de Gary, pas qu'il meure. Et en plus il a complètement oublié ce qu'il m'a fait.

EVODIA	Dis-lui alors.

KELEBOGILE	Je peux pas faire ça.

EVODIA	Pourquoi?

KELEBOGILE	C'est pas le moment. Et même si je lui raconte tout, ça servira à rien tant que sa mère est là. Elle lui fera croire n'importe quoi à mon sujet.

EVODIA	Comme quoi?

KELEBOGILE	Oh je saurais pas te dire, mais... (h) C'est comme, c'est comme s'il était différent. Il est gentil, il est présent sur le plan affectif, Il a même joué avec Masego. C'est dingue! (h) Je sais, je sais que ça a l'air dingue, mais, (h)


39 (10:30:35:00)

KELEBOGILE	(mts) J'ai l'impression que l'accident l'a changé.

