Voice Over	Previously on Agent
Pascal	Okay, got it.

Blaze	Welcome to Ace Management.

Blaze	Mr. Dube. How are you Sir?

Walter	You really want to know or do you want the usual, polite 'fine, thank you'?

Blaze	I always like that we don't dance around each other.

Walter	You're right. Honesty is a rare commodity in this business.

Blaze	Back of the net Baba.

Walter	Well, the game is giving me nothing but stomach ulcers and grey hairs these days. 

Blaze 	Well it's for the love of the game.

Walter	Hah, that's for the fans. Seems all I do is the politics now.

Blaze	Well, I hate to give you more stomach problems Baba, but that's why I'm calling.

Walter	Talk to me.

Blaze	It's about Phumlani.

Walter	What's the boy done now?

Blaze	It's not what he did right now, it's about what he's about to do without your blessing.	

Blaze	He's in talks with Jean-Pierre over my kid, Herve.

Blaze	Bab Du?

Walter	I'm here. Are you sure?

Blaze	Without question…

Blaze	Everybody knows that he's next in line. 

Blaze	It's more about self-preservation than any disrespect toward you, sir.

Walter	You're sure about this?

Blaze	I would never think of calling if I wasn't.

Walter	Damn him.

Blaze	I think we have to meet earlier Baba.

Walter	How?

Walter	I've got to show face at a charity event. They’ve got me making a speech.

Walter	All wise old men are good for these days, it looks like.

Blaze	I'll come to you.

Walter	If you want.

Blaze	Alright, thanks Bab Du.

Blaze	Hey Missus G. Where are you?

Godi	I'm still at the office, going through Pascal's paperwork before the deadline. Well played by the way.

Blaze	Is that a bit of faith that I hear?

Godi	Yeah except I'm the one who's going to get the axe from Chris.

Blaze	About that, what's the status quo on Herve?

Godi	Jade called about two minutes ago and said he and Jean-Pierre rocked up at Marlboro Stadium.

Blaze	Phumlani?

Godi	About fifteen minutes before that.

Blaze	That's a major Charlie Foxtrot!

Godi	Yeah tell me about it. Where are you?

Blaze	I'm on my way to squash all this.

Godi	Have you got time?

Blaze	I did play speed chess at school.

Godi	Well you better hope Jean-Pierre didn't, because he's making his move now.

Blaze	Alright alright Missus G.

Juliette	Are you on the list?

Blaze 	Yeah sure.

Juliette	Name?

Blaze	Slindile, or it could be under Blaze.

Phumlani	My man, Jean-Pierre.

Jean-Pierre	Phumlani. Meet the future of the game…

Phumlani	Ah but of course.

Phumlani	Mr. Herve Toure

Herve	Hello.

Phumlani	Pleasure to have you with us. I'm already a fan.

Herve	Oh, I haven't done anything yet.

Phumlani	But you're about to. With all these legends surrounding you.

Herve	I am.

Phumlani	Gentlemen, please... have a seat.

Phumlani	You Mister Toure are about to sign your first autograph for me.

Phumlani	Please, your name on the dotted line.

Blaze	What’s up?

Phumlani	If you sign with Marlboro, I will put some serious, serious money into your pocket.	

Jean-Pierre 	And I promise that I will not sleep until you are on the next version of FIFA.

Phumlani	He likes it.

Jean-Pierre	Yes he does.

Phumlani	Let's see if he likes this?

Jean-Pierre	Ta da. 

Jean-Pierre	It's the bonus we talked about.

Phumlani	Mister Toure. Shall we use that pen?

Herve	Can I eat first? I'm hungry.

Jean	Sure. Go ahead.

Jackie	Thanks Jules.

Juliette	No problem Jacks.

Jackie	What the fuck? He's got people to see.

Blaze	I need to take him back to Marlboro. It's urgent.

Jackie	Are you fucking kidding me right now?

Blaze	Do you know what day it is today?

Jackie	Yes I do but what do you expect me to tell all those people?

Blaze	You'll think of something. You always do.

Walter	Thanks Jacks.

Jackie	No problem.

Blaze	Love you Jacks.

Jackie	Yeah yeah whatever.

Jean-Pierre	Listen kid, I know it's a major step, I know it... but look around you.

Jean-Pierre	Look at all these men, all these, all these great men.

Jean-Pierre	Well they were all once kids sitting right where you're sitting.

Jean-Pierre	You think they became what they are by being afraid of a piece of paper?

Jean-Pierre	Please tell him because I'm…

Phumlani	This is you first step to greatness.

Herve	Did all... all those men sign here alone?

Phumlani	What?

Herve	I mean they had agents, mana-- managers or whatever, yes?

Jean-Pierre	I'm your agent boy, okay.

Herve	But he's your friend.

Jean-Pierre	So?

Phumlani	This has got nothing to do with friendship, as a matter-of-fact it's got everything to do with bus

Herve	Yeah I know everyone here talk about business. But Blaze knows I'm not a businessman. I mean I just play.	

Phumlani	He is not your friend.

Herve	He feels like one.

Jean-Pierre	Okay. Do you know how many players, how many marquee players I have on my books?	

Jean-Pierre	You don't know?

Jean-Pierre	Enough to get my fifth house in Clifton, okay.

Jean-Pierre	The real question is what am I doing here with you?

Jean-Pierre	You want to know

Jean-Pierre	I believe. I believe in you.

Jean-Pierre	All the other players are just salary.

Jean-Pierre	But you... you could be my legacy.

Jean-Pierre	Man if you want friends, go to Facebook. 

Jean-Pierre	If you want a guru, well that's me, okay.

Jean-Pierre 	I... I make it rain for you.

Herve	I should read the contract though. I mean, it's safe you know.

Phumlani	Mister Toure, it's standard league Ts and Cs.

Jean-Pierre	Yeah it’s...  it's nothing fancy really. Come on.

Herve	But still

Jean-Pierre	Come on.

Blaze	Bab Walter, I might not be a comrade here, but we go back far enough, not so? 

Walter 	Uh huh.

Blaze	I deserve some consideration here.

Walter 	Right.

Blaze	Your son.

Walter	What did he do?

Blaze	Kidnapping a client I spent months, months negotiating with.

Blaze	The stamps on my passport to Ivory Coast, I’m practically a citizen now. 

Walter	What's right is right, but what can I do at this point?

Blaze	We leave now, we can catch them maybe.

Walter	Okay, but if your kid signs, owner or not...

Walter 	Where is that old car of yours? 

Blaze	Didn't you always tell me cars aren't investments?

Blaze	The value drops as soon as you drive out the garage. 

Blaze	So it's vintage. 1970's.

Walter	My luck. The wrong son listens to me.

Blaze	The problem is Phumlani thinks Jean-Pierre’s his main ally. 

Blaze	And no offence, but he knows you’re not going to live forever.

Walter 	What?

Blaze	He’s already rearranging the furniture in your office.

Blaze	He doesn’t think he has to answer to you.

Walter	You know what...

Walter	... don’t sell me. I’ll say my piece when I see proof of this nonsense.

Godi	Herve?

Herve 	Godi. I think, I think I make a big... a big mess.

Godi	Don't tell me you signed anything. Please God.

Herve	No, but they want me to. I mean I want Blaze.

Godi	Yeah then you shouldn't have run off with Jean-Pierre.

Herve	I know, I know... but these guys are acting like those dealers in the black market in... back in....back home.

Godi	Don't worry, we’re gonna get you out of there.

Herve	Okay but when?

Godi	Now, now. Just stall okay.

Herve	Okay. Please. They not happy. Make fast, fast.

Godi	Yeah yeah, okay okay.

Walter	They work their jobs, five days a week always looking forward to that Saturday...	

Walter	… when they can sit back with a beer and pray for their team to score on TV.

Walter	For ninety minutes they get to forget how crap their lives are.

Blaze	Something bigger than themselves.

Walter	Ah weh. I'm proud of having a hand in that.

Walter	But they don't know the filthy things that can go on to make it happen.

Blaze	Behind the scenes.

Walter	Yeah. Where's your car?

Phumlani	Ah, are we good Mister Toure?

Herve	Uh yes, fine.

Jean-Pierre	Put down your mark.

Herve	I can’t.

Phumlani	What?

Herve	I'm going to stay with Blaze. Going to do the deal with him.

Phumlani	Ahhhhh. You amaze me.

Phumlani	There is no God-damn deal with Blaze! Hey. Look at me. Look at me.

Phumlani	The average career of a footballer is about 15 years, God willingly, they stay healthy.	

Phumlani	But say the Almighty looks the other way for just a second... hmm...  and the sound of a gun going off happens.

Phumlani	What do you do then Herve? What do you do then?

Phumlani	What the fuck do you do then? Hmm? Go back to the coast and work for food? Or whatever the fuck it is that you people do.

Phumlani	Quite frankly, I don't care. I wanna know what do you do then? Answer me! Is that what you want? Is that what you want?

Herve	No. 

Phumlani	Wonderful. Wonderful. Then we understand each other gentlemen?

Phumlani	You will sign this contract. In ink or blood... you will sign it.

Blaze	If we hurry we can...

Phumlani	Sign the fucking contract or I swear on my life I will fucking shoot your kneecaps off boy!

Blaze	Bab Walt, Bab Walt. Alright Baba?

Walter	Ja. I'm old. I just need to get my second wind.

Blaze	Oh okay.

Walter	What the hell is this?

Blaze	Un-fucking-believable yeah?

Walter	I'm not seeing that.

Phumlani	Baba it's not even loaded dad.

Walter	Have you lost your mind boy?

Phumlani	I was just doing business... for the club. 

Walter	Not like this.

Phumlani	We said we were going to sign him to the team.

Phumlani	I’m just taking initiative. As a matter-of-fact all I was doing was just giving him an incentive, that's all.

Walter	The deal happens through Slindile.

Phumlani	What?

Jean-Pierre	How about the player decides?

Walter	Up to the player, when you've got a gun pointed at his knee?

Blaze	Baba, it’s okay. If that’s what they want. We’ll let Herve decide.

Herve	I'm... I'm with Blaze.

Blaze	Are you satisfied or do you want that in French you fuck?

Jean-Pierre	Look at him. He doesn't know what the fuck he wants.

Walter	Are you sure?

Herve	Blaze knows the game. This guy pretends to. It's like talking about soccer with my sister.

Blaze	You stay the fuck away from my players.

Walter	You both can get the fuck out of here. I'll take over from here.

Jean-Pierre	With pleasure. Come on. Come on, let's fuck off.

Blaze	You okay?

Blaze	Are you sure?

Herve	Yeah.

Jade	Yeah. Mmm. You sound like death.

Blaze	And I feel like it too. So what's the final verdict today?

Jade	Klopp didn't sign anyone, if that's what you're asking? But we did send Markovic out on loan to Hull City.

Blaze	Ah. I remember him. A deluded Brendan Rodgers signing from Benfica for 20 million. That's 20 bar!

Jade	Well sometimes they work, sometimes they don't.

Blaze	Yeah enough with the complacency now.

Jade	Mmm, are we still talking about the Reds?

Blaze	Yeah listen J, thank you... for everything today.

Jade	Things got ugly, huh?


Blaze	Yeah well, you know how the game goes. Sometimes the wins aren't always pretty, but I'll take it.

Jade	Spoke to Godi, things came right.

Blaze	And I wouldn't have done it without you, you know that right?

Jade	And I wouldn't be part of the tribe if it wasn't for you.

Blaze	In Klopp we trust. Speak to you tomorrow J.

Godi	So? Do the lights stay on?

Blaze	Young Herve Toure to Marlboro United is a done deal thanks to Walter.

Godi	You did it!

Blaze	No we did it. And not just that. We now have three new clients.

Godi	Uh two? Pascal and Herve?

Blaze	Three.

Blaze	And Mila Dior.

Godi	Come again?

Blaze	We're diversifying. We now rep actors too.

Godi	Oh really.

Blaze	Yes really. Now the question is, are you still leaving me?

Godi	Oh I was never leaving you. You just needed a push.

Lesego	The thing is I pay him big money to have my back, you see.

Blaze	And I'm your agent not your pimp.

Lesego	Huh? Is there a difference? I mean where is this self-righteousness coming from?	

Blaze	Les you know it's not like that.

Lesego	Ah why? Because I just want something that resembles a life off the pitch?

Blaze	No. Because you want one at my expense.

Lesego	Nigger come on, please man. This is the game dog. Where your balls at, player?	

Blaze	It takes a special kind of arsehole to ask me to babysit his honey while he's out there trying to get one of mine. One that I met yesterday by the way.

Lesego	Exactly she's some random ass, not your wife.

Blaze	Yeah but you don't get to tell me how I feel.

Lesego	Yeah but for ten percent of everything that I fucking make, I get to tell you what to do.

Blaze	Oh so you gonna play that card. It's all about the money right?

Blaze	You know what bruv, I'd rather starve than rep you.

Blaze	You're a fucking criminal.

Christopher	Hold on.

Lesego	What the fuck did you say?

Blaze	You heard me.

Lesego	Blaze you forget hey? 

Blaze	I’m nothing like you.

Lesego 	Just because blood was washed off doesn't mean it's gone.


Blaze	I'm nothing like you. I'm nothing like you.

Lesego	What you want a piece of me? What?

Christopher	Blaze, you back. Lesego you shut the fuck up.

Lesego	We're cool... not. We're cool.

Christopher	You kids really wanna go... we can, but I swear to God you will not like it.

Christopher	Now we don't like each other but we damn well have to get on. No one escapes what happened, yeah? No one.

Blaze	Can't we just go our separate ways here?

Christopher	Yeah and what do you think will come of it when things get fucked up enough for one of you to start speaking? Hmmm?

Christopher	Shut up! Just keep it tidy. You want something, ask Godi. No more bullshit assignments.

Christopher	And enough with the fucking mind games. You stay in your lane from now on yeah?

Lesego	Aye aye captain.

Christopher	Blaze?

Blaze	I’m cool.

Lesego	Are we done here?

Christopher	Yeah we done.

Lesego	Fuck!

Blaze	Hello? Yes who's talking?

Monte 	It’s me Monte. Security at Pascal's complex. You don't remember? I let you in.

Blaze	Monte my man. It's late man.

Monte 	I'm checking about the job.

Blaze	I’m putting your name out there, just give me a few days.

Monte 	I’ll call you tomorrow.

Blaze	Okay.

Monte 	Listen Blaze, you remember our deal, right?

Blaze	Okay Monte, sharp. Bye.

Monte 	Okay sharp.
 
