

IDEAL HOME - PART 1






1 (00:00:25:15)

RADIO POLICE	Code dix- trente et un sur Central avenue.
KATE	Les femmes ici en mettent beaucoup trop.

MAIRE	C'est vrai.

KATE	Oui. Des tonnes. J'dis pas ça pour vous, vous êtes superbe.

MAIRE	Oui_.

NATHALIE	C'est Navajo.

KATE	Wah. Hey, mais qu'est- c'que...T'es qui, toi?

ERASMUS	Euhm.

KATE	Une bible? [voirVO] h Oh__. Erasmus.

ERASMUS	Quelqu'un n'sait pas écrire mon nom. "Cher Erosmus,... ... voici_ ton petit- fils." T... Ton... Ton père est là? Il était là? Est- c'qu'il est_ parti? Comment_ tu t'appelles? Tu, euh, tu as un nom? Euhm, peut- on avoir une autre chaise, s'il vous plaît?

KATE	Oui.

AMB INVITÉS X 30	...


13 (00:09:46:10)

AMB INVITÉS X 30	h[brouhaha]

TINO	C'est tout c'que t'as avec toi?

AMB INVITÉS X 30	-

ERASMUS	Nous avons donc une bible,... ... un peu d'argent... ... et_, euh_... ... un sachet d'cocaïne. Tout c'dont on a besoin dans la vie, hein?

KATE	h

TINO	h[rient] -

KATE	!

ERASMUS	Je n'vois pas de vêtements.

TINO	.

NATHALIE	Pas d'soucis, j'appelle le magasin, on va lui trouver ça.

ERASMUS	Oh_. C'est gentil. h [voirVO] h ! Euhm. Vous tous, écoutez.

AMB INVITÉS X 30	...

ERASMUS	Il semblerait que_... ... ce p'tit gars- là est mon petit fils.

DORIS	Uh huh.

HOMME 1	hm.

AMB INVITÉS X 30	h[brouhaha]

FEMME 2	En fait, Sandy Koufax avait une énorme queue.

AMB INVITÉS X 30	-

DORIS	Quoi?

HOMME 1	Ah oui?

DORIS	[rit]

FEMME 2	Énorme.

DORIS	h

FEMME 2	Légendaire.

DORIS	!

FEMME 2	Une queue hors du commun.

HOMME 1	C'est vrai?

FEMME 2	C'est vrai. Pour un juif.

PAUL	Excusez- moi.

AMB INVITÉS X 30	.


14 (00:10:31:20)

PAUL	Tu as un p'tit- fils?

ERASMUS	C'est incroyable, hein? J'veux dire, regarde. Je n'me suis pas fait retouché.

PAUL	J'ai appris qu'tu avais un fils y'a à peine trois ans.

ERASMUS	Il a coupé les ponts. Je t'ai déjà parlé d'lui.

PAUL	Non, pas vraiment.

ERASMUS	Eh bien, dans les années quatre- vingt, quand j'expérimentais, j'ai eu une_... ... liaison avec une femme, euh, qui a eu pour résultat un bébé_... h beurk... ... Euh_, qu'elle a voulu__ garder. h Et, euh... Tout ça est_ très nébuleux. J'étais certainement sous Methaqualone. Tu t'souviens?* h . Quelle montée. Bref, avant que tu n'arrives, chérie,... h euhm, j'avais un fils qui s'appelait Beau qui__... ... a abandonné l'école, eu un problème de drogue. Il a même fait une overdose lors du lancement d'mon livre à New York.

PAUL	Non_! Que ça devait être embarrassant.

ERASMUS	Ça l'était. Anna Wintour était là_.

PAUL	Une seconde, il... il est où, là_?

ERASMUS	D'après le mot,... il est en_... prison. Oui, en prison.


15 (00:11:24:20)

PAUL	Le gamin va vivre ici_?

ERASMUS	Mm. Où veux- tu qu'il aille?

PAUL	On peut pas garder un enfant. On n'a même pas su gérer c'te saloperie de Yorkshire Terrier. Merci mon dieu pour c'coyote. Problème résolu. Mais un gamin, c'est trop.

ERASMUS	Calme- toi. Je suis sûr que quelqu'un des services sociaux va venir et nous dire à quoi nous en tenir. Prends un de tes cachets.

PAUL	Toi, prends un d'tes cachets.

ERASMUS	Oh, ça m'fait penser. Qu'est- qu'on va faire de ça? J'veux dire_,... ... je ne prends plus de cocaïne, mais... ... ce serait du gâchis de l'jeter.

PAUL	Mettons- le aux enchères dans une vente de charité.

ERASMUS	Bonne idée.

PAUL	Je plaisante. On irait en prison.

ERASMUS	Oh. h

PAUL	Tu veux qu'j'te fasse une fellation?

ERASMUS	Euh, tu veux qu'j'te fasse une pipe?

PAUL	On a des invités.

ERASMUS	Oui, t'as raison.


16 (00:12:04:10)

AMB INVITÉS X 30	h[brouhaha]

HOMME 2	Bonne fin d'soirée.

AMB INVITÉS X 30	-

HOMME 2	Merci beaucoup.

KATE	Erasmus,... ... on va vous laisser pour que vous puissiez vous occuper d'ton p'tit fils. Mts.

ERASMUS	Non, non, non, reste, Kate.

KATE	Non, j'ai un blanchiment demain matin.

ERASMUS	S'il te plaît.

KATE	Mes dents.

ERASMUS	h . Tout le monde s'en va, Paul. C'est la pire chose qui me soit jamais arrivée.

NOTE D'AUTEUR	------------------------------------------

NATHALIE	Dis- nous c'que tu veux et quelqu'un le préparera pour toi.

BILL	J'veux aller au Taco Bell.

AMB INVITÉS X 30	...

TINO	Allons à la cuisine, peut- être que...

BILL	Me touche pas!

AMB INVITÉS X 10	h["Oh!] - !

MAIRE	Ça va. C'est rien.


17 (00:12:33:00)

ERASMUS	Oh, mon dieu. [voirVO] h["Oh, mon dieu" X 9] -

PAUL	Oh__, ça va, on a compris. Reprends- toi, bon sang!

ERASMUS	.

PAUL	Voilà c'que tu vas faire. Tu vas servir au Maire un shot de Mezcal, tu vas inviter la rédactrice de Elle Décoration à danser, j'vais dire à Gustavo d'jouer du tango et demander à Tino d'emmener cet enfant sauvage au Taco Bell. h Puis, tu vas aller à l'entrée et dire à tout l'monde de revenir parce qu'y a mon gâteau d'anniversaire, qu'on va chanter et qu' y a d'la coke.

ERASMUS	Oui, mais, euh, j'ai pas d'gâteau, c'est pas ton anniversaire. C'est ton anniversaire.

NOTE D'AUTEUR	-------------------------------------

PAUL	Allez, vas- y_. Maintenant! Allez!

ERASMUS	Hé, vous tous! J'ai d'la_... cocaïne et un gâteau d'anniversaire!

OUT (00:13:08:05)


18 (00:13:34:00)

ERASMUS	Normalement, mon garçon, c'est là que tu dis: Erasmus, c'est M___M

NOTE D'AUTEUR	-------------------------------------

ERASMUS	er_veilleux! C'est comme séjourner dans... ... un hôtel cinq étoiles!

NOTE D'AUTEUR	-----------------------------------------

BILL	J'ai l'air d'un pauv' crétin avec ça.

PAUL	Bon,... allez. Au lit. Allez, au lit. Vite. On laisse la lumière?

BILL	J'm'en fous.

ERASMUS	Hey, hey,... ... ne dis jamais ça. Tu devrais_... ... toujours te soucier profondément de chaque choix que tu fais dans ta vie.

NOTE D'AUTEUR	------------------------------------------------- ----------------------------------------

PAUL	Bonne nuit.


19 (00:14:18:00)

PAUL	On verrouilles nos portes. Ce gamin m'fout vraiment la trouille.

ERASMUS	Oh, je l'trouve adorable.

PAUL	Les gens pensaient que Jeffrey Dahmer était adorable jusqu'à c'qu'il les viole et les mange.

ERASMUS	[voirVO] h .


20 (00:14:29:15)

ERASMUS	Je suis sûr que ce n'est qu'un arrangement temporaire.

PAUL	h Et si ça l'est pas?

ERASMUS	Mm. Ce serait si terrible que ça?

PAUL	h h h Mes parents étaient... ... deux alcooliques patentés. J'avais onze ans quand j'ai réalisé que mon père ne s'appelait pas "Ce putain d'enfoiré".

ERASMUS	[sourit] * h * h[rit] - . h Tu m'as déjà raconté cette blague.

PAUL	Désolé, j'vais essayer d'travailler sur de nouveaux trucs.

ERASMUS	Merci.

PAUL	h h C'était des mauvais parents. J'veux pas être un mauvais parent. h

ERASMUS	Personne ne te demande de l'être.

PAUL	h h


21 (00:15:02:07)

PAUL	Oh__, non. h J'sens qu'j'vais avoir une de mes crises. * h

ERASMUS	De quoi?

PAUL	De panique. Oh. J'aurais pas dû prendre... ... de la coke. h Quel... Quel con.

ERASMUS	Prends un de tes cachets.

PAUL	Déjà fait.

ERASMUS	h h T'as vu? La rédactrice de Elle Décoration a dansé comme si sa vie en dépendait. Si elle était rentrée plus tôt, la fête aurait été un désastre.

NOTE D'AUTEUR	-----------------------------------------

PAUL	On devrait aller vérifier que tout va bien. * h

ERASMUS	Tu parles de la rédactrice?

PAUL	h h[souffle] - Mm? Non, du gamin. h

ERASMUS	Oh, il dort déjà certainement.

PAUL	h On devrait aller voir. Pour être sûrs qu'il n'a rien volé_. h


22 (00:15:40:05)

PAUL	Qu'est- ce que...

ERASMUS	h .

PAUL	Hé, petit! C'est quoi son nom déjà?

ERASMUS	J'te l'ai dit une douzaine de fois, je n'sais pas.

NOTE D'AUTEUR	[Garder "Petit", important pour boucle 24]

PAUL	Petit! Pe... h [soupire] h J'appelle la police?

ERASMUS	Non, c'est bon. Elles sont toutes là, tout va bien.

PAUL	Non, j'te demandais pas ça pour ta collection de poupées Kachina,... ... mais parce que l'petit a disparu.

ERASMUS	Oh. Paul.


23 (00:16:15:05)

ERASMUS	L'un d'nous devrait peut- être prendre la voiture et jeter un coup d'oeil en ville.

PAUL	En gros, moi.

ERASMUS	Ben,... ... l'un d'nous doit rester ici.

PAUL	En gros, toi. [chuchotte] Erasmus.

ERASMUS	[soulagé] Oh__, dieu merci_. Y m'faut un verre.

PAUL	h h Hey. Hey. Hey.

BILL	hm .

PAUL	C'est moi. Tu nous as fait une sacrée peur.

BILL	T'approche pas d'moi, gros pédé!

OUT (00:17:01:05)


24 (00:17:09:00)

PAUL	Alors, qu'a dit l'avocat?

ERASMUS	Ben, pas grand chose. Juste que le père est en détention, que la mère est morte... et_ qu'ils vont envoyer quelqu'un des services sociaux.

PAUL	On peut pas avoir d'petit. On n'aime pas ça.

ERASMUS	Arrête de l'appeler"petit". C'est_... c'est un enfant, pas un chevreau.

NOTE D'AUTEUR	["Kid" veut aussi dire "Chevreau" en anglais...]

PAUL	J'préférerais avoir un chevreau. Les chevreaux sont mignons.

ERASMUS	Les chevreaux n'viendront pas t'rendre visite quand tu seras vieux et seul. Et c'est pas toi qu'a monté ce... ... gala d'charité pour les enfants mexicains?

PAUL	Ouais, ouais Écoute, j'aime aider les enfants de façon abstraite, mais je... h j'n'en veux pas un à la maison.

ERASMUS	[voirVO] * h

PAUL	h Bon, quoi qu'il en soit, on doit l'mettre à l'école.

ERASMUS	Vraiment?

PAUL	Oui, c'est la loi. Et on l'verra pas d'la journée.

OUT (00:17:45:05)


25 (00:18:03:20)

ERASMUS	Bonjour.

SECRÉTAIRE	Oh. h[sourit] - Bonjour.

ERASMUS	Nous aimerions inscrire_ ce jeune homme.

SECRÉTAIRE	Aucun problème. Et_ quel est son nom?

PAUL	Vous voulez bien nous excuser?


26 (00:18:29:10)

ERASMUS	Oh. Je vois que tu as découvert un de mes joujoux préférés. Mt. C'est très amusant. Voyons ça. hm_. Tu devrais peut- être varier un peu ton expression. Pousse- toi un peu. Et participe si tu veux. h J'aime en faire une heureux. Une en colère. Une idiot. Et une_... en regardant au loin en train d'penser à quelque chose. [soupir soulagement] h . Maintenant, c'est l'attente angoissée. Oh, regardez- moi ça! On est hilarants. Tu veux faire quoi, maintenant?

OUT (00:19:17:15)


27 (00:19:37:00)

CAISSIÈRE	Vous faites une fête?

ERASMUS	N___Non.

OUT (00:19:41:15)


28 (00:20:26:00)

ERASMUS	[saoûl] Et___ où est- ce__ que tu_ étais?

PAUL	Euh, en salle de montage. h À essayer de faire quelque chose de viable à partir_ ... de tes divagations face camera.

ERASMUS	Paul,... ... connais- tu cet é_norme____ ... ... magasin appelé_... ... Waymart ou Mallmart_... sur Cerrillos Road?

PAUL	Ouais, bien sûr. Ça appartient à des conservateurs cinglés. Tu d'vrais pas y faire des courses.

ERASMUS	J'ai cru qu'c'était... ... le nirvana. J'veux dire, tout était si bon marché. La sensation était enivrante.

PAUL	Aussi enivrante que ce gigantesque verre de tequila?

NOTE D'AUTEUR	--------------------------------------------------------

ERASMUS	Oui_. Mt. h Mais d'une façon différente.


29 (00:21:05:15)

PAUL	Il devrait être au lit.

ERASMUS	Pourquoi?

PAUL	Parce qu'il est deux heures du matin.

ERASMUS	Il n'a pas école demain.

PAUL	[agacé] Je sais. Parce que nous ne l'avons pas inscrit. Parce que nous n'connaissons pas son nom.

ERASMUS	Prends une tequila.

PAUL	Oh_, je suis si fatigué.

ERASMUS	[voirVO] Oh__,... ... je suis si fatigué. [rit] h ! h h .

PAUL	Hey, petit,... ... je sais qu'tu t'amuses bien,... mais il est très tard. Éteins la télé, s'il te plaît,... et viens t'coucher. Merci, mon pote.

ERASMUS	Mañana piranha. T'es en colère contre moi? Paul?


30 (00:21:58:10)

ERASMUS	[soupire] h Tu t'prends un dernier verre?

PAUL	* h Du thé.

ERASMUS	Tu as vu la_... photo pour la pochette?

PAUL	Oui, je l'ai vue.

ERASMUS	T'en penses quoi?

PAUL	h C'est pour ça qu't'as besoin d'moi. h Tu aurais_... vraiment... dû me laisser regarder ça avant de choisir la couverture.

NOTE D'AUTEUR	---------------------------------------------------------------------

PAUL	h Parce que tu ressembles à une personne... ... qui a un lourd handicap mental.


31 (00:22:37:05)

PAUL	Aucune créature ne sourit autant qu'ça... ... dans toute la nature.

NOTE D'AUTEUR	--------------------------------------------------

ERASMUS	Moi si_. Quand tu me fais ri_re_.

PAUL	[voirVO] Oh. Bleurrrhh !

ERASMUS	Ça, c'était cruel. Y'a l'eau qui bout. Et c'est pas la seule.

PAUL	Et merde pour le thé. h

ERASMUS	Ouais____.


32 (00:23:18:20)

ERASMUS	Bonjour.

BEAU	Je présume que l'gosse t'a trouvé.

ERASMUS	Oui. Oui, il est ici avec moi.

BEAU	Tu l'as amené ici_?

ERASMUS	Oui, bien sûr. Il veut te voir. Tu es...

BEAU	T'es fou ou quoi? Il doit pas m'voir comme ça.

ERASMUS	Ne sois pas ridicule.


33 (00:23:32:15)

PAUL	Un Rolo? h On n'fait pas ça.

BILL	Quoi?

PAUL	Jetter ses_... ... déchets par terre. Ramasse. Ramasse.

OUT (00:23:49:00)


34 (00:23:57:00)

BEAU	Ne l'ramène pas ici, ça va complètement l'foutre en l'air.

ERASMUS	Comme si toutes les décisions qu'tu as déjà prises ne l'avaient pas foutu en l'air.

BEAU	Hey, ta leçon à la con, tu t'la gardes.

ERASMUS	Je dis c'que j'veux, jeune homme, parce que Paul et moi, on s'occupe de ton enfant.

BEAU	Qui est Paul?

ERASMUS	Paul est mon compagnon. Et il l'est depuis dix ans. Cela t'pose un problème?

BEAU	Non.

ERASMUS	Oh. Ben, en tout cas,... ... on l'a amené ici pour que vous puissiez vous voir_... h et pour te rassurer en te disant qu'on prend bien soin d'lui... en ton absence. h h

BEAU	h

ERASMUS	De rien.

BEAU	De quoi j'te remercierais? T'étais où quand j'avais dix ans? J'aurais pu avoir besoin d'toi. Et aujourd'hui, tu réapparais avec ton écharpe autour du cou et tu crois sauver l'monde?

ERASMUS	Ça s'appelle un foulard.

BEAU	Écoute, t'es pas le héros de l'histoire de mon fils et moi, okay? T'es un dernier recours.

ERASMUS	Oh! Euh, attends! T,Ton, ton fils, c'est quoi son nom?

BEAU	J'l'ai écrit dans la bible!

ERASMUS	Qu... Quoi?!


35 (00:25:02:10)

ERASMUS	Mt. Alors_... Euh_... Il s'avère que le comté_... n'autorise pas les visites d'enfants aujourd'hui_.

PAUL	Mais la dame de l'accueil a dit que...

ERASMUS	Sans paperasse supplémentaire.

NOTE D'AUTEUR	-----------------------------------------------------

PAUL	h Oh.

ERASMUS	h

PAUL	J'ai une super idée. Pourquoi on irait pas dans une salle d'arcade... ... et ensuite prendre une glace?

ERASMUS	Ouais. Ou_,... nous pourrions aussi aller au Musée Georgia O'Keefe, et ensuite manger une bonne salade.


36 (00:25:33:10)

PAUL	Crève, enfoiré!

BILL	Ouais! Ouais! En plein dans la tête, t'as vu ça?!

PAUL	Tiens! Joli tir,

BILL	Il a rien compris, c'trouduc!

PAUL	joli tir! Oui!

BILL	Attention, y'en a d'autres!

PAUL	Boum!

BILL	Sur la gauche! Vite!

PAUL	Boum!

OUT (00:25:41:10)


37 (00:25:54:10)

ERASMUS	Excuse- moi, Kelly... Cindy, euh...

NOTE D'AUTEUR	[Il a oublié le nom de la fille]

ERASMUS	ma chérie. Euh,... on... on ne va pas plier ce plaid,... ... ça fait trop maniaque. On veut du décontracté, alors ... on va le draper... ... comme une femme allongée... ... ainsi.

PAUL	Oui, il ne faut pas qu'ça donne l'impression de quelque chose de réfléchi_.

ERASMUS	Il ne doit pas avoir l'air d'avoir été placé là_,... ... mais d'être apparu_... soudainement.

PAUL	... soudainement. h[uh huh]

ERASMUS	Oui, comme un_...

PAUL	Kyste.

ERASMUS	... arc- en- ciel. Ou une...

PAUL	Cellule cancéreuse.

ERASMUS	... fleur sauvage.

PAUL	Parfait.

ERASMUS	Pas pour moi.

PAUL	Mt. Excuse- nous. Euhm... Erasmus. Regarde. La bible.

ERASMUS	[voirVO] hm___.

PAUL	De beau. Tu t'souviens? Le nom du gosse.

ERASMUS	Oh. Oui. J'ai cru qu't'avais trouvé dieu.


38 (00:26:36:05)

ERASMUS	Euhm. "C'est... Beau. Tu m'remets? Il est_ petit- fils. Mère est morte. J'ai gros problèmes... ...- slash - prison. Prends soin de lui. Ange est son"...

PAUL	... de lui... C'est un analphabète et en plus, il ne finit pas ses phrases.

ERASMUS	Ange.

PAUL	Tu t'appelles Ange?

ERASMUS	Pourquoi tu nous l'as pas dit?

BILL	Je n'l'aime pas.

PAUL	Personne n'aime son nom.

ERASMUS	Non. Imagine- moi lors de ma première rentrée quand l'professeur a appelé Erasmus Dickie Brumble.

PAUL	Qu'est- c'qui cloche avec Ange?

BILL	Ça fait gay_.

ERASMUS	[voirVO] h

PAUL	Ouais, un chouïa_.

ERASMUS	. h T'aimerais qu'on t'appelle comment?


39 (00:27:19:00)

BILL	Bill.

PAUL	[petit rire] h

ERASMUS	Alors Bill, tu seras.

