(Q&A)
C+ S	 Salut tout le monde
??	Enfin non, il faut y répondre quand on se moque de toi. Insulte-les ! ou tu trouves un bon clash à faire. Je ne sais pas, quelque chose qui les rabaisse bien, pour leur dire « et  
??	Faut juste passer au-dessus. Faut juste te dire, il y a des gens bêtes mais moi je suis plus intelligent, donc on laisse couler et puis voilà !
S	 supprimer le début.
??	Il n’y a pas de raison d’avoir honte. Si quelqu’un t’insulte ou te parle mal à ce sujet-là, c’est juste qu’il est con. Et si tu veux avoir quelque chose à lui répondre, tu peux dire : « écoute, moi j’ai un diabète et je suis soigné par l’insuline, mais toi c’est pire, t’es con et il n’y a pas de traitement. »
??	Un mot pour définir ton diabète ?
C	il n’y a pas de mot qui définit tout mon diabète depuis que je l’ai.
??	Compliqué pour le moment, mais sinon je dirais… force. Bah oui force, parce que cela me rend plus forte. Voilà !
S	Variable ! (rires) ça change tout le temps. (supprimer un bout) Ton diabète change tout le temps, il y a des moments où t’es bien, des moments où t’es moins bien. Du coup, oui, variable.
??	Tu veux faire quoi plus tard ?
??	Depuis toujours, j’ai envie de devenir journaliste. 
S	j’ai toujours été intéressé par la partie médicale.
??	De plus en plus, j’ai été intéressé par l’aspect médecine. Et jeme duis
??	Un message pour finir ?
C	 On est diabétique mais normaux ! voilà !
S	 « On est différents comme tout le monde », comme dirait la célèbre psychiatre heu…
C	voilà, c’est ça ! (rires)
??	J’espère que ça vous a plu. C’était une première pour nous et ça a été très sympa à faire !
??	A la prochaine !

