LEGENDA	Visky. Ok, obrigado. Eu. Eu que agradeço. Eu. Estou mandando as digitais. Só no seu email, ok?Visky. Ok. Eu. Vou pra aula. A gente se fala depois.
CAROLINA	Espera aí, espera aí, espera aí, espera aí. Oh, sessenta e um, sessenta e três, é essa casa aqui, oh. Essa casa. É essa casa, que eu quero ver quem é que mora nessa casa. 

ELIDA	Carolina, você vai fazer o quê? Vai bater na porta? 

CAROLINA	Ah...

ELIDA	Calma, é melhor ficar de campana. 

CAROLINA	Ai, eu não sei se eu aguento, Elida. (SUSPIRO).

ELIDA	Amiga, “tamo juntas” (estamos juntas), "tá"? Vamos esperar a verdade aparecer na frente daquela porta. 

CAROLINA	"Tá", você "tá" certa, você "tá" certa. Melhor esperar. 

ELIDA	Deixa eu estacionar. 

CAROLINA	Ai meu Deus do céu... Vai. Ai...

ELIDA	"Tá" aqui, oh. Trouxe um hambúrguer e um suco pra você, também.

VIVIANE	Fez um desenho pra mamãe?

YASMIN	Sim. 

VIVIANE	Ah, bem colorido, assim?

CAROLINA	Ah, meu Deus... Ai meu Deus do céu... Eu conheço essa mulher de algum lugar. Eu tenho certeza. 

ELIDA	Calma, amiga, o Rogério, vamos ver se ele aparece...

CAROLINA	Ai meu Deus, se for o que eu "tô" pensando... Ai meu Deus...

ELIDA	Não, não, relaxa, relaxa, vai ver é outra coisa. 

CAROLINA	Ai meu Deus. 

CAROLINA	Ai... É o carro dele. Ai meu Deus... (CHORO). 

ELIDA	Calma, amiga, calma, amiga. Ai...

ROGÉRIO	Ah, vem cá, vem cá, vem que eu sei que você "tá" aí, vem cá, vem cá, vem cá, vem cá, vem cá... 

YASMIN	Papai, papai, papai!

ROGÉRIO	Ê, minha linda. 

CAROLINA	Papai?

ROGÉRIO	(RISOS). Ai que saudade que eu "tava" de você, minha linda. 

CAROLINA	Ela, ela falou papai? 

ELIDA	Carolina. Pensa bem, conversa. 

VIVIANE	Oi, amor...

CAROLINA	Não tem nada pra conversar, Elida...

ELIDA	Não briga. Conversa com ele. Fica calma. 

CAROLINA	Não tem nada pra conversar. 

ELIDA	Conversa... Conversa...

CAROLINA	Não, não, não, não, não tem nada pra conversar. Não tem nada pra conversar. Ih... Não. Rogério? Ô (RISO IRÔNICO). 

ROGÉRIO	Vai, vai. 

CAROLINA	Não, não. Não, não fecha a porta, não. 

ROGÉRIO	Carolina? Que é que você "tá" fazendo aqui?

CAROLINA	Eu sou burra, cara. Eu sou muito burra, mesmo. Só eu pra acreditar que você ficava em pensão. Essa menina, aí? Quantos anos tem essa menina aí?

VIVIANE	A nossa filha já vai pra sete. 

CAROLINA	Sete anos? Rogério? Você me engana há sete anos?

VIVIANE	Oito, se contar a gravidez, "né", Rogério? 

CAROLINA	Ah, lembrei. Lembrei! Você... Você foi secretária dele um tempo, em São Carlos... E, e roubou meu marido.

VIVIANE	Você não deu conta. 
ROGÉRIO	Que é isso? Que... 

VIVIANE	Homem, quando não tem o que quer em casa, procura fora, meu amor.

CAROLINA	Sua vagabunda. 

OGÉRIO	Que é isso? Que é isso? 

ELIDA	Para, para, para, para, Carolina. Carolina? Carolina? Para, para. 

YASMIN	Não bate na minha mãe. 

CAROLINA	E eu sempre pagando pra...

VIVIANE	Sua louca, corna, desgraçada. Sua vaca. Corna, corna, corna.

ROGÉRIO	As duas... Não... Não... Que é isso? Entra aqui. Entra aqui. Fica quieta. Quieta. 

CAROLINA	Vagabunda. 

ELIDA	Para, para, para, para, fica calma. 

VIVIANE	(OFF) A culpa é sua, Rogério. Acaba com essa mulher...

ROGÉRIO	(OFF) Vamos resolver isso. Quieta. 

VIVIANE	(OFF) A culpa é sua. (MURMÚRIOS INAUDÍVEIS).

ROGÉRIO	Eu vou resolver, eu vou resolver. Fica quieta. 

VIVIANE	Termina com ela, eu falei pra você. 

CAROLINA	(CHORO).

ELIDA	Calma, amiga. Calma.

ROGÉRIO	Eu vou resolver, fica quieta. Fica quieta. 

ELIDA	Fica calma, por favor.

VIVIANE	Corna. Vaca.

CAROLINA	Desgraçada. 

VIVIANE	Sua corna. 

ROGÉRIO	(REAC).

CAROLINA	Sete anos... (OFEGANTE). Sete anos, Rogério? Como é que você pôde me enganar tanto tempo? Outra família. Eu não merecia essa traição... Meu Deus do céu (CHORO). Nem a Arlete (CHORO). 

ROGÉRIO	Carolina, vai pra casa. Eu já vou lá, a gente conversa, "tá"?

CAROLINA	(CHORO). 

ROGÉRIO	Na verdade, eu só "tava" esperando a Letinha entrar na faculdade, pra te contar. 

ARLETE (ANGEL)	(CHORO) Pai, por que é que você fez isso com a gente? (CHORO). 

ROGÉRIO	Paixão. Eu me apaixonei, ela ficou grávida. Letinha, você tem uma irmã tão bonita quanto você. 

CAROLINA	Não compara a minha filha com a daquela mulher. 

ARLETE (ANGEL)	Mãe, isso não dá pra mudar. É minha irmã, sei lá, qualquer hora eu vou querer conhecer ela. 

ROGÉRIO	Eu acho que você "tá" tomando uma decisão sem pensar, Carolina. 

CAROLINA	Quem tomou uma decisão aqui, foi você. Por todos nós. Arrumou outra família. Ainda tive que ouvir que você ama aquela vagabunda. Ela sabia que você era casado. Ela deu o golpe da barriga. Aceitou ser a outra. E foi morar com você. Foi morar com você, Rogério. Pra mim, isso é coisa de vadia, de piranha. 

ARLETE (ANGEL)	Mãe... Eu nunca ouvi você falar desse jeito. 
CAROLINA	Teu pai me deu todos os motivos pra falar assim. 

ROGÉRIO	Eu continuo achando que você "tá" tomando uma decisão sem pensar direito, Carolina. 

CAROLINA	(SUSPIRO). Eu já decidi. Não tem volta. Nós vamos morar com a sua vó, Arlete.

ARLETE (ANGEL)	Em São Paulo? 

CAROLINA	É. É início do ano letivo. A gente ainda pode fazer transferência da escola. 

ROGÉRIO	"Tá", mas, mas e o resto?

CAROLINA	Que resto? Que resto, Rogério? Essa casa é do teu pai. Nós vivemos aqui de favor. Nós vamos levar os livros, as roupas, e, e umas coisinhas. Ah... Mas eu quero o carro. 

ROGÉRIO	O carro?

CAROLINA	É, eu acho que é uma divisão justa. Não é? Aquela mulherzinha vai adorar. Ficou com o meu marido? Agora fica com os meus móveis, minha geladeira, meu fogão, pronto, o resto todo. 

ROGÉRIO	Ah, Carolina, eu "tô" falando de dinheiro. Como é...

CAROLINA	Olha aqui, olha, vai ter que dar pensão, sim. "Tá"? Mas não é pra mim, não. Não é pra mim, não, Rogério, é pra tua filha. Arlete. 

ROGÉRIO	Mas você sabe que eu vivo de comissão, eu não tenho ganho fixo. 

CAROLINA	Te vira. Não sustentou duas casas? Então. Pronto. A conta, agora, vai ser mais barata. Nós vamos amanhã de manhã. E oh, faz o favor de arrumar um lugar pra dormir. Num hotel, na tua outra casa, no raio que te parta. Não quero ficar com você aqui, junto. Não dá. Simplesmente não dá. (CHORO).

ROGÉRIO	Eu sinto muito tudo isso. 

CAROLINA	Não mais que eu. (CHORO).

ROGÉRIO	Ô... Mas é claro que a gente vai se ver, meu amor. 

ARLETE (ANGEL)	Mas dói. Esse lance "tá" doendo. 

ROGÉRIO	Você não queria tanto ir pra São Paulo? Quem sabe essa não é a chance de você ser modelo? Vamos pensar positivo, filha. Boa sorte. 

ARLETE (ANGEL)	Não era assim que eu queria ir.

ROBÉRIO	(SUSPIRO). Ô Estela... Todo poderoso ainda "tá" aí?

ESTELA	Brinca, Robério. Vai brincando, que um dia ele te ouve e te pega de jeito. O doutor Alexandre ainda está aqui, sim. Mas, ele já está de saída. E Robério, por favor, vê se acalma o homem, porque ele "tá" uma pilha, hoje. 

ALEX	(OFF) Robério, deixa a cara de nervoso lá fora, por favor. 

ROBÉRIO	Alex, a gente "tá" no prazo limite pra escolher a agência que fará o desfile da Like. 

ALEX	Eu sei. Eu sei. Ainda bem que a Like dá muito lucro. Porque se a gente fosse depender da tecelagem, não ia dar certo, não. Tem hora que dá vontade de fechar. 

ROBÉRIO	Isso seria uma tragédia, Alex. Mais de três mil pessoas na rua, só das lojas. A Like é uma etiqueta popular, vende bem. 

ALEX	Robério, isso aqui não é uma ONG (Organização Não Governamental). É uma Holding. Se eu tiver que demitir, eu vou demitir. Mas, você "tá" certo. Desde que a gente abriu a importadora de tecidos, a Like tem preço competitivo. Sobre o desfile, ainda não decidi nada. Que é que é isso aqui? Material de agência? 

ROBÉRIO	É. De umas menores. A Fanny Richard insistiu muito pra que eu mostrasse o material da agência dela. É esse aí. 

ALEX	Já trabalhamos juntos algumas vezes.

ROBÉRIO	É. Em eventos menores. 

ALEX	Sim, mas as modelos... Jovens, "né"? Tem o perfil da Like. 

ROBÉRIO	Às vezes eu acho que você gosta demais dessas modelos muito jovens (RISO).

ALEX	Menos, Robério. Muito menos. A minha etiqueta é jovem. Marca com a Fanny. 

ROBÉRIO	Olha, pode ser um erro, Alex. Eu não sei se a estrutura dela comporta um desfile...

ALEX	Marca com a Fanny. Eu tenho que ir embora, agora. Compromisso inadiável. 

ROBÉRIO	Algum negócio novo da Holding, que eu deva saber? 

ALEX	Não, Robério, é sexo. 

ALEX	Atrasei?

SAMIA	Acostumei. 

ALEX	Um uísque pra mim, por favor. Com gelo. Tenho garrafa aqui. 

SAMIA	Beijo?

ALEX	(BEIJO). Granny (uma bebida). Como sempre. Às vezes eu fico pensando se você pede isso aqui porque gosta, ou porque acha chique. 

SAMIA	Alex? Seja bonzinho comigo. Eu viajo amanhã. Três semanas fora. Você não vai morrer de saudades? 

ALEX	Sempre. Por que é que a gente não janta logo e aproveita melhor a noite?

SAMIA	Como você quiser. Mas, eu vou super cedo pro aeroporto encontrar minha irmã, meu cunhado, toda a família. Acho que não dá pra dormi na sua casa. 

ALEX	Como assim? Claro que dá. Dá, sim. Eu peço pro meu motorista te pegar amanhã cedo, pra você pegar suas malas (BEIJO). Nossa última noite juntos, vai? Hum?

SAMIA	Acho que não, Alex. 

ALEX	Sim, acho que sim. 

SAMIA	Alex?

SAMIA	Alex? Você me ama?

ALEX	A gente "tá" junto há quase um ano. Isso quer dizer alguma coisa. Pelo amor de Deus, Samia, não começa com “DR” (discussão de relacionamento) agora, que você sabe que eu não tenho cabeça pra esse tipo de coisa. 

SAMIA	É que às vezes eu te sinto indiferente. Distante. Como se eu não fosse a mulher que você quer de verdade. Eu sinto falta de carinho, Alex. 

ALEX	Não "tô" te fazendo carinho?

SAMIA	"Tá". Mas como se “tivesse” acariciando um cachorro. 

ALEX	"Tá" vendo? É “DR”. Samia, a gente acabou de ter um sexo incrível. Pra que esse tipo de papinho agora? 

SAMIA	Até no sexo, à vezes. Eu sinto que você não "tá" presente. Fala. Você pensa em outra quando você "tá" comigo? Uma namorada do passado? Uma fantasia? Você "tá" me traindo, sem vergonha? 

ALEX	Samia, eu sou um homem do real. Do aqui, do agora. Não fantasio nada, não. Para com isso. Dá um beijo. 

SAMIA	(BEIJO). 

ALEX	Não, assim não. Me dá um beijo direito. 

SAMIA	(SUSPIRO) (BEIJO). 

HILDA	Meu Deus, como você cresceu, coisa gostosa. 

HILDA	Ui (RISADA). 

CAROLINA	Ah... (RISADA). 

DARLENE	Eu posso ajudar em alguma coisa?

ARLETE (ANGEL)	(BEIJO). 

CAROLINA	Claro... Mas é... Você?

DARLENE	Ah...

CAROLINA	A gente, a gente não se conhece...

HILDA	Eu esqueci de apresentar, desculpe, essa é a Darlene, ela "tá" morando aqui. 

CAROLINA	Ah... Aqui, aqui no apartamento?

ARLETE (ANGEL)	Oi. (BEIJO). Prazer, tudo bem?

HILDA	É, eu aluguei um quarto pra ela. 

CAROLINA	Ah é?

HILDA	É. 

DARLENE	Eu espero que você não se incomode. 

CAROLINA	Imagina. 

HILDA	Eu não acredito. Você ainda usa a cruz que eu te dei. (RISOS).

CAROLINA	(RISOS).

ARLETE (ANGEL)	Eu adoro essa cruz, vó. 

CAROLINA	Ela nunca tira, mãe. Nunca tira. 

HILDA	Ai que orgulho que eu tenho, ai queridas. 

CAROLINA, ARLETE (ANGEL)	(REAC).

HILDA	Que alegria. Vamos arrumar tudo nos quartos?

ARLETE (ANGEL)	Vamos. Vamos. 

CAROLINA	Vamos. 

HILDA	Já decidi, a Darlene continua no quarto dela...

ARLETE (ANGEL)	Pode deixar que essa aqui é minha...

CAROLINA	Hum...

HILDA	Letinha vai ficar com um quarto sozinha. 

CAROLINA	"Tá". 

HILDA	Pra ela poder estudar, pra...

CAROLINA	"Tá". 

HILDA	Assim, trabalhar, "né"? Fazer as coisinhas dela. 

CAROLINA	Mas é bom, mesmo. Que a Letinha tem que, mesmo, ter o quarto dela. 

ARLETE (ANGEL)	Até quando vocês vão ficar me chamando de Letinha, hein?

CAROLINA	Ué, gente, até o resto da vida, Letinha... (RISADA).

HILDA	(RISADA).

CAROLINA	A situação "tá" tão ruim, assim, a ponto de precisar alugar quarto pra uma estranha?

HILDA	Não, Darlene já é uma amiga. Você vai gostar dela. 

CAROLINA	Não é disso que eu "tô" falando, mãe. 

HILDA	Ah, Carolina... Mesmo o apartamento sendo próprio, viver com a minha aposentadoria de professora, mais a que seu pai deixou, só fazendo milagre. 

CAROLINA	Não, mãe, não "tô" recriminando. Mas é que você nunca falou nada. 

HILDA	Sargento de polícia. Ô sargento Brito, que saudade. Levar tiro de bandido. Pra quê? 

CAROLINA	Você ainda tem o revólver dele, mãe?

HILDA	(SUSPIRO). Eu não consigo me desfazer. Eu olho pra ela e lembro do seu pai. 

CAROLINA	(REAC).

HILDA	Carolina, eu não gosto disso. 

CAROLINA	Eu sei atirar, mãe. Papai me ensinou, lembra?

HILDA	Mas eu sempre fui contra. Guarda. 

CAROLINA	Qualquer hora eu vou limpar isso aqui, hein?

HILDA	Pra quê? 

CAROLINA	Ué, quem sabe? Um dia a gente pode precisar (RISO).

HILDA	Esquece, Carolina. Já calculou se você tivesse uma arma? Teria dado um tiro no seu marido, que é pai da sua filha. 

CAROLINA	Bem que ele merecia (RISOS).

CAROLINA	Bom demais. 

ARLETE (ANGEL)	Hum... Vó?

HILDA	Hã?

ARLETE (ANGEL)	Seu strogonoff é o melhor. 

CAROLINA	Hum...

DARLENE	Nossa. 

HILDA	Eu "tava" com medo que você não gostasse, porque a carne não é assim, de primeira...

CAROLINA	Imagina, mãe...

HILDA	(RISOS).

DARLENE	Hum, e o trabalho que eu falei? Interessa? 

CAROLINA	Muito. Imagina... Trabalhar em consultório médico...

HILDA	“Aham”. 

DARLENE	“Aham”. Recepcionista. Você mexe com computador? 

CAROLINA	Hum... Pouco...

ARLETE (ANGEL)	(REAC).

CAROLINA	Não. Não... 

HILDA	Não, não, não...

CAROLINA	Eu não sou muito boa nessas coisas, não. 

HILDA	Aprende logo. Dois minutos, Letinha te ensina. 

ARLETE (ANGEL)	(RISADA).

CAROLINA	Para. 

ARLETE (ANGEL)	Já tentei horas, eu "tô" fora, vó, "tô" fora. 

HILDA	(RISADA).

CAROLINA	Para. Eu tenho que aprender, filha. Agora é questão de necessidade. Tenho que aprender. 

ARLETE (ANGEL)	(REAC). 

DARLENE	Ah, tem. Tem mesmo, que as fichas das clientes ficam todas no computador... O Joel, meu namorado. É professor de informática. Ele pode te dar umas aulinhas. 

HILDA	“Aham”. 

CAROLINA	Meu Deus do céu... Ai, eu não sei como te agradecer, Darlene. Ah... Santa, santa...

HILDA	(RISOS).

DARLENE	Imagina... Hoje mesmo eu vou ligar pro doutor Everaldo, vou falar de você, vai dar tudo certo. 

CAROLINA	Olha, só a chance de conseguir um trabalho já é uma notícia e tanto. (BEIJO). 

HILDA	É uma notícia e tanto? Pois eu vou te dar outra. (RISADA).

DARLENE	(RISOS).

HILDA	Letinha já tem colégio. Ela vai estuar no Jovem Werther. 

CAROLINA	No Werther?

HILDA	É. 

CAROLINA	Mãe, como você conseguiu?

DARLENE	(RISOS).

HILDA	(RISADA) Minha filha, eu dei aula de português lá a vida toda. Isso deve servir pra alguma coisa. Darlene também dá aula lá. Aí, eu telefonei pra Diretora, Darlene deu uma forcinha e consegui uma bolsa. Integral.

TODAS	(RISADA). 

HILDA	Amanhã mesmo, Letinha já vai pra escola. 

ARLETE (ANGEL)	Amanhã?

HILDA	É. 

CAROLINA	Ah... Mãe? Pelo amor de Deus. Ai...

HILDA	(RISADA).

CAROLINA	Ai, você me tirou um peso das costas. Linda. 

HILDA	Ô linda... (RISOS).

CAROLINA	Eu "tava" tão preocupada com os estudos da Letinha. (BEIJO). 

HILDA	Ah, não. O Werther é um dos melhores e mais caros colégios de São Paulo, viu? Minha neta vai estudar com a elite paulistana (RISADA).

CAROLINA	(RISADA) (BEIJO). 

CAROLINA	Filha, dessa vez a Darlene te dá carona, mas, você tem que aprender a ir e a voltar de condução. "Tá" ouvindo?

ARLETE (ANGEL) 	"Tá". 

CAROLINA	Oh. Pro teu lanche. 

ARLETE (ANGEL)	Não mãe, não quero. Você "tá" dura. 

CAROLINA	Que é isso, garota? Você tem que comer. Pega. 

ARLETE (ANGEL)	"Tá" bom, vai. 

CAROLINA	Vai. 

ARLETE (ANGEL)	Mãe? Eu "tava" pensando um negócio... Será que eu posso marcar de ir na agência de modelo hoje, mais tarde? 

CAROLINA	Não... Filha? Vai, para. Tira essa história da tua cabeça. 

ARLETE (ANGEL)	Mas mãe, eu posso ser modelo, famosa. Rica. 

CAROLINA	Meu amor, todos os garotos querem ser jogador de futebol, todas as meninas querem ser modelo. Filha, isso é sonho. 

ARLETE (ANGEL)	Mas é o meu sonho, mãe. Deixa eu tentar. 

CAROLINA	Você tem que estudar, Arlete. 

ARLETE (ANGEL)	Ah mãe, eu sempre fui boa aluna e vou continuar sendo, eu juro. Deixa. 

CAROLINA	Ah, não... "Tá" bom, "tá" bom... Marca...

ARLETE (ANGEL)	Posso? (REAC). 

CAROLINA	Mas olha só, eu vou junto, viu, garota?

ARLETE (ANGEL)	(BEIJO). Obrigada. 

CAROLINA	"Tá"? Eu quero ver se aquilo lá é ambiente pra você.

ARLETE (ANGEL)	(BEIJO). 

CAROLINA	Tchau, minha linda, se cuida. 

ARLETE (ANGEL)	Tchau, mãe. 

CAROLINA	"Tá" de casaco? 

ARLETE (ANGEL)	"Tô". 

CAROLINA	Arlete, "tá" de casaco?

ARLETE (ANGEL)	"Tô". 

CAROLINA	Cuidado com os carros, meu amor. 

ARLETE (ANGEL)	Relaxa, na minha escola também tinha riquinho. 

DARLENE	Ah, você não "tá" entendendo (RISO). Aqui, eles andam de helicóptero, têm jatinho particular e humilham quem não é miliardário (tem milhões em dinheiro) que nem eles. Até professor sofre. 

ARLETE (ANGEL)	Sério?

DARLENE	Te prepara. 

ARLETE (ANGEL)	Eu não encano com essas coisas. Se me zuarem, problema deles. 

EZIEL	Tio, me vê um sanduba (sanduíche), vai? 

CACO	Aqui, aqui, aqui, aqui... Ê...

DUDU	Curte futebol? Futebol de raiz? 

DUDU	Fica de lado pro gordo passar. 

MENINO	Pode passar...

DUDU	Pode passar, gordo. 

GAROTO	Vai baleia, vai, vai... 

DUDU	Ô... Ô...

EZIEL	Para... Para... 

NINA	Não gente, acho ele ótimo. Mas

GIOVANNA	Não, mas ele é um gostoso. Vai?

PATRÍCIA	Que é isso? 

NINA	(RISADA).

GIOVANNA	Meu, que é que é aquilo?

PATRÍCIA	O quê?

NINA	O que, Gi?

GIOVANNA	Aquilo. Aquela. Nossa, olha a camisa? Tipo lixão. 

PATRÍCIA	Gente, e o cabelo? Nem pra Halloween. 

GIOVANNA	Pelo jeito, essa veio da perifa (periferia). Ei? Você? Aluna nova?

ARLETE (ANGEL)	Sou. Meu pai e minha mãe acabaram de se separar e eu me mudei pra São Paulo. Eu acabei de chegar e...

GIOVANNA	Hello? Amor, eu não pedi a sua biografia. 

NINA	Ai, deixa ela, Gi. 

ARLETE (ANGEL)	Só queria me explicar. Eu não sei nem qual que é a minha turma, ainda. 

GIOVANNA	Já deu pra ver que é bolsista. 

ARLETE (ANGEL)	Como é que você sabe?

GIOVANNA	(RISO). Amor, "tá" na cara, "né"? No layout. 

ARLETE (ANGEL)	Layout? Que é que tem de errado com a minha aparência?

PATRÍCIA	É... Começa pelo cabelo. Quem cometeu o corte? (RISOS).

ARLETE (ANGEL)	Cortei no salão de São Carlos, eu achei que "tava" bom. 

PATRÍCIA	“Humhum” (negativa).

NINA	Ai Gi, Pati? Vamos?

GIOVANNA	Vamos. Espera aí, espera aí, espera aí. Meu, como é que é teu nome?

ARLETE (ANGEL)	Arlete. 

GIOVANNA	(RISOS). Repete? Ar, Arlete? (RISADA). Total nome de pobre. Ainda fala “caipirês” (sotaque caipira, do interior). Porta, porteira (com sotaque caipira) (RISADA). Você é piada pronta. (RISADA). Arlete. 

PATRÍCIA	Gente?

GIOVANNA	Como é que eu vou lidar com isso, me explica? (RISOS).

ARLETE (ANGEL)	Que é que você quer?

GUILHERME	Banheiro de homem, garota. 

