
APRESENTADORA	(Tevê) Na calada da noite, a reserva de Cari, localizada no estado do Amazonas é extinta sem consulta pública. 
LUIZA	... Gregory Meloy. Ela ficou com ele "pra" (para) terminar a matéria numa aldeia indígena. 

FALCÃO	Tá, e por que esse cara é de confiança, Luiza?

LUIZA	Porque eu confio na intuição da Nati. 

FALCÃO	Por quê? 

LUIZA	Porque ele trabalha na Biodiversidade, é uma ONG séria. 

PONTOCOM	E vem cá, a Verônica sabe que a Nati ficou? 

LUIZA	Não! 

FALCÃO	Você sabe que isso é uma ação de risco, né? Não vale, vale... Ponto, Pontocom procura esse, esse Gregory. 

PONTOCOM	Eu vou. 

LUIZA	Essa matéria que a Nati tá fazendo, é essencial "pra" (para) Verônica conseguir a liminar. Cada um aqui tem muito o que fazer, não? Vai, vai fazendo o que você tem que fazer, eu vou fazer o que eu tenho que fazer, vamos. 

ANDRÉ	Luiza. 

LUIZA	Vem cá, Clara. 

ANDRÉ	Tem certeza? 

LUIZA	Vem cá. "Pera aí" (espera aí), ei; nós três, a gente vai visitar um mercado clandestino aqui na zona sul de Cari, ok? 

ANDRÉ	Não, "pera aí" (espera aí), se é clandestino tem que ser disfarçado. 

LUIZA	É, amor. 

CLARA	(RISO) 

ANDRÉ	(REAC) 

LUIZA	Porque se a gente descobrir o caminho do ouro, a gente consegue descobrir quem tá lucrando com o garimpo. 

CLARA	Ótima ideia. 

FALCÃO	Olha só...

ANDRÉ	Arrasou! 

FALCÃO	Tá, "pera aí" (espera aí), você sabe quem vai no lugar da Clara sou eu, né? Ela passou a noite na cadeia. 

LUIZA	E você no hospital. 

FALCÃO	Sim, mas eu estou bem. 

ANDRÉ	Falcão, olha a sua cara, você tá péssimo. 

LUIZA	Oh, você não vai sair do meu lado hoje, ouviu? 

CLARA	Tá bom. 

ANDRÉ	Sério, se cuida. 

CLARA	Obrigada. 

LUIZA	(REAC) 

FALCÃO	Eu estou bem.

ANDRÉ	Você não...

LUIZA	Você quer pousar de “peguete” (namorado) do André? 

ANDRÉ	Oi? 

CLARA	Eu acho que sim.     

LUIZA	Porque esse é o disfarce. 

CLARA	Eu acho que sim. 

FALCÃO	Você tá brincando, né? 

LUIZA	Bora? 

ANDRÉ	Ah. 

CLARA	Eu acho que ele quer. 

ANDRÉ	Vamos, vai ser... (BEIJOS) 

LUIZA	Aha! 

CLARA	Eu estou achando. 

ANDRÉ	Vamos, vai ser bom. 

CLARA	Ele vai ser o meu “peguete”. 

ANDRÉ	(RISOS) 

GREGORY	É, então, eles deixaram eu colher os cabelos, com a condição de que eu devolvesse depois dos testes. 

NATALIE	Por que, superstição? 

GREGORY	É, ritual, tradição, tudo. As partes do corpo precisam ser enterradas com eles, até os fios de cabelo. 

NATALIE	E qual foi o resultado da contaminação? 

GREGORY	Vinte e cinco por cento...

NATALIE	Nossa! 

GREGORY	... Estão com os níveis alto de mercúrio. 

NATALIE	E eles são isolados? 

GREGORY	Não, não, os Uirã falam um pouco de português, e são, são até meio conhecido por causa de dois pajés.  

NATALIE	Ah é? 

GREGORY	É. 

NATALIE	Por quê? 

GREGORY	Em dois mil de doze, teve um incêndio em Roraima, que quase queimou todo o estado, daí o governador mandou chamar esses pajés, o Cucrite e o Mantir, "pra" (para) fazerem uma dança da chuva lá.  

NATALIE	(RISO) E deu certo?  

GREGORY	Bom, eles dançaram durante algumas horas, às margens do Rio Burá...

NATALIE	Ham? 

GREGORY	... Pedindo chuva pro deus Cororti. 

NATALIE	(RISO) E? (RISO)  

GREGORY	E a chuva veio e apagou tudo. 

ALAN	(RISOS) 

NATALIE	Nossa! 

GREGORY	(RISOS) 

NATALIE	Que surreal! 

GREGORY	É. 

ALAN	Que doido. 

GREGORY	O governador queria dar emprego fixo "pra" (para) eles, ofereceu de tudo. 

NATALIE	Eles toparam? 

GREGORY	Não, imagina. Eles só queriam voltar "pra" (para) casa. 

NATALIE	A gente devia ter filmado você falando isso, "pra" (para) matéria. 

GREGORY	(RISO) 

NATALIE	(RISO)

ALAN	É, pegou o áudio aqui pelo menos.  

GREGORY	Vocês podem pedir "pra" (para) eles contarem os detalhes "pra" (para) vocês daqui há pouco, oh. 

NATALIE	(RISO) 

VERÔNICA	(Toca o celular) (REAC) Ai. (REAC) 

PONTOCOM	(vídeo chamada) Cadê você, Verônica? Perdeu a reunião. 

VERÔNICA	Me atualiza.  

PONTOCOM	(vídeo chamada) Bom, a Luiza foi com o André e com a Clara, pro mercado clandestino na fronteira. 

VERÔNICA	Quem autorizou? 

PONTOCOM	(vídeo chamada) Como “quem autorizou”? Ela mesmo autorizou. 

VERÔNICA	E a Nati? 

PONTOCOM	(vídeo chamada) A Nati ficou na reserva, "pra" (para) fazer a matéria. 

VERÔNICA	Sozinha, sem ninguém da Aruana? 

PONTOCOM	(vídeo chamada) (REAC) Não, ficou o Alan e um antropólogo. 

VERÔNICA	Vem cá, será que existe alguém minimamente responsável nessa equipe? 

PONTOCOM	(vídeo chamada) "Pera aí" (espera aí). Existe, mas essa pessoa estava dormindo, né? 

VERÔNICA	Eu vou ter que desligar, eu tenho uma reunião com o Amir, ele vai ajudar a gente com um contato. Beijo. 

AMIR	(REAC) 

VERÔNICA	(REAC) 

AMIR	A ducha aqui é ótima. 

VERÔNICA	(RISO) Eu vou aceitar a sua ajuda, com o lobista. Fala mais sobre ele. 

AMIR	Hum, eu falo. 

VERÔNICA	Hum? 

AMIR	Ela. 

VERÔNICA	(off) Nossa, é ela? 

AMIR	(off) É, Olga.

VERÔNICA	(off) Hum. 

AMIR	(off) Trabalhou alguns anos atrás "pra" (para) mim. 

AMIR	Sempre impecável. 

OLGA	Amir. 

AMIR	E agora, ela é lobista... (BEIJO) Hum, que cheiro bom... Das principais mineradoras do país. (BEIJO) 

VERÔNICA	Nossa! (RISOS) 

AMIR	É. (RISOS) 

AMBOS	(RISOS) 

VERÔNICA	Bom...

AMIR	Legal, né? 

VERÔNICA	... Que trabalho astral o dela? 

AMIR	É, legal. (BEIJO) 

OLGA	Mas você não mudou nada. 

AMIR	(RISOS) Essa é Verônica Muniz, minha advogada. 

VERÔNICA	Olá, como vai, tudo bem?

OLGA	Sua, e também advogada da Aruana, que a sua esposa fundou, e você, como bom samaritano, financia. (RISOS) Prazer, somos colegas de profissão.   

VERÔNICA	Prazer. 

OLGA	Vamos? 

AMIR	(RISO) 

OLGA	Mas você não costumava andar escoltado por advogados. 

AMIR	Só quando eu estou em Brasília. 

OLGA	(RISOS) 

AMIR	(RISOS) 

NATALIE	Tudo bem aí? 

OLGA	Eu lembro, claro. Não era o Bar Canastra? 

AMIR	Isso. Nossa, quantos anos que a gente tinha? 

VERÔNICA	Hmm. 

 OLGA	Eu acho que a gente tinha uns vinte anos. 

AMIR	Vinte anos, por aí. 

OLGA	Né? (RISOS) 

AMIR	Uns vinte e pouco. 

OLGA	(RISOS) 

AMIR	Eu só ficava bêbado naquela época... Bom, mas a Aruana tem feito conquistas importantes também.
 
OLGA	Aham. 

AMIR	Conta "pra" (para) ela, Verônica. 

VERÔNICA	Bom, eu não sei o que o Amir quer que eu te conte, porque a Aruana tem dez anos de história, eu nem saberia por onde começar. 

AMIR	Fala sobre a vitória no Serrado. 

OLGA	Não, mas eu concordo com ela, não dá "pra" (para) resumir dez anos em dez minutos. É, Verônica? 

VERÔNICA	Aham. 

OLGA	Um dia, eu, você, Natalie, a gente se encontra, aí vocês me contam tudo. Amir, o quê que te faz me procurar depois de tantos anos de silêncio? 

VERÔNICA	Bom, com licença. 

AMIR	(REAC) Eu quero comprar títulos de posse da Reserva de Cari, é seguro?  

GREGORY	(REAC) Ah, Deus. (REAC) 

NATALIE	(REAC) 

GREGORY	(REAC) 

NATALIE	(REAC) 

NATALIE	(REAC) São os pajés? 

GREGORY	São. 

NATALIE	(REAC) 

NATALIE	Cadê o Alan? (REAC) 	

GREGORY	Shiu. Raoni, abaixa a arma, abaixa a arma.

RAONI	(REAC) 

GREGORY	Abaixa a arma. 

RAONI	(REAC) 

GRAGORY	Abaixa a arma. 

RAONI	(REAC) (língua nativa)tc 18:14

GREGORY	Eu sei. 

RAONI	(REAC) 

GRAGORY	Tem algum ferido aqui que a gente pode ajudar? 

RAONI	(língua nativa) (REAC) 

GRAGORY	A gente tem que ir embora daqui. 

RAONI	(língua nativa)

GRAGORY	Cadê o resto? 

RAONI	(REAC) 

GREGORY	Cadê o resto? 

RAONI	língua nativa) (REAC) 

GRAGORY	Raoni, 

RAONI	língua nativa)

GRAGORY	Raoni, 

RAONI	(REAC) 

GREGORY	A gente tem que ir embora daqui. 

RAONI	(REAC) 

GREGORY	Vamos. 

RAONI	(REAC) 

GREGORY	Vamos. 

OLGA	Você vai virar minerador? 

AMIR	Hum. 

OLGA	Eu enxergo conflito. 

AMIR	Não, a Nati, ela não é radical não. 

OLGA	E ela? 

AMIR	É ou não é seguro comprar os títulos? 

OLGA	É seguro. Logo vão ser distribuídos "pras" (para as) empresas gringas... Eu acho que ainda dá "pra" (para) comprar por um preço razoável. Mas tem que correr.  

AMIR	(REAC) 

OLGA	Por que, você tá precisando da minha ajuda? 

AMIR	E se o presidente mudar de ideia? 

OLGA	Não muda. Não pode. Tá comprometido. 

AMIR	Qual político apoiou isso? Quem tá pagando pela extinção? 

OLGA	Você tá trabalhando "pra" (para) Aruana, ou "pra" (para) ela?

VERÔNICA	Ele? Eu não estou entendendo. Por que é que você tá perguntando isso?  

AMIR	E, eu perguntei se o presidente mudar de ideia, sobre a extinção da reserva. 

VERÔNICA	Ham. 

OLGA	Vocês são amigos faz tempo? 

VERÔNICA	Bom, se o presidente for influenciado, a gente ainda tem o Judiciário. Um decreto pode ser derrubado na justiça. 

OLGA	A área sempre foi reconhecida pela sua riqueza mineral, o quê que o presidente fez? Autorizou o início de uma operação. 

AMIR	É muito difícil um juiz derrubar um decreto presidencial, que tá prevista em lei.  

OLGA	Sim, era a melhor opção. A área já tá cheia de garimpo ilegal, e explorando o Estado gera imposto, controla o desmatamento...

VERÔNICA	Essa é sempre a desculpa mais fácil, entregar "pras" (para as) empresas tomarem conta. O Estado é quem deve assumir a importância das reservas.  

OLGA	(RISOS) Querida, o tamanho do Estado é um debate duro eu preciso ir embora. Manda um beijo meu "pra" (para) Nati. 
 
AMIR	E aí. 

VERÔNICA	O quê é que foi isso? 

AMIR	O que? 

VERÔNICA	Como “o que”? O jeito como ela falou da Aruana, o jeito como ela se referiu à Nati, a forma explicita que ela quer mostrar que tem intimidade com você. 

AMIR	(RISO) Você tá com ciúmes, Verônica? 

VERÔNICA	Ah, vá "pra" (para) “porra”, Amir. 

AMIR	O que é isso, Verônica? Eu te amo. 

VERÔNICA	Amir, a Nati tá sozinha, dentro da floresta de Cari, fazendo uma matéria suicida, eu devia estar lá com ela...

AMIR	(REAC) 

VERÔNICA	... E não aqui, ouvindo essa escrota. 

AMIR	Pelo menos eu descobri que a reserva tá totalmente repartida...

VERÔNICA	(REAC) 

AMIR	... Cheia de empresas gringas. Verônica, será que a gente pode se lembrar, que eu só marquei com ela, "pra" (para) poder te ajudar?  
NATALIE	Quem você acha que fez isso? 

RAONI	(língua nativa)

GREGORY	Gente do garimpo. 

MIGUEL	Eu quero triplicar o diâmetro do terreno. Á máquina canadense chega essa semana, e eu preciso de um espaço seguro "pra" (para) armazenar o ouro.

FELIPE	A devastação não vai chamar muito a atenção não? 

MIGUEL	Chamar a atenção de quem? 

FELIPE	Do Poder Público. 

MIGUEL	Besteira. 

FELIPE	O terreno ainda não é seu, Miguel. 

MIGUEL	Tá vendo todas essas pessoas trabalhando, Felipe? Se isso aqui não for meu, de quem é? 

NELSON	Com licença, Miguel. A questão indígena foi resolvida. 

MIGUEL	(REAC) 

GREGORY	Ele é amigo, Ral. (REAC) 

NATALIE	(REAC) 

PAYALL	(REAC) 

NATALIE	Quer água? (REAC) 

GREGORY E RAONI	(Conversa em língua nativa)

PAYALL	(REAC) 

NATALIE	O quê que foi? 

GREGORY	(REAC) A gente tem que ir pro Posto da DENAP. 

NATALIE	(REAC) Tá tudo filmado.  

PAYALL	(REAC) 

NATALIE	A gente tem como mudar essa situação. 

PAYALL	(REAC) 

GREGORY	As autoridades não vão vir até você, mas o Posto da DENAP é o melhor caminho. 

PAYALL	A gente não sabe onde eles estão. (REAC) Tá todo mundo correndo perigo aqui. 

GREGORY	Ok, vamos bora. Vamos.   

PAYALL	(REAC) 

NATALIE	Vem, deixa eu te ajudar. 

PAYALL	(REAC)  

VENDEDOR 1	Você quer? 

ANDRÉ	“No, no”. 

VENDEDOR 1	Olha aí. moço.   

ANDRÉ	“Thank, thank, very much”. 

ÍCARO		É um prazer. Se precisar de mim, eu estou sempre voando por aí.

HOMEM 1	Obrigado. 

LUIZA	Oi. 

ÍCARO	Oi, moça bonita. Eu posso ajudar? 

LUIZA	Talvez. 

ÍCARO	Ícaro. 

LUIZA	Laís Lobo.

ÍCARO	Bonito nome. 

LUIZA	Eu estou procurando ouro "pra" (para) aquele gringo ali. Tá ansioso. 

ÍCARO	Desse tipo aí sempre tem por aqui. 

LUIZA	Hum. 

ÍCARO	Sua dor de cabeça acabou.   

ÍCARO	Vamos chegando, gente. Ouro saindo diretamente do forno. 

CLARA	É aqui que eles separam o ouro do mercúrio? 

ÍCARO	Exatamente, garota. 

CLARA	Isso não é perigoso? 

ANDRÉ	Ou, come on, what is it? 

LUZIA	Ele quer ver na mão. 

ÍCARO	Vem comigo. 

LUIZA	Essa “peguete” do gringo tá me irritando já. 

ÍCARO	Fabinho, mais tarde eu passo aí, tá certo? 

LUIZA	Let´s go.
 
ÍCARO	Opa. 

SENHORA 1	Olha! 

ANDRÉ	(REAC) Really? Oh, come on, come on, what the hell,  where’s the fucking think… ?

LUIZA	Ele quer ver o ouro bom. 

ÍCARO	Refinado mesmo, só na Suíça, né, gata? 

LUIZA	E eu não sei? 

ANDRÉ	Come on, come on. Its not a good idea get out of here addle. I don’t want to talk to him. ( sugestão)

ÍCARO	Calma, calma, calma. Come on, come on. 

ANDRÉ	(Burburinho)

CLARA	Essa fumaça não irrita os seus olhos? 

MULHER 1	É Que eu estou acostumada. 

CLARA	A senhora é tão linda. Eu posso tirar uma foto sua? Vem um pouquinho mais "pra" (para) cá. Vem mais um pouquinho. Ficou ótima. (RISOS) 

MULHER 1	Você vai levar alguma coisa? Tem pingente, anelzinho. 

CLARA	Vou não, moça. E esse anel seu, foi uma recordação de amor?  

MULHER 1	Reparou? Isso é falso, “Nega”, eu lá sou boba. A Dai usava ouro no pescoço e um pente no pulso, sabe o que aconteceu com ela? Sumiu. Mas o ouro dela deve estar todo derretido por aí. Moça? 

ÍCARO	Bom dia. 

HOMEM 2	Dia. 

LUIZA	André, cadê a Clara? 

ANDRÉ	A Clara, eu não sei. Vamos bora, vamos bora. Agora não nada. How far is it, man? 

VENDEDOR	Jacaré?

LUIZA	Não quero. 

VENDEDOR 2	Vendi um jacaré. Eu fazer um bom precinho, volta aqui. 

MINISTRO	Eu só preciso que você abra caminho junto as ONGs ambientais. 

VERÔNICA	Parece justo. A gente destrói quatro mil e quinhentos quilômetros de floresta tropical, expulsa cinco mil pessoas de suas casas...

MINISTRO	(REAC) 

VERÔNICA	... Ou o senhor me ajuda a preservar a Reserva de Cari. 

MINISTRO	Nós já tivemos essa conversa, doutora, o meu interesse é o progresso do país. 

VERÔNICA	A sua ideia de progresso é obsoleta, Excelência. Com licença. 

PAYALL	(REAC) 

NATALIE	Pera aí. 

PAYALL	(GEME CONTRAÇÕES) 

NATALIE	A gente precisa parar um pouco. 

GREGORY	Claro. 

PAYALL	(GEME CONTRAÇÕES) 

NATALIE	Você quer água? 

PAYALL	(REAC) 

NATALIE	Quer? 

PAYALL	(REAC) 

NATALIE	Respira. 

PAYALL	(GEME CONTRAÇÕES) 

NATALIE	"Pera aí" (espera aí). 

PAYALL	(GEME CONTRAÇÕES) (REAC) 

ENGENHEIRO		Nós vamos perfurar os primeiros dez quilômetros ainda esse ano. 

FELIPE	Qual é a expectativa de profundidade? 

ENGENHEIRO	Duzentos metros, talvez um pouco mais. O buraco, ele precisa ser aberto no formato de uma montanha invertida. 

NELSON	(REAC) 

FUNCIONÁRIO 1	Com licença. 

ENGENHEIRO	Com licença. 

MIGUEL	Qual o problema, Nelson? 

NELSON	A Natalie tá dentro da reserva, com uma equipe de filmagem. Tá com os Uirã. O nosso pessoal cercou o perímetro, e tá aguardando ordens, se quiser, a gente resolve isso hoje. 

FELIPE	Resolve como? 

MIGUEL	Prepara o meu helicóptero.    

RAONI	(REAC) 

GREGORY	Ei, ei. 

ALAN	Parou. 

RAONI	(REAC) 

PAYALL	(REAC)

NATALIE	(REAC)  

GREGORY	Vai! Vai. 

PAYALL	(REAC)

PAYALL	(REAC)

MIGUEL	Venham, vamos! 

NATALIE	Confia em mim, vem comigo.

PAYALL	(REAC)  

RAONI	(Língua nativa 00:31:33:04) 

PAYALL	(REAC) 

NATALIE	Deixa ela ir comigo, por favor. 

GREGORY	Falta pouco até o posto, a gente vai à pé. Cuida dela. 

NATALIE	Calma.

MIGUEL	(REAC) 

NATALIE	Como é que você sabia que eu estava aqui? 

MIGUEL	Eu interceptei uma mensagem de rádio. Eu não podia os Uirã na mão. 

NATALIE	(REAC) 

MIGUEL	Vamos, vamos! (REAC) 
  
PAYALL	(REAC) 

NATALIE	Tranquila.

PAYALL	(REAC – GEME CONTRAÇÃO) 

JOYCE	Mana, mana. Mana, mana, mana. Toma. 

CLARA	O que houve? 

JOYCE	Tá melhor? Tu inalou. 

CLARA	(REAC) 

JOYCE	É normal mesmo, as pessoas desmaiam. (RISO)

CLARA	(REAC) 

HOMEM 3	Eu quero essa aqui.  

CAFETÃO	Essa aí não. É pro leilão das virgens. 

HOMEM 3	Então por que é que ela tá aqui? 

CAFETÃO	Pro ensaio do show. Joyce, traz um panfleto aqui "pra" (para) ele. 

CLARA	(REAC)  

ÍCARO	Rafael. 

RAFAEL	E aí, mano? 

ANDRÉ	(COCHICHA)

LUIZA	Espera aqui. 

ANDRÉ	Não, Luiza. 

LUIZA	Me deixa sozinha. 

ANDRÉ	Cuidado. 

ÍCARO	E o gringo, não vai não? 

LUIZA	É melhor eu ver esse ouro primeiro. 

ÍCARO	Sozinha? 

LUIZA	Depois a gente chama ele. 

ÍCARO	É. 

LUIZA	Bora? 

ÍCARO	Eu não sei não, moça, eu ficar te seguindo aí, hoje é noite de lua cheia, hein? 

LUIZA	Vamos ver se esse ouro é bom. 

ÍCARO	(REAC) 

ÍCARO	Aí, Pako, cliente. 

LUIZA	Opa. 

PAKO	Só um momento. 

ÍCARO	Essa aqui, (REAC). Bonita, né? 

LUIZA	Aham. 

ÍCARO	É. 

LUIZA	O Gringo quer uma quantidade grande, bem maior do que isso aí. 

ÍCARO	Uma quantidade grande, a gente não consegue, porque já tá tudo vendida. 

LUIZA	Por quem? 

ÍCARO	Tá querendo saber demais, aí. 

LUIZA	Me leva direto na fonte, vai. 

ÍCARO	Por que eu levaria? 

LUIZA	Eu posso te dar um pedaço da minha parte, hum?
 
ÍCARO	E eu posso confiar na Laís Lobo, ham?

LUIZA	A gente pode se dar bem. Tá nas suas mãos. 

ÍCARO	Ninguém tem passe livre "pra" (para) entrar no garimpo. 

LUIZA	Ih, (RISO) E você não é o dono da balsa, hum?

ÍCARO	Já chegou em mim sabendo, é esperta, tem faro. 

LUIZA	Só isso. 

ÍCARO	E quente. 

LUIZA	Hum. 

ÍCARO	Bonita. 

LUIZA	(BEIJO)    

LUIZA	(off) Cadê ela? 

ANDRÉ	Vem cá, que horas você marcou com Ícaro? 

LUIZA	Logo! 

ANDRÉ	Luiza, mas não era amanhã que tinha audiência da guarda do Yan? 

LUIZA	Não, e quinta. 

ANDRÉ	Tem certeza? 

LUIZA	Eu tenho, absoluta. Eu chego a tempo. 

ANDRÉ	(REAC) É tudo mais velha, e menos juízo. 

LUIZA	“Puta que pariu”, cara, cadê a Clara, menino?

ANDRÉ	(REAC)  

LUIZA	(REAC) “Porra”, Clara! 

CLARA	Eu desmaiei, eu desmaiei com o mercúrio. Uma menina me deu água, o nome dela é Joyce. Eu estava num lugar, em que eles fazem as meninas transarem com os velhos. 

ANDRÉ	(REAC) 

LUIZA	Exploração sexual infantil, é uma coisa muito comum por aqui, infelizmente, é “foda”, eu sei. 

CLARA 	Tá. 

LUIZA	Mas em todo país, né? 

CLARA	Eu vou mostrar "pra" (para) vocês, vamos. 

LUIZA	Não, não, ei, ei. Você tá louca, a gente não vai, em lugar nenhum. 

CLARA	Hmm. 

LUIZA	Esse não é o nosso foco.  	 

CLARA	Elas são só crianças, Luiza, elas não tem nem quinze anos.

LUIZA	Tem uma ONG muito séria que cuida disso, Clara. Eu não quero que você se desvie do que a gente veio fazer aqui. Eu agora vou sair sozinha, eu vou atrás de uma pista. 

ANDRÉ	Oi? 

LUIZA	Mas se em vinte e quatro horas eu não voltar, é porque deu merda. É vinte e quatro horas. 

ANDRÉ	(REAC)   

PAYALL	(off) (GEME CONTRAÇÕES) 

NATALIE	Tá segura aqui. 

PAYALL	(off) (GEME CONTRAÇÕES - CONTINUA) 

NATALIE	Ham. Então esse menino no mundo. Segura a minha mão. 

PAYALL	(REAC) (GEME CONTRAÇÕES) 

NATALIE	Me dá mais uma aqui. 

PAYALL	(REAC) (GEME CONTRAÇÕES - CONTINUA) 

