CHARACTER	Dialogue: CASTILIAN
MADRE	Anoche tuve que cerrar a las dos por un cumpleaños. Estoy agotada.
	
VERÓNICA	He venido a coger una foto para un trabajo de clase. Tú descansa.
	
MADRE	Voy a dormir un poquito más. Te veo luego.  
	
CANCIÓN	He oído que la noche
	
	es toda magia.
	
	Y que un duende te invita a soñar.
	
	Y sé que últimamamente
	
	a penas he parado.
	
	Tengo la impresión de divagar.
	
	Amanece tan pronto,
	
	y yo estoy tan solo
	
	y no me arrepiento de lo de ayer.
	
	Las estrellas te iluminan,
	
	hoy te sirven de guía.
	
	Te sientes tan fuerte que piensas
	
	que nadie te puede tocar.
	
VERÓNICA	-¿Qué pasa?  

NENE	 Mañana no me haré pis.
	
VERÓNICA	-¿Cómo?

NENE	 Mañana no me haré pis.
	
VERÓNICA	Bien. Venga, adentro.
	
PROFESOR	-¿Qué tal? ¿Qué tal esta semana? 

NENE	 ¡Bien!
	
PROFESORA	-¿Bien? ¿Te lo has pasado bien?

NENE	 Sí.
	
PROFESORA DE CIENCIAS	Como sabéis, la Tierra está permanentemente girando sobre su propio eje. Y a su vez, gira alrededor del Sol. Mientras la Luna, que es un satélite, está girando alrededor de la Tierra. Pues bien, cuando la Luna se interpone entre el Sol y la Tierra, se produce el fenómeno astronómico que llamamos eclipse solar y la sombra de la Luna se proyecta sobre la superficie terrestre. Es un fenómeno interesante porque es subjetivo, es decir, depende del sujeto que lo mira. No es lo mismo lo que vamos a ver nosotras hoy en Madrid que lo que se podrá ver desde Barcelona o desde París. Pasa de diapositiva, por favor. En los eclipses podemos distinguir claramente dos zonas: la zona de sombra, o umbra, y la zona de penumbra. La zona de umbra es aquella ausente de luz, con oscuridad absoluta. ¿LA TIENES?
	
PROFESORA DE CIENCIAS	La zona de penumbra es lo que llamamos la zona de sombra frágil. A lo largo de la historia, a los eclipses se les ha dado desde la superstición explicaciones muy variopintas. Pasa de diapositiva, por favor. En las culturas primitivas, se creía que lo que ocurría en el cielo era un reflejo de lo que ocurría en la Tierra. Por eso se creía también que durante los eclipses, la oscuridad reinaba por encima de la luz. Así que en muchas culturas, se pensaba que los eclipses eran buenos momentos para realizar todo tipo de sacrificios. Cambia de diapositiva, por favor. Incluso humanos. De hecho, os lo explicarán mejor en la clase de historia, pero los mayas creían que la sangre humana era… Bueno, se nos ha hecho la hora. Tenemos que ir a ver el eclipse, pero a la vuelta explicaremos los distintos tipos de eclipse. Sara, ayúdame con la ventana, por favor. Las que no tengáis fotografía, la podéis coger de esa caja, ¿de acuerdo?
	
ALUMNAS	Sí.
	
PROFESORA DE CIENCIAS	Y acordaos de no mirar directamente al Sol, siempre a través del negativo.

VERÓNICA	-Espera, espérate un momento.

ROSA	 Tía, pero vamos.
	
VERÓNICA	-Un momento.

PROFESORA DE CIENCIAS	 Chicas, para arriba.
	
PROFESORA	Rosa, apaga el proyector, por favor. 

ROSA	 Sí.
	
ROSA	Vero, espera.
	
VERÓNICA	¿Qué pasa?
	
ROSA	Hay que esperar a Diana.
	
VERÓNICA	¿La repetidora? 
	
ROSA	Sí, es que la dije lo que íbamos a hacer y se apuntó.
	
VERÓNICA	Pero, Rosa, tía, se supone que es una cosa entre nosotras.
	
ROSA	Bueno, pues ahora es una cosa entre nosotras y Diana. ¿Qué más te da, si es majísima? Y, además, ¿tú te acuerdas de Manolo, el que tenía así el pelo para arriba? Tía, el que se mató con la moto.
	
ROSA	-Era su novio.

VERÓNICA	 Pero ¿para qué la cuentas nada?
	
ROSA	Mira, lo siento, se me escapó. Pero, además, todo el mundo sabe que funciona mejor con impares.
	
DIANA	Ya está todo el mundo arriba. Pista libre.
	
PROFESORA DE CIENCIAS	Begoña, ¿qué porquería es esta?   Con esto no.
	
MONJA	Niñas.. Niñas, iros colocando, que va a empezar. Venga, poneros por aquí. Poneros por aquí. Mirad, las radiografías y los…
	
DIANA	Qué asco.
	
ROSA	¡Eh, chicas, no es empanéis, es por aquí!
	
DIANA	¡Eh, esperadme!
	
VERÓNICA	Aquí.
	
DIANA	Ay, qué asco. Oye, ¿habéis hecho esto antes?
	
ROSA	Bueno, yo sí, en el pueblo. Tú me habías dicho que también, ¿no?
	
DIANA	Sí, tía, pero con papeles recortados y tal, ¿sabes? Nunca así con una tabla en plan oficial. 
	
Insert	LA GRAN ENCICLOPEDIA DE LO OCULTO
	
ROSA	Dicen que puedes ver cómo vas a morir.
	
ROSA	¿Qué has traído?
	
VERÓNICA	Una foto.
	
DIANA	¿Qué es eso?
	
ROSA		Se necesita un objeto personal de la persona con la que se quiere contactar.
	
DIANA	Tía, una foto no es un objeto personal.
	
ROSA		¿Cómo que no? Una foto es personal si es de la persona que aparece en ella.
	
DIANA	Pues yo no me he traído nada de Manolo.  
	
PROFESORA DE CIENCIAS	¿Lo estáis viendo? La Luna empieza a morder el limbo. ¿Veis el anillo? ¿Ves el anillo? Fíjate. Es el anillo solar.
	
NIÑA	No me lo puedo creer.
	
PROFESORA DE CIENCIAS	Mirad siempre por el… Mira siempre con esto, eh.
	
NIÑA	¡Madre mía, qué bonito!
	
VERÓNICA_OFF	Pone que hay que colocar el dedo índice sobre el vaso.
	
ROSA	-Cerrad los ojos.
DIANA	 ¿Por qué?
	
ROSA	Porque así se contacta antes. ¿Hay alguien aquí con nosotras? ¿Hay alguien aquí con nosotras?
	
DIANA	Yo no he sido, lo juro.
	
ROSA	¿Quién eres? ¿Quieres hablar con alguna de nosotras? ¿Eres…? ¿Eres el padre de Verónica? ¿Quieres hablar con Verónica? V, e, o. Veo.

ROSA	-¿Ves? ¿Qué ves? 

DIANA	 Una cosita.
	
ROSA-DIANA	-Joder, ¿eres gilipollas? -Gilipollas serás tú. Sé perfectamente que lo estás moviendo.
	
ROSA	Pero, o sea… Vero, ¿lo has movido tú? ¿Quién eres?
	
DIANA	¡Está quemando! ¡Joder! 
	
ROSA	¡Vero! Vero ¿qué pasa? ¡Vero! Vero,
	
ROSA	¡No, no! ¡Vero! ¿Por favor, Vero, vamos! Por favor, Vero! ¡Busca la linterna! ¡Diana, la linterna!
	
DIANA	-¿Dónde está?

ROSA	 -¡Por ahí!

DIANA	-¡Rosa, no veo!

ROSA	 ¡Joder!
	
DIANA		¡Aquí está! La tengo, la tengo, la tengo. La tengo. Joder. Se ha roto el retablo.
	
ROSA	¿Dónde está Verónica? ¡Verónica! ¡Verónica!
	
ROSA	-¡Diana! ¡Diana, ve a por ayuda! ¡Pero, tía, ya!

DIANA	 -Nos la vamos a cargar.
	
ROSA		¡Tía, venga! ¡Cállate! ¿Verónica? ¡Verónica! ¿Qué te pasa? ¿Qué estás diciendo?
	
MÉDICO	Verónica, ¿me escuchas?  
	
VERÓNICA	¿Qué me ha pasado?
	
MÉDICO	Has sufrido un desmayo. Sigue mi dedo. Hemos intentado localizar a tu madre, pero no lo hemos conseguido.
	
VERÓNICA	Está trabajando.
	
MÉDICO	¿Te había ocurrido antes, desmayarte así?
	
VERÓNICA	No.  
	
MÉDICO	¿Habías desayunado?
	
VERÓNICA	Sí.
	
MÉDICO	¿Eres diabética? ¡Verónica! ¿Me quieres atender? ¿Eres diabética?
	
VERÓNICA	No sé.
	
MÉDICO	Azúcar en la sangre, ¿tienes?
	
VERÓNICA	No lo sé.  
	
MÉDICO	Antecedentes de diabetes en tu familia.
	
VERÓNICA	No, creo que no.
	
MÉDICO	¿Habías tomado algún estupefaciente?

MÉDICO	-¿Porros, pastillas…?

VERÓNICA	 No, no.
	
MÉDICO	-¿Seguro?  	

VERÓNICA	 Seguro.
	
MÉDICO	¿Estás con la menstruación?
	
MÉDICO	-¿Cuántos años tienes, Verónica?

VERÓNICA	 Quince.
	
MÉDICO	¿Y no tienes la menstruación? Probablemente hayas tenido una bajada de tensión. Puede que tengas una deficiencia de hierro. Si puedes, sería conveniente que hoy comieras algo de carne roja. Descansa unos minutos aquí, las clases están a punto de terminar.

LUCÍA	-¡Qué guay, es chulísimo!

VERÓNICA	Niñas.
	
LUCÍA	Jolín, siempre nos toca esperarte.
	
IRENE	¿Qué te ha pasado en la mano?
	
VERÓNICA	Nada. Me he caído en el patio y me he cortado con unos cristales.
	
LUCÍA	¿Me dejas ver la herida?

VERÓNICA	-¿Y Rosa?

IRENE	Ya se han ido.

VERÓNICA	¿No me ha esperado?

IRENE	Te has perdido el eclipse. El Sol se ha puesto negro del todo.
	
IRENE	Ha sido chulísimo.
	
LUCÍA	¿Tú por qué no estabas?
	
VERÓNICA	Estaba en la enfermería. Oye, no le podéis contar nada a mamá.
	
IRENE	-¿De qué?

VERÓNICA	De que me he cortado, ¿vale? ¿A nadie?
	
LUCÍA	A nadie nada nunca

IRENE	A nadie nada nunca.
	
VERÓNICA	Ni de ti ni de mí ni de ninguna de nosotras.

LUCÍA 	Ni de ti ni de mí ni de ninguna de nosotras.

IRENE	Ni de ti ni de mí ni de ninguna de nosotras.
		
VERÓNICA	Venga, vamos.
	
VERÓNICA	-¿Qué pasa, Irene?

IRENE	-La hermana Muerte te está mirando.
	
LUCÍA	Pero si es ciega, ¿qué dices? No puede ver nada. She's blind.
	
IRENE	-Blind, ¿es sorda?

LUCÍA	No, sorda es deaf.
	
Insert	LA MEJOR MADRE DEL MUNDO
	
LUCÍA  	-¡Hola, mamá!

IRENE	-¡Hola, mamá!

MADRE	Hola.
	
LUCÍA	¿Me das para los marcianos?
	
MADRE	Bueno. Cógelo tú. Pero una partida y a casa, eh.
	
VERÓNICA	Mamá...
	
MADRE	-No aquí delante de los niños, hombre.

VERÓNICA	Mamá...
	
MADRE	Dame los postres de la siete.
	
VERÓNICA	Para un momento, por favor.
	
MADRE	Qué manía con taparte la cara, con lo bonita que la tienes.
	
VERÓNICA	Mamá...
	
MADRE	Ahora te doy los tápers. Te he puesto también macarrones para la noche.
	
VERÓNICA	Mamá...
	
MADRE	Recoge al nene y a comer  a casa.
	
LUCÍA	¡Venga!
	
NENE	Me muero de hambre.
	
NENE	-Son pedos.

LUCÍA	A ver si te los tiras tú.
	
NENE	Pedos, pedos, pedos.
	
VERÓNICA	-Irene, toma, calienta la comida.

IRENE	-¿Por qué yo?
	
IRENE	Es que siempre me toca a mí.

VERÓNICA	Antoñito, quítate el jersey y lávate las manos.
	
LUCÍA	Porque yo soy la preferida.
	
LUCÍA	¿Qué es eso?
	
VERÓNICA	Nada. Venga, a poner la mesa.
	
LUCÍA	Verónica.
	
VERÓNICA	¿No te he dicho que a poner la mesa? Tú vigila.

VERÓNICA	-¿Así?

IRENE	-Sí.
	
LUCÍA	Luego, delante del Sol, había…
	
LUCÍA	-Estaba como negro, se ponía negro…

IRENE	Era la Luna. Es que no te enteras de lo que nos ha explicado la profesora de ciencias. Es como, mira, imagínate que hay una bola negra y otra amarilla. Y la bola negra se pone tapando a la bola amarilla, que es el Sol.
	
LUCÍA	-Irene, ¿traes leche?

IRENE	-Ve tú.
	
LUCÍA	Piedra, papel o tijera.
	
IRENE	Piedra, papel o tijera. Un, dos, tres, ¡ya!
	
IRENE	-¡Toma!

LUCÍA	No, no, a la que gane tres.
	
IRENE		Piedra, papel, tijera. Un, dos, tres, ¡ya! Piedra, papel, tijera. Un, dos tres, ¡ya! ¡Jope!
	
LUCÍA	Victoria, victoria. Victoria.
	
IRENE	-Qué tramposa.

LUCÍA		-¿Yo tramposa? Serás tú la tramposa. Cuando tú ganas, yo ya no te digo nada.
	
IRENE	No queda leche en la nevera, cambio.
	
LUCÍA		Hay en la galería, cambio. ¿Verónica? ¿Verónica? ¿Hola? Irene, ven, que la Vero se ha congelado. ¿Verónica? Verónica.
	
LUCÍA	-¡Verónica!

IRENE	Menos mal que pone abrefácil.
	
LUCÍA	¡Verónica!
	
VERÓNICA	¿Qué ha pasado?
	
LUCÍA	No te movías.
	
NENE	Y has vomitado.
	
IRENE	¿Estás bien?
	
VERÓNICA	Estoy bien. Recoged esto, por favor.
	
LUCÍA	¡Voy yo! Sí, sí. Sí, yo se lo digo. Vale, adiós.
	
VERÓNICA	¿Quién era?
	
LUCÍA	Rosa.
	
VERÓNICA	¿Y por qué no me la has pasado?
	
LUCÍA	Ha dicho que no podía venir, que se iba con su madre a unos recados.
	
VERÓNICA	-Pero ¿no te ha dicho que me pusiera?

LUCÍA	No. No.
	
MADRE DE ROSA	¿Sí?
	
VERÓNICA	Hola, soy Verónica. ¿Está Rosa?
	
MADRE DE ROSA	Hola, Vero. No, no está.
	
VERÓNICA	Pero si acaba de llamar.
	
MADRE DE ROSA	Justo acaba de salir por la puerta con Diana. Pensaba que habíais quedado las tres. Vero.
	
VERÓNICA	Sí, sí. Yo es que llegaré un poco más tarde.
	
MADRE DE ROSA	Pues dile que no se le olvide que a las ocho tiene que estar de vuelta.
	
VERÓNICA	Sí, ahora le digo.
	
MADRE DE ROSA	Gracias, guapa. Hasta luego.
	
NENE		Centella me da tiempo para disfrutar. Centella me da tiempo para disfrutar. Centella, Centella.
	
NENE	Centella me  da tiempo para…
	
VERÓNICA	Niñas, poneos los pijamas.
	
IRENE	-Siete.

LUCÍA	¡Estás en el baño!
	
IRENE	No vale, que se ha chivado la Vero. Empezamos otra vez.
	
NENE	Centella me da tiempo para disfrutar.
	
VERÓNICA		Antoñito, vale ya, que pareces un loro de repetición. Si no te la sabes, ¿para qué la cantas?
	
VOZ OFF	Sí, sí... Te estoy viendo Oh, tiempo para mí. Oh, tiempo de vivir. Centella me da tiempo para disfrutar. Centella… Niñas, portaos bien. Antoñ… Date fuerte, ahora vengo. Niñas, por favor.
	
LUCÍA	¿Qué? Oh, tiempo para mí, tiempo de vivir.
	
NENE	Centella me da tiempo para disfrutar.
	
NENE	¡Vero! ¡Vero!
	
VERÓNICA	¡Antoñito! ¡Antoñito!
	
NENE	¡Vero! ¡Vero!
	
VERÓNICA	¡Antoñito! Antoñito, ¿qué pasa?
	
NENE	¡Vero!
	
VERÓNICA	Está ardiendo. ¿Qué ha pasado?
	
VERÓNICA	-¿Qué es esto?

NENE	-Quema.
	
VERÓNICA	¿Has tocado el grifo?
	
NENE	Yo no he hecho nada.
	
VERÓNICA	Un, dos, tres, ¿qué es?
	
NENE	Pájaro.

VERÓNICA	No.
	
NENE	Flor.
	
VERÓNICA	No. Perro. Date la vuelta. Un, dos, tres, ¿qué es?

NENE	-¡Globo!

VERÓNICA	-¡Sí! Nene, siento mucho haberte puesto el agua tan caliente.
	
NENE	No has sido tú.
	
VERÓNICA	¿Qué?
	
NENE	Que no has sido tú.
	
VERÓNICA	¿Qué has dicho, neni?
	
NENE	Mañana no me haré pis.
	
TELEVISIÓN	Centella me da tiempo para disfrutar. Centella, Centella. Centella me da brillo con facilidad. Centella, Centella.  Oh, tiempo para mí. Oh, tiempo de vivir. Centella me da tiempo para disfrutar. Centella, Centella.
	
CANCIÓN	Vámonos de esta habitación al espacio interior. Se nublan los ojos. Todo de un mismo color. Mientras vámonos de esta habitación al espaco exterior. Se alumbran los ojos, todos de un mismo color. Mientras todo baila.... Nueve, ocho, siete, seis, cinco, cuatro, tres, dos, uno...
	
LUCÍA	Vero…
	
VERÓNICA	¿Qué hacéis aquí?
	
VOZ	Verónica... Verónica… Verónica… Verónica…
	
VERÓNICA	¿Papá?
	
	VIERNES 13 DE JUNIO DE 1991
	
	08:29 A.M.
	
VERÓNICA	Antoñito, ¿qué pasa?
	
NENE	Se me ha escapado.
	
VERÓNICA	¿Son las ocho y media?

VERÓNICA	-Vamos, corre.

LUCÍA	¿Por qué siempre es culpa de Verónica y no…?
	
LUCÍA	No, no, no nos cierres!

VERÓNICA	¡Por favor, un segundo!
	
SEÑORA	-Por los pelos, eh.

VERÓNICA	Gracias.
	
IRENE	Gracias.

CHARACTER	Dialogue: CASTILIAN
PROFESORA LITERATURA	Las “Leyendas” de Bécquer solían comenzar con una introducción que transportaba al lector a un pasado remoto. Uno de los personajes advertía la prohibición a la cual debía atenerse el protagonista y a continuación ese personaje principal traspasaba el límite permitido y sufría el castigo que merecía tal infracción. Alonso y Beatriz mueren por la imprudencia de Beatriz al obligar a Alonso a subir al Monte de las Ánimas el día de Todos los Santos. En “El beso”, Lope de Ayala ataca a su capitán por profanar la estatua de doña Elvira. En fin, nadie escapa a las consecuencias que acarrea traspasar el límite que divide la realidad de la fantasía. Si sacáis vuestros ejemplares de las “Leyendas”, vamos a leer juntas el principio de “El Monte de las Ánimas”. Bien, empiezo yo misma. “La noche de difuntos me despertó a no sé qué hora el doble de las campanas. Su tañido monótono y eterno me trajo a las mientes esta tradición que oí hace poco…”.

PROFESORA LITERATURA	-¿Sí?

VERÓNICA	 ¿Puedo ir al baño?
	
PROFESORA LITERATURA	Claro. “Una vez aguijoneada, la imaginación es un caballo que se desboca y al…”.
	
SOR NARCISA	¿Sabes cuando entras en una casa en la que acaban de hacer torrijas? El rastro que dejan es muy claro. Ese olor a canela, a pan frito, a leche caliente. Y si cierras los ojos, parece que tienes el plato delante. Casi puedes morderlas. Yo era profesora de lengua y literatura. Lo de las torrijas es una metáfora.
	
SOR NARCISA	-¿En qué curso estás?

VERÓNICA	Primero de BUP.
	
SOR NARCISA	Entonces ya sabes lo que es una metáfora, ¿verdad? Y también sabes que no estamos hablando de repostería.
	
SOR NARCISA	-¿Tú fumas?  

VERÓNICA	 No.
	
SOR NARCISA	Pues mejor.
	
VERÓNICA	Le llaman la hermana Muerte.
	
SOR NARCISA	Lo sé.

VERÓNICA	-¿No le molesta?
SOR NARCISA	 No.
	
SOR NARCISA	Me gusta. Suena mejor que sor Narcisa, ¿no crees? ¿Qué tienes en la mano?
	
VERÓNICA	¿Cómo sabe que tengo algo?
	
SOR NARCISA	No siempre hacen falta los ojos para ver. ¿Me lo acercas? Lo que habéis hecho aquí es muy peligroso.
	
VERÓNICA	Yo solo quería hablar con mi padre.
	
SOR NARCISA	No se trata de con quién quieres hablar, sino de con quién hablas.
	
VERÓNICA	Pero si no es mi padre, ¿quién es?
	
SOR NARCISA	-Tú tienes hermanos, ¿verdad?  

VERÓNICA	 Tres.
	
SOR NARCISA	Pues tendrás que protegerlos.
	
VERÓNICA	Pero protegerlos ¿de qué?
	
SOR NARCISA	¡No os mováis, no os mováis! No os mováis, no os mováis.
	
VERÓNICA	Pero si estoy yo sola.
	
SOR NARCISA	No, no estás sola. Alguien respondió a tu llamada. Y ahora camina contigo. No te muevas. En nombre de Jesucristo nuestro señor, sepárate de este cuerpo que no es el tuyo. En nombre de Jesucristo nuestro señor, sepárate de este cuerpo que no es el tuyo. Se acabó el recreo, niña. Corre, corre, corre. A ver si te libras.
	
VERÓNICA	¡Rosa!
	
ROSA	Hola.
	
VERÓNICA	¿Quién es ese?
	
ROSA	Ah, Felipe, el compañero de mi primo en la FP.

ROSA	-Que qué querías. 

VERÓNICA	 -¿Estás enfadada conmigo?
	
ROSA	¿Yo enfadada por qué, Vero?
	
VERÓNICA	Ayer no viniste a casa.
	
ROSA	Ya, pero porque tenía que acompañar a mi madre. ¿No te lo dijo tu hermana?
	
VERÓNICA	Es por lo de ayer, ¿verdad?
	
ROSA	Mira, la ouija es una tontería. Son solo decir chorradas y romper un vaso.
	
VERÓNICA	Tú también notaste algo.
	
DIANA	¡Rosa!
	
VERÓNICA	También lo viste, ¿a que sí? 

ROSA	Vero, que…
	
VERÓNICA	-Desde ayer estoy viendo…

DIANA	 ¡Tía! Rosa va, que tenemos que irnos pitando, que va a cerrar el híper.

DIANA	-¿Tú te vas a venir?

VERÓNICA	 -¿A dónde?
	
DIANA	Es que, tía, los padres de Rosa se van este fin de semana y vamos a hacer una fiesta en su casa mañana.
	
VERÓNICA	¿Por qué no me lo has dicho?
	
DIANA	Tía, te lo está diciendo ahora. Además, tampoco creo que puedas, ¿no? Vas a tener que cuidar de tus hermanos. Vamos.
	
ROSA	Vero,
	
ROSA	-pásate si puedes.

DIANA	 Vamos, tía, que llegamos tarde.
	
IRENE	¡Lucía! ¡Deja de copiarte de mis deberes!
	
Insert	LA GRAN ENCICLOPEDIA DE LO OCULTO
	
LUCÍA	Pero si son los mismos, qué aburrimiento.
	
VERÓNICA	¡Ya, Antoñito, ya! Vete a tu habitación a jugar. Lucía, y tú deberías hacer los deberes y no copiarte de los de tu hermana, que así no vas a aprender nada.
	
LUCÍA	-Yo cuando me los copio, me los aprendo también.  

IRENE	 Menudo morro.
	
LUCÍA	Pero si los vas a hacer igualmente. Qué más te da, egoísta.
	
IRENE	Siempre estás igual, pues algún día puedes hacerlos tú y yo me los copio. Podemos hacerlo a piedra, papel o tijera, pero es que a ti te sale mejor.
	
LUCÍA	No es que me salga mejor, es...
	
MONJA	Tú tienes hermanos, ¿verdad? Tendrás que protejerlos.
	
Insert	SÍMBOLOS DE PROTECCIÓN VIKINGOS
	
IRENE	Representando a Madrid, Lucía Gómez, de diecinueve años. Es médica, abogada, socorrista y bombera. Y hay un secreto que nadie sabe sobre Miss Madrid, que es un robot. Y ese robot es de una inteligencia artificial supersuperlista. Miss Madrid próximamente aspirante a ser Miss España.
	
LUCÍA	¿Qué es eso?
	
VERÓNICA	Una cosa que hemos hecho en clase.
	
LUCÍA	Qué feo.
	
IRENE	Toma, Miss Madrid. ¿Conquistará la corona de Miss España? ¿Sí o no? Próximamente en cines. Miss Madrid tiene veinticinco años, siete hijos…
	
IRENE	¿Quién es?
	
VERÓNICA	La Josefa.

JOSEFA	-¿Y tu madre?

VERÓNICA	 En el bar.
	
JOSEFA	Claro. ¿Se puede saber qué estáis haciendo?
	
VERÓNICA	¿Qué pasa?
	
JOSEFA	¡Las lámparas! ¿Qué estáis, bailando o qué? Que no paran de moverse las lámparas.
	
VERÓNICA	-Nosotros no estamos haciendo nada.

JOSEFA	 ¿Ah, no? Pues a mí parece que se me va a caer el techo encima. Y además mira que te digo, me ha salido un manchurrón enorme negro encima justo de tu habitación. ¿Tenéis humedades?
	
VERÓNICA	-No lo sé, luego se lo digo a mi madre.

JOSEFA	¡Bueno! Eso será si la ves, ¿no? Con las carreras que pegáis, vais a dormir bien. Joder con los niños.
	
VERÓNICA	¡Mierda!
	
LUCÍA	Verónica. Verónica.
	
VERÓNICA	¿Qué hacéis despiertas? Lucía, no tiene gracia. Veo vuestra habitación desde aquí.
	
LUCÍA	Ayúdanos, tú le has llamado. No dejes que nos haga daño.
	
VERÓNICA	¡Irene! ¡Lucía! ¡Lucía! ¡Niñas, despertad! ¡Lucía!
	
IRENE	¡Vero, Vero!
	
LUCÍA	¿Qué haces?
	
VERÓNICA	Había alguien aquí, os quería hacer daño.
	
LUCÍA	¡Aquí no hay nadie!
	
VERÓNICA	No podemos verlo, pero está aquí. ¡Mirad! Ha quemado los amuletos. Coged los colchones, vamos. Vamos a dormir juntas en el salón. Voy a por Antoñito.
	
PELÍCULA EN LA TELE	Wake up, wake up. It’s Benahavís.
	
LUCÍA	Vero...
	
VERÓNICA	Duerme.
	
LUCÍA	¿Por qué me estabas ahogando?
	
VERÓNICA	Yo no te estaba ahogando, te estaba protegiendo.
	
LUCÍA	¿De quién?
	
VERÓNICA	De algo malo que ha entrado en casa.
	
LUCÍA	¿Que han entrado en casa? ¿La Josefa?
	
VERÓNICA	No. Un ente del otro lado, un ser maligno.
	
LUCÍA	¿Un fantasma? ¿Un espíritu?
	
VERÓNICA	No tengas miedo, yo os protegeré.
	
LUCÍA	Porque eres la mayor. Me gusta que seas mi hermana mayor.
	
VERÓNICA	Y a mí que tú seas la pequeña.
	
LUCÍA	No soy la pequeña. Soy la mediana porque Irene salió después.
	
VERÓNICA	Es verdad. Venga, a dormir. Yo me quedo vigilando.
	
PELÍCULA EN LA TELE	Perdón, ¿qué pasa? Ah, es fiesta mayor en Benahavís.
	
VOZ	Verónica...
	
LUCÍA 	-¿Vero...?  

IRENE	-¿Vero...?  

LUCÍA	 ¿Qué pasa?
	
IRENE	¿Qué pasa?
	
VERÓNICA	Ha vuelto.
	
MADRE	¿Qué es esto?
	
LUCÍA E IRENE	¡Mamá! ¡Mamá, mamá, mamá!
	
MADRE	Pero ¿se puede saber qué está pasando aquí?
	
IRENE 	-Había un hombre malo que quería matar a Lucía

MADRE	Lucía, ¿estás bien? ¿Ha entrado alguien en casa?
	
IRENE	No, no ha entrado nadie, ya estaba dentro.
	
MADRE	-Pero Vero…

VERÓNICA	 No ha pasado nada, mamá.
	
MADRE	Pero ¿ha entrado alguien en casa o no ha entrado nadie en casa?
	
VERÓNICA	-No. 

