LA ESCLAVA BLANCA CAP20
16/09/2016

(BOUCLE 1 - 00:00:57:12)
		01

AMBIANCE	(ambiance rue)
CANDELA	Oh, peu importe. Je l'ai toujours dit, n'est-ce pas, Milagro. Depuis l'incendie de la maison des Quintero, ces terres sont condamnées à être couvertes de sang. Chaque jour qui passe est pire que le précédent. Il ne manquerait plus que tout le monde se mette à voir des fantômes.

MORALES	Pour qui vous vous prenez, à faire la causette comme des dames? Candela, tu veux que je t'apporte un café? Mettez-vous donc au travail, bande de paresseuses! Je vous interdis de parler de fantômes et de je n'sais quelle malédiction! Ce ne sont que des superstitions stupides imaginées par des ignorants comme vous! Et comme Julian. Alors je vous conseille de cesser ces commérages et de vous secouer les puces. AU TRAVAIL!

(BOUCLE 6 - 00:04:10:09)
		06

VICTORIA	(h_/) Isabelita, tu veux bien m'apporter un linge humide?

ISABEL2	Oui.

VICTORIA	(h_/) Oh, Ouroujimi, Ouroujimi, puissent mes ancêtres et ma maman Lorenza aider Remedios à se réveiller en bonne santé. Je vous en prie, je sais que vous pouvez la sauver. (h___\) (snif) (h___\) Remedios... (h_/) Je vous en supplie, Seigneur, faites quelque chose pour ma chère amie Remedios, faites en sorte qu'elle aille bien. Par pitié. (h___/) (snif)

REMEDIOS	Ah...

VICTORIA	Hh_! Remedios!

REMEDIOS	Ah___...

VICTORIA	Je suis là.

REMEDIOS	HAA_________ ha_____

VICTORIA	Oh, mais qu'est-ce qui t'arrive? Calme-toi, le docteur arrive.

REMEDIOS	HAA________

(BOUCLE 7 - 00:05:34:22)
		07

REMEDIOS	(hurlements de douleur en off sur toute la boucle)

MORALES	(respis) (h_/) (h_\) (h_/) Qui est-ce qui crie comme ça? (h_/)

NOHEMI	C'est sûrement la pauvre petite qui est tombée dans l'escalier.

MORALES	Oui, (h_/) tu as raison, ça ne peut être qu'elle. (h_/)

MILAGRO	Qui vouliez-vous que ce soit d'autre?

REMEDIOS	(hurle de plus belle)

CANDELA	Les fantômes dont je parlais tout à l'heure.

MORALES	TOI LA FERME!!! (halète) Ca suffit, esclave! Il me semble t'avoir donné des ordres. ALORS AU BOULOT! Et en silence! (halète) Julian, tu les surveilles. (h___/) (h_\) (h_/) (h_\) (léger halètement)

(BOUCLE 8 - 00:06:24:00)
		08

MORALES	(smack) Seigneur, je sais que je t'en demande beaucoup mais je le fais pour le bien de tout le monde. Les esclaves disent que je suis poursuivi par les esprits de mes victimes. (h___/) Dis-leur que je n'agis pas selon ma propre volonté mais que je suis les ordres d'une autre personne. (h_/) Oh mon Dieu. Je te fais confiance. Amen.

(BOUCLE 9 - 00:07:24:23)
		09

VICTORIA	Pour l'amour de Dieu, que fabrique le docteur?

NICOLAS	(h_/) Le docteur Lopez habite un peu loin, alors tu dois être patiente.

REMEDIOS	(cris de douleur en off sur toute la boucle _ _ _ _ _)

VICTORIA	Dans ce cas il faut qu'on fasse quelque chose. On n'peut pas la laisser souffrir ainsi ou on va la perdre!

NICOLAS	Tout ce qu'on peut faire c'est attendre et garder la foi.

VICTORIA	(h___\)

NOHEMI	Allons vite à la cuisine.

VICTORIA	Milagro! (respis) Je veux que tu m'accompagnes. Nicolas, toi tu vas chercher Trinidad, on sera dans la cuisine. Avance.

(BOUCLE 10 - 00:07:56:08)
		10

REMEDIOS	(cris de douleur en off)

VICTORIA	Qu'est-ce que c'est?

MILAGRO	C'est une infusion qui aidera à atténuer la douleur. Et cette chose, c'est une pâte qu'il faudra appliquer sur l'hématome.

NICOLAS	Et alors, keske tu attends? Pardon, mais ces cris... Ca va la soulager?

MILAGRO	Il n'y a qu'un moyen de le savoir, monsieur. En route.

REMEDIOS	(crie de plus belle)

(BOUCLE 11 - 00:08:28:05)
		11

REMEDIOS	(cris de douleur) (sanglots____________) Ah______ pleure__________________

ISABEL2	Qu'est-ce qu'il y a?

REMEDIOS	J'ai l'impression d'être ouverte en deux de la hanche jusqu'au pied!

ISABEL2	Sur une échelle de un à dix, comment est la douleur?

REMEDIOS	(gémit et pleure______________________________) Vingt-et un___!

ISABEL2	Du calme, Remedios.

REMEDIOS	(pleure________________)

ISABEL2	Sht___ sht____ Détendez-vous.

REMEDIOS	(halète)

ISABEL2	Ma mère me chantait toujours une chanson pour m'aider à supporter la douleur, est-ce que vous voulez que je vous la chante?

REMEDIOS	(gémit et pleure_________________________)

ISABEL2	D'accord.

REMEDIOS	(h___/)

ISABEL2	(h_/)

REMEDIOS	Ah________pleure_________________

ISABEL2	Quand ton coeur est empli de peine et de douleur__,

REMEDIOS	(halète) (halète____)

ISABEL2	pense à moi_____

REMEDIOS	Ah_______

ISABEL2	Sch__t Pense à moi__!

REMEDIOS	Non______ Hh______

ISABEL2	Quand__ ton-

REMEDIOS	Isabelita, au lieu de chanter faites plutôt venir un médecin!

VICTORIA	Nicolas, aide-moi à la redresser!

REMEDIOS	Ah______

VICTORIA	Trinidad, aide-nous!

REMEDIOS	Non__! Ne me touchez pas, par pitié!

VICTORIA	Si!

REMEDIOS	(gémissements et pleurs__________)

VICTORIA	Tu dois boire la tisane de Milagro, ça calmera ta douleur.

REMEDIOS	Je vous en supplie, laissez-moi mourir une bonne fois pour toutes!

VICTORIA	Remedios, ne dis pas n'importe quoi, il est hors de question qu'on te laisse mourir!

REMEDIOS	Ah... (pleure______________)

VICTORIA	Vas-y.

REMEDIOS	Mh_________ Mhhh________ mh____________ mh____________

VICTORIA	Trinidad, viens lui tenir les mains! Passe-moi ça, Milagro.

REMEDIOS	(h_/)

VICTORIA	J'vais le faire.

REMEDIOS	(pleure bouche fermée____________________________________________________)

ISABEL2	Ohhh___ bon, pousse-toi et laisse-moi faire! Ma grand-mère m'obligeait souvent à boire des potions.

REMEDIOS	(h_/) Ah______________ hh________

VICTORIA	Ca n'fonctionne pas!

REMEDIOS	(hurle et pleure______________________________________________________)

MILAGRO	Mais cette dose endormirait un cheval!

ISABEL2	Allez, Remedios!

VICTORIA	Fais-lui en boire encore!

REMEDIOS	(h___/)

MILAGRO	Mais elle va boire toute la tasse!

REMEDIOS	(pleure_______________________)

NICOLAS	Bon, ça suffit, poussez-vous!

REMEDIOS	(pleure__________________________________________________)

NICOLAS	Buvez ça et ne discutez pas si vous voulez rester en vie! Buvez tout. C'est ça.

REMEDIOS	(h_/) (h_/)

NICOLAS	Tiens.

REMEDIOS	(h_/)

NICOLAS	(h___/)

REMEDIOS	(h_\)

NICOLAS	On dirait que ça a marché.

VICTORIA	(h___\) (h___\) Merci.

NICOLAS	Il ne reste plus qu'à attendre le docteur Lopez. Tout va rentrer dans l'ordre. (smack)

(BOUCLE 12 - 00:10:09:16)
		12

CATALINA	Ce ne sont pas tes convictions politiques que je remets en question.

INSERT	Honda__

CATALINA	Je t'ai toujours soutenu dans ton combat pour l'égalité des droits.

FELIPE	Alors dans ce cas, qu'est-ce qui te dérange?

CATALINA	La façon dont tu agis! Tu ne peux pas continuer à t'exposer comme tu le fais dans des émeutes et à atterrir dans une cellule! Regarde dans quel état tu rentres. Est-ce que tu vas enfin me dire qui est cet homme?

FELIPE	(h___/) Il s'appelle Julio Vallejo. Il m'a été d'une grande aide en prison. Sans cet homme, je serais probablement mort à l'heure qu'il est.

CATALINA	Il était là-bas avec toi?

FELIPE	Je te l'ai dit.

CATALINA	Comment il est sorti?

FELIPE	Grâce à moi.

CATALINA	Ils ont accepté de libérer un esclave?

FELIPE	(h_\)

CATALINA	Non, réponds-moi. (h_/) Tu ne l'as pas fait évader? Dis-moi que tu ne l'as pas fait s'échapper!

FELIPE	Je n'avais pas d'autre choix!

CATALINA	Mais je t'avais dit de ne plus t'attirer de problèmes, et toi keske tu fais? Tu dilapides notre argent pour payer leur cautions et tu finis enfermé avec eux!

FELIPE	Calme-toi!

CATALINA	Et maintenant, tu fais évader des criminel et tu les amènes chez nous!

FELIPE	Mais Julio n'est pas un criminel!

CATALINA	Ah oui, et comment tu le sais?

FELIPE	Parce que les criminels sont ceux qui portent l'uniforme, tu le sais, pourtant.

CATALINA	Ce que tu peux être radical. A t'entendre on croirait que la couleur de peau est la seule chose qui différencie un innocent d'un coupable!

FELIPE	Comment peux-tu penser ça de moi?

CATALINA	J'ai bien vu comment tu as dédié ta vie aux esclaves! Et j'étais avec toi à cent pour cent! Mais tu dépasses les limites, Felipe.

MIGUEL	(h_/)

CATALINA	Ca suffit.

FELIPE	Tu l'as réveillé.

MIGUEL	(halète)

FELIPE	Julio, Julio. Julio. Où est-ce que tu vas?

(BOUCLE 13 - 00:12:00:22)
		13

CATALINA	Il ne faut pas qu'on le voie ici!

MIGUEL	(halète)

FELIPE	Julio! Julio, Julio Julio Julio, où est-ce que tu vas? Julio! (h_/) (h_\) (h_/) Calme-toi, tu es dans ma maison! Je t'ai fait évader de ta cellule, tu te rappelles?

MIGUEL	J'apprécie votre hospitalité, mais je dois me rendre à Santa Marta immédiatement.

FELIPE	C'est impossible Julio, tu es blessé, tu dois te reposer et personne ne doit te voir sortir de chez moi!

MIGUEL	Non, s'il vous plaît.

CATALINA	Vous n'comprenez pas, mon frère aura de graves ennuis si quelqu'un vous voit vous promener dans la rue! Ne soyez pas stupide! Non, excuse-moi, Felipe, mais je trouve ce jeune homme particulièrement ingrat!

MIGUEL	Excusez-moi, mais c'est important. (Hh__ Hh__ Hh__)

CATALINA	Felipe!

FELIPE	Julio! Julio! Julio. Oh mon Dieu. Aide-moi à le relever.

CATALINA	Apporte-lui de l'alcool!

(BOUCLE 14 - 00:12:49:22)
		14

MILAGRO	(h_/) J'ai quelque chose à te dire au sujet de Morales.

VICTORIA	Excuse-moi Milagro mais en ce moment, tout ce qui m'intéresse, c'est Remedios.

MILAGRO	Tu n'as plus envie de mettre ton plan à exécution?

VICTORIA	Bien sûr que si! Pourquoi eske tu m'demandes ça?

MILAGRO	Parce que j'ai vu la façon dont Nicolas te touche. Et tu n'as pas reculé d'un pas.

VICTORIA	Milagro, je dois continuer à jouer la comédie jusqu'au bout.

MILAGRO	Tu es sûre que tu sais ce que tu fais? Parce que cet homme est un fin manipulateur.

VICTORIA	Il a beau m'avoir soutenue auprès de Remedios, ça n'effacera pas tout le mal qu'il a fait à ma famille! Et à mon peuple.

MILAGRO	Alors écoute bien ce que je vais dire. Je n'sais pas en quoi ça nous aidera, mais Morales est mort de trouille. A chaque fois que Candela évoque la famille Quintero, Morales devient blanc comme un linge.

VICTORIA	Tiens, ce monstre aurait-il un coeur, finalement?

MILAGRO	Je crois que oui. Tu crois que ça va pouvoir t'être utile?

(BOUCLE 15 - 00:13:47:02)
		15

CATALINA	Je veux qu'il quitte cette maison dès qu'il reviendra à lui.

FELIPE	Pourquoi es-tu si dure avec lui?

CATALINA	Peut-être simplement parce que la vie l'a été avec nous. Je ne ferai plus jamais confiance aux gens, et encore moins à ceux qui sont vulnérables.

FELIPE	(Nasal__\)

CATALINA	As-tu oublié ce qu'a subi notre père pour avoir fait confiance à un inconnu?

FELIPE	Non, mais ce n'est pas pour ça qu'il faut voir le mal partout.

CATALINA	Eh bien moi je préfère voir les choses ainsi. Par pur souci de protection. (h___/) Cet homme nous cache quelque chose. Appelle ça comme tu voudras, l'intuition, la méfiance, ça n'a pas d'importance. Mais je veux qu'il quitte cette maison avant de nous prouver que j'ai raison.

(BOUCLE 16 - 00:14:48:03)
		16

DR ARTURO LOPEZ	Je suis vraiment désolé, mais sa hanche est brisée.

VICTORIA	Oh Seigneur, et c'est grave?

DR ARTURO LOPEZ	C'est très sérieux, oui. (h_/) Les statistiques ont montré qu'un pourcentage élevé des patients atteints de cette fracture finit par succomber.

VICTORIA	Quoi?! Non! (h_\)

DR ARTURO LOPEZ	Le seul traitement connu à ce jour consiste à... équiper la patiente d'une sorte d'appareil orthopédique, afin de l'immobiliser complètement et durablement. L'inconvénient, c'est que ce procédé est impuissant pour empêcher une éventuelle infection, et il peut provoquer une obstruction des veines et des artères. Ce qui entraînerait la mort de la patiente.

VICTORIA	(h_/)

DR ARTURO LOPEZ	Et il y a autre chose qu'il faut que vous sachiez.

VICTORIA	(snif)

DR ARTURO LOPEZ	Dans l'hypothèse où... Remedios survivrait malgré ces très faibles chances, elle ne pourra jamais avoir d'enfant.

GENERAL	(h___________________/)

DR ARTURO LOPEZ	Enfin, disons qu'elle pourra tomber enceinte mais que...

VICTORIA	(h_\) (snif) (snif)

DR ARTURO LOPEZ	elle en mourra.

VICTORIA	Quoi? (h_\)

DR ARTURO LOPEZ	Croyez-moi je... je suis navré.

NICOLAS	Merci, Arturo.

GENERAL	Bon, eh bien.. si jamais je peux faire quoi que ce soit, ou si la demoiselle a besoin de quelque chose, envoyez-moi un messager. Madame la marquise, je vous souhaite une bonne nuit.

VICTORIA	Bonne nuit, Général.

ALONZO	Bonne nuit.

GENERAL	Nicolas.

DR ARTURO LOPEZ	Nicolas, tu veux bien venir dans la chambre avec moi un moment pour que je puisse te donner des instructions?

(BOUCLE 17 - 00:16:51:12)
		17

DR ARTURO LOPEZ	Ca, c'est du chloroforme. Vous allez devoir le maintenir sous ses narines pour qu'elle ne se réveille pas. Cela lui évitera d'avoir à ressentir la douleur. Je reviendrai demain avec le matériel pour commencer le traitement.

VICTORIA	Hein? Comment ça, demain? Non non, ça n'peut pas attendre!

DR ARTURO LOPEZ	Si, ça devra attendre parce que les routes sont très dangereuses à cette heure et... je n'ai pas ce corset à la maison. Aidez-moi, jeune fille. Autre chose, faites attention avec le chloroforme. Si vous en abusez, elle souffrira d'effets secondaires. Elle risque d'avoir un réveil agité et c'est justement ce que nous voulons éviter. Je vous souhaite une bonne soirée.

NICOLAS	Je vais te raccompagner. Isabel, chérie, va dans ta chambre.

ISABEL2	Mais je voulais l'aider!

NICOLAS	Je t'interdis de discuter mes ordres.

ISABEL2	(Nasal__\)

NICOLAS	Fais ce que je te dis.

VICTORIA	Pardonne-moi... Pardon. (smack)

(BOUCLE 18 - 00:18:04:09)
		18

DR ARTURO LOPEZ	Je te conseille de me payer maintenant si tu ne veux pas avoir d'ennuis à l'avenir.

SIERVO	(réacs panique)

NICOLAS	Oui, je vais te payer. Accompagne-moi dans mon bureau. J'espère que ceci nous réconciliera.

DR ARTURO LOPEZ	Il faudra quand même ajouter à ça le prix de l'appareil orthopédique. Et je te préviens, il est élevé.

NICOLAS	Je n'ai jamais eu de problèmes d'argent et tu le sais parfaitement. (h_/) Je te règlerai ça demain. (h_/) Je pensais que nos griefs s'étaient réglés avec la mort de mon esclave Miguel, mais je vois que ce n'est pas le cas.

DR ARTURO LOPEZ	Nicolas, je suis ici parce que le serment d'Hippocrate m'y oblige. Et oui, tu as raison. (h_/) Après tout ce qui s'est passé, notre relation ne sera plus jamais la même.

NICOLAS	Suis-je coupable de ce que font les esclaves?

DR ARTURO LOPEZ	Non.

NICOLAS	Dans ce cas, qu'ai-je donc fait de si terrible que tu ne puisses oublier?

DR ARTURO LOPEZ	Nicolas, je n'arrive pas à croire que tu aies encore l'audace de me demander ce que tu as fait pour me mettre en colère. Tu as peut-être eu l'impression que tu me traitais avec respect? Ca ne t'a pas effleuré l'esprit que tu m'avais humilié au sujet de mes compétences professionnelles? Et je préfère ne pas mentionner le peu d'implication que tu as mis au service de notre cause.

NICOLAS	Tu crois que le moment est bien choisi pour parler de ça? (h_/) Arturo, je te considère comme ma famille. Tu soignes ma fille depuis qu'elle est née, et malgré ton erreur de jugement, il me semble que je ne t'ai pas fait de repproche.

DR ARTURO LOPEZ	Certaines maladies nécéssitent un long temps d'observation pour les comprendre. Et c'est le cas pour Isabelita.

NICOLAS	Bien. Comment va ton fils?

DR ARTURO LOPEZ	Il est manchot. Et je me fiche que tu aies tué l'animal qui lui a fait ça. Ca ne lui rendra pas sa main.

NICOLAS	Je suis vraiment désolé, mais malheureusement il n'y a rien que je puisse faire.

DR ARTURO LOPEZ	Si, il y a bien une chose que tu peux faire.

NICOLAS	De quoi il s'agit?

DR ARTURO LOPEZ	Tu as raison, le moment est mal choisi. Mais je te ferai part de ma proposition, et j'espère que ce jour-là, tu ne refuseras pas.

(BOUCLE 19 - 00:21:14:18)
		19

SIERVO	(tousse/effort__) Je suis désolé de te décevoir et de revenir les mains vides, mais c'était difficile. Je l'ai échappé belle.

TOMAS	Tu crois qu'on... qu'on réussira la prochaine fois, Siervo?

SIERVO	Tomas. Je ne crois pas qu'il y aura une prochaine fois.

TOMAS	(Nasal__\) En tous cas je te remercie d'avoir accepté de courir ce risque.

SIERVO	J'ai bien failli mourir de peur, crois-moi. J'ai entendu leurs voix, et... mon sang s'est glacé dans mes veines. Je n'ai pas envie de quitter ce monde.

TOMAS	Tout est vraiment fichu, maint'nant.

SIERVO	Oh! Attends. (h___/) Quand j'étais encore dans le bureau, j'ai parfaitement entendu le docteur Lopez parler à notre maître de quelque chose... qu'il lui demanderait un jour pour servir leur cause.

TOMAS	Comment ça? Quelle cause?

SIERVO	J'en sais rien. La seule cause que je connaisse, c'est la nôtre. La rébellion des Noirs. Je n'ai aucune idée du genre de cause dont peuvent bien parler les Blancs.

(BOUCLE 20 - 00:22:27:18)
		20

ALONZO	Tu as du talent, Gabriel. (rire bouche fermée________)

GABRIEL	(h_/) Merci beaucoup, Alondzo.

GENERAL	Si tu comptes t'obstiner dans cette voie et devenir un fichu danseur de cabaret, tu sais déjà où se trouve la porte. Je ne permettrai jamais qu'un de mes enfants ne soit qu'un musicien.

ALONZO	(h___\) Ce n'est pas la peine d'être aussi cassant, père.

GENERAL	Tu es prévenu. La balle est dans ton camp. Soit tu arrêtes ces bêtises, soit tu dégages de ma maison.

GABRIEL	Je ne ferai pas de choix ce soir, père. Nous aurons tout le temps d'en parler.

GENERAL	Je me demande bien où on parlera, parce que si tu passes cette porte ce n'est plus la peine de remettre un pied dans cette maison! A moins que tu ne décides de changer d'avis. Sans quoi tu ne seras plus mon fils, est-ce que bien clair?

GABRIEL	(h___/) (Nasal__\) Merci, Jesus.

(BOUCLE 21 - 00:23:36:03)
		21

MILAGRO	Qu'est-ce qui s'est passé, Victoria? Comment est-ce qu'elle s'est blessée? Pourquoi lui as-tu demandé pardon?

VICTORIA	Ce qui lui est arrivé est ma faute.

MILAGRO	Pardon?

NICOLAS	Comment va Remedios?

VICTORIA	Elle est calme.

NICOLAS	Dans ce cas, Milagro peut rester avec elle. J'aimerais que tu viennes avec moi, mon amour.

(BOUCLE 22 - 00:24:26:06)
		22

NICOLAS	(h_/) Je n'veux pas que nous passions notre nuit de noces chacun dans notre chambre.

VICTORIA	Qu'est-ce que tu espères? Après ce qui est arrivé à ma dame de compagnie, je n'ai pas la tête à autre chose. Je veux être auprès d'elle et la soutenir dans ce moment difficile.

NICOLAS	Bon, alors je n'insiste pas. Tu peux rester auprès d'elle.

VICTORIA	Merci.

NICOLAS	(h___/) Lucia, pourquoi lui as-tu demandé de te pardonner?

VICTORIA	Quoi? Je n'vois pas c'que tu veux dire.

NICOLAS	Je t'ai entendu lui parler avant de sortir de la chambre. Tu lui as demandé pardon.

VICTORIA	C'est vrai. (h_/) Pour l'avoir amenée dans un endroit où il n'arrive que des malheurs.

NICOLAS	(h_/) Tout ira bien, mon amour. (h_/) Nous allons offrir à ta chère Remedios le meilleur traitement possible. Elle s'en remettra. (h_/) Et je dis "nous" parce qu'à partir d'aujourd'hui, ce qui est à moi est à toi. D'accord?

VICTORIA	Oui. Merci.

NICOLAS	(smack)

(BOUCLE 23 - 00:25:45:18)
		23

GABRIEL	Sincèrement, je ne sais pas comment te payer, je suis vraiment sans le sou, Jésus.

JESUS	Je ne t'ai pas demandé d'argent, alors ne t'en fais pas pour ça, mon ami. On verra ça quand tu pourras. Et ne me dis pas que le matelas est trop dur, parce qu'il est très bien!

GABRIEL	Non, non, tout est parfait. Mais que va dire ta soeur? La pension est à elle, non?

JESUS	Et aussi à moi. Ne te torture pas, tu penses trop! Repose-toi, je discuterai avec ma soeur demain matin, je sais comment il faut la prendre. A demain!

GABRIEL	Bonne nuit.

(BOUCLE 24 - 00:26:20:22)
		24

MORALES	Allez, bougez-vous, bande d'incapables! Qu'est-ce que je viens de dire? Allez, on s'active!!

(BOUCLE 25 - 00:26:26:08)
		25

VICTORIA	(Nasal__/)

REMEDIOS	(légères repirations) (Nasal__\) (Nasal__/)

VICTORIA	Remedios! (h_\) Je suis contente de te voir réveillée, je me suis tellement inquiétée!

REMEDIOS	Merci d'avoir pris soin d'moi. Je me souviens d'avoir hurlé comme une furie, puis d'avoir dormi comme un bébé. Tout ça n'était pas très cohérent.

VICTORIA	Comment est-ce que tu te sens?

REMEDIOS	J'ignore ce que j'ai fait de mal dans une autre vie mais je le paie très cher. Et que Dieu me pardonne parce que- (h___/) ce n'est pas une pensée très pieuse.

MILAGRO	Mademoiselle, vous devriez boire cette potion. Ca calmera la douleur. Un tout petit effort.

REMEDIOS	Aïe.

MILAGRO	Voilà, c'est très bien.

REMEDIOS	Mh... (h_\) (h_\) Qu'a dit le docteur? Est-ce que je pourrai bientôt sortir de ce lit?

VICTORIA	Ta convalescence sera longue. Il va falloir qu'on s'arme de patience.

REMEDIOS	(h_\) Mais il y a autre chose, n'est-ce pas? Je t'en prie, ne me cache rien.

VICTORIA	Apparemment, ta hanche est brisée, et il se pourrait bien que tu ne puisses pas avoir d'enfant.

REMEDIOS	(en pleurant) Ca n'fait rien, mon amie. Si Dieu m'envoie cette épreuve c'est forcément que je peux la surmonter. J'ai confiance en notre Seigneur.

VICTORIA	Mais ce n'est pas tout, Remedios.

REMEDIOS	Comment ça, pas tout? Je vais rester paralysée?

VICTORIA	Non. Ca on n'en sait rien pour le moment.

REMEDIOS	Dis-moi ce que c'est, Victoria, tu me fais peur.

VICTORIA	(h_/) Je suis responsable de ce qui t'est arrivé.

REMEDIOS	Comment ça?

VICTORIA	(h_/) J'ai versé de l'huile sur le sol pour faire tomber Nicolas, mais c'est toi qui es tombée à sa place et je n'ai rien pu faire pour t'en empêcher. (h_/)

REMEDIOS	(snif)

VICTORIA	Je suis vraiment désolée, Remedios, crois-moi j'aimerais revenir en arrière.

REMEDIOS	Sors d'ici, Victoria. S'il te plaît. J'ai dit va-t'en, je ne veux plus te voir! (pleure)

MILAGRO	Je vous en supplie, parlez moins fort, il ne faut surtout pas que le maître nous entende.

REMEDIOS	Va-t'en! Laisse-moi tranquille, Victoria, je ne veux plus jamais t'adresser la parole tu m'entends! (h___/) (pleure) (h_\) (souffle__) (h_/)

VICTORIA	Pardonne-moi.

REMEDIOS	(gémit) (h___/) (pleure_____________)

(BOUCLE 26 - 00:28:54:02)
		26

MILAGRO	Madame la marquise! (halète) Madame la marquise! Victoria, pour l'amour du ciel, attends! Tu veux qu'ils aient tous une bonne raison de parler? Tu veux que tout l'monde sache ce qu'il s'est passé?

VICTORIA	C'est Nicolas qui était censé descendre cet escalier, et non Remedios!

MILAGRO	Ce sont des choses qui arrivent, chaque vengeance a un prix à payer.

VICTORIA	(h_\)

MILAGRO	Tu pourrais recommencer?

