PIRATE	THE GOLD IS OURS!								

PIRATE	ATTACK!
GERDA	WOW, KAI! YOU DREW THIS? THANK YOU! IT'S BEAUTIFUL! IT’S AMAZING!

GERDA	BUT YOU WERE SO LITTLE THE LAST TIME YOU SAW THEM. HOW DID YOU REMEMBER WHAT THEY LOOKED LIKE? 

KAI	SOMETIMES I SEE THEM IN MY DREAMS.

GERDA	OH KAI, THANK YOU.

TEACHER	WE HAVE VERY SPECIAL GUESTS HERE TODAY, CHILDREN! HERE THEY ARE, THE FAMOUS DEFEATERS OF THE SNOW QUEEN, THE SIBLING LEGENDS, GERDA AND KAI!

GERDA	AND THAT’S HOW WE DEFEATED THE SNOW QUEEN!

SCHOOL KIDS	HOORAY! HOORAY!

GERDA	OUR PARENTS WOULD BE PROUD OF US NOW.

TEACHER	KIDS, YOU HAVE FIVE MINUTES TO TALK WITH OUR HONORED GUESTS.

SCHOOL KIDS	HURRAH! AWESOME!

SCHOOL KIDS	U-HU! KAI IS SO GREAT! I LOVE KAI! OH! YES! KAI! KAI!

GERDA	PLEASE, I’M AFRAID YOU’RE SQUEEZING IN A LITTLE TOO TIGHT! PLEASE GIVE US SOME SPACE!

SCHOOL KIDS	CAN I HAVE YOUR AUTOGRAPH? HEY QUIT SHOVING! I GOT HERE FIRST! SIGN MINE, KAI!

DIM-WITTED KID	I WANT AN AUTOGRAPH, TOO!

TEACHER	SO ADORABLE!

SCHOOLGIRLS	WHERE’S HE GOING?! WHERE’S HE GOING?! I LOVE YOU THE MOST KAI! NO, I’M THE ONE WHO LOVES YOU THE MOST! WAIT! WAIT!

KAI	GO, GO, GO!

SCHOOLGIRL #1	I GOT A LOCK OF HIS HAIR! 

SCHOOL KIDS	GIVE ME THAT! GIVE ME THAT! I WANT THAT!

TEACHER	WAIT! STOP!

TEACHER	YOU FORGOT YOUR PAYMENT! 

TEACHER	HERE YOU ARE! YOU GAVE SUCH A GREAT PERFORMANCE!

KAI	LOOKS LIKE WE’LL GO WITHOUT DINNER TONIGHT.

KAI	REMEMBER, THEY CAN’T DESTROY OUR MEMORIES, AND THIS... LET ME FIX IT.

GERDA	TOUGH LUCK! OKAY, WHAT’S NEXT?

GERDA	TOMORROW WE’RE SPEAKING AT ANOTHER GRADE SCHOOL IN THE COUNTRYSIDE. AND AFTER THAT...

KAI	LET ME SEE THAT.

GERDA	KAI! 

KAI	TRAVELING AROUND FROM TOWN TO TOWN, FOR PEANUTS! THIS WOULDN’T BE HAPPENING TO US IF OUR PARENTS WERE AROUND, YOU CAN BE SURE OF THAT!

GERDA	BUT WE DON’T HAVE PARENTS ANY MORE.

GERDA	WHAT ELSE WOULD WE DO? WHERE WOULD WE GO?

KAI	I’VE ALREADY THOUGHT EVERYTHING THROUGH. WE’LL STAY WITH ORM FOR AWHILE! HE'LL BE HAPPY TO HAVE US OVER, AND THE OTHER TROLLS DON'T REALLY CARE WHO WE ARE. NO ONE WILL EVER PLAY NASTY TRICKS ON US, OR TEAR US APART FOR SOUVENIRS!

GERDA	STAY WITH ORM? 

KAI	YEAH, WE’LL STAY WITH HIM AND THEN DECIDE WHAT TO DO NEXT.

GERDA	I GUESS IT COULD WORK. BUT IF YOU DIDN’T LIKE THE WAY WE LIVED, WHY DIDN’T YOU SAY SO BEFORE? 

KAI	I TRIED! YOU JUST DIDN’T LISTEN.

GERDA	OH, KAI, I-- AAAH!!

DRIVER	HEY!!

GERDA	LOOKS LIKE WE’RE WALKING TO ORM’S.

KAI	CHEER UP! JUST THINK OF THE COOL LIFE WE’LL HAVE THERE, AND COOL PLACE TO STAY. AND NO MORE SNOW QUEEN STORIES! PROMISE ME!

GERDA	I PROMISE.

KAI	NO ONE WILL KNOW WHO WE REALLY ARE, SO LET’S KEEP IT THAT WAY! I THINK WE EVEN NEED TO CHANGE OUR NAMES.

GERDA	CHANGE OUR NAMES? WHY?

KAI	WE NEED SIMPLE AND UNASSUMING NAMES. HOW ABOUT HANSEL AND GRETEL? WE’RE REGULAR KIDS, NOT SOME LEGENDS!

GERDA	OR EVEN BETTER, HOW ABOUT PIRATE NAMES? YOU CAN BE CUTTHROAT CARL, AND I’LL BE--

KAI	PIRATES!

GERDA	KAI, WHAT ON EARTH ARE YOU DOING?!

KAI	SOMETIMES ALFIDA GOES OUT SKIING IN THIS AREA! SHE KNOWS MY SIGNAL! 

KAI	WITH ANY LUCK, SHE’LL SEE US!

GERDA	ALFIDA? THE PIRATE GIRL?

ALFIDA	KAI! 

GERDA	SO THIS IS WHAT YOU MEANT BY SKIING?! AMAZING!

ALFIDA	LOOKS LIKE YOU LUBBERS COULD USE A LIFT! CLIMB ABOARD!

ALFIDA	WHAT ARE YOU DOING HERE? DID YOU FINALLY DECIDE TO BECOME PIRATES?

KAI	NO WAY! YOU WILL TAKE US TO ORM’S? 

ALFIDA	SURE. I’M ALL FREE NOW, I’M ON MY HOLIDAY.

ORM	WHA ?! HMM!

ORM	I’LL GET YOU!

ORM	HUH?

ORM	ARRGGHH!

KAI	AND ORM DOESN’T FEEL BORING HERE!

GERDA	LUTA!

ALFIDA	HI ORM!

ORM	KAI! GERDA! ALFIDA! MY OLD FRIENDS!

GERDA	NICE PLACE YOU’VE GOT HERE!

ALFIDA	BY THUNDER, THIS IS A RIGHT AWESOME CABIN!

ORM	YEAH, WELL, GRANDMA BECAME THE QUEEN! AND NOW I HAVE SOME RELATIVES I DIDN’T KNOW ABOUT BEFORE!

KAI	I’M OFF TO THE MOUNTAINSIDE. I WANT TO PAINT THE LANDSCAPE IN THE MOONLIGHT.

ROLLAN	BUENAS TARDES!

ORM	HEY! DIDN’T ANYONE TEACH YOU TO KNOCK FIRST?

ROLLAN	SORRY, ORM, BUT YOU PROMISED TO TELL ONE MORE LEGEND.

ORM	SURE, COME ON IN. MEET GERDA, ALFIDA AND KAI. 

ORM	GUYS, THIS IS ROLLAN.

ROLLAN	HOLA, AMIGOS.

GERDA	HI.

GERDA	SO YOU’RE FROM SPAIN? HOW DID YOU END UP HERE?

ROLLAN	THIS PIRATE LADY GAVE ME A BOOK THAT OPENED MY EYES AND CHANGED MY LIFE! I’M FASCINATED BY LEGENDS! SO I CAME HERE, TO THE LAND OF THE LEGENDS! EVERYONE KNOWS THAT TROLLS ARE FAMOUS FOR THEM!

ALFIDA	PIRATE LADY? OH, THAT WAS MY MOM. SHE TOLD ME ALL ABOUT YOU. “THE LEGEND FANATIC.” 

ALFIDA	THE PIRATES STILL LAUGH ABOUT IT.

ROLLAN	I BELIEVE THE OLD SAYING: “WHERE’S THERE’S SMOKE, THERE’S FIRE!” LEGENDS DO EXIST! THEY’RE ALL AROUND US!

ROLLAN	GERDA AND KAI ARE SUCH BEAUTIFUL NAMES, STRAIGHT FROM THE LEGEND ORM ONCE TOLD ME. 

KAI	ACTUALLY, OUR NAMES ARE VERY COMMON WHERE WE COME FROM.

GERDA	ORM TOLD YOU? HOW INTERESTING! WHAT LEGEND IS THAT? TELL US!

ROLLAN	FINE, THEN. LISTEN TO MY PERSONAL FAVORITE, WHICH IS ABOUT GERDA, WHO SAVED ALL THE TROLLS FROM THE SNOW QUEEN!

ROLLAN	REMEMBER A COUPLE OF YEARS AGO, WE HAD A VERY LONG WINTER, AND NOBODY KNEW WHY? SOMEONE BLAMED A GLOBAL COLD SNAP, SOMEONE ELSE, A CONSPIRACY OF SLED AND SKI SELLERS. BUT INDEED, THAT WAS THE DOING OF THE MIGHTY SNOW QUEEN!

KAI	NO WAY! REALLY?

ROLLAN	SI, MI AMIGO! AND WE WOULD ALL HAVE BEEN FROZEN, IF IT WERE NOT FOR THE TWO HEROES - GERDA AND KAI. 

GERDA	WOW!

ROLLAN	SO HERE’S HOW THE STORY GOES...

ROLLAN	AND THEN GERDA LEAPED ON THE SNOW QUEEN AND YELLED “ABRACADABRA!”

ROLLAN	THEN GERDA GRABS THE SNOW QUEEN BY THE COLLAR, REALLY LETS HER HAVE IT!

ROLLAN	AND THE SNOW QUEEN IS LIKE “OH, LITTLE GERDA, PLEASE DON’T KILL ME!” AND GERDA SAYS, “YOU KIDNAPPED MY BROTHER, YOU FROZE MY PARENTS, I WILL DESTROY YOU!” AND SHE BEAT HER WITH MAGIC, MAGIC AND MORE MAGIC!

ROLLAN	ABRACADABRA! SKORIKY-YORIKY!

ALFIDA	GERDA LOOKS AT ROLLAN WITH ADMIRATION.

ROLLAN	...THEN GERDA THROWS THE SNOW QUEEN RIGHT UP INTO THE SKY! NOW THERE SHE IS, THE NORTH STAR!

GERDA	WOW, THAT’S AMAZING! WHAT WAS THERE BEFORE THE NORTH STAR?

ROLLAN	UMMM...

ORM	I’LL GO GET SOME FIREWOOD. IT’S GETTING PRETTY CHILLY IN HERE.

GERDA	ORM?!

ORM	WHAT?!

GERDA	WERE YOU TROLLING HIM?

ORM	WHY ARE YOU BLAMING ME? TROLLS ALLOVER OUR KINGDOM COMPETE TO COME UP WITH THE FUNNIEST LEGEND TO TELL THE NEW GUY IN TOWN.

ORM	I’M SORRY, ROLLAN.

ROLLAN	OH, WHAT A FOOL I WAS!

ROLLAN	WAIT! HOW DO YOU KNOW THIS LEGEND ISN’T REALLY TRUE? ARE YOU THE VERY SAME LEGENDS FROM THE STORY?

ROLLAN	ARE YOU THE UNBELIEVABLE MIX OF AWESOMENESS AND POWER THAT THEY CALL KAI?!

ROLLAN	AND ARE YOU GERDA, THE MOST BEAUTIFUL AND HEROIC GIRL IN THE ENTIRE WORLD?

GERDA	YES!

KAI	NO!

GERDA	YES!!

KAI	NO! YOU PROMISED!

GERDA	YES! I PROMISED, BUT LYING ISN’T RIGHT!

KAI	ARE YOU CALLING ME A LIAR? BOTH YOU AND I DECIDED TO KEEP IT A SECRET, REMEMBER?

GERDA	HE ASKED A SIMPLE QUESTION, SO I GAVE HIM A TRUTHFUL ANSWER!

KAI	I’VE HAD IT WITH PEOPLE LIKE HIM! NOW THEY’RE COMING ALL THE WAY FROM SPAIN TO LAUGH AT US! TO SEE THE CURIOSITIES! EVERYBODY THINKS THAT WE’RE LEGENDS, THAT WE LIVE THIS CHARMED LIFE! BUT WE DON’T! WE MOVE AROUND FROM TOWN TO TOWN LIKE VAGABONDS, ALL FOR CHUMP CHANGE! BUT NO MORE!

GERDA	THAT CHUMP CHANGE WAS ALL WE HAD TO LIVE ON. I CAN’T HIDE ANY LONGER, OR TELL PEOPLE LIES!

ALFIDA	STOP BICKERING, YOU TWO!

KAI	YOU’RE JUST A SELFISH NARCISSIST!

GERDA	AND YOU’RE JUST UNGRATEFUL!

KAI	ALL RIGHT, THEN GO! TELL EVERYONE ABOUT YOUR HEROIC FEATS! BUT WITHOUT ME!

GERDA	GOOD, MAYBE I WILL! BUT WHO’LL LOOK AFTER YOU?! LET’S FACE IT, YOU’RE PRETTY HELPLESS WITHOUT ME!

KAI	I DON’T NEED ANYONE TO LOOK AFTER ME! I DON’T NEED A SISTER!

GERDA	HUH! IF OUR PARENTS WERE HERE, YOU WOULD BEHAVE! 

KAI	BUT THEY AREN’T!

ALFIDA	WAIT! WHAT ARE YOU DOING?

KAI	I’M BUZZING OFF! AWAY FROM HERE!

ALFIDA	IT’S MY SHIP.

KAI	THEN HELP ME!

ROLLAN	I JUST DON’T UNDERSTAND HOW KAI CAN BEHAVE LIKE THAT! YOU SAVED HIS LIFE! IF SOMEBODY SAVED MY LIFE, I’D BE SERVING THEM PEELED GRAPES!

GERDA	I DON’T THINK KAI UNDERSTANDS HOW DIFFICULT IT WAS FOR ME TO MAKE ENDS MEET WITHOUT OUR PARENTS AROUND.

KAI	SHE DIDN’T CARE ABOUT MY OPINION.

ALFIDA	YOUR SISTER LOVES YOU! SHE TRAVELLED HALFWAY AROUND THE WORLD AND DEFEATED THE SNOW QUEEN IN ORDER TO SAVE YOU!

KAI	THAT WAS A LONG TIME AGO. SHE CHANGED A LOT SINCE THEN. NOW I THINK I’M JUST A BURDEN FOR HER.

GERDA	I TRIED TO PROVIDE A BETTER LIVING FOR THE BOTH OF US. BUT WITHOUT OUR PARENTS, I’M AFRAID I FAILED.

GERDA	KAI WAS EVERYTHING THAT I HAD.

KAI	FROM NOW ON, I CAN FEND FOR MYSELF! I’M LEAVING!

ALFIDA	HAVE YOU THOUGHT THAT THROUGH CAREFULLY?

KAI	YES. I THINK THAT IT WILL BE BETTER FOR THE BOTH OF US.

ROLLAN	I UNDERSTAND YOUR PAIN ABOUT YOUR PARENTS. YOU KNOW, I STUDY LEGENDS BECAUSE I’VE BEEN SEARCHING FOR MY LOST MOTHER, TOO.

GERDA	REALLY?!

ROLLAN	YES, IT’S STILL MY DEAREST WISH, TO SOMEDAY FIND HER. AND I THINK I CAN NOW! I KNOW HOW TO DO IT! BECAUSE THERE IS THIS TROLL LEGEND...

GERDA	WAIT! DID ORM TELL YOU THAT ONE, TOO?

ROLLAN	NO. LOOK AT THIS!

ROLLAN	IT’S CALLED THE WISHING STONE! IF A PERSON FINDS IT, AND MAKES THEIR DEAREST WISH UPON IT, IT WILL COME TRUE. I’VE BEEN SEARCHING FOR IT FOR A LONG TIME. THE TROLLS COULDN’T HELP ME, BECAUSE THEY DON’T KNOW WHERE IT IS.

GERDA	AMANA’S CAVES, LAKE GAO, THE TEMPLE... THE TROLLS ALL KNOW ABOUT THESE PLACES AS WELL. IT’S JUST FORBIDDEN TO GO THERE!

ROLLAN	FORBIDDEN?

GERDA	OF COURSE IT IS. YOU CAN GET CURSED, OR CAST SPELLS THERE, OR CAUSE TROUBLE TO THE WHOLE CITY, OR EVEN THE ENTIRE WORLD! 

GERDA	LET’S GO!

ROLLAN	WHERE?

GERDA	LET’S FIND THE WISHING STONE! YOU’RE NOT THE ONLY ONE WHO HAS A WISH TO MAKE! 

ROLLAN	BUT WHAT ABOUT ALL THE TABOOS AND CURSES?

GERDA	CHICKEN!

ROLLAN	I’D DO ANYTHING FOR MY MOTHER!

ROLLAN	IT WAS THE MOST AMAZING THING I’D EVER SEEN! I TOLD YOU THERE WERE THOUSANDS OF THEM! THEY WERE TINY SMALL ELEMENTS! THAT’S HOW IT WAS!

GERDA	THAT’S HOW IT WAS!

GERDA	THIS MIRROR HELPED ME TO DEFEAT THE SNOW QUEEN.

GERDA	COME ON.

ROLLAN	YOU COME ON.

GERDA	THAT’S IT. WE’RE NOT TOURISTS ANY MORE, WE’RE PROFESSIONALS.

SOLDIERS	…RIGHT... NOW DO WHAT YOU’RE SAYING AGAIN.

SOLDIERS	…RIGHT A MAN SAW... RIGHT… YOU KNOW… THAT’S ALL VERY SAD

ROLLAN	DO YOU KNOW HOW TO ICE SKATE?

GERDA	NO.

ROLLAN	DON’T WORRY, I’LL TEACH YOU.

SHAMAN	HEY, DASHALAN, DASHALAN.

ATTENDANTS OF THE FIRE CULT	HEY, DASHALAN... HEY, DASHALAN, DASHALAN.

ROLLAN	TWO STONES! THERE IS ONLY ONE IN THE LEGEND! AND WE HAVE TWO!

GERDA	IT LOOKS TOO OMINOUS TO BE THE WISHING STONE! DOESN’T IT?

ROLLAN	WHAT ARE YOU TALKING ABOUT? IT’S HERE TO SCARE THE TOURISTS. BUT WE’RE PROFESSIONALS!

ROLLAN	IT’S STUCK!

ROLLAN	MAYBE IT’S A TRAP?

GERDA	I DON’T SEE ANYTHING.

ROLLAN	I’LL CHECK IT OUT.

ROLLAN	WHAT THE--?

GERDA	ROLLAN!

ROLLAN	GERDA!

GERDA	WHAT’S GOING ON HERE?!

GERDA	ROLLAN! ROLLAN!

GERDA	ROLLAN, ARE YOU OKAY?

ROLLAN	I’M FINE! DON’T WORRY ABOUT ME! HOW ARE YOU?

GERDA	I’M FINE, TOO. I DON’T KNOW! WHAT’S GOING ON HERE?

ROLLAN	DO YOU SEE ANYTHING THERE AT ALL?

GERDA	YES, I FOUND SOMETHING!

ROLLAN	WHAT IS IT?

GERDA	I DON’T KNOW YET.

ROLLAN	WHAT’S GOING ON? GERDA?

ROLLAN	AAAAHH!

GERDA	MAYBE THIS?!

ROLLAN	OW! OUCH! AAAH! OW!

GERDA	ROLLAN, I’VE GOTTA GET YOU OUT OF THERE! HOLD ON!

GERDA	ROLLAN, ARE YOU OKAY?

ROLLAN	THANK YOU FOR SAVING ME.

GERDA	YOU’RE WELCOME.

GERDA	WOW!

ROLLAN	MAGNIFICO!

GERDA	IT’S SO BEAUTIFUL!

GERDA	HAVE YOU EVER HEARD OF THIS PLACE?

ROLLAN	NO.

GERDA	ME NEITHER.

ROLLAN	IT MEANS NO ONE EVER MADE IT OUT OF HERE ALIVE!

ROLLAN	UH! GERDA! LOOK! THE WISHING STONE!

ROLLAN	I CAN’T BELIEVE IT! WE DID IT! WE FOUND IT!

GERDA	DEAR WISHING STONE, PLEASE MAKE MY PARENTS COME BACK.

ROLLAN	GLACIEM. VERSUS. IGNIS!

GERDA	WHAT’S HAPPENING?

ROLLAN	I DON’T KNOW! 

SNOW QUEEN, FIRE KING	YOU SHALL BE HOT LIKE FIRE, YOU SHALL BE COLD LIKE ICE. THE EVIL FORCE INSIDE YOU WILL LIKE A SLAVE RESIDE. BUT THE MOMENT A STAR APPEARS IN THE VIEW THE EVIL FORCE WILL MAKE A SLAVE OUT OF YOU!

GERDA	THE SNOW QUEEN!

SNOW QUEEN	AS SOON AS THE FIRST STAR APPEARS IN THE VIEW MY REIGN OVER THE EARTH WILL START ANEW!

HIPPIE	I GUESS HE JUST DOESN’T LIKE REGGAE.

HIPPIE	I GUESS NO DUDES HERE LIKES REGGAE. 

GERDA	AAH!

GERDA	ROLLAN!

GERDA	ROLLAN, ARE YOU OKAY?

ROLLAN	I’M NOT SURE. 

ROLLAN	AAH!

GERDA	OH MY GOSH!

ROLLAN	AWESOME! 

ROLLAN	GERDA, IS IT YOU? I WAS AFRAID, YOU LOOK LIKE THE SNOW QUEEN! HOW DID YOU DO IT?

ROLLAN	WHAT? WHY ARE YOU LOOKING AT ME LIKE MY HEAD IS ON FIRE?

GERDA	WELL…

ROLLAN	AAAH!

GERDA	AAAH!

ROLLAN	WHAT’S HAPPENED TO US? IS IT NOT MY REFLECTION?

GERDA	THE STONE HAS SOMETHING MIXED UP! I JUST ASKED THE WISHING STONE TO MAKE MY PARENTS COME BACK!

ROLLAN	THOSE WERE YOUR PARENTS? YOU SHOULD’VE WARNED ME!

GERDA	DON’T BE STUPID. IT SEEMS THAT WAS THE SNOW QUEEN EMBODIED ME AND SOME KIND OF A FIRE DEMON GOT INTO YOU!

ROLLAN	IN ME? DEMON!? OH MY GOSH!

GERDA	WHAT ARE WE GOING TO DO?

ROLLAN	I DON’T KNOW!

GERDA	THIS LOOKS NOTHING LIKE OUR WISHES COMING TRUE! 

ROLLAN	WHAT NOW?

GERDA	A LONG TIME AGO, ORM USED TO BE THE SNOW QUEEN’S SERVANT. HE SHOULD KNOW WHAT HAPPENED TO US! HE’LL HELP US!

ROLLAN	ARE YOU SURE?

GERDA	ABSOLUTELY! AND IF I FIND OUT THAT HE TOLD YOU ABOUT THIS “WISHING STONE”, I’LL...

ROLLAN	GOT IT.

ORM	AAARGGHH!

DICTOR VOICE	UP! DOWN! UP! DOWN! UP! DOWN! VERY GOOD! NOW STRETCH! BACK STRAIGHT! JUST DOWN! NOW LET’S WORK THOSE GLUTES! AND ONE, TWO, ONE, TWO, ONE, TWO! SQUEEZE! YEAAH!

ORM	WHAT THE--?

RAHAT/LOKUM/TROLL-KIDS	HAHAHA! OH, THIS FEELS GREAT!

TROLL-KIDS	UNCLE ORM! UNCLE ORM!

RAHAT	HEY THERE, BUDDY! COME ON IN!

LOKUM	AWESOME!

ORM	WHAT’S THAT SMELL?

RAHAT	I DIDN’T DO IT!

LOKUM	ME NEITHER!

ORM	AND WHO?

ROLLAN	DO YOU THINK WE ARE STILL IN THE FORBIDDEN AREA?

GERDA	NO IDEA! KEEP QUIET!

SHAMAN	YOUR MAJESTY, THE CELEBRATION MUST BE CANCELLED! AND WE HAVE TO THINK OF HOW TO SAVE OUR LIVES!

KING ARROG 	THERE IS NO ESCAPING YOUR DESTINY! WE CAN’T SPREAD PANIC!

SHAMAN	BUT SOMEBODY DARED TO AWAKEN THE ANCIENT CURSE OF GAO LAKE! THE WHOLE WORLD IS IN DANGER!

ARROG	LONG AGO MY GRANDFATHER DIED ON THE BATTLEFIELD, TRYING TO FIGHT THE LAKE’S CURSE.

ARROG	TROLLS THEN HARDLY SURVIVED. AND NOW I’M GIVEN A CHANCE TO FULFILL HIS DESTINY.

SHAMAN	WHAT A FOOL DARED TO STEP INTO THESE FORBIDDEN CAVES?! 

ARROG	WE HAVE TO FIND HIM BEFORE IT’S TOO LATE! BUT HOW?

SHAMAN	WE’LL UNDERSTAND WHO IT IS ONCE WE SEE THEM!

ARROG	DO IT THEN! AND I’LL GO TO MY PEOPLE AND TRY TO CALM THEM DOWN.

GERDA	WHAT HAVE WE DONE?

GERDA	HURRY UP TO ORM! WE NEED TO GET EVERYTHING BACK TO NORMAL!

GERDA	WHAT’S MORE IMPORTANT, WE NEED TO DO THAT UNNOTICED!

GERDA	SOMETHING HAS TO BE DONE ABOUT OUR APPEARANCES TOO!

GERDA	WITH YOUR HAIR BURNING YOU WON’T GO FAR!

ROLLAN	AND YOU LOOK AMAZING!

GERDA	NO DOUBT! BUT WHAT ABOUT YOU?

TROLL IN AUDIENCE	YOU SEE IT?

ROLLAN	ENJOY THE SHOW!

ROLLAN	LOOK WHAT...

ROLLAN	OUCH! THAT HURTS!

GERDA	QUIET! IT WAS JUST SOME WATER!

ROLLAN	WATER? AH? IT WAS PAINFUL!

GERDA	PLEASE DON’T ATTRACT ATTENTION. THEY’LL NOTICE US BECAUSE OF YOU IN NO TIME!

ROLLAN	PHEW! NOBODY NOTICED US!

ARROG	GERDA?!

SHAMAN	YOUR HIGHNESS! THERE THEY ARE! IT’S THEM! THEY’RE THE CULPRITS!

GERDA	LADIES AND GENTLEMEN! TROLLS OF ALL AGES! WELCOME TO OUR ONE AND ONLY PERFORMANCE IN YOUR FAIR TOWN! THE FIRE AND ICE SHOW!

GERDA	FEATURING THAT LEGENDARY MASTER OF FIRE: ROLLAN!

ARROG	NONSENSE! THAT'S GERDA - THE ONE WHO SAVED US FROM THE SNOW QUEEN!

AUDIENCE	GERDA! GERDA! GERDA!

GERDA	I HAVE ALWAYS HAD A COOL HEAD, AH? NOW IT’S YOUR TURN. YOU DISTRACT THEM, AND I’LL FIND THE WAY OUT!

ARROG	WHAT ELSE DID YOU EXPECT FROM THIS CLUMSY CHUMP?

GERDA	HEY! COME ON!

TROLL IN AUDIENCE	ROLLAN THE LEGEND?! MORE LIKE ROLLAN THE LOSER HAHAHA!

SHAMAN	IT’S HIM!

AUDIENCE MEMBER #1	YAAAHHHHH!!!

SHAMAN	CAPTURE THEM!

GERDA	RUN!

GERDA	HURRY!

ARROG	CATCH THEM! I MUST KNOW WHAT’S GOING ON! IS THE CHAOS AND ANARCHY ALREADY STARTING?!!

GERDA	COME ON!

GERDA	IT’S OVER! WE’RE TRAPPED!

ROLLAN	HOLD ON TIGHT!

ROLLAN	JUST DON’T ASK HOW.

GERDA	HEE-HEE-HEE.

ROLLAN	WITH THE HELP OF THAT CARAVAN WE’LL GET OUT OF THE CITY.

ROLLAN	WATCH AND LEARN HOW TO HITCH A RIDE.

ROLLAN	HEY MISTER, WILL YOU GIVE US A LIFT?

HIPPIE	HI GERDA, HOW’S LIFE?

GERDA	IT COULD BE BETTER. WE NEED TO GET TO ORM’S AS QUICKLY AS POSSIBLE!

HIPPIE	COME ON IN, WE’RE ALSO LEAVING. NO ONE HERE LIKES REGGAE.

SOLDIERS	ALRIGHT, COME ON! WE’RE AFTER SEARCH TO THE WEST. HURRY! THIS WAY!

ARROG	I CAN’T BELIEVE IT WAS GERDA. SHE SAVED OUR LIVES!

SHAMAN	MAYBE SHE REGRETS DOING THAT. ARE YOU SURE YOU DIDN’T OFFEND HER SOMEHOW?

