INTERTITLE	England 1937
MRS BRADMAN	Charles is a man.

MRS BRADMAN	You can't expect him to juggle more than one thing at a time.

MRS BRADMAN	My advice: leave him to worry about the words

MRS BRADMAN	and find someone else to shake your sheets.

MRS BRADMAN	Come on, don't be a prude.


MRS BRADMAN	One must be practical for a marriage to run the course.

TENNIS COACH	Do you remember what you learned in our last lesson, Mrs Bradman?

MRS BRADMAN	Strong, firm grip. How could I forget?

DR BRADMAN	So, what seems to be the trouble, old chap?

CHARLES	Things don't seem to be flowing as they used to.

DR BRADMAN	Name me a wordsmith who hasn't wrestled

DR BRADMAN	with a bout of writer's block once in a while.

CHARLES	The truth is, it's not just the words that have dried up.

CHARLES	Big Ben's stopped chiming.

CHARLES	Mr Peasbody's got stage fright.

DR BRADMAN	You poor fellow.

CHARLES	It's like playing billiards with a rope.

DR BRADMAN	Try a couple of these. Should put some fuel back in your tank.

CHARLES	What are they?

DR BRADMAN	Benzedrine sulphate.

DR BRADMAN	Amphetamine.

DR BRADMAN	Enhances cheerfulness, alertness,

DR BRADMAN	and, as Violet will testify, does wonders for your libido.

CHARLES	Sounds too good to be true. Is it habit forming?

DR BRADMAN	No, not at all. Been using them for years.

RUTH	Slow down. Charles, you'll give us both a coronary.

CHARLES	I've never felt more alive.

RUTH	Why? What's happened?

CHARLES	I decided to take your advice and look on the positives.

CHARLES	Surely it's better to be up than down.

RUTH	I just don't want you to exhaust yourself

RUTH	before the medium show at the theatre tonight.

CHARLES	Nobody in their right mind would waste a perfectly pleasant evening

CHARLES	pretending to be fascinated by someone

CHARLES	holding a one-way conversation.

NARRATIVE TITLE	MADAME ARCATI WORLD RENOWNED MEDIUM

ANNOUNCER	Ladies and gentlemen, please take your seats.

ANNOUNCER	This evening's performance will commence in two minutes.

MRS BRADMAN	Isn't that your cook?

MRS BRADMAN	And your maid?

RUTH	Oh, yes.

RUTH	So it is. Poor Edith.

RUTH	She's been very taken with this sort of thing since she lost her brother

RUTH	fighting the fascists in Spain.

DR BRADMAN	Primitive superstition can be very persuasive,

DR BRADMAN	especially with the emotionally susceptible.

MANDEEP SINGH	Ladies and gentlemen, welcome to an evening

MANDEEP SINGH	that will change your perceptions of the world we inhabit,

MANDEEP SINGH	that will answer irrefutably

MANDEEP SINGH	the question that has confounded mankind

MANDEEP SINGH	since the dawn of time;

MANDEEP SINGH	Is there life after death?

CHARLES	No.

RUTH	There she is.

MADAME ARCATI	From the Great Pyramid of Cholula in the west

MADAME ARCATI	to Mount Taishan in the east,

MADAME ARCATI	from Whanganui-a-Tara in the south

MADAME ARCATI	to Uppsala in the north,

MADAME ARCATI	I have travelled the globe,

MADAME ARCATI	communing with gurus, swamis and shaman.

MADAME ARCATI	These wise sages have guided me to a deeper dimension

MADAME ARCATI	where finally I experienced an epiphany

MADAME ARCATI	and broke through to the other side.

MADAME ARCATI	I am certain that everyone here

MADAME ARCATI	has sensed the spirits of their departed loved ones,

MADAME ARCATI	and I am certain we all wish we could communicate with them again

MADAME ARCATI	to say the things we never got to say.

CHARLES	I've got it.

MADAME ARCATI	Tonight...

CHARLES	Sorry.

MADAME ARCATI	...I will use the precious mystical gift

MADAME ARCATI	to make that possible.

MANDEEP SINGH	Bugger!

MAN	Madame Arcati.

EDNA	It's a conjuring trick. I told you. She's a fraud.

MADAME ARCATI	That's an outrageous accusation.

MADAME ARCATI	I merely lost contact.

DR BRADMAN	Charles was right, it was all a put-up job.

DR BRADMAN	Where'd he go?

MANDEEP SINGH	Please, please.

MANDEEP SINGH	Madame Arcati has just been through a very traumatic experience.

MANDEEP SINGH	Please just... Please.

MANDEEP SINGH	Look, I would ask you to respect her privacy at this difficult time.

MANDEEP SINGH	Oh, my giddy aunt!

MADAME ARCATI	I've told you, Mandeep, I don't want to see a living soul.

CHARLES	My name is Charles Condomine. I'm an award-winning writer.

MADAME ARCATI	And especially not the gutter press.

CHARLES	I'm not a reporter. I write crime novels, and screenplays.

MADAME ARCATI	Well, I can't abide fiction or fantasy.

CHARLES	Madame Arcati?

CHARLES	I'm not here to question your integrity.

CHARLES	Faking an exotic accent doesn't mean your gift isn't real.

CHARLES	I fully understand that, like me,

CHARLES	you occasionally have to employ a certain artistic licence

CHARLES	to entertain the masses.

MADAME ARCATI	They expect me to deliver a spectacle,

MADAME ARCATI	a transcendental miracle, night after night.

CHARLES	Of course. There's no need to justify yourself.

CHARLES	I'm a believer.

CHARLES	I'm simply here to invite you to conduct a private seance at my home.

MADAME ARCATI	I'm not a travelling banjo player, Mr Condomine.

MADAME ARCATI	I don't do requests.

CHARLES	Well, there might be some influential guests attending.

CHARLES	Could be the perfect opportunity to fend off any bad publicity

CHARLES	from tonight's unfortunate events.

MADAME ARCATI	When were you wishing this to take place?

CHARLES	As soon as possible.

MADAME ARCATI	Then I suggest this Thursday, midsummer night, the solstice.

MADAME ARCATI	The sacred turning point of the seasons.

CHARLES	Perfect.

CHARLES	I told her how profoundly interested I was

CHARLES	in anything to do with the occult, and she blossomed like a rose.

RUTH	Well, hosting an evening with a professional charlatan

RUTH	sounds like an absolute scream.

CHARLES	Doesn't it?

RUTH	But will it get you closer to finishing your screenplay?

CHARLES	Well, I need the old girl to show me a few tricks of the trade.

CHARLES	That's what's gonna make my new hero truly unique.

RUTH	What's so unique about him?

CHARLES	He's dead.

RUTH	Dead?

CHARLES	As a doornail.

CHARLES	He's the victim of a vicious unsolved murder

CHARLES	and communicates with the living through a medium

CHARLES	who helps bring people back from beyond the grave.

RUTH	Maybe she can resurrect your career at the same time.

RUTH	Daddy's on the warpath.

RUTH	He's threatened to find another writer if you don't deliver soon.

MADAME ARCATI	Is anybody there?

MADAME ARCATI	Is anybody there?

MADAME ARCATI	One rap for yes, two raps for no.

MADAME ARCATI	Is that you, Maia?

RUTH	Who's Maia?

MADAME ARCATI	My spirit guide. She was Tutankhamun's wet nurse.

DR BRADMAN	I do hope she's not still lactating.

MADAME ARCATI	I would ask you not to be flippant, Dr Bradman.

MADAME ARCATI	She may be in Shamballa, but the woman still has feelings.

DR BRADMAN	Please forgive me, Madame Arcati. I didn't mean to cause offence.

MADAME ARCATI	Now we're getting somewhere.

MADAME ARCATI	Is it me you wish to speak to?

MADAME ARCATI	Is it Dr Bradman? Or perhaps one of his less fortunate patients?

MADAME ARCATI	Mrs Bradman?

MADAME ARCATI	Mrs Condomine?

MADAME ARCATI	Behave yourself, Maia.

MADAME ARCATI	Mr Condomine?

MADAME ARCATI	It appears that someone wishes to speak to you, Mr Condomine.

MADAME ARCATI	Do you know anyone who has recently passed over to the other side?

CHARLES	Only my old literary agent, but it's unlikely he'd make contact.

CHARLES	He died owing me a fortune in royalties.

MADAME ARCATI	Are you Mr Condomine's literary agent?

MADAME ARCATI	No. I'm afraid we've drawn a blank.

MADAME ARCATI	Is there anyone on the other side you think of often?

MADAME ARCATI	Oh, well, there's nothing for it. I shall have to go into a trance.

MADAME ARCATI	This is the moment I hate.

RUTH	Are you nervous, or...?

MADAME ARCATI	When I was a child, I used to be sick.

MADAME ARCATI	Now, let's see. What have we here?

MADAME ARCATI	Brahms. No, that's too dark and depressing.

MADAME ARCATI	Rachmaninoff. No, too florid.

MADAME ARCATI	This is better. Always.

CHARLES	Does it have to be that song?

MADAME ARCATI	Well, Maia likes a tune she can hum along to.

MADAME ARCATI	Always.

CHARLES	Crikey.

CHARLES	What the devil's going on?

DR BRADMAN	Must be a power cut.

RUTH	Madame Arcati? Madame Arcati, can you hear me?

MRS BRADMAN	Is she breathing?

RUTH	She's having some sort of fit.

RUTH	Please, do something, Dr Bradman.

RUTH	Thank goodness.

MADAME ARCATI	What happened?

CHARLES	Apart from the French windows blowing open, nothing supernatural.

MADAME ARCATI	Something substantial took place.


MADAME ARCATI	I can feel it in my base chakra.

DR BRADMAN	Probably trapped wind.

MADAME ARCATI	No poltergeists, at any rate.

MADAME ARCATI	Any apparitions?

RUTH	Not that we saw.

MADAME ARCATI	What about ectoplasm?

MRS BRADMAN	I'm not quite sure what that is.

MADAME ARCATI	A supernatural viscous substance

MADAME ARCATI	that exudes from the body of one in a spiritualistic trance

MADAME ARCATI	and forms the material for the manifestation of spirits.

MRS BRADMAN	No, I definitely would have remembered that.

MADAME ARCATI	Well, I suppose I should get going before the storm rolls in.

RUTH	Would you care for some refreshments before you return to your hotel?

MADAME ARCATI	No, thank you, Mrs Condomine. I like to travel light.

DR BRADMAN	Congratulations, Madame Arcati. It was a thrilling evening.

MADAME ARCATI	I'm well aware of the irony in your voice, Dr Bradman.

MADAME ARCATI	May I be so bold as to remind you 

MADAME ARCATI	that modern medicine is a recent phenomena

MADAME ARCATI	and that physicians have found value

MADAME ARCATI	in scientifically inexplicable practices

MADAME ARCATI	since the beginning of civilisation.

DR BRADMAN	Quite so.

MADAME ARCATI	Well, good night, everyone.

MADAME ARCATI	I'm sorry so little eventuated.

MADAME ARCATI	Probably something to do with the cosmic flux.

CHARLES	Thank you so much for agreeing to do this, Madame Arcati.

CHARLES	It's been an education on so many levels.

CHARLES	She might hear us.

RUTH	I can't. Really, I can't.

NARRATIVE TITLE	THE WOLDEN ACRE HOTEL

NARRATIVE TITLE	TALISMANS AND AMULETS

MADAME ARCATI	I can't quite put my finger on it, Donald.

MADAME ARCATI	I've never experienced anything like it in my life.

MADAME ARCATI	It genuinely felt as if something tremendous had happened.

MADAME ARCATI	Oh, well, maybe next time.

MADAME ARCATI	Good night, my love.

RUTH	Did you get everything you need for your screenplay?

CHARLES	Everything and more.

RUTH	You're not thinking of turning in for the night, are you?

CHARLES	What?

RUTH	Wouldn't it be prudent to get down the ideas whilst they're still fresh?

CHARLES	Yes, no, absolutely. I shall fix myself a drink and dig in.

RUTH	Carpe diem, darling.

CHARLES	Carpe diem.

NARRATIVE TITLE	MODERN WOMAN

CHARLES	Jesus Christ.

ELVIRA	Charles?

ELVIRA	What on earth have you done?

ELVIRA	The room looks like a giant peach melba.

ELVIRA	And where's my Italian chandelier gone?

CHARLES	What?

CHARLES	Oh, God.

ELVIRA	Hello.

ELVIRA	Please tell me you haven't ruined the rest of the house.

CHARLES	No.

ELVIRA	My Moroccan mosaics.

ELVIRA	Charles.

ELVIRA	One weekend away

ELVIRA	and the whole place has had the life and soul sucked out of it.

CHARLES	This can't be happening. I must be hallucinating.

ELVIRA	Well, judging from the decor,

ELVIRA	I would say that's the understatement of the century.

ELVIRA	I should have known this wasn't down to you.

ELVIRA	Who is she?

CHARLES	It's not what you think.

ELVIRA	Please do not humiliate either one of us any further.

ELVIRA	If you've got something to tell me, be a man and spit it out.

CHARLES	Elvira… You're dead.

ELVIRA	How dare you.

ELVIRA	The last thing I remember

ELVIRA	is competing in the South Downs point-to-point.

CHARLES	That's right, and the conditions were treacherous,

CHARLES	and, as with most things, you refused to listen to reason.

ELVIRA	I couldn't miss the most prestigious meet of the season, Charles.

CHARLES	You paid the ultimate price for your folly and fell at the final fence,

CHARLES	instantly breaking your neck.

CHARLES	The whole episode was very distressing for everyone involved.

ELVIRA	Well, presumably not as distressing as it was for me.

CHARLES	They did rename the jump in your honour.

ELVIRA	How thoughtful.

ELVIRA	I don't understand. If I'm dead, then how and why am I here?

CHARLES	I have absolutely no idea.

CHARLES	Maybe you're a ghost?

ELVIRA	What? No!

CHARLES	Please, don't get hysterical.

RUTH	Hysterical?

RUTH	Concerned more like.

RUTH	Procrastination is the thief of time, Charles, and yours is running out.

ELVIRA	Who's she?

CHARLES	My wife, Ruth.

RUTH	Yes? Are you alright?

ELVIRA	I'm your wife.

CHARLES	Not any more.

RUTH	Why? What's the matter?

CHARLES	Ruth, I'm not speaking to you.

CHARLES	I'm talking to Elvira.

RUTH	Elvira?

CHARLES	Yeah, surely you can see her.

CHARLES	She's standing right next to you.

RUTH	Charles, what are you playing at?

RUTH	Elvira's dead.

ELVIRA	Why does everyone have to keep saying that?

CHARLES	Elvira, darling, this is Ruth. Ruth, darling, this is Elvira.

RUTH	Are you drunk?

CHARLES	Ruth, Elvira is here with us in the room.

CHARLES	Madame Arcati must have summoned her up during the seance.

RUTH	Madame Arcati's a fraud. You said so yourself.
 
RUTH	I'm going to bed, and I suggest that you retire too.

ELVIRA	Finally some time to ourselves so we can get reacquainted.

CHARLES	That's a thoroughly immoral suggestion.

RUTH	I wasn't for a moment insinuating we share a bed.

CHARLES	No...

RUTH	I've come to terms with your recent inability

RUTH	to perform in that department.

ELVIRA	I can't imagine you ever did with that sourpuss.

CHARLES	Be quiet. You're behaving like a guttersnipe.

RUTH	It is your behaviour, Charles, that is unpardonable.

RUTH	Good night.

ELVIRA	Hooray.

ELVIRA	What a frightful woman.

ELVIRA	I can only assume it was a marriage of convenience?

CHARLES	I've gone mad. That's what it is.

CHARLES	Stark raving mad.

RUTH	It will ruin your life if you allow it to get hold of you.

CHARLES	Once and for all, Ruth, last night had nothing to do with alcohol.

CHARLES	I wasn't in the least drunk.

CHARLES	Something very peculiar happened to me.

CHARLES	A one-off psychic delusion, likely brought on by work pressure.

RUTH	A deadline doesn't explain why

RUTH	when I calmly suggested that you should return to bed,

RUTH	you said with the most disgusting leer

RUTH	that it was an immoral suggestion.

CHARLES	I thought I was talking to Elvira.

RUTH	Well, if you were, I can only say

RUTH	it conjures up a fragrant picture of your first marriage.

CHARLES	My first marriage was perfectly charming.

CHARLES	And it's in the worst possible taste for you to sneer at it.

RUTH	I'm not nearly so interested in your first marriage as you think I am.

RUTH	In fact, it's your second marriage that's absorbing me at the moment.

RUTH	It's headed for the rocks.

DR BRADMAN	Well, it's 155 over 99. It is quite high.

CHARLES	I'm not surprised, given the intensity of the hallucination.

CHARLES	I genuinely believed Elvira was in the room talking to me.

CHARLES	She was as real as you or I.

DR BRADMAN	Probably best you stop taking the tablets, old chap.

CHARLES	Darling.

CHARLES	I hate to see you so upset.

CHARLES	Please accept my heartfelt apology

CHARLES	for anything untoward I might have said last night.

CHARLES	Or this morning.

RUTH	Apology accepted.

RUTH	Let's never mention it again.

RUTH	How are you feeling?

CHARLES	I believe Dr Bradman might have solved the riddle.

RUTH	Well, thank goodness.

CHARLES	Now, let's go and see your father.

CHARLES	I want to check he likes my new idea before committing it to the page.

CHARLES	I do not want to be late.

NARRATIVE TITLE	THE RANK ORGANISATION PINEWOOD STUDIOS

RUTH	Charles?

CHARLES	And so, you see, Henry,it's only through the medium

CHARLES	that the killer can be brought to justice,

CHARLES	based on new evidence that he gathers from beyond the grave.

HENRY	I like the premise, Charles,

HENRY	but not enough to waitanother six months to see a script.

RUTH	Charles will deliver in a few weeks,Daddy. You have my word.

CHARLES	And mine.

HITCHCOCK	Cut!

HENRY	Right, come on,let's go and watch the next scene.

HENRY	I think Hitch will bethe perfect director for our film.

HENRY	Just don't get under his feet.

HENRY	Come on, darling.

HENRY	Googie, darling, how lovelyto see you. Charles Condomine.

GOOGIE WITHERS	I'm a big fan of your books,Mr Condomine.

GOOGIE WITHERS	When can we expect Detective Flowersto crack his next case?

RUTH	Charles has actually made the leap into screenwriting.

RUTH	With Daddy's help.

GOOGIE WITHERS	How exciting.

GOOGIE WITHERS	I'd die to play one of your strong-willed female characters.

GOOGIE WITHERS	Where do you drawyour inspiration from?

RUTH	Where do you think?

GOOGIE WITHERS	How romantic, to marry your muse.

ELVIRA	Not so romantic to replace her.

ELVIRA	Why don't you tell her the truth, Charles.

ELVIRA	That you're an astral bigamist?

CHARLES	Be quiet. Stop behaving like a harlot.

GOOGIE WITHERS	I beg your pardon?

ELVIRA	Admit it, Charles. All of your female characters are based on me.

CHARLES	You always were vain and self-obsessed.

HENRY	How dare you speak to my leading lady like that?

CHARLES	No.

RUTH	Get a grip, Charles. What on earth is going on?

CHARLES	Elvira is here.

CHARLES	I can see her.

CHARLES	She's right there.

RUTH	I insist you go home immediately and lie down.

CHARLES	I have no desire to go to bed in the middle of the afternoon.

ELVIRA	My, how things have changed.

ELVIRA	I remember a time when we could barely drag ourselves

ELVIRA	out of our double divan.

CHARLES	Stop being indecent. Get out of my sight.

HENRY	How dare you speak to my daughter like that!

CHARLES	No, I wasn't speaking to her.

HENRY	Get off my set.

ELVIRA	You're in trouble now.

CHARLES	Don't be so infantile.

HENRY	I'll give you infantile.

RUTH	Does it hurt?

CHARLES	Only if I breathe.

RUTH	Let me see it, darling.

RUTH	What about now?

CHARLES	Oh, God!

RUTH	I suggest you take yourself to your study.

RUTH	The only way my father will forgive you

RUTH	is if you deliver an Oscar-worthy script.

CHARLES	How am I supposed to write in this state?

RUTH	Well, you'd better try.

RUTH	Either start typing and prove you're not barking mad

RUTH	or I'll be forced to call Dr Bradman

RUTH	and have you referredto a nerve specialist.

CHARLES	Ruth, I'm not in the least neurotic

CHARLES	and never have been.

RUTH	Well, psycho-analyst, then. 

CHARLES	I refuse to endure months of expensive humiliation

CHARLES	only to be told at the end of it

CHARLES	that at the age of four I was in love with my rocking horse.

RUTH	Don't take that flippant tone with me, Charles Condomine.

RUTH	I'm not the one who's started seeing things.

CHARLES	So you do believe me, then?

RUTH	Of course I don't.

RUTH	There's no such thingas ghosts or ghouls.

MADAME ARCATI	I call upon Donald Keeling,

MADAME ARCATI	Second Lieutenant

MADAME ARCATI	in the 92nd Regiment of Gordon Highlanders,

MADAME ARCATI	who died on February the 27th, 1881,

MADAME ARCATI	at the Battle of Mujuba Hill.

MADAME ARCATI	Come forth and make yourself known to me, 

MADAME ARCATI	Cecily, your ever devoted wife.

MADAME ARCATI	Donald.

MADAME ARCATI	Is that you?

HOTEL EMPLOYEE	It's housekeeping. Do you need fresh towels?

CHARLES	What are you doing here?

ELVIRA	Despite removing every trace of me, this is still my home.

ELVIRA	Besides, I have no idea how to get back even if I wanted to.

CHARLES	Are you saying you're staying indefinitely?

ELVIRA	Why? Would you hate it so much if I did?

ELVIRA	Honestly, Charles, I really am a little hurt.

ELVIRA	You're the only one who could have called me back.

CHARLES	I most emphatically did not send for you, Elvira.

CHARLES	Ruth and I are about to celebrate our fifth wedding anniversary together.

ELVIRA	Five? What is that, leather?

CHARLES	Wood.

ELVIRA	Watch out for the splinters.

EDITH	Mrs Condomine.

RUTH	I'll call Dr Bradman, see if he'll accompany us to the sanatorium.

CHARLES	Ruth, please, listen to me. I haven't gone mad.

CHARLES	The ghost of my first wife, Elvira, has crossed over from the other side

CHARLES	and is here in the room with us right now.

RUTH	Yes, dear, I know, I see her perfectly well,

RUTH	along with the zebras and chimpanzees hiding under the piano.

CHARLES	Ruth, I have always looked upon you

CHARLES	as a woman of perception and understanding. 

RUTH	I am, but if you say you're not drinking,

RUTH	there must be something pressing on your brain.

CHARLES	Elvira, do something to reveal that you really are here, please.

CHARLES	She's going to have me committed.

ELVIRA	Do you remember when we first heard our song, Charles?

ELVIRA SINGS:	I'll be loving you Always

CHARLES	See? What did I tell you?

RUTH	It's a cruel trick, Charles,

RUTH	using some sort of autosuggestion or hypnotism to scare me.

CHARLES	It isn't. I swear it isn't. Darling.

CHARLES	Darling. Elvira, do something else,for God's sake.

ELVIRA	Anything to oblige.

CHARLES	Look.

RUTH	Lord.

ELVIRA	Adios, interloper.

ELVIRA	Oops.

NARRATIVE TITLE	FRAUDULENT MEDIUM EXPOSED

MAN	I'm afraid we need the room back.

MADAME ARCATI	I told you, I'll be packed and ready to go within an hour.

RUTH	Thank God I caught you.

RUTH	You are my only hope. Something terrible has taken place.

MADAME ARCATI	You've heard strange noises in the night?

MADAME ARCATI	Boards creaking? Doors slamming?

MADAME ARCATI	A subdued moaning in the passages?

RUTH	No, none of those.

RUTH	But it appears that after the seance, 

RUTH	my husband's first wife, Elvira,

RUTH	who died seven years ago, is back among us.

MADAME ARCATI	At last.

MADAME ARCATI	A genuine materialisation.

MADAME ARCATI	I knew something stupendous had happened to me that night.

MADAME ARCATI	I felt it in my spinal cortex.

MADAME ARCATI	After all these years of spiritual devotion,

MADAME ARCATI	I've finally been rewarded.

RUTH	I appreciate the pride in your achievement,

RUTH	but I would like to point out

RUTH	it's making my position in my home untenable,

RUTH	and I hold you entirely responsible.

MADAME ARCATI	Forgive me, Mrs Condomine. I'm being abominably selfish.

MADAME ARCATI	Just to let me get this clear in my mind,

MADAME ARCATI	you yourself have not seen this manifestation?

RUTH	No, but Charles claims he can see and talk to her.

MADAME ARCATI	If the emotional connection is strong, that is sometimes possible.

RUTH	What?

MADAME ARCATI	It can sometimes develop into a level ten,

MADAME ARCATI	something I've never even dared dream of.

MADAME ARCATI	Can he, by any chance, touch her?

RUTH	I sincerely hope not.

RUTH	Why? Can that happen?
 
MADAME ARCATI	If the returning spirit feels welcome,

MADAME ARCATI	it can gradually become physically substantial.

CHARLES	Thank you, Mrs Bradman. Well, please do let me know if you hear from her.

CHARLES	She's not there either.

ELVIRA	I remember when you couldn't wait to spend an afternoon alone with me.

CHARLES	Please refrain from playing with my affections.

CHARLES	I feel strange enough.

ELVIRA	So you do still find me attractive?

CHARLES	Elvira, please.

CHARLES	This isn't appropriate.

ELVIRA	Look into my eyes

ELVIRA	and tell me you don't love me anymore.

CHARLES	I shall always love the memory of you.

ELVIRA	Memories are about the past, Charles,

ELVIRA	but I'm here, and this is the present.

ELVIRA	Why don't we take the boat out like we used to and get some air?

CHARLES	I can't. I'm on a deadline.

ELVIRA	What are you writing? Cheques?

CHARLES	I'll have you know, I've been commissioned

CHARLES	to adapt my first novel for the screen.

ELVIRA	Your first novel?

CHARLES	I nearly wore my fingers to the bone committing this story to the page.

ELVIRA	Let's face it, darling, it's not a coincidence 

ELVIRA	that you haven't published a word since my demise.

CHARLES	I won't deny, you did have a certain flair for plot.

CHARLES	And character.

ELVIRA	And...?

CHARLES	And dialogue.

ELVIRA	Right.

ELVIRA	The biggest problem you have is the twist into the third act.

ELVIRA	It isn't dramatic enough,

ELVIRA	which is why you don't have a satisfying climax.

CHARLES	Tell me something I don't know.

ELVIRA	Wouldn't it be smarter to flip the whole thing on its head

ELVIRA	and reveal the husband as the killer?

CHARLES	That's good.

ELVIRA	Or what would be more interesting is if it's the wife who set him up.

CHARLES	Why would the wife send her husband to the gallows?

ELVIRA	It's obvious, darling.

ELVIRA	Susan Rutherford becomes the prime suspect

ELVIRA	when her alibi fails to materialise,

ELVIRA	and we naturally assume

ELVIRA	that she's trying to protect the reputation of the foreign secretary

ELVIRA	whose aspirations of becoming the prime minister

ELVIRA	would be severely compromised if it was revealed

ELVIRA	that he was having an affair.

ELVIRA	But, in reality, nothing could be further from the truth,

ELVIRA	which is what we learn from the victim himself,

ELVIRA	and it's only through the medium that they can work it out.

CHARLES	Work what out?

ELVIRA	That she's pregnant with the dead foreign secretary's child.

CHARLES	That's good.

CHARLES	Well, even I didn't see that one coming.

ELVIRA	Of course you didn't, darling. You're just the writer.

MADAME ARCATI	I'm afraid, Mrs Condomine, that the time has come

MADAME ARCATI	for me to admit quite frankly

MADAME ARCATI	I haven't the foggiest idea how to send her back.

MADAME ARCATI	I had my own personal reasons

MADAME ARCATI	for wishing to communicate with the departed,

MADAME ARCATI	but I never for a moment considered the possibility

MADAME ARCATI	of having to send someone back.

RUTH	Well, I suggest that you find a way.

RUTH	I refuse to share my husband with anyone,

RUTH	especially his dead ex-wife.

MADAME ARCATI	Well, if I had thought for a moment that your husband wished

MADAME ARCATI	to get in touch with the spirit of his dead ex-wife,

MADAME ARCATI	I would, of course, have consulted you first.

MADAME ARCATI	After all, noblesse oblige.

