Voice Over	Previously on Agent.
Phumlani	I’ll bring it tomorrow. There’s someone who is organising it for me.

Olipha	Is it your friend from the North?

Phumlani	He’s very trustworthy Makhosi.

Phumlani	If I may I ask, has there been any message from the ancestors?

Olipha	Yes they understand your resentment toward Moleko.

Phumlani	But do they agree with it?

Olipha	Yes because your father deserted the traditions of this club and even his own traditions. 

Olipha	That’s why this team is no longer successful.

Phumlani	All of this changes tomorrow Makhosi.

Olipha	I’ve heard some rumours, that you’re not allowing Moleko to play.

Phumlani	He must play in order for this muthi to work Makhosi.

Phumlani	We will allow him to play.

Olipha	We give thanks.

Phumlani	We give thanks.

Olipha	I will perform the ritual properly first thing tomorrow, before the game starts.

Olipha	I will bury this shoe...

Olipha	... and finish it off with muthi.

Olipha	I will conjure up the spirits and then ask the ancestors to make this ritual a success...

Olipha	... this is where the atlas bone will be needed.

Olipha	We give thanks.

Phumlani	We give thanks.

Phumlani	I trust you Makhosi.

Olipha	No!

Olipha	… it is our ancestors, they guide us. Give thanks

Phumlani	They give us strength. We give thanks.

Olipha	We give thanks.

Christopher	You sure the kid's not going to be tapped up? I mean, it's happened before.

Blaze	Nah, I got through to him.

Christopher	Mmm. Let's hope I got through to Les.

Blaze	Told you. He's done a 360, yeah?

Christopher	Leopards don't change their spots mate, once an addict always an addict.

Blaze	So you gonna stay here with him?

Blaze	The guy hasn't touched or driven since his accident...

Christopher	Accident? Don't you mean the time he met God?

Blaze	Chris.

Vuyo	I know we didn’t really talk about this earlier…

Vuyo	... but how far along are you?

Kim	I can’t say I’m one hundred percent sure.

Vuyo	It’s because I’ve noticed a baby bump lately...

Vuyo	... and you've been sick in the mornings.

Kim	Maybe...

Kim	... three months.

Vuyo	Three months and you only found out now?

Kim	If I'm being honest...

Kim	... I’ve known for a bit...

Kim	Maybe a month, I think.

Vuyo	But why would you keep such good news from me?

Kim	Because I wasn’t sure if us having a baby would make you happy right now.

Vuyo	Of course I’m happy about it.

Kim	Well you never say things like that to me Vuyo...

Vuyo	I am so ecstatic, you have no idea.

Kim	You are the best to me.

Lesego	Nice one, nice one.

Lesego	Was a tough one. 

Blaze	You looking good.

Lesego	Ah thank you.

Lesego	And then Christopher? 

Lesego	He said he'd kill me if I... 

Lesego	... don’t stop fucking with you.

Blaze	Good. 

Blaze	You should listen to him.

Lesego	Oh man. Oh you know what.

Lesego	Can we go passed Nina’s place?

Blaze	What for?

Lesego	It's actually a uh, part of recovery. I need to apologize to every person that I've hurt and abused.	

Blaze	I know, but can't you just let this one be?

Lesego	No B, I'm not, I’m not trying to get her back, it's just, I need to say I'm sorry and mean it.

Blaze	So you want closure?

Lesego	Don’t you?

Blaze	Where does she stay these days?

Lesego	Uh, JP's... a place called Château Levamour... in Bryanston.

Zoe	Fuck!

Zoe	Nikolaki, come here now.

Nick	What are you looking for madam?

Zoe	It's my lucky Kruger coin, the one my dad left me.

Nick	So usually you hide it in that secret compartment.

Zoe	I looked there, it's not there.

Nick	That's probably because you changed your mind and decided to put it in the folder labelled 'ticket revenue'.

Zoe	And don't take that tone with me! 

Zoe	I'm about to do something very impulsive.

Nick	Don't tell me it's about Herve again? I've spoken to Marlboro and they're playing hardball. This is not worth it.

Zoe	I want him.

Nick	No disrespect madam, but you've been pleading poverty all season, cutting costs left, right and center... and now you just want to splash the cash?

Zoe	Gonna splash the cash Nicki! Huh he. Gonna offer nine and a half million up-front. Fuck allotment of payments. That's exactly what we gonna do.

Nick	You'll break the local transfer record!

Zoe	Sometimes you just gotta break some shit to get what you want.

Nick	Yeah yeah, for someone who hasn't even proved himself yet? Who isn't even on the map? This is madness.
Zoe	It's gonna be great; it's gonna be great, it’s gonna be great because we gonna turn him into a huge superstar and then we just gonna take all the credit for it Nicki.

Nick	This is... huge gamble ma'am. A huge one. If it were up to me

Zoe	It's not up to you... it's up to the Gods. 

Zoe	Hand Nicky...

Zoe	Flip it.

Nick	Okay so heads you don't make the offer, and tails you make the offer.

Nick	Madam please, can we, at least talk about it

Zoe	Nicky, pull the trigger.

Jackie	What the fuck?

Nina	Please, remain calm.

Jean-Pierre	Okay, I am calm. 

Jean-Pierre	These are cockroaches, not guests. How can I stay calm? 

Jean-Pierre	I behave as I want at home, okay?

Nina	Please.

Jean-Pierre	Sorry. 

Jean-Pierre	Sorry, you are right. 

Nina	You are the one I love.

Lesego	You look good.

Nina	You too.

Blaze	Hey, relax, he's not trying to win her back, okay.

Lesego	I'm not. I

Nina	You're not? Good.

Jean-Pierre	He he he.

Nina	Hm Hm.

Lesego	I'm here to ask for forgiveness.

Blaze	JP.

Jean-Pierre	Yeah.

Blaze	Maybe we should give them some space?

Jean-Pierre	Okay.

Nina	Thank you. 

Nina	So...

Jean-Pierre	Sit.

Jean-Pierre	Oh you didn't expect me to offer you anything, did ya?

Blaze	No... 

Jean-Pierre	No.

Blaze	... I didn’t.

Jean-Pierre	Good.

Blaze	Good.

Jean-Pierre	You know, you can go ahead and gloat all you want, it means nothing.

Blaze	Gloat?

Jean-Pierre	The offer for your boy.

Blaze	What offer?

Lesego	I had, I had an epiphany one night not so long ago.

Nina	An epiphany?

Lesego	Yeah one of those 'your whole life flashes in front of your eyes' kinda shit. 

Lesego	And then everything made sense. 

Lesego	Nina I, I'm here to say, I am sorry for everything. 


Lesego	Truthfully. I'm sorry for all the times I cheated on you... and there were many times.
Blaze	Wait, how much? This offer.

Jean-Pierre	You don't know?

Blaze	No.

Jean-Pierre	Really? He he he. Wow you have to be the worst agent ever. The whole country's talking about it and you don't even know.

Blaze	Well my phone battery died.

Jean-Pierre	Did it? Well she made a bid for nine and a half million, the crazy bitch, right?

Jean-Pierre	But like I said, it means nothing, because there’s not a chance in hell that Phumlani's gonna go for it.

Blaze	But why wouldn't he? He doesn't even rate Herve. The kid's unproven.

Jean-Pierre	Maybe, maybe, but then when you get an offer that big, why would you let the kid go?

Blaze	You're right. You probably know him better than I do anyway so. (meaning Phumlani)

Jean-Pierre	So no more Walter as a safety net, huh? Must be lonely?

Blaze	Nah, just different.

Jean-Pierre	To difference.

Lesego	You were a good thing in my life, but I was just too damned fucked to realize it. I... and by the time I did...

Nina	I was... I was no angel.

Lesego	But you, you were that one shining light in a dark river of shit for me.

Blaze	Are you ever gonna let it go?

Jean-Pierre	I was your agent for five years, right? Five long years... for what? For nothing. Nothing.

Blaze	And you were a good agent.

Jean-Pierre	I was a good agent because I never mixed personal involvement with business.

Blaze	Yeah, but that doesn't matter now, alright. And for the record. For my part in how this went down. I only told Julie because I wanted to help.

Jean-Pierre	You wanted to help? You do realize that you destroyed my life, right? I mean you’re, you're aware of this?

Blaze	JP how was I to know that she'd take it upon herself to fix it?

Jean-Pierre	You broke everything, okay. You took the one pure thing that I had and you killed it.

Blaze	Yeah but she knew that something was up. It was just a matter of time before she found out

Jean-Pierre	Yeah but it wasn't your part to... you weren't...

Blaze	Yeah, really...

Nina	It's the first time, you, you apologize to me. 

Nina	Actually it's the first time in my life someone says... 

Nina	... someone says sorry to me. 


Nina	It’s the first time in my life someone says sorry to me.

Blaze	So it's my fault that you were caught up in a gambling syndicate?

Jean-Pierre	No, no, no, no, that's not your fault. I.. no. 

Jean-Pierre	But it is your fault that Julie got involved. It is your fault that the woman that I loved and the only reason why I came to this God-damn country is now behind bars for something that I did... okay? That is your fucking fault.

Blaze	You think that I don't beat myself up because an innocent was led into the darkness because of me? 

Blaze	Because the only thing good in your life, I fucked up?

Jean-Pierre	Fucked up. You took the only good thing that I ever had in my life... and you pissed on it.

Blaze	Look in the fucking mirror, huh? 

Blaze	Yeah maybe you're right, maybe it's easier to blame me for everything, huh? Maybe I didn't help, but wake up and smell he fucking coffee. 

Blaze	You did this.

Jean-Pierre	I think your five minutes are up.

Jean-Pierre	You done? Yeah? Good. Now get the fuck out of my house. Fuck off.

Jean-Pierre	Are you okay?

Mila	Do we have a deal?

Blaze 	Deal.

Mila	I mean you haven't been to any of my auditions yet.

Blaze	And it's not because I didn't wanna be there.

Mila	If you wanted to be there you would've made a plan Blaze. <echoes> Made a plan Blaze, made a plan Blaze...

Sean 	You think this audition is a joke Miss Dior?

Mila	I'm fine, really. It's just work. Nothing's gonna happen.

Sean	Have you got a problem with that, Miss Dior?

Lesego	How come you don't watch games anymore?

Blaze	I just listen to the commentators on the radio...

Lesego	Is it for the same reason? You can't bear to lose?

Blaze	No, it's more the fact that I no longer have any control or influence, you know...

Blaze	It’s different now, when I was a player I’d get on that field, run, run, run...

Blaze	... take the whole team with me, get to the touch line and have the ball up in the air.

Lesego	Blazzzzzzze! Eish bra.

Blaze	But now, when I see the players walk through the stadium tunnel...  

Blaze	... it reminds me of everything I’ve lost.

Lesego	But then why listen on the radio?

Blaze	I picked that up from my dad funny enough.

Lesego	How is he by the way?

Blaze	Do you need to ask?

Lesego	If it wasn't for the injury...

Blaze	Yeah.

Blaze	Didn't really matter by then.

Blaze	None of it really matters...

Blaze	... none of it.

Blaze	The agency, the deals, the money, the women... it ain't worth shit.

Lesego	Blaze, we have to come out.

Lesego	Tell the truth.

Lesego	There's no other way.

Lesego	We'll tell, we'll tell Jade tomorrow after the game. 

Lesego	No B, we've been living on borrowed time man. We just let the devil come for his pound of flesh. 	

Lesego	I'm ready. 

Lesego	Are you?

Blaze	And what about Chris?

Lesego	No, no... we leave him out of this.

Lesego	Let’s see if you’ve still got it.

Blaze	Don’t drop, don’t drop...

Lesego	Don’t drop, don’t drop... 

Lesego	Play it... play it.
