FEMALE VOICE #1 TO UNIDENTIFIED CALLER #1	How may I help you?
SARA	I am just working here.

KELLY	Are you fake typing?
SARA	No. 

KELLY	Really? What did you just type?

SARA	Oh, what’d I type? Let’s see here.

SARA	"Stefan puts his hand on Zelna's neck."

KELLY	Zelna? I'm sorry, did you say Zelna?

SARA	Yeah, Zelna. 

SARA	Zelna Pinks-tin-ton-ton... 

SARA	is the name of my protagonist.

KELLY	Honestly Sara, this self-indulgent...

KELLY	narcissistic phase of yours... 

KELLY	This is disgusting... 

KELLY	...has gone on for too long. Your Simon breakup is messing with my money.

SARA	Simon sold his soul and became obsessed...

SARA	with his 401K and his stock options. So, no.

KELLY	Ooh! Ooh! What an asshole. 

KELLY	He grew up and did something responsible. 

KELLY	Just like every fucking woman in this world wants!

KELLY	You need to move on, so you have a date tomorrow. 

KELLY	His name is Ben. He is an artist...

KELLY	a real one, who actually makes money. 

KELLY	I've made you a reservation at that place you like...

KELLY	where all the food tastes the same.

SARA	No, no, I'm not going.

KELLY	What'd you say?

SARA	No, I'm not going.

KELLY	Oh, you're going to do it. And do you know why? 

KELLY	Because if you don't, I will expose you...

KELLY	And everyone's going to see how you live. 

KELLY	Is that something you want, people to see the squalor... 

KELLY	that is your studio apartment?

KELLY	Sweatpants strewn about?

KELLY	Moldy discarded expensive meal plan containers everywhere?

KELLY	Your pathetic vision board? 

KELLY	I will bring your mother to your apartment...

KELLY	I swear to God I will.

KELLY	And do you want her to see that?

SARA	Okay, fine, who is this guy anyway?

KELLY	Ben.

KELLY	This is disgusting. This is terrible. Get this out of my face.

KELLY	He came highly recommended.

KELLY	Makes musical steam punk instruments. 

KELLY	You know, balalaikas, accordions. 

KELLY	Where's my coffee?

KELLY	Some neo-Victorian shit.

SARA	What?

KELLY	And most importantly, he's a potential client's son, so don't be gross.

KELLY	I'm sorry. Don't be late.

SARA	Well, I don’t even know what he looks like.

KELLY	I showed him your book jacket photo, so try and resemble it.

KELLY	Thank you so much. 

KELLY	I don't know what I'd do without him.

BEN	And so after working in soul-killing jobs...

BEN	I decided to just chuck it all and do something practical.

SARA	Like designing steam punk instruments?

BEN	I love creating something with my own hands, you know...

BEN	like when you make something...

BEN	you put it out there in the world...

BEN	there's this feeling that you actually, I don’t know... 

SARA	Matter? 

BEN	Yeah.

SARA	Yeah.

BEN	So Kelly tells me you’re a writer.

SARA	Yeah.

SARA	It’s actually been kind of crazy. 

SARA	Right after college, I started this blog, Sara Syndrome.

SARA	And it was sort of like a satiric look at feminism...

SARA	and sexuality in the age of social media.

SARA	And now I write these softcore romance novels...

SARA	for dumb millennials. 

SARA	Now I'm working on my third.

BEN	Oh, wow.

BEN	Like a series or something?

BEN	Would I know it? What's it called?

SARA	The debut is called Sext.

SARA	But it came out when the word was new, so it was cool at the time.

BEN	Got it.

SARA	Actually, the whole thing was written entirely in emojis.

BEN	I can't tell if you're kidding.

SARA	Guess you'll have to read it to find out.

SARA	The critics were okay with it, but almost everyone hated the ending.

BEN	Why? What happens?

SARA	Well, the protagonist, Sara...

SARA	she flies into this passionate fit of jealous rage...

SARA	and castrates her boyfriend, Ben, with a paring knife. 

SARA	Yah! 

SARA	Gotcha!

SARA	Oh, I'm kidding. 

SARA	That was a joke.

BEN	Whew. 

SARA	Obviously, they're not called Ben and Sara. 

SARA	That would be crazy. 

SARA	But she does castrate him at the end.

BEN	I guess I'll just have to read the next one. 

BEN	What is the next one called?

SARA	Chastity.

BEN	Times have changed, huh?

SARA	No, but seriously, and don't tell Kelly this...

SARA	but I haven't actually written a single word in like two months.

SARA	Am I too young to be washed up?

BEN	Well, maybe you're abstaining from writing to learn about abstinence.

SARA	Yeah. Maybe I am doing that. 

SARA	That's what I'm doing.

GODFREY SINGING	Growing up a little dog

GODFREY SINGING	Feeling insecure 

GODFREY SINGING	Why can't we all get along

GODFREY SINGING	in this doggone world?

GODFREY SINGING	Get along little doggies 

GODFREY SINGING	Little doggies, get along 

GODFREY SINGING	Growing up a big dog 

GODFREY SINGING	in this big dog world 

GODFREY SINGING	Why can't we all get along 

GODFREY SINGING	and stop being so insecure? 

GODFREY	I'm Cowboy Cody. You guys might remember me from right now. 

GODFREY	Maybe next week too. You can maybe remember me from next week.

GODFREY	I'll be back.

GODFREY	Take care of yourselves. Drink water.

SARA	Excuse me. 

SARA	Don’t I know you from somewhere?

GODFREY	Well, you might, Ma'am. Name's Cowboy Cody.

GODFREY	Play down here all the time.

SARA	Tuesday night...

SARA	weren't you at the  Wenke Gallery in Fremont? 

GODFREY	Cowboy Cody at an art gallery? Now that's a knee-slapper.

SARA	I saw you talking like a stuck-up art critic.

SARA	And then later, you were like this stoner professor.

SARA	And now, what are you, like, some kind of southern guy?

GODFREY	Do I look like a college professor to you, Ma'am?

GODFREY	I'm just a simple cowboy.

GODFREY	I write songs. Sometimes I sing them.

GODFREY	Have a good day, Ma'am.

SARA	Wait, so you're a cowboy?

GODFREY	Yes, Ma'am.

SARA	Is this some kind of reality show or...?

GODFREY	Ma'am, I truly think you have me mistaken for somebody else. 

GODFREY	Have a nice day now.

SARA	No, no, it was you. You're hard to miss in a crowd.

SARA	Come on, let me buy you a coffee or something.

GODFREY	Bless your heart. But I got to skedaddle out of here...

GODFREY	and giddy on up onto my pony.

SARA	You need to learn some better cowboy words.

SARA	Come on, I'm really curious.

GODFREY	All right, well, if you're itching to see me...

GODFREY	I'm going to be in Fremont Wednesday at 8:00.

SARA	Who the hell are you?

GODFREY	I'm Cowboy Cody.

SARA	Hello.

BEN	Hi, it's Ben. How are you?

SARA	Good, you know? Just doing my thing, you know...

SARA	getting some productive writing done.

SARA	How about you? How's the flugelhorn coming?

SARA	Are you blowing it? 

SARA	That was an attempt at flugelhorn humor.

SARA	Please say something else.

BEN	Oh, I was wondering if you wanted to go out...

BEN	Friday night with some friends of mine.

SARA	Ooh. What were your friends thinking?

BEN	I'm not really sure yet. Just maybe some drinks or... 

BEN	maybe a show?

SARA	You know what? Maybe we could start off at Venue.

SARA	Some performers are doing something there.

BEN	I love performers doing something...

BEN	so sure. 

SARA	Great. So, I'll see you then.

SARA	What am I watching?

BEN	I think it's a satirical piece on the entanglements...

BEN	created by the modern social construct.

VAN	I like the body positive aspect to the work. 

VAN	It's so much a part of what's missing in post-modern art.

SARA	Bet by the end they give birth to a sweater.

VAN	That's impossible. Sweaters aren't humans.

BEN	Chloe here is a musician.

SARA	Yeah? What do you play?

VAN	Chloe isn't talking right now.

SARA	Oh. Why?

VAN	She's practicing meditative silence for 24 hours.

SARA	Cool.

EMCEE #1	Give it up for Yarna Sutra, everybody.

BEN	Excellent! Excellent!

EMCEE #1	Don’t let my cat near those guys.

EMCEE #1	Up next, let’s have a big round of applause... 

EMCEE #1	for Allie Cornbush!

GODFREY	My name's Allie Cornbush.

GODFREY	I'm from Iowa City, Iowa.

GODFREY	Go, Hawkeyes!

GODFREY	I just got in town yesterday...

GODFREY	and I got off the Greyhound, and there were two...

GODFREY	of the nicest fellas waiting for me.

GODFREY	One of them offered to help me with my luggage...

GODFREY	and the other one offered to get married.

SARA	Ooh! 

GODFREY	Tomorrow. I'm going to put it off until tomorrow. 

GODFREY	We're going to do it tomorrow.

SARA	Oh, my God.

GODFREY	The reason that I came down here is because of my grandma. 

GODFREY	God bless her soul.

SARA	Aw...

GODFREY	So tonight, I'd like to perform for you a song that I wrote. 

GODFREY	It's called "How To Be Alone."

GODFREY	It's for anyone that's ever felt lost.

GODFREY SINGING	Wish I knew how to be alone 

GODFREY SINGING	Wish I knew how to do it 

GODFREY SINGING	Wish I knew how to be in the room by myself without 

GODFREY SINGING	Thinking about you and

GODFREY SINGING	the times that we had

GODFREY SINGING	The people we saw 

GODFREY SINGING	The places we saw together 

GODFREY SINGING	Wish I knew how to be alone by myself 

GODFREY SINGING	I just don't know how to do it 

GODFREY SINGING	Wish I knew how to build a boat 

GODFREY SINGING	I wish I knew how to do it 

GODFREY SINGING	Guess I could grab a book off a shelf 

GODFREY SINGING	and start riffling through it

GODFREY SINGING	But, oh, I forgot 

GODFREY SINGING	I don't know how to sail 

GODFREY SINGING	I don't have a sea leg to do it

GODFREY SINGING	I guess I'm landlocked 

GODFREY SINGING	with a boat in my driveway

GODFREY SINGING	Oops 

GODFREY SINGING	Because

GODFREY SINGING	I blew it 

GODFREY	Thank you guys so much. I'm Allie Cornbush.

EMCEE #1	Give it up for Allie Cornbush!

SARA	Yo, Allie Cornbush!

GODFREY	Hey, darling. How are you? 

SARA	That was amazing.

SARA	I mean, surprising, but amazing.

GODFREY	Thank you so much. You're so sweet. 

SARA	Oh, this is Ben and Ben's friends.

BEN	That was an interesting performance.

GODFREY	Thank you so much.

GODFREY	You know, sometimes the Lord and the Holy Spirit...

GODFREY	just come down into me, and I don't know what I’m gonna do... 

GODFREY	Ooh, ooh, ooh!

GODFREY	Ooh, ooh!

SARA	You’ve got to join us.

GODFREY	I wish I could, but I've got to go. 

GODFREY	Nice meeting, y'all. Toodle-loo!

SARA	Wait, where are you going?

GODFREY	What do you mean? I got places to go and people to see.

SARA	Well, can I come?

GODFREY	How about a raincheck?

SARA	Well, we could, but I'm free now. 

SARA	I mean, I am kind of on a date, but...

SARA	Yeah, he seems happy with the farmer and his girlfriend, so how about it?


SARA	Look, truthfully, I don't really find people...

SARA	that interesting or worth getting to know. 

SARA	But I'm obviously very intrigued by you, so...


GODFREY	All right. You're persistent.

GODFREY	Ballard Avenue, Montlake Boulevard at midnight.

SARA	Midnight?

SARA	Name's Sara, by the way, in case you wanted to know.

GODFREY	Toodle-loo!

SARA	Okay.

SARA	Oh, hey.

GODFREY	Let’s go.

SARA	Oh. Okay.

SARA	What is this?

SARA	No, seriously. 

SARA	Okay, wait for me. Wait for me, wait for me.

SARA	Did you hear that? 

SARA	Is anybody there? 

SARA	No? Okay. 

SARA	Wait, what? 

SARA	Where did you go? 

SARA	Hello?! 

SARA	Hello?!

SARA	Hello?!

SARA	Oh, my God! 

SARA	You are in the middle of nowhere...

SARA	at 1:00 in the morning with some guy whose name you don't even know. 

SARA	And now you're in the middle of a horror movie. 

SARA	Not you're best idea, Sara. Not your best idea.

GODFREY	Hello! It's me. 

GODFREY	DJ Katamine.

SARA	Okay...

SARA	First of all, do not scare me! 

SARA	And secondly, why are you wearing that?

GODFREY	Put it on. Let's find out.

SARA	Wait, seriously?

GODFREY	Put it on.

GEKE	Well, if it ain't the OG! 

GEKE	What's good, man?

GEKE	Hey, yo, we can't wait to see you spin tonight.

SARA	Wait, you're a DJ?

GODFREY	Something like that.

SARA	Doesn't Deadmaus have this whole angle covered?

GEKE	Yeah, where do you think he got the idea from?

SARA	What?

GEKE	Hey, man, what's with the chick?

GODFREY	She's all right.

SARA	I'm all right.

SHAD	What are you, a DJ wannabe?

SARA	Yeah, that's right. I'm a DJ wannabe.

SHAD	Man, I ain't working with no toy.

GEKE	Toy?

GEKE	How long you been in the game for?

GEKE	You're still just hitting play on Spotify.

GEKE	Is she in the decks?

GODFREY	No, I got something else planned for her.

SARA	You do?

SHAD	Just keep the toy away from me.

GEKE	You're the boss.

GEKE	What's up, you sexy mo-fos!

GEKE	All right, our headliner’s coming to the stage.

GEKE	Give it up for the one...

GEKE	the only, DJ Katamine!

GODFREY	Yo, yo, yo! What's up?

GODFREY	Make some noise!

GODFREY	Let's give it up for the hottest feline hype person in town!

GODFREY	Give it up for DJ Meow-na Lisa!

SARA	Hell no. I don't perform. I'm not a performer.

GODFREY	Come on, grab it. You're wearing a mask.

GODFREY	You can be anybody you want to be, just take it.

SARA	You go out there, not me.

GODFREY	Look, I brought you here for a reason. I got a feeling about you.

SARA	Who’s ready to lap up some milk?!

SARA	Wow, wow, wow, wow, wow.

SARA	That was... 

SARA	That was so much fun! Oh, my God!

SARA	You got me to perform in front of people, and I actually liked it.

GEKE	Yo, yo, yo. I’m out, G.

GODFREY	That was fun.

GEKE	Meow-na! 

GEKE	Girl, you killed it tonight.

SARA	Thank you.

GEKE	Hey, you can hype up any of my gigs.

GEKE	All right? Deuces! 

SARA	Thank you! Bye!

GODFREY	Yo.

SHAD	I’m out.

SARA	Hey, I haven’t been up this late since college...

SARA	and I am still ready to go.

SARA	So where do you want to go? What do you want to do?

SARA	Let's do it. 

SARA	Don't shake your head no.

GODFREY	Next time.

SARA	Admit it.

SARA	You like me.

SARA	Give me your number.

GODFREY	I'll see you around.

SARA	Oh, let me hit you on your celly-welly, DJ Katamine! 

SARA	What’s good? 

SARA	All right, fine. I’ll give you my number. 

SARA	206-855-3152!

SARA	All right, text me!

MR. DIXON	I think you sound like a fine young man. 

MR. DIXON	What'd you say your name was?

GODFREY	The name's George, sir.

MR. DIXON	Now don't tell me you're from Alabama yourself.

GODFREY	Yep! Born in the great city of Selma, sir. 

MR. DIXON	Well, heck, I knew I liked you.

GODFREY	I love the films of Shammi Kapoor, too.

INDIAN WOMAN	Oh, he was wonderful.

GODFREY	If you ever saw me, you'd say that I look just like Shammi. 

GODFREY	Especially the way he looked in Mama Bhanja.

GODFREY	So you're a private investigator? 

GODFREY	I was actually looking into hiring a private investigator. 

GODFREY	Yeah, I just want to see what I'm up to.

GODFREY	I found that when I'm in Ardha Chandrasana...

GODFREY	I channel more shiva energy if I wrap my standing leg around my head.

GODFREY	Do you hear that?

GODFREY	I'm just saying that “stop, drop, and roll...”

GODFREY	You got to add another “stop” to that.

GODFREY	There's no such thing as scented Wi-Fi. No, there's not.

GODFREY	Yeah, hi, just one piece of pizza delivered. 

GODFREY	You guys just deliver pieces?

GODFREY	Your total is $321. 

GODFREY	No. 

GODFREY	No. 

GODFREY	You.

GODFREY	You Namaste.

SARA	What? 

SARA	All right. 

SARA	Hello?

KELLY	You left your date in the middle of a club last night. 

KELLY	You humiliated him.

KELLY	Yeah.

SARA	It wasn't really going well.

KELLY	Okay, so you say you’ve got to walk your dog...

KELLY	or you have explosive diarrhea or something. 

KELLY	You don't just leave like an animal.

KELLY	Plus, his mom, I was on the brink of signing her.

KELLY	And she has more number one bestsellers...

KELLY	than all of my clients combined. That includes you.

KELLY	All you had to do was be normal, but you couldn't, could you? No.

KELLY	But once again, it was all about you...

KELLY	with no thought of how it was going to affect me.

KELLY	I'm sorry, I was wearing a cat head at a rave.

KELLY	Be honest with me.

KELLY	Are you on drugs?

SARA	Please, I wish I was on drugs.

SARA	I'm too paranoid to be on drugs.No, look, I'm sorry, I just...

SARA	I bumped into the most interesting person last night.

KELLY	Please don't tell me you found another lost soul to save.

KELLY	Rub them!

SARA	I did not find another lost soul to save.

KELLY	It was that eccentricguy from the gallery.

SARA	I think this guy can really inspire a good book.

KELLY	What? No. No. No book. 

KELLY	Axi wants Chastity. That is what they paid for.
 
SARA	I think I can make Chastity about identity...

SARA	and how we're all trying to be something we're not.

KELLY	I'm already writing it.

KELLY	It’s a book to diddle to! What are you talking about? 

KELLY	What? No, stop.

KELLY	Chastity is a book about a girl trying to track down her kidnapped dog...

KELLY	and hopefully banging a bunch of hot dudes along the way. This isn't Tolstoy. 

KELLY	What's this guy's name anyway?

SARA	You know what? I don't know.

KELLY	Okay, so you're going to write a boring novel...

KELLY	about a nameless guy you just met? Is that the plan?

SARA	He's not one person. He's, like, many different people.

KELLY	He's a mystery, and I need to unravel him.

KELLY	Oh, honey, no.

KELLY	Sara, the streets of Seattle are littered with guys like this. 

KELLY	You're mistaking crazy for interesting.

SARA	No, he's not crazy. He's a complete original.

SARA	Like one day, he's this pretentious stuck-up art critic...

SARA	and on the next, he's a female singer.

SARA	And then the day after that, he's like a rave DJ.

KELLY	Okay, so fully schizophrenic, because that's exactly what you just described.

KELLY	Please tell me you're not sleeping with him.

KELLY	No! I do feel happy around him, though, and inspired.

KELLY	Still, you should get tested anyway.

SARA	This is not about dating, and it's not about me.

SARA	It's about the book, I promise.

KELLY	And you know how long I've been stuck.

SARA	And last night, the dam broke...
 
SARA	and I couldn't stop writing.

KELLY	And it's the best stuff I've ever written. 

SARA	You know what? I am going to be late for my guitar lesson. 

SARA	I got to go.

KELLY	You're taking guitar lessons?

SARA	Yeah, I got to fill up my creative gas tank.

KELLY	No, Sara, guitaring is not writing.

KELLY	Hello! Hello! 

KELLY	Damn it!

KELLY	It's like you're my only friend.

MYRA	Well, it’s about time you came to visit. 

MYRA	Well?

MYRA	That’s not enough. 

MYRA	That’s not enough! 

MYRA	After all we’ve done for you and those kids, this is all we get?

MYRA	Well, why don’t you go back to your fancy apartment...

MYRA	and get us some more money?

SARA	Excuse me. 

SARA	Oh, hey, you're from last night.

SHAD	What do you want with him?

SARA	What do you mean, what do I want?

SHAD	I mean, why are you hanging with him?

SARA	What? Who are you? I don't even know you. 

SARA	How the hell do you know where I live?

SHAD	I followed you home last night.

SARA	Okay, wow.

SARA	If you stalk me, I will call the cops. Jeez!

SHAD	Just leave Godfrey alone.

SARA	Oh, that's his name? Godfrey?

SHAD	Yeah, Godfrey doesn't have no friends.

SARA	Oh yeah? Then who the hell are you?

SHAD	I'm his brother.

SARA	Wait, you're his brother?

SHAD	Yeah, so I know everything that goes on in his life.

SHAD	Trust me, you ain't going to be a part of it.

SARA	Oh, well, are you his brother or his father?

SARA	Because whoever he is, he's a grown-ass man.

SARA	He doesn't have to answer to you. And neither do I.

SHAD	Yo, leave him alone!

SHAD	He doesn't need you screwing up his life!

MAGICIAN PUPPET	You're no good. The kids won't like you.

GODFREY	Yes, they will, you stupid. 

GODFREY	You stay down, and you just be a stupid puppet.

MAGICIAN PUPPET	Okay. Sorry, Boss.

MRS. MILLER	Our favorite volunteer, Mr. G, is back with us today.

MRS. MILLER	Isn't that great?

LION PUPPET	Hello, kids! I think it's time for me to get a haircut.

MAGICIAN PUPPET	Oh, did I hear a haircut?

MAGICIAN PUPPET	I'm a magician. I can do it without scissors.

MAGICIAN PUPPET	Okay, now watch carefully.

MAGICIAN PUPPET	Abracadabra. Alakazam!

MAGICIAN PUPPET	What do you think of your new look?

